Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.0146,-1.15553,-3.41916,-3.35117,-1.15553,1
1,19,99,-2.47923,-0.93757,-3.41916,-3.35117,-0.93757,1
1,18,99,-2.07576,-0.527414,-3.41916,-3.35117,-0.527414,1
1,17,99,-2.5852,-0.980496,-3.41916,-3.35117,-0.980496,1
1,15,99,-0.765974,-1.46779,-3.41916,-3.35117,-1.46779,0
1,13,99,-1.12616,-0.74291,-3.41916,-3.35117,-0.74291,1
1,12,99,-0.949575,-0.855896,-3.41916,-3.35117,-0.949575,1
1,10,99,-0.724273,-0.307333,-3.41916,-3.35117,-0.307333,1
1,9,99,-0.413996,-0.181851,-3.41916,-3.35117,-0.181851,1
1,7,99,-0.264146,-0.225061,-3.41916,-3.35117,-0.225061,1
1,4,99,-0.425794,-0.185403,-3.41916,-3.35117,-0.185403,1
1,3,99,0.00103724,-0.0966945,-3.41916,-3.35117,-0.0966945,0
1,2,99,-0.378901,0.000974384,-3.41916,-3.35117,0.000974384,1
1,1,99,-0.848865,-0.208742,-3.41916,-3.35117,-0.208742,1
1,20,98,-1.74578,-1.0776,-3.41916,-3.12829,-1.0776,1
1,19,98,-2.19318,-0.768547,-3.41916,-3.12829,-0.768547,1
1,18,98,-2.04554,-0.493265,-3.41916,-3.12829,-0.493265,1
1,17,98,-2.22807,-0.782169,-3.41916,-3.12829,-0.782169,1
1,15,98,-0.779989,-1.20547,-3.41916,-3.12829,-1.20547,0
1,13,98,-0.709075,-0.851569,-3.41916,-3.12829,-0.709075,0
1,12,98,-0.715286,-0.483303,-3.41916,-3.12829,-0.483303,1
1,9,98,-0.420796,-0.0887929,-3.41916,-3.12829,-0.0887929,1
1,7,98,-0.225111,-0.0748732,-3.41916,-3.12829,-0.0748732,1
1,4,98,-0.455786,-0.0457305,-3.41916,-3.12829,-0.0457305,1
1,3,98,-0.0462374,-0.123603,-3.41916,-3.12829,-0.123603,0
1,2,98,-0.393622,0.14603,-3.41916,-3.12829,0.14603,1
1,1,98,-0.432062,-0.176368,-3.41916,-3.12829,-0.176368,1
1,20,97,-1.63104,-1.08486,-3.41916,-2.81209,-1.63104,1
1,19,97,-1.70888,-0.547284,-3.41916,-2.81209,-0.547284,1
1,18,97,-1.66147,-0.372545,-3.41916,-2.81209,-0.372545,1
1,17,97,-1.99726,-0.753358,-3.41916,-2.81209,-0.753358,1
1,15,97,-0.614367,-1.29197,-3.41916,-2.81209,-1.29197,0
1,13,97,-0.628538,-0.677224,-3.41916,-2.81209,-0.677224,0
1,12,97,-0.490509,-0.428912,-3.41916,-2.81209,-0.428912,1
1,7,97,-0.174492,-0.00333296,-3.41916,-2.81209,-0.00333296,1
