Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.32409,-1.01616,-3.41916,-3.35117,-1.01616,1
1,19,99,-1.87831,-0.569035,-3.41916,-3.35117,-0.569035,1
1,18,99,-2.1291,-0.426115,-3.41916,-3.35117,-0.426115,1
1,17,99,-1.89952,-1.11053,-3.41916,-3.35117,-1.11053,1
1,15,99,-1.1247,-1.47275,-3.41916,-3.35117,-1.47275,0
1,13,99,-1.11206,-0.436663,-3.41916,-3.35117,-0.436663,1
1,12,99,-0.921677,-1.05271,-3.41916,-3.35117,-0.921677,0
1,10,99,-0.753076,-0.378923,-3.41916,-3.35117,-0.378923,1
1,9,99,-0.339892,-0.483101,-3.41916,-3.35117,-0.483101,0
1,7,99,-0.110154,-0.586511,-3.41916,-3.35117,-0.586511,0
1,4,99,-0.432992,-0.0537953,-3.41916,-3.35117,-0.0537953,1
1,3,99,-0.327373,-0.104848,-3.41916,-3.35117,-0.104848,1
1,2,99,-0.614287,-0.276769,-3.41916,-3.35117,-0.276769,1
1,1,99,-0.591988,-1.3159,-3.41916,-3.35117,-1.3159,0
1,20,98,-2.28027,-1.11493,-3.41916,-3.12829,-1.11493,1
1,19,98,-1.61874,-0.423954,-3.41916,-3.12829,-0.423954,1
1,18,98,-1.81691,-0.379648,-3.41916,-3.12829,-0.379648,1
1,17,98,-1.5901,-1.11081,-3.41916,-3.12829,-1.11081,1
1,15,98,-1.15212,-1.28229,-3.41916,-3.12829,-1.28229,0
1,13,98,-0.996853,-0.488322,-3.41916,-3.12829,-0.996853,1
1,12,98,-0.657521,-0.893082,-3.41916,-3.12829,-0.893082,0
1,9,98,-0.294,-0.408146,-3.41916,-3.12829,-0.408146,0
1,7,98,-0.143677,-0.480299,-3.41916,-3.12829,-0.480299,0
1,4,98,-0.441922,0.0476164,-3.41916,-3.12829,0.0476164,1
1,3,98,-0.26481,-0.0785075,-3.41916,-3.12829,-0.0785075,1
1,2,98,-0.53554,-0.253674,-3.41916,-3.12829,-0.253674,1
1,1,98,-0.579608,-1.16131,-3.41916,-3.12829,-1.16131,0
1,20,97,-1.93491,-1.06354,-3.41916,-2.81209,-1.93491,1
1,19,97,-1.76292,-0.792696,-3.41916,-2.81209,-0.792696,1
1,18,97,-1.31454,-0.177773,-3.41916,-2.81209,-0.177773,1
1,17,97,-1.37019,-0.971189,-3.41916,-2.81209,-0.971189,1
1,15,97,-0.833525,-1.19249,-3.41916,-2.81209,-1.19249,0
1,13,97,-0.793722,-0.392806,-3.41916,-2.81209,-0.392806,1
1,12,97,-0.595331,-0.703274,-3.41916,-2.81209,-0.703274,0
1,7,97,-0.0525612,-0.199856,-3.41916,-2.81209,-0.199856,0
1,4,97,-0.283887,-0.00719863,-3.41916,-2.81209,-0.00719863,1
1,3,97,-0.155693,-0.176818,-3.41916,-2.81209,-0.176818,0
1,2,97,-0.0736238,-0.256433,-3.41916,-2.81209,-0.256433,0
1,20,96,-1.71981,-0.841808,-3.41916,-2.99602,-0.841808,1
1,19,96,-1.59861,-0.496446,-3.41916,-2.99602,-0.496446,1
1,18,96,-1.46924,-0.330681,-3.41916,-2.99602,-0.330681,1
1,17,96,-1.33489,-0.903865,-3.41916,-2.99602,-0.903865,1
1,15,96,-0.710113,-1.20667,-3.41916,-2.99602,-1.20667,0
1,13,96,-0.697573,-0.493322,-3.41916,-2.99602,-0.697573,1
1,12,96,-0.470372,-0.597623,-3.41916,-2.99602,-0.597623,0
1,9,96,-0.194309,-0.182398,-3.41916,-2.99602,-0.182398,1
1,7,96,3.70793e-05,-0.332712,-3.41916,-2.99602,-0.332712,0
1,4,96,-0.223383,0.152727,-3.41916,-2.99602,0.152727,1
1,3,96,-0.0855528,0.0488741,-3.41916,-2.99602,0.0488741,1
1,2,96,-0.0474303,-0.150529,-3.41916,-2.99602,-0.150529,0
1,19,95,-1.45271,-0.369177,-3.41916,-2.85377,-0.369177,1
1,17,95,-1.48978,-1.02235,-3.41916,-2.85377,-1.02235,1
1,15,95,-0.691431,-1.23735,-3.41916,-2.85377,-1.23735,0
1,13,95,-0.454084,-0.11838,-3.41916,-2.85377,-0.11838,1
1,7,95,-0.0810756,-0.192256,-3.41916,-2.85377,-0.192256,0
1,4,95,-0.27585,0.151588,-3.41916,-2.85377,0.151588,1
1,2,95,-0.0247187,0.0269284,-3.41916,-2.85377,0.0269284,1
1,1,95,-0.214871,-0.990517,-3.41916,-2.85377,-0.990517,0
1,19,94,-1.12765,-0.273081,-3.41916,-2.55553,-0.273081,1
1,17,94,-1.46845,-0.996581,-3.41916,-2.55553,-0.996581,1
1,15,94,-0.606218,-0.913622,-3.41916,-2.55553,-0.913622,0
1,13,94,-0.451055,0.0698341,-3.41916,-2.55553,0.0698341,1
1,7,94,0.0407579,-0.0618465,-3.41916,-2.55553,-0.0618465,0
1,4,94,-0.178905,0.147602,-3.41916,-2.55553,0.147602,1
1,2,94,0.0285011,0.0211665,-3.41916,-2.55553,0.0211665,0
1,1,94,0.0918049,-0.82058,-3.41916,-2.55553,-0.82058,0
1,19,93,-1.36203,-0.329497,-3.41916,-2.51688,-0.329497,1
1,17,93,-1.27849,-0.838122,-3.41916,-2.51688,-0.838122,1
1,15,93,-0.758546,-1.09351,-3.41916,-2.51688,-1.09351,0
1,13,93,-0.340004,-0.00165128,-3.41916,-2.51688,-0.00165128,1
1,7,93,0.107047,-0.04099,-3.41916,-2.51688,-0.04099,0
1,4,93,-0.133653,0.105196,-3.41916,-2.51688,0.105196,1
1,2,93,0.00837294,-0.0238554,-3.41916,-2.51688,-0.0238554,0
1,1,93,0.169026,-0.900484,-3.41916,-2.51688,-0.900484,0
1,19,92,-1.23837,-0.23152,-6.43894,-2.39982,-0.23152,1
1,17,92,-1.02813,-0.667588,-6.43894,-2.39982,-0.667588,1
1,15,92,-0.762871,-0.988773,-6.43894,-2.39982,-0.988773,0
1,13,92,-0.298347,0.240983,-6.43894,-2.39982,0.240983,1
1,7,92,0.102289,-0.0828374,-6.43894,-2.39982,-0.0828374,0
1,4,92,-0.18691,0.22302,-6.43894,-2.39982,0.22302,1
1,2,92,-0.0863418,-0.0248843,-6.43894,-2.39982,-0.0248843,1
1,1,92,0.181253,-0.738787,-6.43894,-2.39982,-0.738787,0
1,19,91,-1.40188,-0.276853,-6.29331,-2.45927,-0.276853,1
1,17,91,-1.20884,-0.774781,-6.29331,-2.45927,-0.774781,1
1,15,91,-0.581631,-0.794316,-6.29331,-2.45927,-0.581631,0
1,13,91,-0.411301,0.271404,-6.29331,-2.45927,0.271404,1
1,7,91,0.106493,0.23304,-6.29331,-2.45927,0.23304,1
1,4,91,-0.0977329,0.294606,-6.29331,-2.45927,0.294606,1
1,2,91,0.106909,0.144836,-6.29331,-2.45927,0.144836,1
1,1,91,0.218875,-0.694687,-6.29331,-2.45927,-0.694687,0
1,19,90,-1.09241,-0.350791,-6.05291,-2.36134,-0.350791,1
1,17,90,-1.11261,-0.757692,-6.05291,-2.36134,-0.757692,1
1,15,90,-0.479429,-0.68796,-6.05291,-2.36134,-0.68796,0
1,13,90,-0.48564,0.243185,-6.05291,-2.36134,0.243185,1
1,7,90,0.162869,0.216212,-6.05291,-2.36134,0.216212,1
1,4,90,-0.00704724,0.207254,-6.05291,-2.36134,0.207254,1
1,2,90,0.216191,-0.00517365,-6.05291,-2.36134,-0.00517365,0
1,1,90,0.140649,-0.711088,-6.05291,-2.36134,-0.711088,0
1,19,89,-1.17735,-0.325486,-5.75042,-2.39784,-0.325486,1
1,17,89,-0.952849,-0.728369,-5.75042,-2.39784,-0.952849,1
1,15,89,-0.539672,-0.825681,-5.75042,-2.39784,-0.825681,0
1,13,89,-0.224686,0.395884,-5.75042,-2.39784,0.395884,1
1,7,89,0.379955,0.337604,-5.75042,-2.39784,0.337604,0
1,4,89,0.0282433,0.298858,-5.75042,-2.39784,0.298858,1
1,2,89,0.139877,0.151898,-5.75042,-2.39784,0.151898,1
1,1,89,-0.111966,-0.292878,-5.75042,-2.39784,-0.292878,0
1,19,88,-0.88701,-0.0615453,-5.55605,-2.24038,-0.88701,1
1,17,88,-1.20631,-0.921248,-5.55605,-2.24038,-0.921248,1
1,15,88,-0.572806,-0.725162,-5.55605,-2.24038,-0.725162,0
1,13,88,-0.150725,0.440287,-5.55605,-2.24038,0.440287,1
1,7,88,0.325184,0.388304,-5.55605,-2.24038,0.388304,1
1,4,88,0.188155,0.330184,-5.55605,-2.24038,0.330184,1
1,2,88,0.184822,0.215168,-5.55605,-2.24038,0.215168,1
1,1,88,0.290987,-0.59292,-5.55605,-2.24038,-0.59292,0
1,19,87,-0.754029,-0.0570422,-5.60239,-2.09737,-0.0570422,1
1,17,87,-1.24935,-0.909842,-5.60239,-2.09737,-0.909842,1
1,15,87,-0.64962,-0.738,-5.60239,-2.09737,-0.738,0
1,13,87,-0.195754,0.409425,-5.60239,-2.09737,0.409425,1
1,7,87,0.359006,0.532016,-5.60239,-2.09737,0.532016,1
1,4,87,0.46105,0.475844,-5.60239,-2.09737,0.475844,1
1,2,87,0.230105,0.260463,-5.60239,-2.09737,0.260463,1
1,1,87,0.368968,-0.447977,-5.60239,-2.09737,-0.447977,0
1,19,86,-0.770187,-0.0987476,-5.61978,-2.01828,-0.0987476,1
1,17,86,-0.844373,-0.611703,-5.61978,-2.01828,-0.844373,1
1,15,86,-0.653993,-0.787134,-5.61978,-2.01828,-0.787134,0
1,13,86,-0.113006,0.331627,-5.61978,-2.01828,-0.113006,1
1,7,86,0.343329,0.634812,-5.61978,-2.01828,0.634812,1
1,4,86,0.510552,0.453994,-5.61978,-2.01828,0.453994,0
1,2,86,0.412112,0.296815,-5.61978,-2.01828,0.296815,0
1,1,86,0.160253,-0.462681,-5.61978,-2.01828,-0.462681,0
1,19,85,-0.805812,-0.15476,-5.14185,-2.10808,-0.15476,1
1,17,85,-0.347458,-0.680928,-5.14185,-2.10808,-0.680928,0
1,15,85,-0.786112,-0.225489,-5.14185,-2.10808,-0.225489,1
1,13,85,-0.359467,0.229233,-5.14185,-2.10808,0.229233,1
