Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.6841,-1.61471,-3.41916,-3.35117,-1.61471,1
1,19,99,-1.91721,-0.594447,-3.41916,-3.35117,-0.594447,1
1,18,99,-1.79134,-0.866211,-3.41916,-3.35117,-0.866211,1
1,17,99,-1.2591,-1.25215,-3.41916,-3.35117,-1.25215,1
1,15,99,-0.717311,-1.17163,-3.41916,-3.35117,-1.17163,0
1,13,99,-1.45346,-0.489647,-3.41916,-3.35117,-0.489647,1
1,12,99,-0.269431,-0.707931,-3.41916,-3.35117,-0.269431,0
1,10,99,-0.0214815,1.5772,-3.41916,-3.35117,1.5772,1
1,9,99,0.532393,0.0245411,-3.41916,-3.35117,0.0245411,0
1,7,99,0.512107,0.0381063,-3.41916,-3.35117,0.0381063,0
1,4,99,0.81686,1.07003,-3.41916,-3.35117,1.07003,1
1,3,99,0.752431,1.00991,-3.41916,-3.35117,1.00991,1
1,2,99,0.799954,1.19001,-3.41916,-3.35117,1.19001,1
1,1,99,0.0739779,0.598916,-3.41916,-3.35117,0.598916,1
1,20,98,-2.57112,-1.63738,-3.41916,-3.12829,-1.63738,1
1,19,98,-1.73626,-0.409137,-3.41916,-3.12829,-0.409137,1
1,18,98,-1.59712,-0.766218,-3.41916,-3.12829,-0.766218,1
1,17,98,-1.06033,-1.2025,-3.41916,-3.12829,-1.2025,0
1,15,98,-0.756175,-1.17898,-3.41916,-3.12829,-1.17898,0
1,13,98,-0.982357,-0.593965,-3.41916,-3.12829,-0.982357,1
1,12,98,-0.0921826,-0.168858,-3.41916,-3.12829,-0.168858,0
1,9,98,0.707818,0.00429905,-3.41916,-3.12829,0.00429905,0
1,7,98,0.409706,0.0441448,-3.41916,-3.12829,0.0441448,0
1,4,98,0.739616,1.14053,-3.41916,-3.12829,1.14053,1
1,3,98,0.800531,1.10905,-3.41916,-3.12829,1.10905,1
1,2,98,0.759181,1.38851,-3.41916,-3.12829,1.38851,1
1,1,98,0.973499,0.435233,-3.41916,-3.12829,0.435233,0
1,20,97,-1.94523,-1.51451,-3.41916,-2.81209,-1.94523,1
1,19,97,-1.54913,-0.528257,-3.41916,-2.81209,-0.528257,1
1,18,97,-1.49458,-0.876351,-3.41916,-2.81209,-0.876351,1
1,17,97,-0.98217,-1.28524,-3.41916,-2.81209,-1.28524,0
1,15,97,-0.353094,-0.967746,-3.41916,-2.81209,-0.967746,0
1,13,97,-0.499642,-0.287699,-3.41916,-2.81209,-0.287699,1
1,12,97,-0.144884,-0.0711697,-3.41916,-2.81209,-0.0711697,1
1,7,97,0.615475,0.155374,-3.41916,-2.81209,0.155374,0
1,4,97,1.04863,1.13757,-3.41916,-2.81209,1.13757,1
1,3,97,0.932927,1.0175,-3.41916,-2.81209,1.0175,1
1,2,97,1.38195,0.899398,-3.41916,-2.81209,0.899398,0
1,20,96,-1.86149,-1.3083,-3.41916,-2.99602,-1.3083,1
1,19,96,-1.23725,-0.272284,-3.41916,-2.99602,-0.272284,1
1,18,96,-1.37556,-0.778723,-3.41916,-2.99602,-0.778723,1
1,17,96,-1.00038,-1.05919,-3.41916,-2.99602,-1.05919,0
1,15,96,-0.241302,-0.928467,-3.41916,-2.99602,-0.928467,0
1,13,96,-0.572175,-0.288591,-3.41916,-2.99602,-0.572175,1
1,12,96,0.130485,0.10501,-3.41916,-2.99602,0.10501,0
1,9,96,0.504878,0.183619,-3.41916,-2.99602,0.183619,0
1,7,96,0.685043,0.262658,-3.41916,-2.99602,0.262658,0
1,4,96,1.0881,1.29575,-3.41916,-2.99602,1.29575,1
1,3,96,0.838092,1.16955,-3.41916,-2.99602,1.16955,1
1,2,96,1.2288,1.42051,-3.41916,-2.99602,1.42051,1
1,19,95,-1.05259,-0.178536,-3.41916,-2.85377,-0.178536,1
1,17,95,-0.911572,-1.06277,-3.41916,-2.85377,-1.06277,0
1,15,95,-0.289892,-0.963126,-3.41916,-2.85377,-0.963126,0
1,13,95,-0.138543,-0.0987304,-3.41916,-2.85377,-0.0987304,1
1,7,95,0.377169,0.21222,-3.41916,-2.85377,0.21222,0
1,4,95,0.78386,1.10951,-3.41916,-2.85377,1.10951,1
1,2,95,1.19152,1.35278,-3.41916,-2.85377,1.35278,1
1,1,95,1.71753,0.670634,-3.41916,-2.85377,0.670634,0
1,19,94,-1.05443,-0.284143,-3.41916,-2.55553,-0.284143,1
1,17,94,-0.713572,-1.00361,-3.41916,-2.55553,-1.00361,0
1,15,94,-0.356191,-0.798458,-3.41916,-2.55553,-0.798458,0
