Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,2.33783,2.18803,-1000,-3.35117,2.33783,0
1,19,99,-3.41916,3.7247,-1000,-3.35117,3.7247,1
1,18,99,-0.80928,4.57139,-1000,-3.35117,4.57139,1
1,17,99,-0.161434,4.73251,-1000,-3.35117,4.73251,1
1,15,99,2.78388,4.49137,-1000,-3.35117,4.49137,1
1,13,99,-0.349183,2.39484,-1000,-3.35117,2.39484,1
1,12,99,-0.661222,2.70682,-1000,-3.35117,2.70682,1
1,10,99,6.92187,6.91359,-1000,-3.35117,6.92187,0
1,9,99,5.74894,2.02053,-1000,-3.35117,5.74894,0
1,7,99,5.62388,4.47459,-1000,-3.35117,5.62388,0
1,4,99,6.92045,6.83787,-1000,-3.35117,6.92045,0
1,3,99,6.90033,6.87748,-1000,-3.35117,6.90033,0
1,2,99,6.92045,6.91165,-1000,-3.35117,6.92045,0
1,1,99,6.90152,6.90152,-1000,-3.35117,6.90152,0
2,20,99,2.0985,-1.8295,-1000,-3.35117,2.0985,0
2,18,99,-2.81209,3.21833,-1000,-3.35117,3.21833,1
2,17,99,1.74125,0.509002,-1000,-3.35117,1.74125,0
2,16,99,2.79647,-2.34846,-1000,-3.35117,2.79647,0
2,15,99,-2.27832,-0.111905,-1000,-3.35117,-0.111905,1
2,13,99,-0.384727,2.03361,-1000,-3.35117,2.03361,1
2,10,99,2.67815,4.46976,-1000,-3.35117,4.46976,1
2,8,99,0.236357,6.89406,-1000,-3.35117,6.89406,1
2,7,99,4.47459,-3.10247,-1000,-3.35117,4.47459,0
2,4,99,6.82112,4.4632,-1000,-3.35117,6.82112,0
2,3,99,6.89548,6.90033,-1000,-3.35117,6.90033,1
2,2,99,6.90756,6.91165,-1000,-3.35117,6.91165,1
2,1,99,-3.41916,6.90152,-1000,-3.35117,6.90152,1
3,20,99,-2.46009,-2.95335,-1000,-3.35117,-2.46009,0
3,16,99,-3.12829,-4.35522,-1000,-3.35117,-3.12829,0
3,15,99,-3.35117,-2.38058,-1000,-3.35117,-2.38058,1
3,13,99,-2.81209,-3.35117,-1000,-3.35117,-2.81209,0
3,11,99,-3.38516,-3.38516,-1000,-3.35117,-3.35117,3
3,10,99,-3.38516,-3.35117,-1000,-3.35117,-3.35117,1
3,9,99,-2.85377,1.77144,-1000,-3.35117,1.77144,1
3,8,99,-2.77577,-3.35117,-1000,-3.35117,-2.77577,0
3,5,99,1.75895,-3.38516,-1000,-3.35117,1.75895,0
3,4,99,-3.35117,2.05732,-1000,-3.35117,2.05732,1
3,2,99,6.86184,-3.35117,-1000,-3.35117,6.86184,0
3,1,99,6.90152,1.75066,-1000,-3.35117,6.90152,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,3.49634,2.21434,-1000,-3.12829,3.49634,0
1,19,98,-3.41916,3.70455,-1000,-3.12829,3.70455,1
1,18,98,-0.69948,4.55106,-1000,-3.12829,4.55106,1
1,17,98,-0.298477,4.83939,-1000,-3.12829,4.83939,1
1,15,98,3.07407,4.54847,-1000,-3.12829,4.54847,1
1,13,98,-0.37124,2.35793,-1000,-3.12829,2.35793,1
1,12,98,1.08482,2.75608,-1000,-3.12829,2.75608,1
1,10,98,6.90152,6.89569,-1000,-3.12829,6.90152,0
1,9,98,5.74427,2.05305,-1000,-3.12829,5.74427,0
1,7,98,5.7444,4.56206,-1000,-3.12829,5.7444,0
1,4,98,6.90756,6.88238,-1000,-3.12829,6.90756,0
1,3,98,6.88753,6.8783,-1000,-3.12829,6.88753,0
1,2,98,6.90756,6.93904,-1000,-3.12829,6.93904,1
1,1,98,6.90397,6.90397,-1000,-3.12829,6.90397,0
2,20,98,2.17958,-1.81046,-1000,-3.12829,2.17958,0
2,18,98,-2.85377,3.21017,-1000,-3.12829,3.21017,1
2,17,98,1.8006,0.50746,-1000,-3.12829,1.8006,0
2,16,98,2.80579,-2.3388,-1000,-3.12829,2.80579,0
2,15,98,-2.18981,-0.135078,-1000,-3.12829,-0.135078,1
2,13,98,-0.417062,1.91509,-1000,-3.12829,1.91509,1
2,10,98,2.75076,4.54246,-1000,-3.12829,4.54246,1
2,7,98,4.56206,-2.84191,-1000,-3.12829,4.56206,0
2,4,98,6.8957,4.39134,-1000,-3.12829,6.8957,0
2,3,98,6.88261,6.88753,-1000,-3.12829,6.88753,1
2,2,98,6.91165,6.93904,-1000,-3.12829,6.93904,1
2,1,98,-3.41916,6.90397,-1000,-3.12829,6.90397,1
3,20,98,-2.50073,-2.82258,-1000,-3.12829,-2.50073,0
3,16,98,-2.81209,-4.17578,-1000,-3.12829,-2.81209,0
3,15,98,-3.12829,-2.42855,-1000,-3.12829,-2.42855,1
3,13,98,-2.99602,-3.12829,-1000,-3.12829,-2.99602,0
3,11,98,-1.56415,-3.27373,-1000,-3.12829,-1.56415,0
3,10,98,-1.56415,-3.12829,-1000,-3.12829,-1.56415,0
3,9,98,-2.55553,1.89608,-1000,-3.12829,1.89608,1
3,8,98,-2.68532,-3.12829,-1000,-3.12829,-2.68532,0
3,5,98,1.86819,-3.27373,-1000,-3.12829,1.86819,0
3,4,98,-3.12829,1.94902,-1000,-3.12829,1.94902,1
3,2,98,6.86687,-3.12829,-1000,-3.12829,6.86687,0
3,1,98,6.90397,1.87156,-1000,-3.12829,6.90397,0
4,17,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,16,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,15,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,14,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,13,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,12,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,9,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,8,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,7,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,5,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,3,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,1,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
1,20,97,3.52139,2.30925,-1000,-2.81209,3.52139,0
1,19,97,0,3.68503,-1000,-2.81209,3.68503,1
1,18,97,-0.740731,4.59072,-1000,-2.81209,4.59072,1
1,17,97,-0.278464,4.84615,-1000,-2.81209,4.84615,1
1,15,97,3.09629,4.50918,-1000,-2.81209,4.50918,1
1,13,97,-0.370906,2.40618,-1000,-2.81209,2.40618,1
1,12,97,1.11949,2.80078,-1000,-2.81209,2.80078,1
1,7,97,5.73794,4.58183,-1000,-2.81209,5.73794,0
1,4,97,6.91165,6.84914,-1000,-2.81209,6.91165,0
1,3,97,6.88831,6.87649,-1000,-2.81209,6.88831,0
1,2,97,6.91165,6.93904,-1000,-2.81209,6.93904,1
1,10,97,6.89713,6.90397,-1000,-2.81209,6.90397,1
1,1,97,6.90661,6.90661,-1000,-2.81209,6.90661,0
2,20,97,2.28676,-1.71264,-1000,-2.81209,2.28676,0
2,18,97,-2.55553,3.23725,-1000,-2.81209,3.23725,1
2,17,97,2.0202,0.598445,-1000,-2.81209,2.0202,0
2,16,97,2.78601,-0.599956,-1000,-2.81209,2.78601,0
2,15,97,-2.25296,-0.0530616,-1000,-2.81209,-0.0530616,1
2,13,97,-0.328715,2.02849,-1000,-2.81209,2.02849,1
2,12,97,2.80078,2.12829,-1000,-2.81209,2.80078,0
2,10,97,2.70682,4.55351,-1000,-2.81209,4.55351,1
2,6,99,6.92288,6.86892,-1000,-3.35117,6.92288,0
1,14,97,1.38898,4.57006,-1000,-2.81209,4.57006,1
2,8,97,0.413203,6.90756,-1000,-2.81209,6.90756,1
2,7,97,4.58183,-2.66448,-1000,-2.81209,4.58183,0
1,14,99,-0.37124,4.55953,-1000,-3.35117,4.55953,1
2,6,97,6.89296,6.85649,-1000,-2.81209,6.89296,0
2,4,97,6.83362,4.38141,-1000,-2.81209,6.83362,0
2,3,97,6.87419,6.88831,-1000,-2.81209,6.88831,1
2,2,97,6.93904,6.87932,-1000,-2.81209,6.93904,0
2,1,97,0,6.90661,-1000,-2.81209,6.90661,1
3,20,97,-2.37659,-2.60596,-1000,-2.81209,-2.37659,0
3,16,97,-2.99602,-3.92935,-1000,-2.81209,-2.81209,3
3,15,97,-2.81209,-2.30086,-1000,-2.81209,-2.30086,1
3,13,97,-2.85377,-2.81209,-1000,-2.81209,-2.81209,1
3,11,97,-1.40604,-1.40604,-1000,-2.81209,-1.40604,0
3,10,97,-1.40604,-2.81209,-1000,-2.81209,-1.40604,0
3,9,97,-2.51688,2.04773,-1000,-2.81209,2.04773,1
3,8,97,-2.47768,-2.81209,-1000,-2.81209,-2.47768,0
3,5,97,1.98054,-3.11562,-1000,-2.81209,1.98054,0
3,4,97,-2.81209,2.03334,-1000,-2.81209,2.03334,1
3,2,97,6.81892,-2.81209,-1000,-2.81209,6.81892,0
3,1,97,6.90661,2.05218,-1000,-2.81209,6.90661,0
4,17,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,16,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,15,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,13,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,12,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,9,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,8,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,7,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,5,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,1,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
1,20,96,3.58217,2.35771,-1000,-2.99602,3.58217,0
1,19,96,0,3.72471,-1000,-2.99602,3.72471,1
1,18,96,1.01567,4.5725,-1000,-2.99602,4.5725,1
1,17,96,2.29745,4.89217,-1000,-2.99602,4.89217,1
1,15,96,2.82221,4.57736,-1000,-2.99602,4.57736,1
2,8,98,0.322863,6.92045,-1000,-3.12829,6.92045,1
2,6,98,6.92185,6.90405,-1000,-3.12829,6.92185,0
1,14,96,1.36776,4.48191,-1000,-2.99602,4.48191,1
1,13,96,1.38898,2.60657,-1000,-2.99602,2.60657,1
1,12,96,1.14294,2.78388,-1000,-2.99602,2.78388,1
1,9,96,5.72812,2.09672,-1000,-2.99602,5.72812,0
1,7,96,5.74284,4.56524,-1000,-2.99602,5.74284,0
1,4,96,6.93904,6.84838,-1000,-2.99602,6.93904,0
1,3,96,6.88816,6.83067,-1000,-2.99602,6.88816,0
1,2,96,6.93904,6.87932,-1000,-2.99602,6.93904,0
1,10,96,6.90661,6.90517,-1000,-2.99602,6.90661,0
1,1,96,6.85462,6.85462,-1000,-2.99602,6.85462,0
2,20,96,2.31616,-1.61814,-1000,-2.99602,2.31616,0
2,18,96,-2.51688,3.21153,-1000,-2.99602,3.21153,1
2,17,96,1.9377,0.613824,-1000,-2.99602,1.9377,0
2,16,96,2.84064,-0.614817,-1000,-2.99602,2.84064,0
2,15,96,-2.12291,-0.0201622,-1000,-2.99602,-0.0201622,1
2,13,96,-0.160453,2.13907,-1000,-2.99602,2.13907,1
2,12,96,2.78388,2.28694,-1000,-2.99602,2.78388,0
2,10,96,2.75608,4.60655,-1000,-2.99602,4.60655,1
2,7,96,4.56524,-2.69792,-1000,-2.99602,4.56524,0
1,14,98,1.33867,4.52757,-1000,-3.12829,4.52757,1
2,8,96,0.537886,6.91165,-1000,-2.99602,6.91165,1
2,6,96,6.93894,6.77784,-1000,-2.99602,6.93894,0
2,4,96,6.92359,4.51425,-1000,-2.99602,6.92359,0
2,3,96,6.82993,6.88816,-1000,-2.99602,6.88816,1
2,2,96,6.87932,6.82619,-1000,-2.99602,6.87932,0
2,1,96,0,6.85462,-1000,-2.99602,6.85462,1
3,20,96,-2.22713,-2.72764,-1000,-2.99602,-2.22713,0
3,16,96,-2.85377,-3.84995,-1000,-2.99602,-2.85377,0
3,13,96,-2.55553,-2.99602,-1000,-2.99602,-2.55553,0
3,11,96,-1.49801,-1.49801,-1000,-2.99602,-1.49801,0
3,10,96,-1.49801,-2.99602,-1000,-2.99602,-1.49801,0
3,9,96,-2.39982,1.95782,-1000,-2.99602,1.95782,1
3,8,96,-2.48807,-2.99602,-1000,-2.99602,-2.48807,0
3,5,96,1.96536,-1.49801,-1000,-2.99602,1.96536,0
3,4,96,-2.99602,2.17601,-1000,-2.99602,2.17601,1
3,2,96,6.84996,-2.99602,-1000,-2.99602,6.84996,0
3,1,96,6.85462,1.95001,-1000,-2.99602,6.85462,0
4,17,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,16,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,15,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,13,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,12,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,9,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,8,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,7,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,5,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,1,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
1,19,95,0,3.8241,-1000,-2.85377,3.8241,1
1,17,95,2.3371,4.8723,-1000,-2.85377,4.8723,1
1,15,95,2.86223,4.63676,-1000,-2.85377,4.63676,1
1,13,95,1.36776,2.6013,-1000,-2.85377,2.6013,1
1,7,95,5.73877,4.56999,-1000,-2.85377,5.73877,0
1,4,95,6.87932,6.91377,-1000,-2.85377,6.91377,1
1,2,95,6.87932,6.86907,-1000,-2.85377,6.87932,0
1,1,95,6.86907,6.86907,-1000,-2.85377,6.86907,0
2,20,95,2.32833,0.651896,-1000,-2.85377,2.32833,0
2,17,95,2.03134,0.641996,-1000,-2.85377,2.03134,0
2,16,95,4.56679,-0.590334,-1000,-2.85377,4.56679,0
2,15,95,-1.9984,0.0628536,-1000,-2.85377,0.0628536,1
2,14,95,2.24455,0.060822,-1000,-2.85377,2.24455,0
2,13,95,-0.164838,2.10631,-1000,-2.85377,2.10631,1
2,10,95,2.80078,4.60605,-1000,-2.85377,4.60605,1
2,9,95,-0.207362,2.16964,-1000,-2.85377,2.16964,1
2,7,95,4.56999,-2.65652,-1000,-2.85377,4.56999,0
2,4,95,6.90081,4.5344,-1000,-2.85377,6.90081,0
2,2,95,6.82619,6.86907,-1000,-2.85377,6.86907,1
2,1,95,0,6.86907,-1000,-2.85377,6.86907,1
3,20,95,-2.14575,-2.60755,-1000,-2.85377,-2.14575,0
3,18,95,-0.440387,-2.85377,-1000,-2.85377,-0.440387,0
3,16,95,-2.55553,-3.8386,-1000,-2.85377,-2.55553,0
3,13,95,-2.51688,-2.85377,-1000,-2.85377,-2.51688,0
3,11,95,-1.42688,-1.42688,-1000,-2.85377,-1.42688,0
3,10,95,-1.42688,-2.85377,-1000,-2.85377,-1.42688,0
3,9,95,-2.45927,2.04263,-1000,-2.85377,2.04263,1
3,8,95,-2.38058,-2.85377,-1000,-2.85377,-2.38058,0
3,6,95,-2.45927,3.46022,-1000,-2.85377,3.46022,1
3,5,95,2.02014,-1.42688,-1000,-2.85377,2.02014,0
3,4,95,-2.85377,2.19739,-1000,-2.85377,2.19739,1
3,2,95,6.9104,-2.85377,-1000,-2.85377,6.9104,0
3,7,99,-3.10247,-3.35117,-1000,-3.35117,-3.10247,0
3,1,95,6.86907,2.02506,-1000,-2.85377,6.86907,0
4,16,95,-5.55605,-5.55605,-1000,-2.85377,-2.85377,3
4,13,95,-5.55605,-5.55605,-1000,-2.85377,-2.85377,3
4,12,95,-5.55605,-5.55605,-1000,-2.85377,-2.85377,3
4,9,95,-5.55605,-5.55605,-1000,-2.85377,-2.85377,3
4,5,95,-5.55605,-5.55605,-1000,-2.85377,-2.85377,3
4,3,95,-5.55605,-5.55605,-1000,-2.85377,-2.85377,3
4,2,95,-5.55605,-5.55605,-1000,-2.85377,-2.85377,3
4,1,95,-5.55605,-5.55605,-1000,-2.85377,-2.85377,3
1,19,94,0,4.63151,-1000,-2.55553,4.63151,1
1,17,94,2.3003,4.90938,-1000,-2.55553,4.90938,1
1,15,94,4.59489,4.67151,-1000,-2.55553,4.67151,1
1,13,94,1.41314,2.52427,-1000,-2.55553,2.52427,1
1,7,94,5.74264,4.57363,-1000,-2.55553,5.74264,0
1,4,94,6.82619,6.90505,-1000,-2.55553,6.90505,1
1,2,94,6.82619,6.86907,-1000,-2.55553,6.86907,1
