Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.21003,-1.45037,-3.41916,-3.35117,-1.45037,1
1,19,99,-2.29841,-0.572719,-3.41916,-3.35117,-0.572719,1
1,18,99,-1.78158,-0.556914,-3.41916,-3.35117,-0.556914,1
1,17,99,-1.33366,-1.36601,-3.41916,-3.35117,-1.36601,0
1,15,99,-0.772605,-1.45669,-3.41916,-3.35117,-1.45669,0
1,13,99,-1.61564,-0.883044,-3.41916,-3.35117,-0.883044,1
1,12,99,-1.03501,-0.742288,-3.41916,-3.35117,-1.03501,1
1,10,99,-0.655217,0.0487109,-3.41916,-3.35117,-0.655217,1
1,9,99,-0.110492,-0.164437,-3.41916,-3.35117,-0.164437,0
1,7,99,-0.297989,0.528681,-3.41916,-3.35117,0.528681,1
1,4,99,-0.0723471,0.0368777,-3.41916,-3.35117,0.0368777,1
1,3,99,0.169908,-0.00693244,-3.41916,-3.35117,-0.00693244,0
1,2,99,-0.475071,0.107696,-3.41916,-3.35117,0.107696,1
1,1,99,-1.65945,-0.523898,-3.41916,-3.35117,-0.523898,1
1,20,98,-1.99565,-1.51448,-3.41916,-3.12829,-1.51448,1
1,19,98,-1.93314,-0.269481,-3.41916,-3.12829,-0.269481,1
1,18,98,-1.84685,-0.712172,-3.41916,-3.12829,-0.712172,1
1,17,98,-1.07627,-1.29619,-3.41916,-3.12829,-1.29619,0
1,15,98,-0.55526,-1.36376,-3.41916,-3.12829,-1.36376,0
1,13,98,-0.951341,-0.899339,-3.41916,-3.12829,-0.951341,1
1,12,98,-0.714223,-0.365266,-3.41916,-3.12829,-0.365266,1
1,9,98,-0.0546324,-0.150406,-3.41916,-3.12829,-0.150406,0
1,7,98,-0.302325,0.56503,-3.41916,-3.12829,0.56503,1
1,4,98,-0.101015,0.08614,-3.41916,-3.12829,0.08614,1
1,3,98,0.0256728,-0.0232175,-3.41916,-3.12829,-0.0232175,0
1,2,98,-0.461945,0.26119,-3.41916,-3.12829,0.26119,1
1,1,98,-1.65455,-0.480903,-3.41916,-3.12829,-0.480903,1
1,20,97,-1.54995,-1.39707,-3.41916,-2.81209,-1.54995,1
