Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.18263,-1.04155,-3.41916,-3.35117,-1.04155,1
1,19,99,-2.57822,-1.16688,-3.41916,-3.35117,-1.16688,1
1,18,99,-2.52828,-0.388988,-3.41916,-3.35117,-0.388988,1
1,17,99,-1.50706,-1.79996,-3.41916,-3.35117,-1.79996,0
1,15,99,-1.90331,-1.37249,-3.41916,-3.35117,-1.37249,1
1,13,99,-1.65106,-0.733408,-3.41916,-3.35117,-0.733408,1
1,12,99,-0.708479,-0.540577,-3.41916,-3.35117,-0.708479,1
1,10,99,-0.738718,0.105861,-3.41916,-3.35117,0.105861,1
1,9,99,-0.405984,-0.371169,-3.41916,-3.35117,-0.371169,1
1,7,99,0.366948,-0.205316,-3.41916,-3.35117,-0.205316,0
1,4,99,0.0256102,0.373202,-3.41916,-3.35117,0.373202,1
1,3,99,0.167389,0.0178031,-3.41916,-3.35117,0.0178031,0
1,2,99,-0.182735,0.273656,-3.41916,-3.35117,0.273656,1
1,1,99,-0.626145,-0.581909,-3.41916,-3.35117,-0.581909,1
1,20,98,-2.07958,-1.16629,-3.41916,-3.12829,-1.16629,1
1,19,98,-2.1825,-0.752039,-3.41916,-3.12829,-0.752039,1
1,18,98,-2.46753,-0.434487,-3.41916,-3.12829,-0.434487,1
1,17,98,-1.44909,-1.80075,-3.41916,-3.12829,-1.80075,0
1,15,98,-1.55008,-1.14199,-3.41916,-3.12829,-1.14199,1
1,13,98,-1.01447,-0.661841,-3.41916,-3.12829,-1.01447,1
1,12,98,-0.53542,0.0823433,-3.41916,-3.12829,0.0823433,1
1,9,98,-0.417439,-0.347096,-3.41916,-3.12829,-0.347096,1
1,7,98,0.323226,0.105147,-3.41916,-3.12829,0.105147,0
1,4,98,0.0539865,0.565257,-3.41916,-3.12829,0.565257,1
1,3,98,0.0448081,0.209052,-3.41916,-3.12829,0.209052,1
1,2,98,-0.208462,0.473546,-3.41916,-3.12829,0.473546,1
1,1,98,-0.467539,-0.406278,-3.41916,-3.12829,-0.406278,1
1,20,97,-1.91277,-1.17702,-3.41916,-2.81209,-1.91277,1
1,19,97,-1.79171,-0.966024,-3.41916,-2.81209,-0.966024,1
1,18,97,-1.62644,-0.160863,-3.41916,-2.81209,-0.160863,1
1,17,97,-1.47998,-1.87149,-3.41916,-2.81209,-1.87149,0
1,15,97,-0.922671,-1.17338,-3.41916,-2.81209,-1.17338,0
