Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.80358,-1.18526,-3.41916,-3.35117,-1.18526,1
1,19,99,-2.1724,-1.08426,-3.41916,-3.35117,-1.08426,1
1,18,99,-1.65674,-0.918707,-3.41916,-3.35117,-0.918707,1
1,17,99,-1.41477,-2.11277,-3.41916,-3.35117,-2.11277,0
1,15,99,-1.03176,-1.25357,-3.41916,-3.35117,-1.25357,0
1,13,99,-1.35323,-0.814024,-3.41916,-3.35117,-0.814024,1
1,12,99,-0.847004,-0.714277,-3.41916,-3.35117,-0.847004,1
1,10,99,-0.513207,-0.257001,-3.41916,-3.35117,-0.257001,1
1,9,99,0.0340706,-0.337991,-3.41916,-3.35117,-0.337991,0
1,7,99,-0.234154,0.22469,-3.41916,-3.35117,0.22469,1
1,4,99,-0.218728,0.0514341,-3.41916,-3.35117,0.0514341,1
1,3,99,-0.191758,0.0490282,-3.41916,-3.35117,0.0490282,1
1,2,99,-0.231804,-0.0346945,-3.41916,-3.35117,-0.0346945,1
1,1,99,-0.64113,-0.641383,-3.41916,-3.35117,-0.641383,0
1,20,98,-1.48344,-1.15948,-3.41916,-3.12829,-1.15948,1
1,19,98,-1.79033,-0.768286,-3.41916,-3.12829,-0.768286,1
1,18,98,-1.64184,-0.956572,-3.41916,-3.12829,-0.956572,1
1,17,98,-1.20795,-2.06849,-3.41916,-3.12829,-2.06849,0
1,15,98,-0.857318,-1.02501,-3.41916,-3.12829,-1.02501,0
1,13,98,-1.1168,-1.07993,-3.41916,-3.12829,-1.1168,1
1,12,98,-0.672146,-0.479964,-3.41916,-3.12829,-0.479964,1
1,9,98,0.176003,-0.224671,-3.41916,-3.12829,-0.224671,0
1,7,98,-0.202864,0.358723,-3.41916,-3.12829,0.358723,1
1,4,98,-0.191274,0.0936006,-3.41916,-3.12829,0.0936006,1
1,3,98,-0.176297,0.241157,-3.41916,-3.12829,0.241157,1
1,2,98,-0.258496,0.144041,-3.41916,-3.12829,0.144041,1
1,1,98,-0.613049,-0.532499,-3.41916,-3.12829,-0.532499,1
1,20,97,-1.37013,-1.10658,-3.41916,-2.81209,-1.37013,1
1,19,97,-1.218,-0.571988,-3.41916,-2.81209,-0.571988,1
1,18,97,-1.45535,-0.859589,-3.41916,-2.81209,-0.859589,1
1,17,97,-1.32223,-2.09546,-3.41916,-2.81209,-2.09546,0
1,15,97,-0.682548,-0.9976,-3.41916,-2.81209,-0.9976,0
1,13,97,-1.07142,-0.767721,-3.41916,-2.81209,-0.767721,1
1,12,97,-0.785369,-0.404123,-3.41916,-2.81209,-0.404123,1
1,7,97,-0.199323,0.315307,-3.41916,-2.81209,0.315307,1
1,4,97,-0.153023,0.14424,-3.41916,-2.81209,0.14424,1
1,3,97,-0.219563,0.17682,-3.41916,-2.81209,0.17682,1
1,2,97,0.172157,0.0929075,-3.41916,-2.81209,0.0929075,0
1,20,96,-1.27592,-0.944386,-3.41916,-2.99602,-0.944386,1
1,19,96,-1.30784,-0.799862,-3.41916,-2.99602,-0.799862,1
1,18,96,-0.997894,-0.700658,-3.41916,-2.99602,-0.700658,1
1,17,96,-0.830596,-1.76696,-3.41916,-2.99602,-1.76696,0
1,15,96,-0.525865,-0.964801,-3.41916,-2.99602,-0.964801,0
1,13,96,-0.865653,-0.625411,-3.41916,-2.99602,-0.865653,1
1,12,96,-0.612047,-0.380429,-3.41916,-2.99602,-0.380429,1
1,9,96,0.15155,-0.226223,-3.41916,-2.99602,-0.226223,0
1,7,96,-0.0539519,0.379144,-3.41916,-2.99602,0.379144,1
1,4,96,0.0562333,0.289204,-3.41916,-2.99602,0.289204,1
1,3,96,0.00523713,0.147768,-3.41916,-2.99602,0.147768,1
1,2,96,0.291104,-0.040916,-3.41916,-2.99602,-0.040916,0
1,19,95,-1.38358,-0.657017,-3.41916,-2.85377,-0.657017,1
1,17,95,-0.710055,-1.68906,-3.41916,-2.85377,-1.68906,0
1,15,95,-0.571651,-1.00892,-3.41916,-2.85377,-1.00892,0
1,13,95,-0.666147,-0.494464,-3.41916,-2.85377,-0.494464,1
1,7,95,0.0290212,0.426466,-3.41916,-2.85377,0.426466,1
1,4,95,0.0755963,0.27137,-3.41916,-2.85377,0.27137,1
1,2,95,0.222033,0.0653648,-3.41916,-2.85377,0.0653648,0
1,1,95,0.0195271,-0.309529,-3.41916,-2.85377,-0.309529,0
1,19,94,-1.30567,-0.577305,-3.41916,-2.55553,-0.577305,1
1,17,94,-0.849254,-1.61735,-3.41916,-2.55553,-1.61735,0
1,15,94,-0.401836,-0.675721,-3.41916,-2.55553,-0.675721,0
1,13,94,-0.650414,-0.492179,-3.41916,-2.55553,-0.492179,1
1,7,94,-0.0332832,0.464887,-3.41916,-2.55553,0.464887,1
1,4,94,0.0777557,0.323523,-3.41916,-2.55553,0.323523,1
1,2,94,0.281443,0.357149,-3.41916,-2.55553,0.357149,1
1,1,94,-0.0573575,-0.04096,-3.41916,-2.55553,-0.04096,1
1,19,93,-1.37811,-0.573995,-3.41916,-2.51688,-0.573995,1
1,17,93,-0.663184,-1.35139,-3.41916,-2.51688,-1.35139,0
1,15,93,-0.464511,-0.730926,-3.41916,-2.51688,-0.730926,0
1,13,93,-0.715601,-0.575958,-3.41916,-2.51688,-0.575958,1
1,7,93,0.0342817,0.491491,-3.41916,-2.51688,0.491491,1
1,4,93,0.237808,0.363731,-3.41916,-2.51688,0.363731,1
1,2,93,0.394695,0.15595,-3.41916,-2.51688,0.15595,0
1,1,93,0.335966,-0.0459609,-3.41916,-2.51688,-0.0459609,0
1,19,92,-1.36877,-0.555423,-6.43894,-2.39982,-0.555423,1
1,17,92,-0.672541,-1.41927,-6.43894,-2.39982,-1.41927,0
1,15,92,-0.346965,-0.622645,-6.43894,-2.39982,-0.622645,0
1,13,92,-0.547848,-0.324362,-6.43894,-2.39982,-0.324362,1
1,7,92,-0.073223,0.432821,-6.43894,-2.39982,0.432821,1
1,4,92,0.316245,0.443773,-6.43894,-2.39982,0.443773,1
1,2,92,0.504472,0.127764,-6.43894,-2.39982,0.127764,0
1,1,92,0.286024,-0.0593228,-6.43894,-2.39982,-0.0593228,0
1,19,91,-1.19306,-0.595743,-6.29331,-2.45927,-0.595743,1
1,17,91,-0.774562,-1.39449,-6.29331,-2.45927,-1.39449,0
1,15,91,-0.270768,-0.489487,-6.29331,-2.45927,-0.270768,0
1,13,91,-0.485873,-0.249611,-6.29331,-2.45927,-0.249611,1
1,7,91,0.159938,0.611647,-6.29331,-2.45927,0.611647,1
1,4,91,0.084798,0.503052,-6.29331,-2.45927,0.503052,1
1,2,91,0.483868,0.426621,-6.29331,-2.45927,0.426621,0
