Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.26974,-1.10107,-3.41916,-3.35117,-1.10107,1
1,19,99,-2.32502,-0.391098,-3.41916,-3.35117,-0.391098,1
1,18,99,-1.70513,-1.01508,-3.41916,-3.35117,-1.01508,1
1,17,99,-1.36884,-0.558109,-3.41916,-3.35117,-0.558109,1
1,15,99,-0.868391,-1.86337,-3.41916,-3.35117,-1.86337,0
1,13,99,-0.839805,-0.805671,-3.41916,-3.35117,-0.805671,1
1,12,99,-1.0998,-0.846374,-3.41916,-3.35117,-1.0998,1
1,10,99,0.0395211,0.402255,-3.41916,-3.35117,0.402255,1
1,9,99,-0.625519,-0.613087,-3.41916,-3.35117,-0.613087,1
1,7,99,0.0275559,0.229969,-3.41916,-3.35117,0.229969,1
1,4,99,0.193505,0.681562,-3.41916,-3.35117,0.681562,1
1,3,99,0.417276,0.173668,-3.41916,-3.35117,0.173668,0
1,2,99,-0.661104,-0.217578,-3.41916,-3.35117,-0.217578,1
1,1,99,0.421231,0.230475,-3.41916,-3.35117,0.230475,0
1,20,98,-2.11299,-1.08396,-3.41916,-3.12829,-1.08396,1
1,19,98,-2.18723,-0.20736,-3.41916,-3.12829,-0.20736,1
1,18,98,-1.76748,-1.01617,-3.41916,-3.12829,-1.01617,1
1,17,98,-1.1311,-0.438439,-3.41916,-3.12829,-0.438439,1
1,15,98,-0.747081,-1.19088,-3.41916,-3.12829,-1.19088,0
1,13,98,-0.40721,-0.751341,-3.41916,-3.12829,-0.40721,0
1,12,98,-0.808729,-0.539625,-3.41916,-3.12829,-0.539625,1
1,9,98,-0.458095,-0.574151,-3.41916,-3.12829,-0.574151,0
1,7,98,0.010995,0.305336,-3.41916,-3.12829,0.305336,1
1,4,98,0.168761,0.699293,-3.41916,-3.12829,0.699293,1
1,3,98,0.402859,0.290674,-3.41916,-3.12829,0.290674,0
1,2,98,-0.585297,-0.185709,-3.41916,-3.12829,-0.185709,1
1,1,98,0.418755,0.184412,-3.41916,-3.12829,0.184412,0
1,20,97,-1.70924,-0.969656,-3.41916,-2.81209,-1.70924,1
1,19,97,-1.70418,-0.443544,-3.41916,-2.81209,-0.443544,1
1,18,97,-1.37547,-0.886722,-3.41916,-2.81209,-0.886722,1
1,17,97,-1.07565,-0.436876,-3.41916,-2.81209,-0.436876,1
1,15,97,-0.607197,-1.54073,-3.41916,-2.81209,-1.54073,0
1,13,97,-0.284458,-0.735183,-3.41916,-2.81209,-0.735183,0
1,12,97,-0.477491,-0.219751,-3.41916,-2.81209,-0.219751,1
1,7,97,0.053866,0.291509,-3.41916,-2.81209,0.291509,1
1,4,97,0.230204,0.650545,-3.41916,-2.81209,0.650545,1
1,3,97,0.461828,0.252837,-3.41916,-2.81209,0.252837,0
1,2,97,0.388895,-0.0596778,-3.41916,-2.81209,-0.0596778,0
1,20,96,-1.46965,-0.816836,-3.41916,-2.99602,-0.816836,1
1,19,96,-1.62097,-0.239305,-3.41916,-2.99602,-0.239305,1
1,18,96,-1.52064,-1.00045,-3.41916,-2.99602,-1.00045,1
1,17,96,-0.899891,-0.326848,-3.41916,-2.99602,-0.326848,1
1,15,96,-0.358925,-1.46059,-3.41916,-2.99602,-1.46059,0
1,13,96,-0.324569,-0.404584,-3.41916,-2.99602,-0.324569,0
1,12,96,-0.373006,-0.106225,-3.41916,-2.99602,-0.106225,1
1,9,96,-0.357731,-0.45511,-3.41916,-2.99602,-0.45511,0
1,7,96,0.0680091,0.386698,-3.41916,-2.99602,0.386698,1
1,4,96,0.321497,0.81662,-3.41916,-2.99602,0.81662,1
1,3,96,0.52806,0.368783,-3.41916,-2.99602,0.368783,0
1,2,96,0.46223,-0.0270607,-3.41916,-2.99602,-0.0270607,0
1,19,95,-1.61817,-0.0716625,-3.41916,-2.85377,-0.0716625,1
1,17,95,-0.999966,-0.398063,-3.41916,-2.85377,-0.398063,1
1,15,95,-0.566265,-1.58602,-3.41916,-2.85377,-1.58602,0
1,13,95,-0.0263125,-0.367977,-3.41916,-2.85377,-0.367977,0
1,7,95,0.328647,0.449927,-3.41916,-2.85377,0.449927,1
1,4,95,0.313195,0.748151,-3.41916,-2.85377,0.748151,1
1,2,95,0.500167,-0.144368,-3.41916,-2.85377,-0.144368,0
1,1,95,0.749825,0.23194,-3.41916,-2.85377,0.23194,0
1,19,94,-1.31137,-0.0267336,-3.41916,-2.55553,-0.0267336,1
1,17,94,-0.87011,-0.21108,-3.41916,-2.55553,-0.21108,1
1,15,94,-0.437678,-1.31805,-3.41916,-2.55553,-1.31805,0
1,13,94,0.10807,-0.310073,-3.41916,-2.55553,-0.310073,0
1,7,94,0.333127,0.446444,-3.41916,-2.55553,0.446444,1
1,4,94,0.388839,0.853124,-3.41916,-2.55553,0.853124,1
1,2,94,0.602979,0.158052,-3.41916,-2.55553,0.158052,0
1,1,94,0.742455,0.517114,-3.41916,-2.55553,0.517114,0
1,19,93,-1.5012,-0.0414992,-3.41916,-2.51688,-0.0414992,1
1,17,93,-0.728694,-0.280614,-3.41916,-2.51688,-0.280614,1
1,15,93,-0.586338,-1.3461,-3.41916,-2.51688,-1.3461,0
1,13,93,0.065752,-0.606971,-3.41916,-2.51688,-0.606971,0
1,7,93,0.276758,0.504535,-3.41916,-2.51688,0.504535,1
1,4,93,0.450143,0.797564,-3.41916,-2.51688,0.797564,1
1,2,93,0.522776,0.133521,-3.41916,-2.51688,0.133521,0
1,1,93,0.904324,0.413653,-3.41916,-2.51688,0.413653,0
1,19,92,-1.48174,0.11514,-6.43894,-2.39982,0.11514,1
