Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.18301,-1.37843,-3.41916,-3.35117,-1.37843,1
1,19,99,-2.31281,-0.877103,-3.41916,-3.35117,-0.877103,1
1,18,99,-1.91381,-0.139067,-3.41916,-3.35117,-0.139067,1
1,17,99,-1.08514,-1.527,-3.41916,-3.35117,-1.527,0
1,15,99,-0.83753,-1.55472,-3.41916,-3.35117,-1.55472,0
1,13,99,-0.64266,-0.957881,-3.41916,-3.35117,-0.957881,0
1,12,99,-1.22218,-0.874061,-3.41916,-3.35117,-1.22218,1
1,10,99,-0.170211,-0.797452,-3.41916,-3.35117,-0.170211,0
1,9,99,-0.352724,0.668686,-3.41916,-3.35117,0.668686,1
1,7,99,0.240645,-0.185033,-3.41916,-3.35117,-0.185033,0
1,4,99,-0.310325,-0.180343,-3.41916,-3.35117,-0.180343,1
1,3,99,-0.272304,-0.146959,-3.41916,-3.35117,-0.146959,1
1,2,99,-0.51684,0.0559789,-3.41916,-3.35117,0.0559789,1
1,1,99,-0.363383,-0.814781,-3.41916,-3.35117,-0.814781,0
1,20,98,-1.8391,-1.25852,-3.41916,-3.12829,-1.25852,1
1,19,98,-2.06822,-0.470085,-3.41916,-3.12829,-0.470085,1
1,18,98,-1.72143,-0.478739,-3.41916,-3.12829,-0.478739,1
1,17,98,-0.800216,-1.35907,-3.41916,-3.12829,-1.35907,0
1,15,98,-0.820698,-1.32489,-3.41916,-3.12829,-1.32489,0
1,13,98,-0.626443,-0.936111,-3.41916,-3.12829,-0.626443,0
1,12,98,-0.634942,-0.417934,-3.41916,-3.12829,-0.417934,1
1,9,98,-0.155744,0.782272,-3.41916,-3.12829,0.782272,1
1,7,98,0.27875,-0.0890476,-3.41916,-3.12829,-0.0890476,0
1,4,98,-0.256217,-0.0507721,-3.41916,-3.12829,-0.0507721,1
1,3,98,-0.234317,0.00445472,-3.41916,-3.12829,0.00445472,1
1,2,98,-0.448092,0.171445,-3.41916,-3.12829,0.171445,1
1,1,98,0.0768077,-0.408387,-3.41916,-3.12829,-0.408387,0
1,20,97,-1.96374,-1.22971,-3.41916,-2.81209,-1.96374,1
1,19,97,-1.62688,-0.360866,-3.41916,-2.81209,-0.360866,1
1,18,97,-1.5814,0.0684991,-3.41916,-2.81209,0.0684991,1
1,17,97,-0.724241,-1.37503,-3.41916,-2.81209,-1.37503,0
1,15,97,-0.614793,-1.34522,-3.41916,-2.81209,-1.34522,0
1,13,97,-0.432705,-0.864423,-3.41916,-2.81209,-0.864423,0
1,12,97,-0.545385,-0.425363,-3.41916,-2.81209,-0.425363,1
1,7,97,0.308652,-0.0224872,-3.41916,-2.81209,-0.0224872,0
1,4,97,-0.238772,-0.00452064,-3.41916,-2.81209,-0.00452064,1
1,3,97,-0.0722995,0.0680866,-3.41916,-2.81209,0.0680866,1
1,2,97,-0.404511,0.0942368,-3.41916,-2.81209,0.0942368,1
1,20,96,-1.70653,-1.14211,-3.41916,-2.99602,-1.14211,1
1,19,96,-1.68296,-0.446394,-3.41916,-2.99602,-0.446394,1
1,18,96,-1.22656,0.0463462,-3.41916,-2.99602,0.0463462,1
1,17,96,-0.516707,-1.25505,-3.41916,-2.99602,-1.25505,0
1,15,96,-0.398916,-1.22693,-3.41916,-2.99602,-1.22693,0
1,13,96,-0.305629,-0.975631,-3.41916,-2.99602,-0.305629,0
1,12,96,-0.36611,-0.300936,-3.41916,-2.99602,-0.300936,1
1,9,96,0.0190157,0.798887,-3.41916,-2.99602,0.798887,1
1,7,96,0.290032,0.191278,-3.41916,-2.99602,0.191278,0
1,4,96,-0.0213681,0.0906974,-3.41916,-2.99602,0.0906974,1
1,3,96,0.00732366,0.204225,-3.41916,-2.99602,0.204225,1
1,2,96,-0.236505,0.296739,-3.41916,-2.99602,0.296739,1
1,19,95,-1.61297,-0.532887,-3.41916,-2.85377,-0.532887,1
1,17,95,-0.463942,-1.13566,-3.41916,-2.85377,-1.13566,0
1,15,95,-0.634301,-1.33765,-3.41916,-2.85377,-1.33765,0
1,13,95,-0.139359,-0.660211,-3.41916,-2.85377,-0.660211,0
1,7,95,0.395081,0.00052056,-3.41916,-2.85377,0.00052056,0
1,4,95,-0.0666459,0.163082,-3.41916,-2.85377,0.163082,1
1,2,95,-0.169459,0.272082,-3.41916,-2.85377,0.272082,1
1,1,95,-0.210422,-0.445415,-3.41916,-2.85377,-0.445415,0
1,19,94,-1.59082,-0.513519,-3.41916,-2.55553,-0.513519,1
1,17,94,-0.46195,-1.17319,-3.41916,-2.55553,-1.17319,0
1,15,94,-0.344368,-1.07697,-3.41916,-2.55553,-1.07697,0
1,13,94,0.0304375,-0.554305,-3.41916,-2.55553,-0.554305,0
1,7,94,0.494479,0.103987,-3.41916,-2.55553,0.103987,0
1,4,94,0.0180236,0.173085,-3.41916,-2.55553,0.173085,1
1,2,94,-0.00571465,0.249573,-3.41916,-2.55553,0.249573,1
1,1,94,-0.118161,-0.238781,-3.41916,-2.55553,-0.238781,0
1,19,93,-1.60595,-0.526147,-3.41916,-2.51688,-0.526147,1
1,17,93,-0.2945,-0.97626,-3.41916,-2.51688,-0.97626,0
1,15,93,-0.315919,-0.952034,-3.41916,-2.51688,-0.315919,0
1,13,93,-0.0169966,-0.862717,-3.41916,-2.51688,-0.862717,0
1,7,93,0.622825,0.206725,-3.41916,-2.51688,0.206725,0
1,4,93,0.0286342,0.12984,-3.41916,-2.51688,0.12984,1
1,2,93,-0.00011793,0.319369,-3.41916,-2.51688,0.319369,1
1,1,93,0.0455983,-0.276145,-3.41916,-2.51688,-0.276145,0
1,19,92,-1.57614,-0.455162,-6.43894,-2.39982,-0.455162,1
1,17,92,-0.264087,-0.907594,-6.43894,-2.39982,-0.907594,0
1,15,92,-0.317548,-0.952846,-6.43894,-2.39982,-0.952846,0
1,13,92,0.0780792,-0.567181,-6.43894,-2.39982,-0.567181,0
1,7,92,0.639001,0.307526,-6.43894,-2.39982,0.307526,0
1,4,92,0.152483,0.26526,-6.43894,-2.39982,0.26526,1
1,2,92,-0.0217178,0.38518,-6.43894,-2.39982,0.38518,1
1,1,92,0.0443286,-0.223976,-6.43894,-2.39982,-0.223976,0
1,19,91,-1.41054,-0.0822632,-6.29331,-2.45927,-0.0822632,1
1,17,91,-0.406989,-1.0138,-6.29331,-2.45927,-1.0138,0
1,15,91,-0.299601,-0.826227,-6.29331,-2.45927,-0.299601,0
1,13,91,0.122908,-0.0247189,-6.29331,-2.45927,-0.0247189,0
1,7,91,0.801446,0.431159,-6.29331,-2.45927,0.431159,0
1,4,91,0.206438,0.404918,-6.29331,-2.45927,0.404918,1
1,2,91,0.255692,0.623131,-6.29331,-2.45927,0.623131,1
1,1,91,0.340673,-0.0101279,-6.29331,-2.45927,-0.0101279,0
1,19,90,-1.28354,-0.239019,-6.05291,-2.36134,-0.239019,1
1,17,90,-0.492999,-1.04252,-6.05291,-2.36134,-1.04252,0
1,15,90,-0.318068,-0.766093,-6.05291,-2.36134,-0.766093,0
1,13,90,0.0573409,-0.423941,-6.05291,-2.36134,-0.423941,0
1,7,90,0.634418,0.432684,-6.05291,-2.36134,0.432684,0
1,4,90,0.290394,0.484647,-6.05291,-2.36134,0.484647,1
1,2,90,0.173181,0.569328,-6.05291,-2.36134,0.569328,1
1,1,90,0.410894,-0.0156195,-6.05291,-2.36134,-0.0156195,0
1,19,89,-1.49234,-0.415879,-5.75042,-2.39784,-0.415879,1
1,17,89,-0.188475,-0.723559,-5.75042,-2.39784,-0.188475,0
1,15,89,-0.312497,-0.871461,-5.75042,-2.39784,-0.871461,0
1,13,89,0.286832,-0.502628,-5.75042,-2.39784,-0.502628,0
1,7,89,0.820512,0.617584,-5.75042,-2.39784,0.617584,0
1,4,89,0.373024,0.546471,-5.75042,-2.39784,0.546471,1
1,2,89,0.205866,0.688283,-5.75042,-2.39784,0.688283,1
1,1,89,0.0862398,0.178893,-5.75042,-2.39784,0.178893,1
1,19,88,-1.22584,-0.0787658,-5.55605,-2.24038,-1.22584,1
1,17,88,-0.348572,-0.912246,-5.55605,-2.24038,-0.912246,0
1,15,88,-0.442155,-0.832361,-5.55605,-2.24038,-0.832361,0
1,13,88,0.285869,-0.24521,-5.55605,-2.24038,-0.24521,0
1,7,88,0.912266,0.686483,-5.55605,-2.24038,0.686483,0
1,4,88,0.523533,0.627546,-5.55605,-2.24038,0.627546,1
1,2,88,0.386191,0.747356,-5.55605,-2.24038,0.747356,1
1,1,88,0.165491,0.0328485,-5.55605,-2.24038,0.0328485,0
1,19,87,-1.00325,0.0767635,-5.60239,-2.09737,0.0767635,1
1,17,87,-0.920199,-0.730963,-5.60239,-2.09737,-0.730963,1
1,15,87,-0.0377555,-0.433589,-5.60239,-2.09737,-0.433589,0
1,13,87,0.309272,-0.589669,-5.60239,-2.09737,-0.589669,0
1,7,87,1.04924,0.609583,-5.60239,-2.09737,0.609583,0
1,4,87,0.453852,0.655081,-5.60239,-2.09737,0.655081,1
1,2,87,0.439705,0.794428,-5.60239,-2.09737,0.794428,1
1,1,87,0.361402,0.56036,-5.60239,-2.09737,0.56036,1
1,19,86,-1.02407,0.0315695,-5.61978,-2.01828,0.0315695,1
1,17,86,-0.355022,-0.569406,-5.61978,-2.01828,-0.355022,0
1,15,86,-0.18731,-0.685809,-5.61978,-2.01828,-0.685809,0
1,13,86,0.2396,-0.609811,-5.61978,-2.01828,0.2396,0
1,7,86,1.05297,0.732662,-5.61978,-2.01828,0.732662,0
1,4,86,0.61833,0.736937,-5.61978,-2.01828,0.736937,1
1,2,86,0.684694,0.875706,-5.61978,-2.01828,0.875706,1
1,1,86,0.566365,0.229365,-5.61978,-2.01828,0.229365,0
