Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.28914,-0.788982,-3.41916,-3.35117,-0.788982,1
1,19,99,-1.86195,-0.167038,-3.41916,-3.35117,-0.167038,1
1,18,99,-1.68811,-0.0679967,-3.41916,-3.35117,-0.0679967,1
1,17,99,-1.70609,-1.1391,-3.41916,-3.35117,-1.1391,1
1,15,99,-0.415808,-0.652336,-3.41916,-3.35117,-0.652336,0
1,13,99,-0.59541,-0.235972,-3.41916,-3.35117,-0.235972,1
1,12,99,-0.390025,-0.12014,-3.41916,-3.35117,-0.390025,1
1,10,99,-0.356512,-0.430082,-3.41916,-3.35117,-0.430082,0
1,9,99,-0.470472,0.343371,-3.41916,-3.35117,0.343371,1
1,7,99,-0.322111,-0.092708,-3.41916,-3.35117,-0.092708,1
1,4,99,0.131137,0.624552,-3.41916,-3.35117,0.624552,1
1,3,99,0.393909,0.446806,-3.41916,-3.35117,0.446806,1
1,2,99,-0.451783,0.506799,-3.41916,-3.35117,0.506799,1
1,1,99,-0.387609,-0.150041,-3.41916,-3.35117,-0.150041,1
1,20,98,-2.01202,-0.653334,-3.41916,-3.12829,-0.653334,1
1,19,98,-1.84577,-0.231826,-3.41916,-3.12829,-0.231826,1
1,18,98,-1.42859,0.0124213,-3.41916,-3.12829,0.0124213,1
1,17,98,-1.09996,-1.21233,-3.41916,-3.12829,-1.21233,0
1,15,98,-0.37009,-0.769497,-3.41916,-3.12829,-0.769497,0
1,13,98,-0.208327,-0.24638,-3.41916,-3.12829,-0.208327,0
1,12,98,0.21634,0.428753,-3.41916,-3.12829,0.428753,1
1,9,98,-0.175481,0.448898,-3.41916,-3.12829,0.448898,1
1,7,98,-0.227598,0.25914,-3.41916,-3.12829,0.25914,1
1,4,98,0.267802,0.573179,-3.41916,-3.12829,0.573179,1
1,3,98,0.49463,0.472952,-3.41916,-3.12829,0.472952,0
1,2,98,-0.275932,0.46286,-3.41916,-3.12829,0.46286,1
1,1,98,-0.0860182,-0.140924,-3.41916,-3.12829,-0.140924,0
1,20,97,-1.66752,-0.566735,-3.41916,-2.81209,-1.66752,1
1,19,97,-1.48081,-0.15627,-3.41916,-2.81209,-0.15627,1
1,18,97,-1.31787,-0.225367,-3.41916,-2.81209,-0.225367,1
1,17,97,-0.887685,-1.12758,-3.41916,-2.81209,-1.12758,0
1,15,97,-0.192468,-0.423255,-3.41916,-2.81209,-0.423255,0
1,13,97,0.0757327,-0.0365177,-3.41916,-2.81209,-0.0365177,0
1,12,97,0.314478,0.529064,-3.41916,-2.81209,0.529064,1
1,7,97,-0.156031,0.333054,-3.41916,-2.81209,0.333054,1
1,4,97,0.381682,0.572134,-3.41916,-2.81209,0.572134,1
1,3,97,0.680065,0.538702,-3.41916,-2.81209,0.538702,0
1,2,97,0.41915,0.762787,-3.41916,-2.81209,0.762787,1
1,20,96,-1.32472,-0.42532,-3.41916,-2.99602,-0.42532,1
1,19,96,-1.28962,0.0201759,-3.41916,-2.99602,0.0201759,1
1,18,96,-1.06506,0.103042,-3.41916,-2.99602,0.103042,1
1,17,96,-1.07328,-0.966182,-3.41916,-2.99602,-0.966182,1
1,15,96,-0.113775,-0.616208,-3.41916,-2.99602,-0.616208,0
1,13,96,-0.0789797,0.0519528,-3.41916,-2.99602,-0.0789797,1
1,12,96,0.36749,0.708254,-3.41916,-2.99602,0.708254,1
1,9,96,0.0942286,0.703448,-3.41916,-2.99602,0.703448,1
1,7,96,-0.0172398,0.392083,-3.41916,-2.99602,0.392083,1
1,4,96,0.404376,0.719401,-3.41916,-2.99602,0.719401,1
1,3,96,0.756059,0.482435,-3.41916,-2.99602,0.482435,0
1,2,96,0.410606,0.87802,-3.41916,-2.99602,0.87802,1
1,19,95,-1.12806,0.211525,-3.41916,-2.85377,0.211525,1
1,17,95,-0.831715,-0.958764,-3.41916,-2.85377,-0.958764,0
1,15,95,-0.0468479,-0.666203,-3.41916,-2.85377,-0.666203,0
1,13,95,0.233206,0.135646,-3.41916,-2.85377,0.135646,0
1,7,95,0.229488,0.486134,-3.41916,-2.85377,0.486134,1
1,4,95,0.639007,0.58317,-3.41916,-2.85377,0.58317,0
1,2,95,0.431334,0.886401,-3.41916,-2.85377,0.886401,1
1,1,95,0.334791,0.167581,-3.41916,-2.85377,0.167581,0
1,19,94,-0.939842,0.231612,-3.41916,-2.55553,0.231612,1
1,17,94,-1.00073,-0.907803,-3.41916,-2.55553,-0.907803,1
1,15,94,-0.359454,-0.443461,-3.41916,-2.55553,-0.443461,0
1,13,94,0.0772574,0.113579,-3.41916,-2.55553,0.113579,1
1,7,94,0.458719,0.584662,-3.41916,-2.55553,0.584662,1
1,4,94,0.736084,0.821984,-3.41916,-2.55553,0.821984,1
1,2,94,0.602176,1.06703,-3.41916,-2.55553,1.06703,1
1,1,94,0.325282,0.243175,-3.41916,-2.55553,0.243175,0
1,19,93,-1.15782,0.184473,-3.41916,-2.51688,0.184473,1
1,17,93,-0.721613,-0.697736,-3.41916,-2.51688,-0.697736,1
1,15,93,-0.141289,-0.444905,-3.41916,-2.51688,-0.444905,0
1,13,93,0.272799,0.0232512,-3.41916,-2.51688,0.0232512,0
1,7,93,0.508142,0.701957,-3.41916,-2.51688,0.701957,1
1,4,93,0.828961,0.85244,-3.41916,-2.51688,0.85244,1
1,2,93,0.600777,1.02222,-3.41916,-2.51688,1.02222,1
1,1,93,0.407996,0.329345,-3.41916,-2.51688,0.329345,0
1,19,92,-1.01425,0.397608,-6.43894,-2.39982,0.397608,1
1,17,92,-0.461734,-0.723602,-6.43894,-2.39982,-0.723602,0
1,15,92,-0.038602,-0.242243,-6.43894,-2.39982,-0.242243,0
1,13,92,0.28924,0.0743333,-6.43894,-2.39982,0.0743333,0
1,7,92,0.507712,0.76673,-6.43894,-2.39982,0.76673,1
1,4,92,0.934948,1.05995,-6.43894,-2.39982,1.05995,1
1,2,92,0.688382,1.30092,-6.43894,-2.39982,1.30092,1
1,1,92,0.337865,0.533548,-6.43894,-2.39982,0.533548,1
1,19,91,-1.22968,-0.0991094,-6.29331,-2.45927,-0.0991094,1
1,17,91,-0.927138,-0.893888,-6.29331,-2.45927,-0.893888,1
1,15,91,0.0959751,-0.0714333,-6.29331,-2.45927,0.0959751,0
1,13,91,0.451157,0.237519,-6.29331,-2.45927,0.237519,0
1,7,91,0.77697,0.825356,-6.29331,-2.45927,0.825356,1
1,4,91,0.986625,1.18751,-6.29331,-2.45927,1.18751,1
1,2,91,0.673589,1.08118,-6.29331,-2.45927,1.08118,1
1,1,91,0.394616,0.491373,-6.29331,-2.45927,0.491373,1
1,19,90,-1.43465,-0.453359,-6.05291,-2.36134,-0.453359,1
1,17,90,-0.752425,-0.951739,-6.05291,-2.36134,-0.951739,0
1,15,90,0.45179,-0.0931994,-6.05291,-2.36134,-0.0931994,0
1,13,90,0.538057,0.33899,-6.05291,-2.36134,0.33899,0
1,7,90,0.604242,0.965075,-6.05291,-2.36134,0.965075,1
1,4,90,1.21935,1.19218,-6.05291,-2.36134,1.19218,0
1,2,90,0.991296,1.19359,-6.05291,-2.36134,1.19359,1
1,1,90,0.176939,0.678586,-6.05291,-2.36134,0.678586,1
1,19,89,-1.28705,-0.109654,-5.75042,-2.39784,-0.109654,1
1,17,89,-0.654324,-0.925343,-5.75042,-2.39784,-0.654324,0
1,15,89,0.33562,-0.29099,-5.75042,-2.39784,-0.29099,0
1,13,89,0.767122,0.483985,-5.75042,-2.39784,0.483985,0
1,7,89,0.995329,1.09782,-5.75042,-2.39784,1.09782,1
1,4,89,1.1028,1.37993,-5.75042,-2.39784,1.37993,1
1,2,89,0.967884,1.44787,-5.75042,-2.39784,1.44787,1
