Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.46751,-1.37501,-3.41916,-3.35117,-1.37501,1
1,19,99,-2.00725,-0.975776,-3.41916,-3.35117,-0.975776,1
1,18,99,-2.01787,-0.769827,-3.41916,-3.35117,-0.769827,1
1,17,99,-2.42175,-1.33864,-3.41916,-3.35117,-1.33864,1
1,15,99,-0.926948,-1.34186,-3.41916,-3.35117,-1.34186,0
1,13,99,-1.04868,-0.841518,-3.41916,-3.35117,-0.841518,1
1,12,99,-0.221807,-0.573435,-3.41916,-3.35117,-0.221807,0
1,10,99,-0.116951,1.28829,-3.41916,-3.35117,1.28829,1
1,9,99,-0.0866804,0.374817,-3.41916,-3.35117,0.374817,1
1,7,99,0.274818,0.0323047,-3.41916,-3.35117,0.0323047,0
1,4,99,0.101748,0.630324,-3.41916,-3.35117,0.630324,1
1,3,99,0.259876,0.460326,-3.41916,-3.35117,0.460326,1
1,2,99,-0.296872,1.00595,-3.41916,-3.35117,1.00595,1
1,1,99,-0.720642,-0.624903,-3.41916,-3.35117,-0.624903,1
1,20,98,-1.3105,-1.37261,-3.41916,-3.12829,-1.37261,0
1,19,98,-1.48694,-0.604675,-3.41916,-3.12829,-0.604675,1
1,18,98,-2.03683,-0.730149,-3.41916,-3.12829,-0.730149,1
1,17,98,-2.1988,-1.18653,-3.41916,-3.12829,-1.18653,1
1,15,98,-0.892678,-1.26296,-3.41916,-3.12829,-1.26296,0
1,13,98,-0.735615,-0.688303,-3.41916,-3.12829,-0.735615,1
1,12,98,-0.304175,-0.965247,-3.41916,-3.12829,-0.965247,0
1,9,98,-0.113106,-0.0524992,-3.41916,-3.12829,-0.0524992,1
1,7,98,0.207599,0.0597367,-3.41916,-3.12829,0.0597367,0
1,4,98,0.337723,0.674513,-3.41916,-3.12829,0.674513,1
1,3,98,0.503654,0.695856,-3.41916,-3.12829,0.695856,1
1,2,98,0.120766,1.09901,-3.41916,-3.12829,1.09901,1
1,1,98,-0.693162,-0.432071,-3.41916,-3.12829,-0.432071,1
1,20,97,-1.18249,-1.28486,-3.41916,-2.81209,-1.18249,0
1,19,97,-1.43632,-0.624938,-3.41916,-2.81209,-0.624938,1
1,18,97,-1.59449,-0.587484,-3.41916,-2.81209,-0.587484,1
1,17,97,-2.03236,-1.21801,-3.41916,-2.81209,-1.21801,1
1,15,97,-0.624466,-1.11709,-3.41916,-2.81209,-1.11709,0
1,13,97,-0.550475,-0.747627,-3.41916,-2.81209,-0.747627,0
