Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.48597,-1.5616,-3.41916,-3.35117,-1.5616,1
1,19,99,-2.43754,-1.2326,-3.41916,-3.35117,-1.2326,1
1,18,99,-2.38944,-0.90243,-3.41916,-3.35117,-0.90243,1
1,17,99,-1.6353,-1.87557,-3.41916,-3.35117,-1.87557,0
1,15,99,-1.23756,-1.53338,-3.41916,-3.35117,-1.53338,0
1,13,99,-1.16682,-1.70125,-3.41916,-3.35117,-1.70125,0
1,12,99,-1.35109,-1.28659,-3.41916,-3.35117,-1.35109,1
1,10,99,-0.805205,-0.101695,-3.41916,-3.35117,-0.101695,1
1,9,99,-0.843645,-0.556657,-3.41916,-3.35117,-0.556657,1
1,7,99,-0.882369,-0.37493,-3.41916,-3.35117,-0.37493,1
1,4,99,-0.562156,-0.0871683,-3.41916,-3.35117,-0.0871683,1
1,3,99,-0.0973164,-0.0844101,-3.41916,-3.35117,-0.0844101,1
1,2,99,-0.823567,-0.266788,-3.41916,-3.35117,-0.266788,1
1,1,99,-0.848737,-1.23391,-3.41916,-3.35117,-1.23391,0
1,20,98,-2.25624,-1.46915,-3.41916,-3.12829,-1.46915,1
1,19,98,-2.08741,-0.920871,-3.41916,-3.12829,-0.920871,1
1,18,98,-2.30675,-0.895751,-3.41916,-3.12829,-0.895751,1
1,17,98,-1.47331,-1.75986,-3.41916,-3.12829,-1.75986,0
1,15,98,-1.42944,-1.47046,-3.41916,-3.12829,-1.47046,0
1,13,98,-0.983926,-1.76955,-3.41916,-3.12829,-0.983926,0
1,12,98,-1.14894,-0.912169,-3.41916,-3.12829,-0.912169,1
1,9,98,-0.767079,-0.513743,-3.41916,-3.12829,-0.513743,1
1,7,98,-0.688415,-0.366058,-3.41916,-3.12829,-0.366058,1
1,4,98,-0.325482,-0.154273,-3.41916,-3.12829,-0.154273,1
1,3,98,0.142464,-0.169953,-3.41916,-3.12829,-0.169953,0
1,2,98,-0.686502,-0.155611,-3.41916,-3.12829,-0.155611,1
1,1,98,-0.642292,-1.15391,-3.41916,-3.12829,-1.15391,0
1,20,97,-1.94642,-1.3877,-3.41916,-2.81209,-1.94642,1
1,19,97,-1.88124,-1.00522,-3.41916,-2.81209,-1.00522,1
1,18,97,-1.92576,-0.827834,-3.41916,-2.81209,-0.827834,1
1,17,97,-1.38589,-1.74091,-3.41916,-2.81209,-1.74091,0
