Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.40747,-1.15684,-3.41916,-3.35117,-1.15684,1
1,19,99,-2.68009,-1.09624,-3.41916,-3.35117,-1.09624,1
1,18,99,-1.9688,-0.165162,-3.41916,-3.35117,-0.165162,1
1,17,99,-1.48421,-1.0073,-3.41916,-3.35117,-1.0073,1
1,15,99,-0.931225,-1.1118,-3.41916,-3.35117,-1.1118,0
1,13,99,-0.517338,-0.659244,-3.41916,-3.35117,-0.659244,0
1,12,99,-0.994175,-0.599161,-3.41916,-3.35117,-0.994175,1
1,10,99,-0.239285,0.505324,-3.41916,-3.35117,-0.239285,1
1,9,99,-0.221581,-0.194793,-3.41916,-3.35117,-0.194793,1
1,7,99,0.238491,0.50605,-3.41916,-3.35117,0.50605,1
1,4,99,0.13231,0.422735,-3.41916,-3.35117,0.422735,1
1,3,99,0.470508,0.269975,-3.41916,-3.35117,0.269975,0
1,2,99,-0.0543506,0.405481,-3.41916,-3.35117,0.405481,1
1,1,99,-0.997213,-0.251055,-3.41916,-3.35117,-0.251055,1
1,20,98,-2.18417,-1.05257,-3.41916,-3.12829,-1.05257,1
1,19,98,-2.02643,-0.952428,-3.41916,-3.12829,-0.952428,1
1,18,98,-1.9113,-0.262036,-3.41916,-3.12829,-0.262036,1
1,17,98,-1.20761,-0.878087,-3.41916,-3.12829,-0.878087,1
1,15,98,-1.14466,-1.00942,-3.41916,-3.12829,-1.00942,1
1,13,98,-0.363014,-0.715182,-3.41916,-3.12829,-0.363014,0
1,12,98,-0.590813,0.0357081,-3.41916,-3.12829,0.0357081,1
1,9,98,0.0490848,-0.0517708,-3.41916,-3.12829,-0.0517708,0
1,7,98,0.332841,0.612248,-3.41916,-3.12829,0.612248,1
1,4,98,0.0828667,0.472425,-3.41916,-3.12829,0.472425,1
1,3,98,0.556693,0.428792,-3.41916,-3.12829,0.428792,0
1,2,98,0.0964304,0.560195,-3.41916,-3.12829,0.560195,1
1,1,98,-0.862269,-0.116351,-3.41916,-3.12829,-0.116351,1
1,20,97,-1.73748,-0.978696,-3.41916,-2.81209,-1.73748,1
1,19,97,-1.76116,-0.908401,-3.41916,-2.81209,-0.908401,1
1,18,97,-1.6131,-0.0985769,-3.41916,-2.81209,-0.0985769,1
1,17,97,-1.21022,-0.870411,-3.41916,-2.81209,-0.870411,1
1,15,97,-0.706871,-0.828992,-3.41916,-2.81209,-0.828992,0
1,13,97,-0.26095,-0.495235,-3.41916,-2.81209,-0.495235,0
1,12,97,-0.463497,0.18509,-3.41916,-2.81209,0.18509,1
1,7,97,0.368497,0.565718,-3.41916,-2.81209,0.565718,1
1,4,97,0.280014,0.478604,-3.41916,-2.81209,0.478604,1
1,3,97,0.509714,0.358553,-3.41916,-2.81209,0.358553,0
