Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.40922,-1.48662,-3.41916,-3.35117,-1.48662,1
1,19,99,-2.12402,-0.804269,-3.41916,-3.35117,-0.804269,1
1,18,99,-2.23148,-0.925305,-3.41916,-3.35117,-0.925305,1
1,17,99,-2.16135,-0.912355,-3.41916,-3.35117,-0.912355,1
1,15,99,-1.40217,-1.42585,-3.41916,-3.35117,-1.42585,0
1,13,99,-1.11307,-1.67375,-3.41916,-3.35117,-1.67375,0
1,12,99,-1.27803,-0.830609,-3.41916,-3.35117,-1.27803,1
1,10,99,-0.411398,-1.07289,-3.41916,-3.35117,-1.07289,0
1,9,99,-0.806534,-0.461933,-3.41916,-3.35117,-0.461933,1
1,7,99,-0.640019,-0.32495,-3.41916,-3.35117,-0.32495,1
1,4,99,-0.474591,-0.0891217,-3.41916,-3.35117,-0.0891217,1
1,3,99,-0.112418,-0.219583,-3.41916,-3.35117,-0.219583,0
1,2,99,-0.566687,-0.436976,-3.41916,-3.35117,-0.436976,1
1,1,99,-0.326473,-1.1255,-3.41916,-3.35117,-1.1255,0
1,20,98,-2.16235,-1.41465,-3.41916,-3.12829,-1.41465,1
1,19,98,-1.75401,-0.603428,-3.41916,-3.12829,-0.603428,1
1,18,98,-2.03926,-1.04054,-3.41916,-3.12829,-1.04054,1
1,17,98,-1.9748,-0.895308,-3.41916,-3.12829,-0.895308,1
1,15,98,-1.49279,-1.40519,-3.41916,-3.12829,-1.40519,1
1,13,98,-0.723807,-1.623,-3.41916,-3.12829,-0.723807,0
1,12,98,-0.949968,-0.496898,-3.41916,-3.12829,-0.496898,1
1,9,98,-0.822825,-0.42507,-3.41916,-3.12829,-0.42507,1
1,7,98,-0.536008,-0.3205,-3.41916,-3.12829,-0.3205,1
1,4,98,-0.440577,-0.0951439,-3.41916,-3.12829,-0.0951439,1
1,3,98,-0.13225,-0.199794,-3.41916,-3.12829,-0.199794,0
1,2,98,-0.562742,-0.385991,-3.41916,-3.12829,-0.385991,1
1,1,98,-0.117445,-0.958015,-3.41916,-3.12829,-0.958015,0
1,20,97,-1.86008,-1.34019,-3.41916,-2.81209,-1.86008,1
1,19,97,-1.8269,-0.567865,-3.41916,-2.81209,-0.567865,1
1,18,97,-1.65924,-0.733749,-3.41916,-2.81209,-0.733749,1
1,17,97,-1.86945,-0.912167,-3.41916,-2.81209,-0.912167,1
1,15,97,-1.11724,-1.27388,-3.41916,-2.81209,-1.27388,0
1,13,97,-0.668307,-1.61854,-3.41916,-2.81209,-1.61854,0
1,12,97,-0.907755,-0.520821,-3.41916,-2.81209,-0.520821,1
1,7,97,-0.504979,-0.270219,-3.41916,-2.81209,-0.270219,1
1,4,97,-0.377518,0.0123918,-3.41916,-2.81209,0.0123918,1
1,3,97,-0.0158669,-0.203844,-3.41916,-2.81209,-0.203844,0
1,2,97,-0.271794,-0.289056,-3.41916,-2.81209,-0.289056,0
1,20,96,-1.54328,-1.15799,-3.41916,-2.99602,-1.15799,1
1,19,96,-1.43399,-0.535655,-3.41916,-2.99602,-0.535655,1
1,18,96,-1.70192,-0.744357,-3.41916,-2.99602,-0.744357,1
1,17,96,-1.52122,-0.807243,-3.41916,-2.99602,-0.807243,1
1,15,96,-0.97151,-1.20144,-3.41916,-2.99602,-1.20144,0
1,13,96,-0.6509,-1.63338,-3.41916,-2.99602,-0.6509,0
1,12,96,-0.7783,-0.653793,-3.41916,-2.99602,-0.653793,1
1,9,96,-0.626765,-0.395547,-3.41916,-2.99602,-0.395547,1
1,7,96,-0.512914,-0.286928,-3.41916,-2.99602,-0.286928,1
1,4,96,-0.26409,-0.0333938,-3.41916,-2.99602,-0.0333938,1
1,3,96,-0.0399509,-0.114573,-3.41916,-2.99602,-0.114573,0
1,2,96,-0.231737,-0.182846,-3.41916,-2.99602,-0.182846,1
1,19,95,-1.3666,-0.334617,-3.41916,-2.85377,-0.334617,1
1,17,95,-1.51367,-0.740613,-3.41916,-2.85377,-0.740613,1
1,15,95,-1.09377,-1.29354,-3.41916,-2.85377,-1.29354,0
1,13,95,-0.363116,-1.52212,-3.41916,-2.85377,-1.52212,0
1,7,95,-0.510824,-0.366654,-3.41916,-2.85377,-0.366654,1
1,4,95,-0.206735,0.129055,-3.41916,-2.85377,0.129055,1
1,2,95,-0.16951,-0.183984,-3.41916,-2.85377,-0.183984,0
1,1,95,-0.032591,-0.753996,-3.41916,-2.85377,-0.753996,0
1,19,94,-1.39495,-0.329297,-3.41916,-2.55553,-0.329297,1
1,17,94,-1.46605,-0.612425,-3.41916,-2.55553,-0.612425,1
1,15,94,-0.784729,-1.0364,-3.41916,-2.55553,-1.0364,0
1,13,94,-0.287995,-1.43009,-3.41916,-2.55553,-1.43009,0
1,7,94,-0.335683,-0.210602,-3.41916,-2.55553,-0.210602,1
1,4,94,-0.262633,0.167045,-3.41916,-2.55553,0.167045,1
1,2,94,-0.205896,-0.0998591,-3.41916,-2.55553,-0.0998591,1
1,1,94,0.0264046,-0.6159,-3.41916,-2.55553,-0.6159,0
1,19,93,-1.31935,-0.460706,-3.41916,-2.51688,-0.460706,1
1,17,93,-1.20204,-0.504447,-3.41916,-2.51688,-0.504447,1
1,15,93,-0.815864,-1.0472,-3.41916,-2.51688,-1.0472,0
1,13,93,-0.279812,-1.63491,-3.41916,-2.51688,-1.63491,0
1,7,93,-0.41305,-0.165799,-3.41916,-2.51688,-0.165799,1
1,4,93,-0.154882,0.177097,-3.41916,-2.51688,0.177097,1
1,2,93,-0.0169279,0.00863543,-3.41916,-2.51688,0.00863543,1
1,1,93,-0.102567,-0.65305,-3.41916,-2.51688,-0.65305,0
1,19,92,-1.34809,-0.487303,-6.43894,-2.39982,-0.487303,1
1,17,92,-1.1733,-0.526185,-6.43894,-2.39982,-0.526185,1
1,15,92,-0.744205,-0.835015,-6.43894,-2.39982,-0.835015,0
1,13,92,-0.141526,-1.33935,-6.43894,-2.39982,-1.33935,0
1,7,92,-0.285834,-0.0584607,-6.43894,-2.39982,-0.0584607,1
1,4,92,-0.0523777,0.302343,-6.43894,-2.39982,0.302343,1
1,2,92,-0.0877525,0.00715831,-6.43894,-2.39982,0.00715831,1
1,1,92,0.217145,-0.506132,-6.43894,-2.39982,-0.506132,0
1,19,91,-1.09308,-0.316815,-6.29331,-2.45927,-0.316815,1
1,17,91,-1.11891,-0.556786,-6.29331,-2.45927,-0.556786,1
1,15,91,-0.532732,-0.702603,-6.29331,-2.45927,-0.532732,0
1,13,91,-0.0247844,-1.22206,-6.29331,-2.45927,-1.22206,0
1,7,91,-0.234833,0.172396,-6.29331,-2.45927,0.172396,1
1,4,91,-0.0892563,0.137752,-6.29331,-2.45927,0.137752,1
1,2,91,0.0967594,0.0126001,-6.29331,-2.45927,0.0126001,0
1,1,91,0.0174397,-0.588955,-6.29331,-2.45927,-0.588955,0
1,19,90,-1.27173,-0.449561,-6.05291,-2.36134,-0.449561,1
1,17,90,-1.14266,-0.748393,-6.05291,-2.36134,-0.748393,1
1,15,90,-0.538763,-0.752801,-6.05291,-2.36134,-0.752801,0
1,13,90,-0.061772,-1.15334,-6.05291,-2.36134,-1.15334,0
1,7,90,-0.181304,0.244603,-6.05291,-2.36134,0.244603,1
1,4,90,-0.0512335,0.402072,-6.05291,-2.36134,0.402072,1
1,2,90,0.148354,0.179956,-6.05291,-2.36134,0.179956,1
1,1,90,0.369115,-0.42357,-6.05291,-2.36134,-0.42357,0
1,19,89,-1.49564,-0.751813,-5.75042,-2.39784,-0.751813,1
1,17,89,-0.984431,-0.420702,-5.75042,-2.39784,-0.984431,1
1,15,89,-0.623892,-0.685511,-5.75042,-2.39784,-0.685511,0
1,13,89,0.0746473,-1.07995,-5.75042,-2.39784,-1.07995,0
1,7,89,-0.22798,0.26735,-5.75042,-2.39784,0.26735,1
1,4,89,0.0712255,0.254166,-5.75042,-2.39784,0.254166,1
1,2,89,0.141869,0.175292,-5.75042,-2.39784,0.175292,1
1,1,89,0.450034,-0.205579,-5.75042,-2.39784,-0.205579,0
1,19,88,-1.13276,-0.336001,-5.55605,-2.24038,-1.13276,1
1,17,88,-1.10571,-0.526757,-5.55605,-2.24038,-0.526757,1
1,15,88,-0.825326,-0.796328,-5.55605,-2.24038,-0.796328,1
1,13,88,0.0501868,-1.05188,-5.55605,-2.24038,-1.05188,0
1,7,88,-0.0397105,0.416729,-5.55605,-2.24038,0.416729,1
1,4,88,0.337936,0.484571,-5.55605,-2.24038,0.484571,1
1,2,88,0.172317,0.12335,-5.55605,-2.24038,0.12335,0
1,1,88,0.47658,-0.345376,-5.55605,-2.24038,-0.345376,0
1,19,87,-1.00341,-0.128228,-5.60239,-2.09737,-0.128228,1
1,17,87,-1.17835,-0.788391,-5.60239,-2.09737,-0.788391,1
1,15,87,-0.69542,-0.39822,-5.60239,-2.09737,-0.39822,1
1,13,87,0.0065163,-0.677174,-5.60239,-2.09737,-0.677174,0
1,7,87,-0.0815972,0.424312,-5.60239,-2.09737,0.424312,1
1,4,87,0.349802,0.473933,-5.60239,-2.09737,0.473933,1
1,2,87,0.176968,0.346697,-5.60239,-2.09737,0.346697,1
1,1,87,0.462473,-0.302494,-5.60239,-2.09737,-0.302494,0
1,19,86,-0.981856,-0.244944,-5.61978,-2.01828,-0.244944,1
1,17,86,-0.890202,-0.459559,-5.61978,-2.01828,-0.890202,1
1,15,86,-0.834444,-0.525252,-5.61978,-2.01828,-0.525252,1
1,13,86,-0.172137,-0.724211,-5.61978,-2.01828,-0.172137,0
1,7,86,0.0119377,0.467381,-5.61978,-2.01828,0.467381,1
1,4,86,0.399144,0.538604,-5.61978,-2.01828,0.538604,1
1,2,86,0.410511,0.0115093,-5.61978,-2.01828,0.0115093,0
1,1,86,0.56823,-0.241857,-5.61978,-2.01828,-0.241857,0
1,19,85,-0.256049,-0.155425,-5.14185,-2.10808,-0.155425,1
1,17,85,-0.693171,-0.408011,-5.14185,-2.10808,-0.408011,1
1,15,85,-0.797625,-1.23865,-5.14185,-2.10808,-1.23865,0
1,13,85,-0.489594,0.400798,-5.14185,-2.10808,0.400798,1
1,7,85,0.25327,-0.52974,-5.14185,-2.10808,-0.52974,0
1,4,85,0.658694,0.645524,-5.14185,-2.10808,0.645524,0
1,2,85,0.467097,0.663636,-5.14185,-2.10808,0.663636,1
1,1,85,0.292719,0.749724,-5.14185,-2.10808,0.749724,1
1,19,84,-0.414289,-0.344474,-5.35927,-2.00544,-0.344474,1
1,17,84,-0.778233,-0.515595,-5.35927,-2.00544,-0.515595,1
1,15,84,-0.633358,-0.61623,-5.35927,-2.00544,-0.61623,1
1,13,84,-0.545797,0.286154,-5.35927,-2.00544,0.286154,1
1,7,84,0.394255,-0.382912,-5.35927,-2.00544,-0.382912,0
1,4,84,0.717223,0.720928,-5.35927,-2.00544,0.720928,1
1,2,84,0.576322,0.7766,-5.35927,-2.00544,0.7766,1
1,1,84,0.448485,0.716212,-5.35927,-2.00544,0.716212,1
1,19,83,-0.0345857,0.0234161,-5.22327,-1.89942,-0.0345857,1
1,17,83,-0.652766,-0.325755,-5.22327,-1.89942,-0.325755,1
1,15,83,-0.393157,-0.408532,-5.22327,-1.89942,-0.408532,0
1,13,83,-0.716491,0.0949042,-5.22327,-1.89942,0.0949042,1
1,7,83,0.569062,-0.272422,-5.22327,-1.89942,-0.272422,0
1,4,83,0.797823,0.821042,-5.22327,-1.89942,0.821042,1
1,2,83,0.629057,0.880083,-5.22327,-1.89942,0.880083,1
1,1,83,0.526738,0.747592,-5.22327,-1.89942,0.747592,1
1,19,82,-0.108814,-0.0124715,-5.04662,-1.89873,-0.0124715,1
1,17,82,-0.769854,-0.468611,-5.04662,-1.89873,-0.769854,1
1,15,82,-0.458756,-0.550342,-5.04662,-1.89873,-0.550342,0
1,13,82,-0.482333,0.305138,-5.04662,-1.89873,0.305138,1
1,9,82,0.27775,0.111332,-5.04662,-1.89873,0.111332,0
1,7,82,0.526959,-0.318656,-5.04662,-1.89873,-0.318656,0
1,4,82,0.741487,0.678513,-5.04662,-1.89873,0.678513,0
1,2,82,0.747606,0.938267,-5.04662,-1.89873,0.938267,1
1,1,82,0.67999,0.901352,-5.04662,-1.89873,0.901352,1
1,19,81,-0.244043,-0.0646922,-4.70389,-1.77463,-0.0646922,1
1,17,81,-0.422705,-0.159111,-4.70389,-1.77463,-0.159111,1
1,15,81,-0.341015,-0.351235,-4.70389,-1.77463,-0.351235,0
1,13,81,-0.21168,0.556047,-4.70389,-1.77463,0.556047,1
1,7,81,0.58843,-0.235642,-4.70389,-1.77463,-0.235642,0
1,4,81,0.923304,0.89412,-4.70389,-1.77463,0.89412,0
1,2,81,0.822486,0.957913,-4.70389,-1.77463,0.957913,1
1,1,81,0.786085,0.762167,-4.70389,-1.77463,0.762167,0
1,19,80,-0.00148628,0.0433984,-4.82344,-1.66435,0.0433984,1
1,17,80,-0.47359,-0.208921,-4.82344,-1.66435,-0.208921,1
1,15,80,-0.427074,-0.617261,-4.82344,-1.66435,-0.617261,0
1,13,80,-0.352951,0.480537,-4.82344,-1.66435,0.480537,1
1,7,80,0.443179,-0.311791,-4.82344,-1.66435,-0.311791,0
1,4,80,1.07761,1.0117,-4.82344,-1.66435,1.0117,0
1,2,80,0.892332,1.03912,-4.82344,-1.66435,1.03912,1
1,1,80,0.847558,0.837898,-4.82344,-1.66435,0.837898,0
1,19,79,0.00924704,-0.101131,-4.30456,-1.7295,-0.101131,0
1,17,79,-0.510408,-0.294281,-4.30456,-1.7295,-0.294281,1
1,15,79,-0.118586,-0.11252,-4.30456,-1.7295,-0.11252,1
1,13,79,-0.109657,0.622611,-4.30456,-1.7295,0.622611,1
1,9,79,0.091418,0.0510762,-4.30456,-1.7295,0.0510762,0
1,7,79,0.647745,-0.197862,-4.30456,-1.7295,-0.197862,0
1,4,79,1.05184,0.975326,-4.30456,-1.7295,0.975326,0
1,2,79,0.945819,1.0108,-4.30456,-1.7295,1.0108,1
1,1,79,0.938389,0.87948,-4.30456,-1.7295,0.87948,0
1,19,78,-0.242571,-0.423912,-4.65291,-1.66623,-0.423912,0
1,17,78,-0.314198,-0.130426,-4.65291,-1.66623,-0.130426,1
1,15,78,-0.220019,-0.132758,-4.65291,-1.66623,-0.132758,1
1,13,78,-0.253589,0.561002,-4.65291,-1.66623,0.561002,1
1,9,78,0.27844,0.253791,-4.65291,-1.66623,0.253791,0
1,7,78,0.543422,-0.25517,-4.65291,-1.66623,-0.25517,0
1,4,78,1.07887,0.974396,-4.65291,-1.66623,0.974396,0
1,2,78,1.07151,1.14397,-4.65291,-1.66623,1.14397,1
1,1,78,0.993027,1.03648,-4.65291,-1.66623,1.03648,1
1,19,77,-0.0797277,-0.248399,-4.67517,-1.58996,-0.248399,0
1,17,77,-0.188711,-0.0926261,-4.67517,-1.58996,-0.0926261,1
1,15,77,-0.25998,-0.270751,-4.67517,-1.58996,-0.270751,0
1,13,77,0.0468539,0.871989,-4.67517,-1.58996,0.871989,1
