Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.86322,-1.33831,-3.41916,-3.35117,-1.33831,1
1,19,99,-2.53191,-0.729249,-3.41916,-3.35117,-0.729249,1
1,18,99,-2.31539,-0.550459,-3.41916,-3.35117,-0.550459,1
1,17,99,-1.49906,-0.565796,-3.41916,-3.35117,-0.565796,1
1,15,99,-1.03348,-1.67426,-3.41916,-3.35117,-1.67426,0
1,13,99,-1.29645,-0.547219,-3.41916,-3.35117,-0.547219,1
1,12,99,0.376654,-0.475785,-3.41916,-3.35117,0.376654,0
1,10,99,-0.0950276,0.713376,-3.41916,-3.35117,0.713376,1
1,9,99,-0.352411,0.193773,-3.41916,-3.35117,0.193773,1
1,7,99,0.292543,0.616909,-3.41916,-3.35117,0.616909,1
1,4,99,0.318582,0.872789,-3.41916,-3.35117,0.872789,1
1,3,99,0.515193,0.721506,-3.41916,-3.35117,0.721506,1
1,2,99,-0.0682125,0.759156,-3.41916,-3.35117,0.759156,1
1,1,99,-2.42389,0.511637,-3.41916,-3.35117,0.511637,1
1,20,98,-2.69981,-1.21054,-3.41916,-3.12829,-1.21054,1
1,19,98,-2.22775,-0.630174,-3.41916,-3.12829,-0.630174,1
1,18,98,-2.04569,-0.411312,-3.41916,-3.12829,-0.411312,1
1,17,98,-1.27383,-0.607807,-3.41916,-3.12829,-0.607807,1
1,15,98,-1.07517,-1.2189,-3.41916,-3.12829,-1.2189,0
1,13,98,-0.953525,-0.541512,-3.41916,-3.12829,-0.953525,1
1,12,98,0.507999,-0.346498,-3.41916,-3.12829,-0.346498,0
1,9,98,-0.364761,0.205196,-3.41916,-3.12829,0.205196,1
1,7,98,0.556884,0.62692,-3.41916,-3.12829,0.62692,1
1,4,98,0.449692,0.699595,-3.41916,-3.12829,0.699595,1
1,3,98,0.627889,0.689669,-3.41916,-3.12829,0.689669,1
1,2,98,0.0201136,0.620742,-3.41916,-3.12829,0.620742,1
1,1,98,-2.60035,0.249564,-3.41916,-3.12829,0.249564,1
1,20,97,-2.02554,-1.12642,-3.41916,-2.81209,-2.02554,1
1,19,97,-1.90808,-0.527992,-3.41916,-2.81209,-0.527992,1
1,18,97,-1.73562,-0.264031,-3.41916,-2.81209,-0.264031,1
1,17,97,-1.15201,-0.592991,-3.41916,-2.81209,-0.592991,1
1,15,97,-0.828763,-1.51739,-3.41916,-2.81209,-1.51739,0
1,13,97,-0.768352,-0.456781,-3.41916,-2.81209,-0.456781,1
1,12,97,0.562879,-0.238097,-3.41916,-2.81209,-0.238097,0
1,7,97,0.579122,0.909307,-3.41916,-2.81209,0.909307,1
1,4,97,0.341441,0.586301,-3.41916,-2.81209,0.586301,1
1,3,97,0.664452,0.617263,-3.41916,-2.81209,0.617263,0
1,2,97,0.67709,0.628314,-3.41916,-2.81209,0.628314,0
1,20,96,-1.8842,-1.07627,-3.41916,-2.99602,-1.07627,1
1,19,96,-1.72258,-0.61122,-3.41916,-2.99602,-0.61122,1
1,18,96,-1.75442,-0.442735,-3.41916,-2.99602,-0.442735,1
1,17,96,-1.01703,-0.556373,-3.41916,-2.99602,-0.556373,1
1,15,96,-0.72279,-1.64103,-3.41916,-2.99602,-1.64103,0
1,13,96,-1.01828,-0.277479,-3.41916,-2.99602,-1.01828,1
1,12,96,0.657412,-0.256411,-3.41916,-2.99602,-0.256411,0
1,9,96,0.066824,0.387515,-3.41916,-2.99602,0.387515,1
1,7,96,0.656874,0.73747,-3.41916,-2.99602,0.73747,1
1,4,96,0.232623,0.636586,-3.41916,-2.99602,0.636586,1
1,3,96,0.564372,0.667452,-3.41916,-2.99602,0.667452,1
1,2,96,0.759441,0.617745,-3.41916,-2.99602,0.617745,0
1,19,95,-1.8722,-0.658004,-3.41916,-2.85377,-0.658004,1
1,17,95,-1.15292,-0.609367,-3.41916,-2.85377,-0.609367,1
1,15,95,-0.792315,-1.61839,-3.41916,-2.85377,-1.61839,0
1,13,95,-0.613089,-0.232739,-3.41916,-2.85377,-0.232739,1
1,7,95,0.698694,0.732419,-3.41916,-2.85377,0.732419,1
1,4,95,0.489857,0.81589,-3.41916,-2.85377,0.81589,1
1,2,95,0.469744,0.585865,-3.41916,-2.85377,0.585865,1
1,1,95,0.519282,0.550951,-3.41916,-2.85377,0.550951,1
1,19,94,-1.81038,-0.510568,-3.41916,-2.55553,-0.510568,1
1,17,94,-0.981364,-0.418084,-3.41916,-2.55553,-0.418084,1
1,15,94,-0.599377,-1.31654,-3.41916,-2.55553,-1.31654,0
1,13,94,-0.648613,-0.528866,-3.41916,-2.55553,-0.528866,1
1,7,94,0.752494,0.969489,-3.41916,-2.55553,0.969489,1
1,4,94,0.634529,0.786183,-3.41916,-2.55553,0.786183,1
1,2,94,0.68661,0.622801,-3.41916,-2.55553,0.622801,0
1,1,94,0.362925,0.279703,-3.41916,-2.55553,0.279703,0
1,19,93,-1.90972,-0.666853,-3.41916,-2.51688,-0.666853,1
