Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.29934,-1.25034,-3.41916,-3.35117,-1.25034,1
1,19,99,-2.7044,-1.16902,-3.41916,-3.35117,-1.16902,1
1,18,99,-1.96161,-1.26703,-3.41916,-3.35117,-1.26703,1
1,17,99,-1.93922,-1.63777,-3.41916,-3.35117,-1.63777,1
1,15,99,-1.36013,-1.62918,-3.41916,-3.35117,-1.62918,0
1,13,99,-1.81956,-0.755564,-3.41916,-3.35117,-0.755564,1
1,12,99,-1.54748,-1.11196,-3.41916,-3.35117,-1.54748,1
1,10,99,-1.13469,-0.828152,-3.41916,-3.35117,-0.828152,1
1,9,99,-0.623609,-0.377632,-3.41916,-3.35117,-0.377632,1
1,7,99,-0.904251,-1.04439,-3.41916,-3.35117,-1.04439,0
1,4,99,-0.943327,-0.68861,-3.41916,-3.35117,-0.68861,1
1,3,99,-0.679479,-0.85871,-3.41916,-3.35117,-0.85871,0
1,2,99,-0.831266,-0.665281,-3.41916,-3.35117,-0.665281,1
1,1,99,-0.81071,-1.25908,-3.41916,-3.35117,-1.25908,0
1,20,98,-2.06654,-1.15042,-3.41916,-3.12829,-1.15042,1
1,19,98,-2.36144,-0.991167,-3.41916,-3.12829,-0.991167,1
1,18,98,-1.91906,-1.31252,-3.41916,-3.12829,-1.31252,1
1,17,98,-1.72803,-1.55391,-3.41916,-3.12829,-1.55391,1
1,15,98,-1.3683,-1.49476,-3.41916,-3.12829,-1.49476,0
1,13,98,-1.42901,-0.754155,-3.41916,-3.12829,-1.42901,1
1,12,98,-0.843699,-1.03451,-3.41916,-3.12829,-1.03451,0
1,9,98,-0.659011,-0.376678,-3.41916,-3.12829,-0.376678,1
1,7,98,-0.881332,-1.03538,-3.41916,-3.12829,-1.03538,0
1,4,98,-0.891682,-0.610541,-3.41916,-3.12829,-0.610541,1
1,3,98,-0.58423,-0.729097,-3.41916,-3.12829,-0.729097,0
1,2,98,-0.749023,-0.570727,-3.41916,-3.12829,-0.570727,1
1,1,98,-0.982103,-1.10083,-3.41916,-3.12829,-1.10083,0
1,20,97,-1.83678,-1.10045,-3.41916,-2.81209,-1.83678,1
1,19,97,-1.98081,-1.01322,-3.41916,-2.81209,-1.01322,1
1,18,97,-1.51302,-1.1453,-3.41916,-2.81209,-1.1453,1
1,17,97,-1.64339,-1.6136,-3.41916,-2.81209,-1.6136,1
1,15,97,-1.15696,-1.4073,-3.41916,-2.81209,-1.4073,0
1,13,97,-1.2214,-0.616218,-3.41916,-2.81209,-0.616218,1
1,12,97,-0.86181,-0.923205,-3.41916,-2.81209,-0.923205,0
1,7,97,-0.862844,-0.994384,-3.41916,-2.81209,-0.994384,0
1,4,97,-0.922926,-0.627771,-3.41916,-2.81209,-0.627771,1
1,3,97,-0.624096,-0.732239,-3.41916,-2.81209,-0.732239,0
1,2,97,-0.801407,-0.621287,-3.41916,-2.81209,-0.621287,1
1,20,96,-1.63948,-0.985781,-3.41916,-2.99602,-0.985781,1
1,19,96,-1.65291,-1.07903,-3.41916,-2.99602,-1.07903,1
1,18,96,-1.40227,-1.16428,-3.41916,-2.99602,-1.16428,1
1,17,96,-1.35267,-1.51183,-3.41916,-2.99602,-1.51183,0
1,15,96,-0.994993,-1.37386,-3.41916,-2.99602,-1.37386,0
1,13,96,-1.41054,-0.66292,-3.41916,-2.99602,-1.41054,1
1,12,96,-0.709048,-0.923851,-3.41916,-2.99602,-0.923851,0
1,9,96,-0.498757,-0.284355,-3.41916,-2.99602,-0.284355,1
1,7,96,-0.878969,-1.0859,-3.41916,-2.99602,-1.0859,0
1,4,96,-0.854521,-0.622014,-3.41916,-2.99602,-0.622014,1
1,3,96,-0.5143,-0.643749,-3.41916,-2.99602,-0.643749,0
1,2,96,-0.697932,-0.580145,-3.41916,-2.99602,-0.580145,1
1,19,95,-1.67382,-0.983194,-3.41916,-2.85377,-0.983194,1
1,17,95,-1.42,-1.49511,-3.41916,-2.85377,-1.49511,0
1,15,95,-1.03618,-1.50272,-3.41916,-2.85377,-1.50272,0
1,13,95,-0.916712,-0.453816,-3.41916,-2.85377,-0.453816,1
1,7,95,-0.843544,-1.00932,-3.41916,-2.85377,-1.00932,0
1,4,95,-0.848721,-0.574441,-3.41916,-2.85377,-0.574441,1
1,2,95,-0.66388,-0.576735,-3.41916,-2.85377,-0.576735,1
1,1,95,-0.437603,-0.964618,-3.41916,-2.85377,-0.964618,0
1,19,94,-1.65456,-0.836909,-3.41916,-2.55553,-0.836909,1
1,17,94,-1.33435,-1.43305,-3.41916,-2.55553,-1.43305,0
1,15,94,-0.905276,-1.19773,-3.41916,-2.55553,-1.19773,0
1,13,94,-0.808271,-0.402268,-3.41916,-2.55553,-0.402268,1
1,7,94,-0.70109,-0.954374,-3.41916,-2.55553,-0.954374,0
1,4,94,-0.779682,-0.651645,-3.41916,-2.55553,-0.651645,1
1,2,94,-0.655592,-0.549031,-3.41916,-2.55553,-0.549031,1
1,1,94,-0.557743,-0.880375,-3.41916,-2.55553,-0.880375,0
1,19,93,-1.65097,-0.915009,-3.41916,-2.51688,-0.915009,1
1,17,93,-1.26309,-1.33081,-3.41916,-2.51688,-1.33081,0
1,15,93,-1.01063,-1.25696,-3.41916,-2.51688,-1.25696,0
1,13,93,-0.888452,-0.680831,-3.41916,-2.51688,-0.680831,1
1,7,93,-0.705197,-0.896144,-3.41916,-2.51688,-0.896144,0
1,4,93,-0.852768,-0.574332,-3.41916,-2.51688,-0.574332,1
1,2,93,-0.615987,-0.441834,-3.41916,-2.51688,-0.441834,1
1,1,93,-0.438997,-0.842504,-3.41916,-2.51688,-0.842504,0
1,19,92,-1.64773,-0.901437,-6.43894,-2.39982,-0.901437,1
1,17,92,-1.224,-1.33916,-6.43894,-2.39982,-1.33916,0
1,15,92,-1.0564,-1.18167,-6.43894,-2.39982,-1.18167,0
1,13,92,-0.733916,-0.402688,-6.43894,-2.39982,-0.402688,1
1,7,92,-0.65705,-0.888996,-6.43894,-2.39982,-0.888996,0
1,4,92,-0.80218,-0.572654,-6.43894,-2.39982,-0.572654,1
1,2,92,-0.530906,-0.596215,-6.43894,-2.39982,-0.596215,0
1,1,92,-0.421267,-0.934445,-6.43894,-2.39982,-0.934445,0
1,19,91,-1.57591,-0.857215,-6.29331,-2.45927,-0.857215,1
1,17,91,-1.1592,-1.3314,-6.29331,-2.45927,-1.3314,0
1,15,91,-1.02726,-1.05563,-6.29331,-2.45927,-1.02726,0
1,13,91,-0.733273,-0.35855,-6.29331,-2.45927,-0.35855,1
1,7,91,-0.503225,-0.695488,-6.29331,-2.45927,-0.695488,0
1,4,91,-0.705913,-0.478383,-6.29331,-2.45927,-0.478383,1
1,2,91,-0.550834,-0.514159,-6.29331,-2.45927,-0.514159,1
1,1,91,-0.5808,-0.784902,-6.29331,-2.45927,-0.784902,0
1,19,90,-1.53882,-0.948921,-6.05291,-2.36134,-0.948921,1
1,17,90,-1.13749,-1.22887,-6.05291,-2.36134,-1.22887,0
1,15,90,-1.06798,-0.981192,-6.05291,-2.36134,-0.981192,1
1,13,90,-0.877147,-0.388238,-6.05291,-2.36134,-0.388238,1
1,7,90,-0.65031,-0.592182,-6.05291,-2.36134,-0.592182,1
1,4,90,-0.669286,-0.460338,-6.05291,-2.36134,-0.460338,1
1,2,90,-0.587616,-0.379729,-6.05291,-2.36134,-0.379729,1
1,1,90,-0.270255,-0.688871,-6.05291,-2.36134,-0.688871,0
1,19,89,-1.71546,-1.17172,-5.75042,-2.39784,-1.17172,1
1,17,89,-1.05592,-0.961974,-5.75042,-2.39784,-1.05592,1
1,15,89,-0.988834,-1.07677,-5.75042,-2.39784,-1.07677,0
1,13,89,-0.666662,-0.511677,-5.75042,-2.39784,-0.511677,1
1,7,89,-0.290721,-0.49522,-5.75042,-2.39784,-0.49522,0
1,4,89,-0.61775,-0.50216,-5.75042,-2.39784,-0.50216,1
1,2,89,-0.474097,-0.464628,-5.75042,-2.39784,-0.464628,1
1,1,89,-0.304109,-0.897102,-5.75042,-2.39784,-0.897102,0
1,19,88,-1.51137,-0.76505,-5.55605,-2.24038,-1.51137,1
1,17,88,-1.06422,-1.03392,-5.55605,-2.24038,-1.03392,1
1,15,88,-0.998202,-1.00372,-5.55605,-2.24038,-1.00372,0
1,13,88,-0.635868,-0.46652,-5.55605,-2.24038,-0.46652,1
1,7,88,-0.25105,-0.39676,-5.55605,-2.24038,-0.39676,0
1,4,88,-0.388462,-0.353222,-5.55605,-2.24038,-0.353222,1
1,2,88,-0.329275,-0.250103,-5.55605,-2.24038,-0.250103,1
1,1,88,-0.199431,-0.651837,-5.55605,-2.24038,-0.651837,0
1,19,87,-1.36,-0.628772,-5.60239,-2.09737,-0.628772,1
1,17,87,-1.36802,-0.979527,-5.60239,-2.09737,-0.979527,1
1,15,87,-0.81457,-0.848522,-5.60239,-2.09737,-0.848522,0
1,13,87,-0.64474,-0.47886,-5.60239,-2.09737,-0.47886,1
1,7,87,-0.14502,-0.373743,-5.60239,-2.09737,-0.373743,0
1,4,87,-0.482868,-0.313638,-5.60239,-2.09737,-0.313638,1
1,2,87,-0.372156,-0.311316,-5.60239,-2.09737,-0.311316,1
1,1,87,-0.290051,-0.5473,-5.60239,-2.09737,-0.5473,0
1,19,86,-1.21984,-0.687853,-5.61978,-2.01828,-0.687853,1
1,17,86,-0.882638,-0.661363,-5.61978,-2.01828,-0.882638,1
1,15,86,-0.891759,-0.983937,-5.61978,-2.01828,-0.983937,0
1,13,86,-0.585759,-0.472224,-5.61978,-2.01828,-0.585759,1
1,7,86,0.00994009,-0.231994,-5.61978,-2.01828,-0.231994,0
1,4,86,-0.137239,-0.165007,-5.61978,-2.01828,-0.165007,0
1,2,86,-0.115787,-0.146169,-5.61978,-2.01828,-0.146169,0
1,1,86,-0.232326,-0.421299,-5.61978,-2.01828,-0.421299,0
1,19,85,-0.578269,-1.7032,-5.14185,-2.10808,-1.7032,0
1,17,85,-1.06463,-0.645398,-5.14185,-2.10808,-0.645398,1
1,15,85,-1.64756,-0.970247,-5.14185,-2.10808,-0.970247,1
1,13,85,-0.786914,-0.168676,-5.14185,-2.10808,-0.168676,1
1,7,85,0.00478791,-0.308249,-5.14185,-2.10808,-0.308249,0
1,4,85,-0.218121,-0.320112,-5.14185,-2.10808,-0.320112,0
1,2,85,-0.291191,-0.239326,-5.14185,-2.10808,-0.239326,1
1,1,85,-0.250597,0.274377,-5.14185,-2.10808,0.274377,1
1,19,84,-0.586713,-1.67725,-5.35927,-2.00544,-1.67725,0
1,17,84,-0.966856,-0.644426,-5.35927,-2.00544,-0.644426,1
1,15,84,-1.10391,-0.391585,-5.35927,-2.00544,-0.391585,1
1,13,84,-0.856125,-0.146296,-5.35927,-2.00544,-0.146296,1
1,7,84,-0.100865,-0.134298,-5.35927,-2.00544,-0.134298,0
1,4,84,0.134116,-0.30539,-5.35927,-2.00544,-0.30539,0
1,2,84,0.0284789,-0.230969,-5.35927,-2.00544,-0.230969,0
1,1,84,-0.334059,0.317303,-5.35927,-2.00544,0.317303,1
1,19,83,-0.280091,-1.4383,-5.22327,-1.89942,-0.280091,0
1,17,83,-1.09344,-0.858334,-5.22327,-1.89942,-0.858334,1
1,15,83,-0.94412,-0.105953,-5.22327,-1.89942,-0.105953,1
1,13,83,-1.26823,-0.294153,-5.22327,-1.89942,-0.294153,1
1,7,83,0.0734447,-0.108469,-5.22327,-1.89942,-0.108469,0
1,4,83,0.223482,-0.182893,-5.22327,-1.89942,-0.182893,0
1,2,83,-0.0893489,-0.189708,-5.22327,-1.89942,-0.189708,0
1,1,83,-0.213128,0.505929,-5.22327,-1.89942,0.505929,1
1,19,82,-0.51971,-1.72625,-5.04662,-1.89873,-1.72625,0
1,17,82,-1.12972,-0.682395,-5.04662,-1.89873,-1.12972,1
1,15,82,-0.932336,-0.0846468,-5.04662,-1.89873,-0.0846468,1
1,13,82,-0.717216,-0.0135877,-5.04662,-1.89873,-0.0135877,1
1,9,82,0.0239075,0.0999587,-5.04662,-1.89873,0.0999587,1
1,7,82,0.102715,-0.0332926,-5.04662,-1.89873,-0.0332926,0
1,4,82,0.195311,-0.294274,-5.04662,-1.89873,-0.294274,0
1,2,82,0.145252,-0.0533757,-5.04662,-1.89873,-0.0533757,0
1,1,82,-0.194361,0.463415,-5.04662,-1.89873,0.463415,1
1,19,81,-0.583936,-1.63502,-4.70389,-1.77463,-1.63502,0
1,17,81,-0.774752,-0.480644,-4.70389,-1.77463,-0.480644,1
1,15,81,-1.06491,-0.319829,-4.70389,-1.77463,-0.319829,1
1,13,81,-0.495911,0.219303,-4.70389,-1.77463,0.219303,1
1,7,81,0.190254,0.0862548,-4.70389,-1.77463,0.0862548,0
1,4,81,0.166537,-0.221803,-4.70389,-1.77463,-0.221803,0
1,2,81,0.229019,-0.0321544,-4.70389,-1.77463,-0.0321544,0
1,1,81,-0.0620848,0.501508,-4.70389,-1.77463,0.501508,1
1,19,80,-0.0620769,-1.32028,-4.82344,-1.66435,-1.32028,0
1,17,80,-0.950652,-0.679003,-4.82344,-1.66435,-0.679003,1
1,15,80,-1.08956,-0.357425,-4.82344,-1.66435,-0.357425,1
1,13,80,-0.496606,0.198948,-4.82344,-1.66435,0.198948,1
1,7,80,0.21529,0.171423,-4.82344,-1.66435,0.171423,0
