Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.67303,-1.5371,-3.41916,-3.35117,-1.5371,1
1,19,99,-2.51849,-1.55243,-3.41916,-3.35117,-1.55243,1
1,18,99,-2.11229,-0.775972,-3.41916,-3.35117,-0.775972,1
1,17,99,-1.41592,-1.77986,-3.41916,-3.35117,-1.77986,0
1,15,99,-1.20415,-1.53806,-3.41916,-3.35117,-1.53806,0
1,13,99,-1.11008,-1.1936,-3.41916,-3.35117,-1.1936,0
1,12,99,-1.40332,-1.09767,-3.41916,-3.35117,-1.40332,1
1,10,99,-0.416132,-1.44056,-3.41916,-3.35117,-0.416132,0
1,9,99,-0.513795,-1.27965,-3.41916,-3.35117,-1.27965,0
1,7,99,-0.790528,-1.33589,-3.41916,-3.35117,-1.33589,0
1,4,99,-0.1969,-0.498747,-3.41916,-3.35117,-0.498747,0
1,3,99,-0.812858,-0.451295,-3.41916,-3.35117,-0.451295,1
1,2,99,-1.10945,-0.73121,-3.41916,-3.35117,-0.73121,1
1,1,99,-1.71953,-1.02129,-3.41916,-3.35117,-1.02129,1
1,20,98,-2.48217,-1.7402,-3.41916,-3.12829,-1.7402,1
1,19,98,-2.22948,-1.39688,-3.41916,-3.12829,-1.39688,1
1,18,98,-2.0708,-0.796041,-3.41916,-3.12829,-0.796041,1
1,17,98,-1.20767,-1.62901,-3.41916,-3.12829,-1.62901,0
1,15,98,-1.14116,-1.45188,-3.41916,-3.12829,-1.45188,0
1,13,98,-0.836404,-0.989204,-3.41916,-3.12829,-0.836404,0
1,12,98,-0.884219,-0.515636,-3.41916,-3.12829,-0.515636,1
1,9,98,-0.470173,-1.24055,-3.41916,-3.12829,-1.24055,0
1,7,98,-0.624042,-1.16805,-3.41916,-3.12829,-1.16805,0
1,4,98,-0.430001,-0.486233,-3.41916,-3.12829,-0.486233,0
1,3,98,-0.851605,-0.179425,-3.41916,-3.12829,-0.179425,1
1,2,98,-0.807433,-0.336166,-3.41916,-3.12829,-0.336166,1
1,1,98,-1.7733,-0.897757,-3.41916,-3.12829,-0.897757,1
1,20,97,-2.23494,-1.5023,-3.41916,-2.81209,-2.23494,1
1,19,97,-2.18856,-1.24074,-3.41916,-2.81209,-1.24074,1
1,18,97,-1.78677,-0.652143,-3.41916,-2.81209,-0.652143,1
1,17,97,-1.18181,-1.54882,-3.41916,-2.81209,-1.54882,0
1,15,97,-1.0049,-1.3786,-3.41916,-2.81209,-1.3786,0
1,13,97,-0.596696,-0.931739,-3.41916,-2.81209,-0.931739,0
1,12,97,-1.04282,-0.60698,-3.41916,-2.81209,-0.60698,1
1,7,97,-0.650802,-1.16835,-3.41916,-2.81209,-1.16835,0
1,4,97,-0.583844,-0.434464,-3.41916,-2.81209,-0.434464,1
1,3,97,-0.183709,-0.109168,-3.41916,-2.81209,-0.109168,1
1,2,97,-0.218794,-0.220887,-3.41916,-2.81209,-0.220887,0
1,20,96,-2.08063,-1.33589,-3.41916,-2.99602,-1.33589,1
1,19,96,-1.94714,-1.41476,-3.41916,-2.99602,-1.41476,1
1,18,96,-1.83988,-0.837282,-3.41916,-2.99602,-0.837282,1
1,17,96,-1.03251,-1.51806,-3.41916,-2.99602,-1.51806,0
1,15,96,-0.776274,-1.1949,-3.41916,-2.99602,-1.1949,0
1,13,96,-0.69454,-0.92603,-3.41916,-2.99602,-0.69454,0
1,12,96,-0.76892,-0.515437,-3.41916,-2.99602,-0.515437,1
1,9,96,-0.24258,-0.853884,-3.41916,-2.99602,-0.853884,0
1,7,96,-0.550714,-1.12082,-3.41916,-2.99602,-1.12082,0
1,4,96,-0.235889,-0.166991,-3.41916,-2.99602,-0.166991,1
1,3,96,-0.179373,-0.245877,-3.41916,-2.99602,-0.245877,0
1,2,96,-0.447583,-0.357644,-3.41916,-2.99602,-0.357644,1
1,19,95,-1.84383,-1.1603,-3.41916,-2.85377,-1.1603,1
1,17,95,-1.01895,-1.47623,-3.41916,-2.85377,-1.47623,0
1,15,95,-0.87326,-1.20684,-3.41916,-2.85377,-1.20684,0
1,13,95,-0.519866,-0.851854,-3.41916,-2.85377,-0.851854,0
1,7,95,-0.425718,-1.07069,-3.41916,-2.85377,-1.07069,0
1,4,95,-0.236477,-0.227355,-3.41916,-2.85377,-0.227355,1
1,2,95,-0.408195,-0.316559,-3.41916,-2.85377,-0.316559,1
1,1,95,-0.392597,-0.935367,-3.41916,-2.85377,-0.935367,0
1,19,94,-1.63936,-1.00507,-3.41916,-2.55553,-1.00507,1
1,17,94,-0.968648,-1.3634,-3.41916,-2.55553,-1.3634,0
1,15,94,-0.728188,-0.968202,-3.41916,-2.55553,-0.968202,0
1,13,94,-0.452657,-0.619319,-3.41916,-2.55553,-0.619319,0
1,7,94,-0.20362,-0.884603,-3.41916,-2.55553,-0.884603,0
1,4,94,-0.282968,-0.450729,-3.41916,-2.55553,-0.450729,0
1,2,94,-0.0116744,-0.0576993,-3.41916,-2.55553,-0.0576993,0
1,1,94,-0.258554,-0.759926,-3.41916,-2.55553,-0.759926,0
1,19,93,-1.65554,-1.08154,-3.41916,-2.51688,-1.08154,1
1,17,93,-0.880473,-1.14839,-3.41916,-2.51688,-1.14839,0
1,15,93,-0.851243,-1.05027,-3.41916,-2.51688,-1.05027,0
1,13,93,-0.49448,-0.715708,-3.41916,-2.51688,-0.715708,0
1,7,93,-0.0710807,-0.702245,-3.41916,-2.51688,-0.702245,0
1,4,93,-0.267979,-0.426175,-3.41916,-2.51688,-0.426175,0
1,2,93,-0.166823,-0.195385,-3.41916,-2.51688,-0.195385,0
1,1,93,-0.227939,-0.681265,-3.41916,-2.51688,-0.681265,0
1,19,92,-1.52527,-0.732319,-6.43894,-2.39982,-0.732319,1
1,17,92,-0.713352,-1.13225,-6.43894,-2.39982,-1.13225,0
1,15,92,-0.743501,-0.948673,-6.43894,-2.39982,-0.948673,0
1,13,92,-0.391873,-0.532897,-6.43894,-2.39982,-0.532897,0
1,7,92,0.0486899,-0.558496,-6.43894,-2.39982,-0.558496,0
1,4,92,-0.277758,-0.199764,-6.43894,-2.39982,-0.199764,1
1,2,92,-0.251263,-0.124013,-6.43894,-2.39982,-0.124013,1
1,1,92,-0.280148,-0.611783,-6.43894,-2.39982,-0.611783,0
1,19,91,-1.49926,-0.825447,-6.29331,-2.45927,-0.825447,1
1,17,91,-0.771757,-1.0935,-6.29331,-2.45927,-1.0935,0
1,15,91,-0.552038,-0.762723,-6.29331,-2.45927,-0.552038,0
1,13,91,-0.585309,-0.685419,-6.29331,-2.45927,-0.685419,0
1,7,91,0.12626,-0.484072,-6.29331,-2.45927,-0.484072,0
1,4,91,-0.106399,-0.19312,-6.29331,-2.45927,-0.19312,0
1,2,91,-0.34178,-0.290418,-6.29331,-2.45927,-0.290418,1
1,1,91,-0.109391,-0.616078,-6.29331,-2.45927,-0.616078,0
1,19,90,-1.53476,-0.948112,-6.05291,-2.36134,-0.948112,1
1,17,90,-1.08924,-0.964194,-6.05291,-2.36134,-0.964194,1
1,15,90,-0.441241,-0.586965,-6.05291,-2.36134,-0.586965,0
1,13,90,-0.556054,-0.585955,-6.05291,-2.36134,-0.585955,0
1,7,90,-0.0118487,-0.503454,-6.05291,-2.36134,-0.503454,0
1,4,90,0.156946,-0.0506542,-6.05291,-2.36134,-0.0506542,0
1,2,90,-0.203845,-0.21595,-6.05291,-2.36134,-0.21595,0
1,1,90,-0.229464,-0.479162,-6.05291,-2.36134,-0.479162,0
1,19,89,-1.50409,-0.702816,-5.75042,-2.39784,-0.702816,1
1,17,89,-0.993068,-0.763504,-5.75042,-2.39784,-0.993068,1
1,15,89,-0.417503,-0.694931,-5.75042,-2.39784,-0.694931,0
1,13,89,-0.330002,-0.287819,-5.75042,-2.39784,-0.287819,1
1,7,89,0.255115,-0.272525,-5.75042,-2.39784,-0.272525,0
1,4,89,0.0345671,0.182986,-5.75042,-2.39784,0.182986,1
1,2,89,-0.112747,-0.118833,-5.75042,-2.39784,-0.118833,0
1,1,89,-0.319532,-0.742274,-5.75042,-2.39784,-0.742274,0
1,19,88,-1.35551,-0.791997,-5.55605,-2.24038,-1.35551,1
1,17,88,-1.18224,-0.878584,-5.55605,-2.24038,-0.878584,1
1,15,88,-0.245762,-0.582046,-5.55605,-2.24038,-0.582046,0
1,13,88,-0.274467,-0.189826,-5.55605,-2.24038,-0.189826,1
1,7,88,0.370597,-0.185744,-5.55605,-2.24038,-0.185744,0
1,4,88,0.208536,0.190828,-5.55605,-2.24038,0.190828,0
1,2,88,0.0683125,0.0269654,-5.55605,-2.24038,0.0269654,0
1,1,88,-0.142904,-0.218451,-5.55605,-2.24038,-0.218451,0
1,19,87,-1.25635,-0.672011,-5.60239,-2.09737,-0.672011,1
1,17,87,-1.18684,-0.678021,-5.60239,-2.09737,-0.678021,1
1,15,87,-0.394791,-0.51352,-5.60239,-2.09737,-0.51352,0
1,13,87,-0.179413,-0.234395,-5.60239,-2.09737,-0.234395,0
1,7,87,0.310782,-0.19859,-5.60239,-2.09737,-0.19859,0
1,4,87,0.514446,0.20841,-5.60239,-2.09737,0.20841,0
1,2,87,0.0784696,0.116451,-5.60239,-2.09737,0.116451,1
1,1,87,-0.0379082,-0.157562,-5.60239,-2.09737,-0.157562,0
1,19,86,-1.23627,-0.725745,-5.61978,-2.01828,-0.725745,1
1,17,86,-0.905611,-0.636568,-5.61978,-2.01828,-0.905611,1
1,15,86,-0.580461,-0.656203,-5.61978,-2.01828,-0.656203,0
1,13,86,0.181032,-0.0354894,-5.61978,-2.01828,0.181032,0
1,7,86,0.378666,-0.0888919,-5.61978,-2.01828,-0.0888919,0
1,4,86,0.384648,0.398499,-5.61978,-2.01828,0.398499,1
1,2,86,0.317188,0.272155,-5.61978,-2.01828,0.272155,0
1,1,86,0.0823376,-0.0725593,-5.61978,-2.01828,-0.0725593,0
1,19,85,-0.820937,-1.07415,-5.14185,-2.10808,-1.07415,0
1,17,85,-0.715993,-0.924245,-5.14185,-2.10808,-0.924245,0
1,15,85,-0.587168,-0.339578,-5.14185,-2.10808,-0.339578,1
1,13,85,-0.627347,0.420836,-5.14185,-2.10808,0.420836,1
1,7,85,0.184127,0.335074,-5.14185,-2.10808,0.335074,1
1,4,85,0.755284,-0.700573,-5.14185,-2.10808,-0.700573,0
1,2,85,0.36275,0.166003,-5.14185,-2.10808,0.166003,0
1,1,85,0.401245,1.43439,-5.14185,-2.10808,1.43439,1
1,19,84,-0.830008,-1.06169,-5.35927,-2.00544,-1.06169,0
1,17,84,-0.794626,-0.959919,-5.35927,-2.00544,-0.959919,0
1,15,84,-0.539095,-0.256126,-5.35927,-2.00544,-0.256126,1
1,13,84,-0.841375,0.258912,-5.35927,-2.00544,0.258912,1
1,7,84,0.477363,0.429766,-5.35927,-2.00544,0.429766,0
1,4,84,0.881803,-0.744342,-5.35927,-2.00544,-0.744342,0
1,2,84,0.429576,0.174646,-5.35927,-2.00544,0.174646,0
1,1,84,0.38936,1.42849,-5.35927,-2.00544,1.42849,1
1,19,83,-0.534281,-0.712693,-5.22327,-1.89942,-0.534281,0
1,17,83,-0.755675,-0.887835,-5.22327,-1.89942,-0.887835,0
1,15,83,-0.409927,-0.12217,-5.22327,-1.89942,-0.12217,1
1,13,83,0.14564,0.410137,-5.22327,-1.89942,0.410137,1
1,7,83,0.798632,0.454187,-5.22327,-1.89942,0.454187,0
1,4,83,0.941408,-0.699715,-5.22327,-1.89942,-0.699715,0
1,2,83,0.826281,0.303118,-5.22327,-1.89942,0.303118,0
1,1,83,0.479368,1.28103,-5.22327,-1.89942,1.28103,1
1,19,82,-0.676448,-0.915005,-5.04662,-1.89873,-0.915005,0
1,17,82,-0.750794,-0.883236,-5.04662,-1.89873,-0.750794,0
1,15,82,-0.484597,-0.150067,-5.04662,-1.89873,-0.150067,1
1,13,82,-0.52868,0.445908,-5.04662,-1.89873,0.445908,1
1,9,82,0.825716,0.159149,-5.04662,-1.89873,0.159149,0
1,7,82,0.857077,0.516328,-5.04662,-1.89873,0.516328,0
1,4,82,0.844502,-0.745668,-5.04662,-1.89873,-0.745668,0
1,2,82,0.583541,0.302627,-5.04662,-1.89873,0.302627,0
1,1,82,0.641708,1.39247,-5.04662,-1.89873,1.39247,1
1,19,81,-0.638893,-0.927907,-4.70389,-1.77463,-0.927907,0
1,17,81,-0.349646,-0.59521,-4.70389,-1.77463,-0.59521,0
1,15,81,-0.469874,-0.145169,-4.70389,-1.77463,-0.145169,1
1,13,81,-0.567842,0.520634,-4.70389,-1.77463,0.520634,1
1,7,81,0.89922,0.554184,-4.70389,-1.77463,0.554184,0
1,4,81,1.0269,-0.7011,-4.70389,-1.77463,-0.7011,0
1,2,81,0.626866,0.456875,-4.70389,-1.77463,0.456875,0
1,1,81,0.552738,1.4407,-4.70389,-1.77463,1.4407,1
1,19,80,-0.524777,-0.829638,-4.82344,-1.66435,-0.829638,0
1,17,80,-0.580155,-0.767011,-4.82344,-1.66435,-0.767011,0
1,15,80,-0.400241,-0.0631977,-4.82344,-1.66435,-0.0631977,1
1,13,80,-0.564718,0.479216,-4.82344,-1.66435,0.479216,1
1,7,80,1.11784,0.725809,-4.82344,-1.66435,0.725809,0
1,4,80,1.17822,-0.520696,-4.82344,-1.66435,-0.520696,0
1,2,80,0.652667,0.472817,-4.82344,-1.66435,0.472817,0
1,1,80,0.663305,1.49631,-4.82344,-1.66435,1.49631,1
1,19,79,0.0592655,-0.344361,-4.30456,-1.7295,-0.344361,0
1,17,79,-0.596763,-0.705552,-4.30456,-1.7295,-0.705552,0
1,15,79,-0.133731,0.189815,-4.30456,-1.7295,0.189815,1
1,13,79,-0.352921,0.641238,-4.30456,-1.7295,0.641238,1
1,9,79,0.827012,0.504799,-4.30456,-1.7295,0.504799,0
1,7,79,1.27428,0.75238,-4.30456,-1.7295,0.75238,0
1,4,79,1.21253,-0.412358,-4.30456,-1.7295,-0.412358,0
1,2,79,0.745932,0.508435,-4.30456,-1.7295,0.508435,0
1,1,79,0.656747,1.44147,-4.30456,-1.7295,1.44147,1
1,19,78,0.00849246,-0.465205,-4.65291,-1.66623,-0.465205,0
1,17,78,-0.501427,-0.640257,-4.65291,-1.66623,-0.640257,0
1,15,78,-0.367004,-0.0194672,-4.65291,-1.66623,-0.0194672,1
1,13,78,-0.486091,0.623727,-4.65291,-1.66623,0.623727,1
1,9,78,0.818341,0.619449,-4.65291,-1.66623,0.619449,0
1,7,78,1.08453,0.873016,-4.65291,-1.66623,0.873016,0
1,4,78,1.31115,-0.325522,-4.65291,-1.66623,-0.325522,0
1,2,78,0.79073,0.785897,-4.65291,-1.66623,0.785897,0
1,1,78,0.781239,1.56526,-4.65291,-1.66623,1.56526,1
1,19,77,0.253277,-0.350017,-4.67517,-1.58996,-0.350017,0
1,17,77,-0.231198,-0.173808,-4.67517,-1.58996,-0.173808,1
1,15,77,-0.300287,0.0520144,-4.67517,-1.58996,0.0520144,1
1,13,77,-0.050925,0.870185,-4.67517,-1.58996,0.870185,1
1,9,77,0.878101,0.65677,-4.67517,-1.58996,0.65677,0
1,7,77,1.31568,0.984172,-4.67517,-1.58996,0.984172,0
1,4,77,1.49898,-0.115017,-4.67517,-1.58996,-0.115017,0
1,2,77,0.983668,0.97902,-4.67517,-1.58996,0.97902,0
1,1,77,0.906815,1.86186,-4.67517,-1.58996,1.86186,1
1,19,76,0.095008,-0.140464,-4.75214,-1.45125,-0.140464,0
1,17,76,-0.11154,-0.226935,-4.75214,-1.45125,-0.226935,0
1,15,76,-0.236621,0.074666,-4.75214,-1.45125,0.074666,1
1,13,76,-0.147701,0.8956,-4.75214,-1.45125,0.8956,1
1,9,76,1.06454,0.590046,-4.75214,-1.45125,0.590046,0
1,7,76,1.26158,0.854267,-4.75214,-1.45125,0.854267,0
1,4,76,1.61266,-0.0613383,-4.75214,-1.45125,-0.0613383,0
1,2,76,1.03831,0.947909,-4.75214,-1.45125,0.947909,0
1,1,76,1.07108,1.96787,-4.75214,-1.45125,1.96787,1
1,19,75,-0.0562346,-0.274598,-4.90201,-1.41384,-0.274598,0
1,17,75,-0.0372448,0.0438848,-4.90201,-1.41384,0.0438848,1
1,15,75,0.0246212,0.303284,-4.90201,-1.41384,0.303284,1
1,13,75,-0.119562,0.951731,-4.90201,-1.41384,0.951731,1
1,9,75,1.25673,0.687734,-4.90201,-1.41384,0.687734,0
1,7,75,1.22186,0.909622,-4.90201,-1.41384,0.909622,0
1,4,75,1.65764,-0.0282666,-4.90201,-1.41384,-0.0282666,0
1,2,75,1.18875,1.15155,-4.90201,-1.41384,1.15155,0
1,1,75,1.14013,2.09063,-4.90201,-1.41384,2.09063,1
1,19,74,-0.205096,-0.405424,-4.86797,-1.45906,-0.405424,0
1,17,74,0.100403,0.170062,-4.86797,-1.45906,0.100403,1
1,15,74,-0.140423,0.574474,-4.86797,-1.45906,0.574474,1
1,13,74,0.0324084,1.03674,-4.86797,-1.45906,1.03674,1
1,9,74,1.04161,0.714003,-4.86797,-1.45906,0.714003,0
1,7,74,1.40165,0.936026,-4.86797,-1.45906,0.936026,0
1,4,74,1.85679,0.137414,-4.86797,-1.45906,0.137414,0
1,2,74,1.35779,1.15598,-4.86797,-1.45906,1.15598,0
1,1,74,1.35128,2.20886,-4.86797,-1.45906,2.20886,1
1,19,73,0.157541,-0.306088,-4.58061,-1.30758,-0.306088,0
1,17,73,-0.224533,0.0271451,-4.58061,-1.30758,0.0271451,1
1,15,73,0.147516,0.705607,-4.58061,-1.30758,0.705607,1
1,13,73,0.700451,1.04711,-4.58061,-1.30758,1.04711,1
1,9,73,1.33733,0.952681,-4.58061,-1.30758,0.952681,0
1,7,73,1.28903,1.10951,-4.58061,-1.30758,1.10951,0
1,4,73,1.54993,0.121893,-4.58061,-1.30758,0.121893,0
1,2,73,1.59481,1.04772,-4.58061,-1.30758,1.04772,0
1,1,73,1.47318,2.29397,-4.58061,-1.30758,2.29397,1
1,19,72,0.211756,-0.200051,-4.69937,-1.21867,-0.200051,0
1,17,72,0.0934044,-0.0940692,-4.69937,-1.21867,-0.0940692,0
1,15,72,0.108812,0.700053,-4.69937,-1.21867,0.700053,1
1,13,72,0.844162,1.06878,-4.69937,-1.21867,1.06878,1
1,9,72,1.41675,0.975166,-4.69937,-1.21867,0.975166,0
1,7,72,1.48137,1.0015,-4.69937,-1.21867,1.0015,0
1,4,72,1.59979,0.119937,-4.69937,-1.21867,0.119937,0
1,2,72,1.68234,1.13685,-4.69937,-1.21867,1.13685,0
1,1,72,1.56177,2.46181,-4.69937,-1.21867,2.46181,1
1,19,71,0.145855,-0.175579,-4.4203,-1.13959,-0.175579,0
1,17,71,0.134734,0.140405,-4.4203,-1.13959,0.134734,1
1,15,71,-0.121438,0.497213,-4.4203,-1.13959,0.497213,1
1,13,71,0.976559,1.23525,-4.4203,-1.13959,1.23525,1
1,7,71,1.59461,1.28462,-4.4203,-1.13959,1.28462,0
1,4,71,1.66354,0.243812,-4.4203,-1.13959,0.243812,0
1,2,71,1.63783,1.16454,-4.4203,-1.13959,1.16454,0
1,1,71,1.63338,2.32433,-4.4203,-1.13959,2.32433,1
1,19,70,0.243776,0.161171,-4.23657,-1.06699,0.161171,0
1,17,70,0.297227,0.162994,-4.23657,-1.06699,0.162994,0
1,15,70,-0.15217,1.31874,-4.23657,-1.06699,1.31874,1
1,13,70,0.435761,-0.137986,-4.23657,-1.06699,-0.137986,0
1,7,70,1.4957,1.96121,-4.23657,-1.06699,1.96121,1
1,16,86,-0.667739,-1.24147,-5.61978,-2.01828,-1.24147,0
1,5,70,1.63725,1.81124,-4.23657,-1.06699,1.81124,1
1,4,70,1.52125,1.70756,-4.23657,-1.06699,1.70756,1
1,2,70,1.9208,1.71416,-4.23657,-1.06699,1.71416,0
1,1,70,1.72585,1.96183,-4.23657,-1.06699,1.96183,1
1,19,69,0.112008,0.120091,-4.38821,-0.937499,0.120091,1
1,9,87,0.0206387,-0.757404,-5.60239,-2.09737,-0.757404,0
1,18,69,0.466197,1.13918,-4.38821,-0.937499,1.13918,1
1,17,69,0.0850584,0.156644,-4.38821,-0.937499,0.156644,1
1,15,69,0.278871,1.47327,-4.38821,-0.937499,1.47327,1
1,13,69,0.370094,-0.376372,-4.38821,-0.937499,-0.376372,0
1,9,69,1.23785,1.19865,-4.38821,-0.937499,1.19865,0
1,7,69,1.56209,2.01471,-4.38821,-0.937499,2.01471,1
1,16,81,-0.47017,0.095108,-4.70389,-1.77463,0.095108,1
1,5,69,1.71918,1.97359,-4.38821,-0.937499,1.97359,1
1,4,69,1.60922,1.90404,-4.38821,-0.937499,1.90404,1
1,2,69,1.96457,1.79936,-4.38821,-0.937499,1.79936,0
1,1,69,1.70623,2.05972,-4.38821,-0.937499,2.05972,1
1,19,68,0.0735585,0.0880442,-4.27007,-1.01066,0.0880442,1
1,17,68,0.45052,0.388328,-4.27007,-1.01066,0.388328,0
1,15,68,0.344706,1.53711,-4.27007,-1.01066,1.53711,1
1,13,68,0.117811,-0.32855,-4.27007,-1.01066,-0.32855,0
1,9,68,1.19279,1.08934,-4.27007,-1.01066,1.08934,0
1,7,68,1.65018,2.15878,-4.27007,-1.01066,2.15878,1
1,4,68,1.71014,2.04679,-4.27007,-1.01066,2.04679,1
1,2,68,1.98048,2.0091,-4.27007,-1.01066,2.0091,1
1,1,68,1.70362,2.07228,-4.27007,-1.01066,2.07228,1
1,19,67,0.355622,0.206867,-4.33476,-0.933887,0.206867,0
1,9,81,0.878568,0.360611,-4.70389,-1.77463,0.360611,0
1,18,67,0.346198,1.17855,-4.33476,-0.933887,1.17855,1
1,17,67,0.477569,0.24737,-4.33476,-0.933887,0.24737,0
1,15,67,0.255654,1.47005,-4.33476,-0.933887,1.47005,1
1,13,67,0.378771,-0.272196,-4.33476,-0.933887,-0.272196,0
1,7,67,1.69954,2.26033,-4.33476,-0.933887,2.26033,1
1,4,67,1.68649,2.14079,-4.33476,-0.933887,2.14079,1
1,3,67,1.70833,2.32493,-4.33476,-0.933887,2.32493,1
1,2,67,1.97159,2.00029,-4.33476,-0.933887,2.00029,1
1,1,67,1.81276,2.07841,-4.33476,-0.933887,2.07841,1
1,19,66,0.511701,0.285558,-4.06104,-0.806488,0.285558,0
1,9,86,0.133444,-0.259812,-5.61978,-2.01828,-0.259812,0
1,18,66,0.449868,1.13026,-4.06104,-0.806488,1.13026,1
1,17,66,0.462501,0.235425,-4.06104,-0.806488,0.462501,0
1,15,66,0.566424,1.79712,-4.06104,-0.806488,1.79712,1
1,13,66,0.41722,-0.290063,-4.06104,-0.806488,-0.290063,0
1,7,66,1.75643,2.32555,-4.06104,-0.806488,2.32555,1
1,4,66,1.83316,2.13344,-4.06104,-0.806488,2.13344,1
1,2,66,2.08683,2.10676,-4.06104,-0.806488,2.10676,1
1,1,66,1.90539,2.13359,-4.06104,-0.806488,2.13359,1
1,19,65,0.334982,0.298872,-4.11009,-0.783219,0.298872,0
1,9,83,0.483131,0.06725,-5.22327,-1.89942,0.06725,0
1,18,65,0.409823,1.30898,-4.11009,-0.783219,1.30898,1
1,17,65,0.489103,0.528511,-4.11009,-0.783219,0.489103,1
1,15,65,0.545647,1.77037,-4.11009,-0.783219,1.77037,1
1,13,65,0.376523,-0.310794,-4.11009,-0.783219,-0.310794,0
1,9,65,1.21756,1.13076,-4.11009,-0.783219,1.13076,0
1,7,65,1.90415,2.29245,-4.11009,-0.783219,2.29245,1
1,16,85,-0.622876,0.0999547,-5.14185,-2.10808,0.0999547,1
1,5,65,1.80881,2.17771,-4.11009,-0.783219,1.80881,1
1,4,65,1.78509,2.0882,-4.11009,-0.783219,2.0882,1
1,3,65,1.90156,2.24102,-4.11009,-0.783219,2.24102,1
1,2,65,2.09247,1.85426,-4.11009,-0.783219,1.85426,0
1,1,65,2.05435,2.2511,-4.11009,-0.783219,2.2511,1
1,19,64,0.408241,0.264648,-3.84075,-0.813937,0.264648,0
1,9,80,0.627579,0.347894,-4.82344,-1.66435,0.347894,0
1,18,64,0.51529,1.38801,-3.84075,-0.813937,0.51529,1
1,17,64,0.541502,0.621451,-3.84075,-0.813937,0.621451,1
1,15,64,0.555659,1.79887,-3.84075,-0.813937,1.79887,1
1,13,64,0.72338,0.0852063,-3.84075,-0.813937,0.0852063,0
1,9,64,1.34905,1.47606,-3.84075,-0.813937,1.47606,1
1,7,64,1.81814,2.45338,-3.84075,-0.813937,2.45338,1
1,4,64,1.70128,2.27699,-3.84075,-0.813937,2.27699,1
1,3,64,1.97159,2.61677,-3.84075,-0.813937,2.61677,1
1,2,64,2.18319,2.37982,-3.84075,-0.813937,2.37982,1
1,1,64,2.09915,2.35188,-3.84075,-0.813937,2.35188,1
1,20,63,0.565275,0.378148,-4.03562,-0.692524,0.378148,0
1,19,63,0.635232,0.498479,-4.03562,-0.692524,0.498479,0
1,18,63,0.512208,1.36717,-4.03562,-0.692524,1.36717,1
1,17,63,0.509354,0.539879,-4.03562,-0.692524,0.539879,1
1,15,63,0.701496,1.79658,-4.03562,-0.692524,1.79658,1
1,13,63,0.716951,0.101774,-4.03562,-0.692524,0.101774,0
1,12,63,1.24748,1.4797,-4.03562,-0.692524,1.4797,1
