Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.913297,-1.88354,-3.41916,-3.35117,-1.88354,0
1,19,99,-1.44553,-1.51648,-3.41916,-3.35117,-1.51648,0
1,18,99,-0.076843,-0.632412,-3.41916,-3.35117,-0.632412,0
1,17,99,0.411344,-0.371457,-3.41916,-3.35117,-0.371457,0
1,15,99,0.108288,-0.889923,-3.41916,-3.35117,-0.889923,0
1,13,99,-0.414756,-0.739328,-3.41916,-3.35117,-0.739328,0
1,12,99,-1.3825,-0.577463,-3.41916,-3.35117,-1.3825,1
1,10,99,-0.205649,-0.0841186,-3.41916,-3.35117,-0.0841186,1
1,9,99,-0.607557,-0.56307,-3.41916,-3.35117,-0.56307,1
1,7,99,-0.605669,-0.377092,-3.41916,-3.35117,-0.377092,1
1,4,99,-0.140624,-0.449117,-3.41916,-3.35117,-0.449117,0
1,3,99,-0.490833,0.135246,-3.41916,-3.35117,0.135246,1
1,2,99,-1.03378,0.409728,-3.41916,-3.35117,0.409728,1
1,1,99,0.161664,0.376657,-3.41916,-3.35117,0.376657,1
1,20,98,-0.975876,-1.9218,-3.41916,-3.12829,-1.9218,0
1,19,98,-0.879237,-1.39604,-3.41916,-3.12829,-1.39604,0
1,18,98,-0.346403,-0.792974,-3.41916,-3.12829,-0.792974,0
1,17,98,0.603429,-0.328699,-3.41916,-3.12829,-0.328699,0
1,15,98,-0.0540157,-0.97136,-3.41916,-3.12829,-0.97136,0
1,13,98,-0.26011,-0.688822,-3.41916,-3.12829,-0.26011,0
1,12,98,-1.01331,-0.506028,-3.41916,-3.12829,-0.506028,1
1,9,98,-0.404036,-0.532165,-3.41916,-3.12829,-0.532165,0
1,7,98,-0.0103612,-0.314106,-3.41916,-3.12829,-0.314106,0
1,4,98,0.131149,-0.421396,-3.41916,-3.12829,-0.421396,0
1,3,98,-0.436512,0.0972268,-3.41916,-3.12829,0.0972268,1
1,2,98,-0.985185,0.43529,-3.41916,-3.12829,0.43529,1
1,1,98,0.169719,0.416895,-3.41916,-3.12829,0.416895,1
1,20,97,-1.00539,-1.84888,-3.41916,-2.81209,-1.00539,0
1,19,97,-0.944113,-1.23463,-3.41916,-2.81209,-1.23463,0
1,18,97,0.0240489,-0.480018,-3.41916,-2.81209,-0.480018,0
1,17,97,0.59863,-0.273953,-3.41916,-2.81209,-0.273953,0
1,15,97,0.252383,-0.838145,-3.41916,-2.81209,-0.838145,0
1,13,97,-0.163122,-0.27109,-3.41916,-2.81209,-0.163122,0
1,12,97,-0.813625,-0.481465,-3.41916,-2.81209,-0.481465,1
1,7,97,0.0466568,-0.26974,-3.41916,-2.81209,-0.26974,0
1,4,97,0.209808,-0.36863,-3.41916,-2.81209,-0.36863,0
1,3,97,-0.342807,0.240432,-3.41916,-2.81209,0.240432,1
1,2,97,-0.503041,0.47922,-3.41916,-2.81209,0.47922,1
1,20,96,-0.786531,-1.61914,-3.41916,-2.99602,-1.61914,0
1,19,96,-0.954837,-1.35159,-3.41916,-2.99602,-1.35159,0
1,18,96,-0.216761,-0.522154,-3.41916,-2.99602,-0.522154,0
1,17,96,0.745905,-0.116001,-3.41916,-2.99602,-0.116001,0
1,15,96,0.219701,-0.776889,-3.41916,-2.99602,-0.776889,0
1,13,96,-0.160589,-0.464589,-3.41916,-2.99602,-0.160589,0
1,12,96,-0.741509,-0.495151,-3.41916,-2.99602,-0.495151,1
1,9,96,-0.305,-0.407976,-3.41916,-2.99602,-0.407976,0
1,7,96,0.0864598,-0.274097,-3.41916,-2.99602,-0.274097,0
1,4,96,0.251335,-0.314904,-3.41916,-2.99602,-0.314904,0
1,3,96,-0.40508,0.226075,-3.41916,-2.99602,0.226075,1
1,2,96,-0.427758,0.526972,-3.41916,-2.99602,0.526972,1
1,19,95,-0.675863,-1.15197,-3.41916,-2.85377,-1.15197,0
1,17,95,0.607335,-0.130334,-3.41916,-2.85377,-0.130334,0
1,15,95,0.274455,-0.738251,-3.41916,-2.85377,-0.738251,0
1,13,95,-0.0177113,-0.128947,-3.41916,-2.85377,-0.128947,0
1,7,95,0.0852129,-0.248666,-3.41916,-2.85377,-0.248666,0
1,4,95,0.30553,-0.274813,-3.41916,-2.85377,-0.274813,0
1,2,95,-0.29913,0.58566,-3.41916,-2.85377,0.58566,1
1,1,95,0.235817,0.56036,-3.41916,-2.85377,0.56036,1
1,19,94,-0.603795,-1.05206,-3.41916,-2.55553,-1.05206,0
1,17,94,0.735893,-0.136455,-3.41916,-2.55553,-0.136455,0
1,15,94,0.327122,-0.713925,-3.41916,-2.55553,-0.713925,0
1,13,94,0.0544241,-0.152461,-3.41916,-2.55553,-0.152461,0
1,7,94,0.179107,-0.196858,-3.41916,-2.55553,-0.196858,0
1,4,94,0.349894,-0.202436,-3.41916,-2.55553,-0.202436,0
1,2,94,-0.19629,0.663684,-3.41916,-2.55553,0.663684,1
1,1,94,0.37547,0.650555,-3.41916,-2.55553,0.650555,1
1,19,93,-0.554235,-1.15634,-3.41916,-2.51688,-1.15634,0
1,17,93,0.842493,0.151184,-3.41916,-2.51688,0.151184,0
