Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.36733,-2.08183,-3.41916,-3.35117,-2.08183,0
1,19,99,-1.81122,-2.18769,-3.41916,-3.35117,-2.18769,0
1,18,99,-0.50061,-1.18241,-3.41916,-3.35117,-1.18241,0
1,17,99,-0.630393,-0.278915,-3.41916,-3.35117,-0.278915,1
1,15,99,-0.111415,-0.402453,-3.41916,-3.35117,-0.402453,0
1,13,99,-0.594786,-0.454928,-3.41916,-3.35117,-0.454928,1
1,12,99,-1.11848,-0.776736,-3.41916,-3.35117,-1.11848,1
1,10,99,-0.400961,-0.754932,-3.41916,-3.35117,-0.754932,0
1,9,99,-0.418902,-0.536971,-3.41916,-3.35117,-0.536971,0
1,7,99,-1.23985,-0.788566,-3.41916,-3.35117,-0.788566,1
1,4,99,-0.16004,-0.38581,-3.41916,-3.35117,-0.38581,0
1,3,99,-1.71446,-0.0320646,-3.41916,-3.35117,-0.0320646,1
1,2,99,-0.27582,0.352576,-3.41916,-3.35117,0.352576,1
1,1,99,-0.537926,0.64028,-3.41916,-3.35117,0.64028,1
1,20,98,-1.82587,-2.05296,-3.41916,-3.12829,-2.05296,0
1,19,98,-1.25366,-2.12485,-3.41916,-3.12829,-2.12485,0
1,18,98,-0.634022,-1.27357,-3.41916,-3.12829,-1.27357,0
1,17,98,-0.371658,-0.0138358,-3.41916,-3.12829,-0.0138358,1
1,15,98,-0.346405,-0.631052,-3.41916,-3.12829,-0.631052,0
1,13,98,-0.330962,-0.510384,-3.41916,-3.12829,-0.330962,0
1,12,98,-0.874277,-0.467117,-3.41916,-3.12829,-0.467117,1
1,9,98,-0.384272,-0.446383,-3.41916,-3.12829,-0.446383,0
1,7,98,-0.676633,-0.691954,-3.41916,-3.12829,-0.691954,0
1,4,98,-0.0704622,-0.291463,-3.41916,-3.12829,-0.291463,0
1,3,98,-1.5867,-0.0396831,-3.41916,-3.12829,-0.0396831,1
1,2,98,-0.237766,0.359355,-3.41916,-3.12829,0.359355,1
1,1,98,-0.555821,0.68582,-3.41916,-3.12829,0.68582,1
1,20,97,-1.2688,-1.98758,-3.41916,-2.81209,-1.2688,0
1,19,97,-1.56796,-2.18983,-3.41916,-2.81209,-2.18983,0
1,18,97,-0.534012,-1.01324,-3.41916,-2.81209,-1.01324,0
1,17,97,-0.572934,0.169341,-3.41916,-2.81209,0.169341,1
1,15,97,0.012157,-0.425238,-3.41916,-2.81209,-0.425238,0
1,13,97,-0.177257,-0.44577,-3.41916,-2.81209,-0.44577,0
1,12,97,-0.549042,-0.256227,-3.41916,-2.81209,-0.256227,1
1,7,97,-0.353054,-0.675033,-3.41916,-2.81209,-0.675033,0
1,4,97,0.00383092,-0.321868,-3.41916,-2.81209,-0.321868,0
1,3,97,-1.54683,0.0824162,-3.41916,-2.81209,0.0824162,1
1,2,97,-0.0139123,0.530957,-3.41916,-2.81209,0.530957,1
1,20,96,-1.10163,-1.70977,-3.41916,-2.99602,-1.70977,0
1,19,96,-1.14726,-1.97752,-3.41916,-2.99602,-1.97752,0
1,18,96,-0.692153,-1.22592,-3.41916,-2.99602,-1.22592,0
1,17,96,-0.386796,0.217894,-3.41916,-2.99602,0.217894,1
1,15,96,-0.0514443,-0.279641,-3.41916,-2.99602,-0.279641,0
1,13,96,-0.292341,-0.475781,-3.41916,-2.99602,-0.292341,0
1,12,96,-0.374858,-0.198414,-3.41916,-2.99602,-0.198414,1
1,9,96,-0.0936992,-0.323968,-3.41916,-2.99602,-0.323968,0
1,7,96,-0.414952,-0.647156,-3.41916,-2.99602,-0.647156,0
1,4,96,0.0567979,-0.327204,-3.41916,-2.99602,-0.327204,0
1,3,96,-1.50022,0.0815671,-3.41916,-2.99602,0.0815671,1
1,2,96,0.04888,0.507153,-3.41916,-2.99602,0.507153,1
1,19,95,-1.02282,-1.69274,-3.41916,-2.85377,-1.69274,0
1,17,95,-0.618878,0.283619,-3.41916,-2.85377,0.283619,1
1,15,95,-0.0463847,-0.353862,-3.41916,-2.85377,-0.353862,0
1,13,95,-0.0849382,-0.425649,-3.41916,-2.85377,-0.425649,0
1,7,95,-0.259022,-0.317705,-3.41916,-2.85377,-0.317705,0
1,4,95,0.185687,0.0316363,-3.41916,-2.85377,0.0316363,0
1,2,95,0.0705466,0.431487,-3.41916,-2.85377,0.431487,1
1,1,95,0.0087354,0.735057,-3.41916,-2.85377,0.735057,1
1,19,94,-1.12395,-1.68044,-3.41916,-2.55553,-1.68044,0
1,17,94,-0.34459,0.342756,-3.41916,-2.55553,0.342756,1
1,15,94,0.052719,-0.371043,-3.41916,-2.55553,-0.371043,0
1,13,94,-0.0376947,-0.363537,-3.41916,-2.55553,-0.363537,0
1,7,94,-0.431761,-0.328867,-3.41916,-2.55553,-0.328867,1
1,4,94,0.189893,0.221812,-3.41916,-2.55553,0.221812,1
1,2,94,0.13053,0.651728,-3.41916,-2.55553,0.651728,1
1,1,94,-0.0548661,1.00318,-3.41916,-2.55553,1.00318,1
1,19,93,-0.965582,-1.58912,-3.41916,-2.51688,-1.58912,0
1,17,93,-0.320793,0.521489,-3.41916,-2.51688,0.521489,1
1,15,93,0.0583423,-0.159848,-3.41916,-2.51688,-0.159848,0
1,13,93,-0.087208,-0.163412,-3.41916,-2.51688,-0.163412,0
1,7,93,-0.127328,-0.216623,-3.41916,-2.51688,-0.216623,0
1,4,93,0.161053,0.2393,-3.41916,-2.51688,0.2393,1
1,2,93,0.158667,0.667034,-3.41916,-2.51688,0.667034,1
1,1,93,-0.0208388,0.972251,-3.41916,-2.51688,0.972251,1
1,19,92,-1.03069,-1.70338,-6.43894,-2.39982,-1.70338,0
1,17,92,-0.265246,0.489281,-6.43894,-2.39982,0.489281,1
1,15,92,0.13567,-0.139188,-6.43894,-2.39982,-0.139188,0
1,13,92,-0.0915985,-0.0656564,-6.43894,-2.39982,-0.0656564,1
1,7,92,-0.0299328,0.0757275,-6.43894,-2.39982,0.0757275,1
1,4,92,0.400258,0.296944,-6.43894,-2.39982,0.296944,0
1,2,92,0.308998,0.737584,-6.43894,-2.39982,0.737584,1
1,1,92,0.165762,1.05211,-6.43894,-2.39982,1.05211,1
1,19,91,-0.769617,-1.29289,-6.29331,-2.45927,-1.29289,0
1,17,91,-0.30748,0.343574,-6.29331,-2.45927,0.343574,1
1,15,91,0.125435,-0.0368901,-6.29331,-2.45927,0.125435,0
1,13,91,0.187769,0.13527,-6.29331,-2.45927,0.13527,0
1,7,91,0.0155827,0.031781,-6.29331,-2.45927,0.031781,1
1,4,91,0.137305,0.118341,-6.29331,-2.45927,0.118341,0
1,2,91,0.281931,0.448656,-6.29331,-2.45927,0.448656,1
