Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.692308,-1.83455,-3.41916,-3.35117,-1.83455,0
1,19,99,-1.59195,-1.68376,-3.41916,-3.35117,-1.68376,0
1,18,99,-0.575803,-0.73171,-3.41916,-3.35117,-0.73171,0
1,17,99,-0.167511,-0.348628,-3.41916,-3.35117,-0.348628,0
1,15,99,0.199472,-0.111056,-3.41916,-3.35117,-0.111056,0
1,13,99,-0.868733,-0.454927,-3.41916,-3.35117,-0.454927,1
1,12,99,-1.19537,-1.15233,-3.41916,-3.35117,-1.19537,1
1,10,99,0.0139458,-0.491954,-3.41916,-3.35117,-0.491954,0
1,9,99,-0.421308,0.108279,-3.41916,-3.35117,0.108279,1
1,7,99,0.159134,-0.242405,-3.41916,-3.35117,-0.242405,0
1,4,99,-0.61882,0.19631,-3.41916,-3.35117,0.19631,1
1,3,99,0.190741,0.848044,-3.41916,-3.35117,0.848044,1
1,2,99,-0.189844,0.745556,-3.41916,-3.35117,0.745556,1
1,1,99,-0.839048,0.310569,-3.41916,-3.35117,0.310569,1
1,20,98,-1.13353,-2.01116,-3.41916,-3.12829,-2.01116,0
1,19,98,-0.78904,-1.41826,-3.41916,-3.12829,-1.41826,0
1,18,98,-0.793413,-0.804213,-3.41916,-3.12829,-0.804213,0
1,17,98,0.16351,-0.346041,-3.41916,-3.12829,-0.346041,0
1,15,98,0.0331279,-0.17238,-3.41916,-3.12829,-0.17238,0
1,13,98,-0.530253,-0.39466,-3.41916,-3.12829,-0.530253,1
1,12,98,-0.759375,-0.926607,-3.41916,-3.12829,-0.926607,0
1,9,98,-0.217593,0.12993,-3.41916,-3.12829,0.12993,1
1,7,98,0.331515,-0.0784142,-3.41916,-3.12829,-0.0784142,0
1,4,98,-0.260994,0.258033,-3.41916,-3.12829,0.258033,1
1,3,98,0.257404,0.911347,-3.41916,-3.12829,0.911347,1
1,2,98,-0.0477786,0.879429,-3.41916,-3.12829,0.879429,1
1,1,98,-0.395466,0.584353,-3.41916,-3.12829,0.584353,1
1,20,97,-0.836766,-1.85493,-3.41916,-2.81209,-0.836766,0
1,19,97,-1.32497,-1.77448,-3.41916,-2.81209,-1.77448,0
1,18,97,-0.371815,-0.468199,-3.41916,-2.81209,-0.468199,0
1,17,97,-0.201135,-0.318954,-3.41916,-2.81209,-0.318954,0
1,15,97,0.277365,-0.216752,-3.41916,-2.81209,-0.216752,0
1,13,97,-0.0528609,-0.0586228,-3.41916,-2.81209,-0.0586228,0
1,12,97,-0.409963,-0.485027,-3.41916,-2.81209,-0.485027,0
1,7,97,0.352365,-0.10908,-3.41916,-2.81209,-0.10908,0
1,4,97,-0.145666,0.308155,-3.41916,-2.81209,0.308155,1
1,3,97,0.403259,0.948512,-3.41916,-2.81209,0.948512,1
1,2,97,0.560282,0.902897,-3.41916,-2.81209,0.902897,1
1,20,96,-0.591978,-1.57858,-3.41916,-2.99602,-1.57858,0
1,19,96,-0.916846,-1.29386,-3.41916,-2.99602,-1.29386,0
1,18,96,-0.685473,-0.820061,-3.41916,-2.99602,-0.820061,0
1,17,96,0.168316,-0.0697211,-3.41916,-2.99602,-0.0697211,0
1,15,96,0.303073,-0.103356,-3.41916,-2.99602,-0.103356,0
1,13,96,-0.152063,-0.253674,-3.41916,-2.99602,-0.152063,0
1,12,96,-0.455374,-0.538044,-3.41916,-2.99602,-0.538044,0
1,9,96,0.0241802,0.418969,-3.41916,-2.99602,0.418969,1
1,7,96,0.534999,0.223818,-3.41916,-2.99602,0.223818,0
1,4,96,-0.0114563,0.324448,-3.41916,-2.99602,0.324448,1
1,3,96,0.347566,0.976225,-3.41916,-2.99602,0.976225,1
1,2,96,0.548041,0.908511,-3.41916,-2.99602,0.908511,1
1,19,95,-0.855685,-1.19713,-3.41916,-2.85377,-1.19713,0
