Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.71688,-2.10643,-3.41916,-3.35117,-2.10643,0
1,19,99,-2.07317,-1.99952,-3.41916,-3.35117,-1.99952,1
1,18,99,-1.027,-1.74501,-3.41916,-3.35117,-1.74501,0
1,17,99,-0.551291,-0.989964,-3.41916,-3.35117,-0.989964,0
1,15,99,-0.496649,-1.20007,-3.41916,-3.35117,-1.20007,0
1,13,99,-1.92858,-0.8056,-3.41916,-3.35117,-0.8056,1
1,12,99,-1.79241,-1.03368,-3.41916,-3.35117,-1.79241,1
1,10,99,-1.29983,-1.91282,-3.41916,-3.35117,-1.29983,0
1,9,99,-1.08766,-0.112913,-3.41916,-3.35117,-0.112913,1
1,7,99,-0.85962,-0.833935,-3.41916,-3.35117,-0.833935,1
1,4,99,-0.613337,-0.967191,-3.41916,-3.35117,-0.967191,0
1,3,99,-2.43759,-0.94925,-3.41916,-3.35117,-0.94925,1
1,2,99,-0.865129,-0.704239,-3.41916,-3.35117,-0.704239,1
1,1,99,-1.33902,-0.527179,-3.41916,-3.35117,-0.527179,1
1,20,98,-1.92335,-2.16353,-3.41916,-3.12829,-2.16353,0
1,19,98,-1.71804,-1.74426,-3.41916,-3.12829,-1.74426,0
1,18,98,-1.11505,-1.87946,-3.41916,-3.12829,-1.87946,0
1,17,98,-0.514716,-1.01582,-3.41916,-3.12829,-1.01582,0
1,15,98,-0.721141,-1.28087,-3.41916,-3.12829,-1.28087,0
1,13,98,-1.68011,-0.754297,-3.41916,-3.12829,-1.68011,1
1,12,98,-1.57426,-0.784521,-3.41916,-3.12829,-0.784521,1
1,9,98,-1.12958,-0.112606,-3.41916,-3.12829,-0.112606,1
1,7,98,-0.793958,-0.790145,-3.41916,-3.12829,-0.790145,1
1,4,98,-0.580908,-0.997476,-3.41916,-3.12829,-0.997476,0
1,3,98,-2.37592,-0.934516,-3.41916,-3.12829,-0.934516,1
1,2,98,-0.90337,-0.64121,-3.41916,-3.12829,-0.64121,1
1,1,98,-0.907309,-0.186455,-3.41916,-3.12829,-0.186455,1
1,20,97,-1.65541,-1.99537,-3.41916,-2.81209,-1.65541,0
1,19,97,-1.92036,-2.03827,-3.41916,-2.81209,-2.03827,0
1,18,97,-0.913291,-1.5881,-3.41916,-2.81209,-1.5881,0
1,17,97,-0.675871,-0.925449,-3.41916,-2.81209,-0.925449,0
1,15,97,-0.539307,-1.07525,-3.41916,-2.81209,-1.07525,0
