Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.721664,-1.68574,-3.41916,-3.35117,-1.68574,0
1,19,99,-1.84757,-2.12223,-3.41916,-3.35117,-2.12223,0
1,18,99,-1.16046,-1.52517,-3.41916,-3.35117,-1.52517,0
1,17,99,-0.125558,-1.24359,-3.41916,-3.35117,-1.24359,0
1,15,99,-0.169451,-0.839817,-3.41916,-3.35117,-0.839817,0
1,13,99,-0.753144,-1.22228,-3.41916,-3.35117,-1.22228,0
1,12,99,-1.78241,-1.19927,-3.41916,-3.35117,-1.78241,1
1,10,99,-1.77349,-2.94469,-3.41916,-3.35117,-1.77349,0
1,9,99,-1.49754,-1.11531,-3.41916,-3.35117,-1.11531,1
1,7,99,-1.75054,-0.180682,-3.41916,-3.35117,-0.180682,1
1,4,99,-1.50066,-0.989712,-3.41916,-3.35117,-0.989712,1
1,3,99,-1.17335,-0.61142,-3.41916,-3.35117,-0.61142,1
1,2,99,-2.23284,0.303922,-3.41916,-3.35117,0.303922,1
1,1,99,-1.87556,-0.638809,-3.41916,-3.35117,-0.638809,1
1,20,98,-1.04069,-1.90957,-3.41916,-3.12829,-1.90957,0
1,19,98,-1.18177,-1.81232,-3.41916,-3.12829,-1.81232,0
1,18,98,-1.68988,-1.68938,-3.41916,-3.12829,-1.68938,1
1,17,98,0.0742503,-1.17033,-3.41916,-3.12829,-1.17033,0
1,15,98,-0.128605,-0.888585,-3.41916,-3.12829,-0.888585,0
1,13,98,-0.499825,-1.1042,-3.41916,-3.12829,-0.499825,0
1,12,98,-1.40937,-1.01846,-3.41916,-3.12829,-1.01846,1
1,9,98,-1.4368,-1.10968,-3.41916,-3.12829,-1.10968,1
1,7,98,-1.61073,-0.171026,-3.41916,-3.12829,-0.171026,1
1,4,98,-1.36058,-0.834094,-3.41916,-3.12829,-0.834094,1
1,3,98,-1.06334,-0.442032,-3.41916,-3.12829,-0.442032,1
1,2,98,-1.60171,0.416048,-3.41916,-3.12829,0.416048,1
1,1,98,-0.911041,-0.53533,-3.41916,-3.12829,-0.53533,1
1,20,97,-0.843457,-1.72492,-3.41916,-2.81209,-0.843457,0
1,19,97,-1.64085,-2.10755,-3.41916,-2.81209,-2.10755,0
1,18,97,-1.13728,-1.20657,-3.41916,-2.81209,-1.20657,0
1,17,97,-0.0338462,-1.51161,-3.41916,-2.81209,-1.51161,0
1,15,97,-0.0499082,-0.736267,-3.41916,-2.81209,-0.736267,0
1,13,97,-0.303223,-1.07217,-3.41916,-2.81209,-1.07217,0
1,12,97,-1.08011,-0.823461,-3.41916,-2.81209,-0.823461,1
1,7,97,-1.24832,-0.000858811,-3.41916,-2.81209,-0.000858811,1
1,4,97,-1.07802,-0.866312,-3.41916,-2.81209,-0.866312,1
1,3,97,-0.899574,-0.402891,-3.41916,-2.81209,-0.402891,1
1,2,97,-1.69649,0.538442,-3.41916,-2.81209,0.538442,1
1,20,96,-0.780368,-1.62121,-3.41916,-2.99602,-1.62121,0
1,19,96,-1.3394,-1.5767,-3.41916,-2.99602,-1.5767,0
1,18,96,-1.51985,-1.61443,-3.41916,-2.99602,-1.61443,0
1,17,96,0.205379,-1.10807,-3.41916,-2.99602,-1.10807,0
1,15,96,0.034389,-0.649296,-3.41916,-2.99602,-0.649296,0
1,13,96,-0.343256,-0.999784,-3.41916,-2.99602,-0.343256,0
1,12,96,-1.05794,-0.789715,-3.41916,-2.99602,-0.789715,1
1,9,96,-0.726319,-0.771967,-3.41916,-2.99602,-0.771967,0
1,7,96,-1.46609,0.0230605,-3.41916,-2.99602,0.0230605,1
1,4,96,-0.938934,-0.770296,-3.41916,-2.99602,-0.770296,1
1,3,96,-0.629159,-0.355132,-3.41916,-2.99602,-0.355132,1
1,2,96,-1.50956,0.566363,-3.41916,-2.99602,0.566363,1
1,19,95,-1.27577,-1.51637,-3.41916,-2.85377,-1.51637,0
1,17,95,-0.00857114,-1.41538,-3.41916,-2.85377,-1.41538,0
1,15,95,-0.0640932,-0.653513,-3.41916,-2.85377,-0.653513,0
1,13,95,-0.174281,-0.977472,-3.41916,-2.85377,-0.977472,0
1,7,95,-0.907092,0.050522,-3.41916,-2.85377,0.050522,1
1,4,95,-0.790293,-0.458499,-3.41916,-2.85377,-0.458499,1
1,2,95,-1.50851,0.290658,-3.41916,-2.85377,0.290658,1
1,1,95,-1.34567,-0.390871,-3.41916,-2.85377,-0.390871,1
1,19,94,-1.26982,-1.46553,-3.41916,-2.55553,-1.46553,0
1,17,94,0.0866058,-1.06416,-3.41916,-2.55553,-1.06416,0
1,15,94,0.193458,-0.593672,-3.41916,-2.55553,-0.593672,0
1,13,94,-0.0825472,-0.863651,-3.41916,-2.55553,-0.863651,0
1,7,94,-0.746678,0.280278,-3.41916,-2.55553,0.280278,1
1,4,94,-0.777664,-0.20101,-3.41916,-2.55553,-0.20101,1
