Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.605007,-1.77422,-3.41916,-3.35117,-1.77422,0
1,19,99,-1.47738,-1.41562,-3.41916,-3.35117,-1.41562,1
1,18,99,-0.569691,-1.02324,-3.41916,-3.35117,-1.02324,0
1,17,99,-0.371356,-0.459661,-3.41916,-3.35117,-0.459661,0
1,15,99,-0.309291,0.456172,-3.41916,-3.35117,0.456172,1
1,13,99,-0.37245,-0.3898,-3.41916,-3.35117,-0.3898,0
1,12,99,-0.970582,-1.26111,-3.41916,-3.35117,-0.970582,0
1,10,99,0.0526523,0.339011,-3.41916,-3.35117,0.0526523,1
1,9,99,-0.544546,-0.484696,-3.41916,-3.35117,-0.484696,1
1,7,99,0.154663,0.248906,-3.41916,-3.35117,0.248906,1
1,4,99,1.55177,0.608952,-3.41916,-3.35117,0.608952,0
1,3,99,0.063505,0.419447,-3.41916,-3.35117,0.419447,1
1,2,99,0.664726,0.782985,-3.41916,-3.35117,0.782985,1
1,1,99,-0.314966,0.842263,-3.41916,-3.35117,0.842263,1
1,20,98,-0.399043,-1.81136,-3.41916,-3.12829,-1.81136,0
1,19,98,-1.18138,-1.2938,-3.41916,-3.12829,-1.2938,0
1,18,98,-0.598427,-1.18348,-3.41916,-3.12829,-1.18348,0
1,17,98,-0.168381,-0.392356,-3.41916,-3.12829,-0.392356,0
1,15,98,-0.537744,0.413028,-3.41916,-3.12829,0.413028,1
1,13,98,-0.339006,-0.330471,-3.41916,-3.12829,-0.339006,1
1,12,98,-0.923308,-1.08892,-3.41916,-3.12829,-1.08892,0
1,9,98,-0.559776,-0.531576,-3.41916,-3.12829,-0.531576,1
1,7,98,0.176094,0.243828,-3.41916,-3.12829,0.243828,1
1,4,98,2.0637,0.619015,-3.41916,-3.12829,0.619015,0
1,3,98,0.424091,0.480354,-3.41916,-3.12829,0.480354,1
1,2,98,0.712789,0.79879,-3.41916,-3.12829,0.79879,1
1,1,98,-0.193079,0.985478,-3.41916,-3.12829,0.985478,1
1,20,97,-0.559307,-1.68411,-3.41916,-2.81209,-0.559307,0
1,19,97,-1.28361,-1.26736,-3.41916,-2.81209,-1.26736,1
1,18,97,-0.559405,-1.38554,-3.41916,-2.81209,-1.38554,0
1,17,97,-0.279041,-0.380421,-3.41916,-2.81209,-0.380421,0
1,15,97,-0.275238,0.54323,-3.41916,-2.81209,0.54323,1
1,13,97,0.0140994,-0.13373,-3.41916,-2.81209,-0.13373,0
1,12,97,-0.597865,-1.13719,-3.41916,-2.81209,-1.13719,0
1,7,97,0.240067,0.331176,-3.41916,-2.81209,0.331176,1
1,4,97,2.033,0.615334,-3.41916,-2.81209,0.615334,0
1,3,97,0.464864,0.480794,-3.41916,-2.81209,0.480794,1
1,2,97,0.774528,0.70312,-3.41916,-2.81209,0.70312,0
1,20,96,-0.37881,-1.42904,-3.41916,-2.99602,-1.42904,0
1,19,96,-1.09585,-1.36126,-3.41916,-2.99602,-1.36126,0
1,18,96,-0.595199,-0.995775,-3.41916,-2.99602,-0.995775,0
1,17,96,-0.048385,-0.231546,-3.41916,-2.99602,-0.231546,0
1,15,96,-0.188848,0.586188,-3.41916,-2.99602,0.586188,1
1,13,96,-0.0499323,-0.318427,-3.41916,-2.99602,-0.0499323,0
1,12,96,-0.394306,-1.03085,-3.41916,-2.99602,-1.03085,0
1,9,96,-0.237319,-0.380461,-3.41916,-2.99602,-0.380461,0
1,7,96,0.223382,0.110844,-3.41916,-2.99602,0.110844,0
1,4,96,2.06271,0.718914,-3.41916,-2.99602,0.718914,0
1,3,96,0.498384,0.567863,-3.41916,-2.99602,0.567863,1
1,2,96,0.792928,0.877259,-3.41916,-2.99602,0.877259,1
1,19,95,-0.972671,-1.03328,-3.41916,-2.85377,-1.03328,0
1,17,95,-0.324919,-0.351641,-3.41916,-2.85377,-0.351641,0
1,15,95,-0.134879,0.716789,-3.41916,-2.85377,0.716789,1
1,13,95,0.13683,-0.140181,-3.41916,-2.85377,-0.140181,0
1,7,95,0.233524,0.264425,-3.41916,-2.85377,0.264425,1
1,4,95,2.03638,0.728732,-3.41916,-2.85377,0.728732,0
1,2,95,0.829175,0.861342,-3.41916,-2.85377,0.861342,1
1,1,95,0.506931,1.1019,-3.41916,-2.85377,1.1019,1
1,19,94,-0.67897,-0.947614,-3.41916,-2.55553,-0.947614,0
1,17,94,0.0531353,-0.141485,-3.41916,-2.55553,-0.141485,0
1,15,94,-0.0696781,0.702882,-3.41916,-2.55553,0.702882,1
1,13,94,0.19933,-0.0959401,-3.41916,-2.55553,-0.0959401,0
1,7,94,0.398767,0.417647,-3.41916,-2.55553,0.417647,1
1,4,94,2.12487,0.773244,-3.41916,-2.55553,0.773244,0
1,2,94,0.924395,0.959027,-3.41916,-2.55553,0.959027,1
1,1,94,0.539607,1.19,-3.41916,-2.55553,1.19,1
1,19,93,-0.867191,-0.733021,-3.41916,-2.51688,-0.733021,1
1,17,93,0.0968492,-0.0291799,-3.41916,-2.51688,-0.0291799,0
1,15,93,-0.0780598,0.914276,-3.41916,-2.51688,-0.0780598,1
1,13,93,0.196211,0.158446,-3.41916,-2.51688,0.158446,0
1,7,93,0.441988,0.452951,-3.41916,-2.51688,0.452951,1
1,4,93,2.12967,0.923759,-3.41916,-2.51688,0.923759,0
1,2,93,0.964671,1.04263,-3.41916,-2.51688,1.04263,1
1,1,93,0.597609,1.27855,-3.41916,-2.51688,1.27855,1
1,19,92,-0.874897,-0.773517,-6.43894,-2.39982,-0.773517,1
1,17,92,0.218395,-0.0314367,-6.43894,-2.39982,-0.0314367,0
1,15,92,0.0315358,0.964871,-6.43894,-2.39982,0.964871,1
1,13,92,0.204968,0.374944,-6.43894,-2.39982,0.374944,1
1,7,92,0.553907,0.519656,-6.43894,-2.39982,0.519656,0
1,4,92,2.10776,0.837261,-6.43894,-2.39982,0.837261,0
1,2,92,0.995485,1.09021,-6.43894,-2.39982,1.09021,1
1,1,92,0.673875,1.30293,-6.43894,-2.39982,1.30293,1
1,19,91,-0.802873,-0.56701,-6.29331,-2.45927,-0.56701,1
1,17,91,0.280734,0.0749415,-6.29331,-2.45927,0.0749415,0
1,15,91,0.245876,1.11983,-6.29331,-2.45927,0.245876,1
1,13,91,0.349997,0.306276,-6.29331,-2.45927,0.306276,0
1,7,91,0.500858,0.514751,-6.29331,-2.45927,0.514751,1
1,4,91,2.25987,0.973303,-6.29331,-2.45927,0.973303,0
1,2,91,1.0505,0.771797,-6.29331,-2.45927,0.771797,0
1,1,91,0.721725,1.3236,-6.29331,-2.45927,1.3236,1
1,19,90,-0.886561,-0.722167,-6.05291,-2.36134,-0.722167,1
1,17,90,0.280785,0.0814646,-6.05291,-2.36134,0.0814646,0
1,15,90,0.325838,1.15347,-6.05291,-2.36134,1.15347,1
1,13,90,0.228731,0.421257,-6.05291,-2.36134,0.421257,1
1,7,90,0.426994,0.436891,-6.05291,-2.36134,0.436891,1
1,4,90,2.25327,0.988883,-6.05291,-2.36134,0.988883,0
1,2,90,0.868356,1.14504,-6.05291,-2.36134,1.14504,1
1,1,90,0.767464,1.38365,-6.05291,-2.36134,1.38365,1
1,19,89,-1.10562,-0.857623,-5.75042,-2.39784,-0.857623,1
1,17,89,0.483536,0.207971,-5.75042,-2.39784,0.483536,0
1,15,89,0.316529,1.15127,-5.75042,-2.39784,1.15127,1
1,13,89,0.493395,0.437424,-5.75042,-2.39784,0.437424,0
1,7,89,0.508852,0.505603,-5.75042,-2.39784,0.505603,0
1,4,89,2.34314,1.09738,-5.75042,-2.39784,1.09738,0
1,2,89,1.11188,1.32514,-5.75042,-2.39784,1.32514,1
1,1,89,0.713987,1.20199,-5.75042,-2.39784,1.20199,1
1,19,88,-0.771372,-0.571295,-5.55605,-2.24038,-0.771372,1
1,17,88,0.368686,0.181324,-5.55605,-2.24038,0.181324,0
1,15,88,0.295763,1.1949,-5.55605,-2.24038,1.1949,1
1,13,88,0.598569,0.532832,-5.55605,-2.24038,0.532832,0
1,7,88,0.618951,0.62719,-5.55605,-2.24038,0.62719,1
1,4,88,2.36992,1.07714,-5.55605,-2.24038,1.07714,0
1,2,88,1.067,1.22265,-5.55605,-2.24038,1.22265,1
1,1,88,0.620338,1.44579,-5.55605,-2.24038,1.44579,1
1,19,87,-1.08725,-0.205135,-5.60239,-2.09737,-0.205135,1
1,17,87,0.0983746,0.0691722,-5.60239,-2.09737,0.0691722,0
1,15,87,0.342807,1.20482,-5.60239,-2.09737,1.20482,1
1,13,87,0.849758,0.547579,-5.60239,-2.09737,0.547579,0
1,7,87,0.638817,0.679309,-5.60239,-2.09737,0.679309,1
1,4,87,2.42954,1.13809,-5.60239,-2.09737,1.13809,0
1,2,87,1.18058,1.36651,-5.60239,-2.09737,1.36651,1
1,1,87,0.767497,1.44336,-5.60239,-2.09737,1.44336,1
1,19,86,-0.873681,-0.113051,-5.61978,-2.01828,-0.113051,1
1,17,86,0.310545,0.361617,-5.61978,-2.01828,0.310545,1
1,15,86,0.154492,1.30356,-5.61978,-2.01828,1.30356,1
1,13,86,0.764396,0.596481,-5.61978,-2.01828,0.764396,0
1,7,86,0.648116,0.691515,-5.61978,-2.01828,0.691515,1
1,4,86,2.42996,1.05093,-5.61978,-2.01828,1.05093,0
1,2,86,1.13095,1.40869,-5.61978,-2.01828,1.40869,1
1,1,86,0.64808,1.38254,-5.61978,-2.01828,1.38254,1
1,19,85,-0.404622,-0.358373,-5.14185,-2.10808,-0.358373,1
1,17,85,-0.228985,0.18393,-5.14185,-2.10808,0.18393,1
1,15,85,-0.383864,0.00353773,-5.14185,-2.10808,0.00353773,1
1,13,85,0.0766177,0.223756,-5.14185,-2.10808,0.223756,1
1,7,85,0.898978,0.399057,-5.14185,-2.10808,0.399057,0
1,4,85,0.731362,0.543371,-5.14185,-2.10808,0.543371,0
1,2,85,1.01428,0.249305,-5.14185,-2.10808,0.249305,0
1,1,85,1.3274,1.5533,-5.14185,-2.10808,1.5533,1
1,19,84,-0.36474,-0.319393,-5.35927,-2.00544,-0.319393,1
1,17,84,-0.176191,0.389079,-5.35927,-2.00544,0.389079,1
1,15,84,-0.143213,0.181052,-5.35927,-2.00544,0.181052,1
1,13,84,0.00274914,0.100587,-5.35927,-2.00544,0.100587,1
1,7,84,0.817601,-0.214439,-5.35927,-2.00544,-0.214439,0
1,4,84,0.901307,0.736627,-5.35927,-2.00544,0.736627,0
1,2,84,1.21218,0.323901,-5.35927,-2.00544,0.323901,0
1,1,84,1.32274,1.64601,-5.35927,-2.00544,1.64601,1
