Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.934772,-1.87038,-3.41916,-3.35117,-1.87038,0
1,19,99,-1.56215,-1.43874,-3.41916,-3.35117,-1.43874,1
1,18,99,-1.01185,-0.872484,-3.41916,-3.35117,-0.872484,1
1,17,99,-0.629316,-0.428996,-3.41916,-3.35117,-0.428996,1
1,15,99,-0.0259257,-0.522805,-3.41916,-3.35117,-0.522805,0
1,13,99,-1.64559,-0.0972903,-3.41916,-3.35117,-0.0972903,1
1,12,99,-1.02529,-0.652323,-3.41916,-3.35117,-1.02529,1
1,10,99,0.337831,1.50133,-3.41916,-3.35117,0.337831,1
1,9,99,-0.390317,0.3662,-3.41916,-3.35117,0.3662,1
1,7,99,0.204975,0.446079,-3.41916,-3.35117,0.446079,1
1,4,99,1.39828,-0.251505,-3.41916,-3.35117,-0.251505,0
1,3,99,0.913592,0.489921,-3.41916,-3.35117,0.489921,0
1,2,99,0.726694,0.624652,-3.41916,-3.35117,0.624652,0
1,1,99,1.31823,1.225,-3.41916,-3.35117,1.225,0
1,20,98,-1.16958,-2.06218,-3.41916,-3.12829,-2.06218,0
1,19,98,-1.03544,-1.36419,-3.41916,-3.12829,-1.36419,0
1,18,98,-1.46445,-1.16491,-3.41916,-3.12829,-1.16491,1
1,17,98,-0.41881,-0.279718,-3.41916,-3.12829,-0.279718,1
1,15,98,0.0507893,-0.291893,-3.41916,-3.12829,-0.291893,0
1,13,98,-1.37102,-0.00506032,-3.41916,-3.12829,-1.37102,1
1,12,98,-0.90185,-0.224867,-3.41916,-3.12829,-0.224867,1
1,9,98,0.137425,0.516792,-3.41916,-3.12829,0.516792,1
1,7,98,0.275,0.383052,-3.41916,-3.12829,0.383052,1
1,4,98,1.97118,-0.141192,-3.41916,-3.12829,-0.141192,0
1,3,98,0.809213,0.850391,-3.41916,-3.12829,0.850391,1
1,2,98,0.692738,0.803291,-3.41916,-3.12829,0.803291,1
1,1,98,0.783844,1.3341,-3.41916,-3.12829,1.3341,1
1,20,97,-0.718467,-1.68214,-3.41916,-2.81209,-0.718467,0
1,19,97,-1.32029,-1.55959,-3.41916,-2.81209,-1.55959,0
1,18,97,-1.0719,-0.78205,-3.41916,-2.81209,-0.78205,1
1,17,97,-0.791417,-0.664161,-3.41916,-2.81209,-0.664161,1
1,15,97,0.249726,-0.0690464,-3.41916,-2.81209,-0.0690464,0
1,13,97,-1.0468,0.143038,-3.41916,-2.81209,0.143038,1
1,12,97,-0.600484,-0.110322,-3.41916,-2.81209,-0.110322,1
1,7,97,0.288116,0.435773,-3.41916,-2.81209,0.435773,1
1,4,97,1.79259,-0.0908971,-3.41916,-2.81209,-0.0908971,0
1,3,97,0.619185,0.707721,-3.41916,-2.81209,0.707721,1
1,2,97,0.51925,0.672997,-3.41916,-2.81209,0.672997,1
1,20,96,-0.66568,-1.52598,-3.41916,-2.99602,-1.52598,0
1,19,96,-0.888347,-1.07679,-3.41916,-2.99602,-1.07679,0
1,18,96,-1.30921,-0.770304,-3.41916,-2.99602,-0.770304,1
1,17,96,-0.487482,-0.278736,-3.41916,-2.99602,-0.278736,1
1,15,96,0.421937,0.00473021,-3.41916,-2.99602,0.00473021,0
1,13,96,-1.08524,0.14912,-3.41916,-2.99602,-1.08524,1
1,12,96,-0.60716,0.0371996,-3.41916,-2.99602,0.0371996,1
1,9,96,0.115428,0.502031,-3.41916,-2.99602,0.502031,1
1,7,96,0.310184,0.408731,-3.41916,-2.99602,0.408731,1
1,4,96,1.95953,-0.213498,-3.41916,-2.99602,-0.213498,0
1,3,96,0.934987,0.754316,-3.41916,-2.99602,0.754316,0
1,2,96,1.03674,0.677284,-3.41916,-2.99602,0.677284,0
1,19,95,-0.928449,-1.03028,-3.41916,-2.85377,-1.03028,0
1,17,95,-0.608305,-0.257856,-3.41916,-2.85377,-0.257856,1
1,15,95,0.279993,-0.00589829,-3.41916,-2.85377,-0.00589829,0
1,13,95,-0.86142,0.180721,-3.41916,-2.85377,0.180721,1
1,7,95,0.194058,0.207269,-3.41916,-2.85377,0.207269,1
1,4,95,1.88745,-0.0341724,-3.41916,-2.85377,-0.0341724,0
1,2,95,1.03508,0.873314,-3.41916,-2.85377,0.873314,0
1,1,95,0.771551,1.03535,-3.41916,-2.85377,1.03535,1
1,19,94,-0.990642,-0.933069,-3.41916,-2.55553,-0.933069,1
1,17,94,-0.303941,-0.184935,-3.41916,-2.55553,-0.184935,1
1,15,94,0.329438,0.0834738,-3.41916,-2.55553,0.0834738,0
1,13,94,-0.726549,0.483223,-3.41916,-2.55553,0.483223,1
1,7,94,0.317601,0.540598,-3.41916,-2.55553,0.540598,1
1,4,94,1.88662,-0.23585,-3.41916,-2.55553,-0.23585,0
1,2,94,1.08327,0.716191,-3.41916,-2.55553,0.716191,0
1,1,94,1.28287,1.3564,-3.41916,-2.55553,1.3564,1
1,19,93,-0.616979,-0.947185,-3.41916,-2.51688,-0.947185,0
1,17,93,-0.426619,-0.603405,-3.41916,-2.51688,-0.603405,0
1,15,93,0.378273,0.147139,-3.41916,-2.51688,0.147139,0
1,13,93,-0.79232,0.380169,-3.41916,-2.51688,0.380169,1
1,7,93,0.383797,0.389872,-3.41916,-2.51688,0.389872,1
1,4,93,1.98649,-0.038992,-3.41916,-2.51688,-0.038992,0
1,2,93,1.11978,0.924478,-3.41916,-2.51688,0.924478,0
1,1,93,1.36223,1.37106,-3.41916,-2.51688,1.37106,1
1,19,92,-0.772736,-1.37048,-6.43894,-2.39982,-1.37048,0
1,17,92,-0.569057,-0.325127,-6.43894,-2.39982,-0.325127,1
1,15,92,0.54238,0.166508,-6.43894,-2.39982,0.166508,0
1,13,92,-0.694441,0.776394,-6.43894,-2.39982,0.776394,1
1,7,92,0.335143,0.442501,-6.43894,-2.39982,0.442501,1
1,4,92,1.89452,0.352195,-6.43894,-2.39982,0.352195,0
1,2,92,1.06233,0.924278,-6.43894,-2.39982,0.924278,0
1,1,92,1.46716,1.59886,-6.43894,-2.39982,1.59886,1
1,19,91,-0.289222,-1.01234,-6.29331,-2.45927,-1.01234,0
1,17,91,-0.242605,-0.196943,-6.29331,-2.45927,-0.196943,1
1,15,91,0.154162,0.417728,-6.29331,-2.45927,0.154162,1
1,13,91,-0.803887,0.945656,-6.29331,-2.45927,0.945656,1
1,7,91,0.341098,0.603949,-6.29331,-2.45927,0.603949,1
