Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.436544,-2.72368,-3.41916,-3.35117,-2.72368,0
1,19,99,-1.47482,-2.21592,-3.41916,-3.35117,-2.21592,0
1,18,99,-0.982733,-0.858713,-3.41916,-3.35117,-0.858713,1
1,17,99,-0.456394,-1.10235,-3.41916,-3.35117,-1.10235,0
1,15,99,-0.0764107,-0.729795,-3.41916,-3.35117,-0.729795,0
1,13,99,-1.77814,0.065634,-3.41916,-3.35117,0.065634,1
1,12,99,-1.7387,-0.498911,-3.41916,-3.35117,-1.7387,1
1,10,99,-0.637247,-0.996429,-3.41916,-3.35117,-0.996429,0
1,9,99,-0.838888,-0.786292,-3.41916,-3.35117,-0.786292,1
1,7,99,-1.2686,-0.629114,-3.41916,-3.35117,-0.629114,1
1,4,99,-1.11464,-0.294638,-3.41916,-3.35117,-0.294638,1
1,3,99,-0.302106,-0.00174718,-3.41916,-3.35117,-0.00174718,1
1,2,99,-0.537149,-0.0918535,-3.41916,-3.35117,-0.0918535,1
1,1,99,-0.577354,-0.0973818,-3.41916,-3.35117,-0.0973818,1
1,20,98,-0.833257,-2.76014,-3.41916,-3.12829,-2.76014,0
1,19,98,-0.927703,-2.08709,-3.41916,-3.12829,-2.08709,0
1,18,98,-1.24271,-0.876814,-3.41916,-3.12829,-0.876814,1
1,17,98,-0.27615,-1.04654,-3.41916,-3.12829,-1.04654,0
1,15,98,-0.182394,-0.850955,-3.41916,-3.12829,-0.850955,0
1,13,98,-1.1788,0.157017,-3.41916,-3.12829,-1.1788,1
1,12,98,-1.39747,-0.382356,-3.41916,-3.12829,-0.382356,1
1,9,98,-0.870345,-0.643905,-3.41916,-3.12829,-0.643905,1
1,7,98,-1.18332,-0.517675,-3.41916,-3.12829,-0.517675,1
1,4,98,-0.909311,-0.237752,-3.41916,-3.12829,-0.237752,1
1,3,98,-0.308067,5.04544e-05,-3.41916,-3.12829,5.04544e-05,1
1,2,98,-0.447679,-0.0888537,-3.41916,-3.12829,-0.0888537,1
1,1,98,-0.288613,0.0554941,-3.41916,-3.12829,0.0554941,1
1,20,97,-0.442794,-2.65721,-3.41916,-2.81209,-0.442794,0
1,19,97,-1.19722,-2.09728,-3.41916,-2.81209,-2.09728,0
1,18,97,-0.743225,-0.55698,-3.41916,-2.81209,-0.55698,1
1,17,97,-0.378708,-1.19751,-3.41916,-2.81209,-1.19751,0
1,15,97,0.00565585,-0.707405,-3.41916,-2.81209,-0.707405,0
1,13,97,-0.796887,0.316868,-3.41916,-2.81209,0.316868,1
1,12,97,-0.865282,-0.112234,-3.41916,-2.81209,-0.112234,1
1,7,97,-0.674291,-0.457251,-3.41916,-2.81209,-0.457251,1
1,4,97,-0.828668,-0.196937,-3.41916,-2.81209,-0.196937,1
1,3,97,-0.0778525,0.0260365,-3.41916,-2.81209,0.0260365,1
1,2,97,-0.129064,0.0116248,-3.41916,-2.81209,0.0116248,1
1,20,96,-0.219394,-2.5615,-3.41916,-2.99602,-2.5615,0
1,19,96,-0.905222,-1.93687,-3.41916,-2.99602,-1.93687,0
1,18,96,-1.07751,-0.817247,-3.41916,-2.99602,-0.817247,1
1,17,96,-0.239307,-1.00362,-3.41916,-2.99602,-1.00362,0
1,15,96,0.0614971,-0.622428,-3.41916,-2.99602,-0.622428,0
1,13,96,-0.987316,0.231856,-3.41916,-2.99602,-0.987316,1
1,12,96,-0.783531,-0.0166166,-3.41916,-2.99602,-0.0166166,1
1,9,96,-0.47142,-0.442704,-3.41916,-2.99602,-0.442704,1
1,7,96,-0.452537,-0.392187,-3.41916,-2.99602,-0.392187,1
1,4,96,-0.719129,-0.171766,-3.41916,-2.99602,-0.171766,1
1,3,96,-0.178959,0.0361541,-3.41916,-2.99602,0.0361541,1
1,2,96,-0.105411,0.113243,-3.41916,-2.99602,0.113243,1
1,19,95,-0.802318,-1.68295,-3.41916,-2.85377,-1.68295,0
1,17,95,-0.511115,-1.11579,-3.41916,-2.85377,-1.11579,0
1,15,95,0.0911732,-0.60494,-3.41916,-2.85377,-0.60494,0
1,13,95,-0.717318,0.476285,-3.41916,-2.85377,0.476285,1
1,7,95,-0.37817,-0.377252,-3.41916,-2.85377,-0.377252,1
1,4,95,-0.59043,-0.0607849,-3.41916,-2.85377,-0.0607849,1
1,2,95,-0.0886048,0.118085,-3.41916,-2.85377,0.118085,1
1,1,95,-0.193884,0.216739,-3.41916,-2.85377,0.216739,1
1,19,94,-1.01843,-1.81038,-3.41916,-2.55553,-1.81038,0
1,17,94,-0.171385,-0.972645,-3.41916,-2.55553,-0.972645,0
1,15,94,0.139448,-0.54153,-3.41916,-2.55553,-0.54153,0
1,13,94,-0.580708,0.613303,-3.41916,-2.55553,0.613303,1
1,7,94,-0.283019,-0.335371,-3.41916,-2.55553,-0.335371,0
1,4,94,-0.540727,0.0662803,-3.41916,-2.55553,0.0662803,1
1,2,94,-0.062681,0.198542,-3.41916,-2.55553,0.198542,1
1,1,94,-0.216538,0.118048,-3.41916,-2.55553,0.118048,1
1,19,93,-0.951266,-1.6501,-3.41916,-2.51688,-1.6501,0
1,17,93,-0.0314162,-0.987275,-3.41916,-2.51688,-0.987275,0
