Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.776408,-0.912226,-3.41916,-3.35117,-0.912226,0
1,19,99,-0.85941,-0.685665,-3.41916,-3.35117,-0.685665,1
1,18,99,-0.644939,-0.167351,-3.41916,-3.35117,-0.167351,1
1,17,99,-1.16754,0.141224,-3.41916,-3.35117,0.141224,1
1,15,99,-1.04786,-0.496973,-3.41916,-3.35117,-0.496973,1
1,13,99,-1.23333,-1.37014,-3.41916,-3.35117,-1.37014,0
1,12,99,-0.647312,-0.411058,-3.41916,-3.35117,-0.647312,1
1,10,99,-2.03067,-0.632542,-3.41916,-3.35117,-0.632542,1
1,9,99,-0.598839,0.474003,-3.41916,-3.35117,0.474003,1
1,7,99,0.086596,-0.992648,-3.41916,-3.35117,-0.992648,0
1,4,99,-0.566335,-1.11854,-3.41916,-3.35117,-1.11854,0
1,3,99,-0.506728,-0.962468,-3.41916,-3.35117,-0.962468,0
1,2,99,-0.0988423,0.0305917,-3.41916,-3.35117,0.0305917,1
1,1,99,-0.244221,-0.746964,-3.41916,-3.35117,-0.746964,0
1,20,98,-0.924097,-0.929429,-3.41916,-3.12829,-0.929429,0
1,19,98,-0.490034,-0.452562,-3.41916,-3.12829,-0.452562,1
1,18,98,-0.86323,-0.203264,-3.41916,-3.12829,-0.203264,1
1,17,98,-0.948026,0.237782,-3.41916,-3.12829,0.237782,1
1,15,98,-1.16348,-0.772338,-3.41916,-3.12829,-0.772338,1
1,13,98,-1.16448,-1.33443,-3.41916,-3.12829,-1.16448,0
1,12,98,-0.650867,-0.455641,-3.41916,-3.12829,-0.455641,1
1,9,98,-0.493927,0.50028,-3.41916,-3.12829,0.50028,1
1,7,98,-0.00847275,-0.744985,-3.41916,-3.12829,-0.744985,0
1,4,98,-0.393218,-1.08261,-3.41916,-3.12829,-1.08261,0
1,3,98,-0.298745,-1.13101,-3.41916,-3.12829,-1.13101,0
1,2,98,0.188716,0.0123558,-3.41916,-3.12829,0.0123558,0
1,1,98,-0.11731,-0.748371,-3.41916,-3.12829,-0.748371,0
1,20,97,-0.678725,-0.85864,-3.41916,-2.81209,-0.678725,0
1,19,97,-0.522383,-0.922778,-3.41916,-2.81209,-0.922778,0
1,18,97,-0.504535,-0.000864354,-3.41916,-2.81209,-0.000864354,1
1,17,97,-1.074,-0.279454,-3.41916,-2.81209,-0.279454,1
1,15,97,-0.837784,-0.293881,-3.41916,-2.81209,-0.293881,1
1,13,97,-1.00338,-1.23442,-3.41916,-2.81209,-1.23442,0
1,12,97,-0.556669,-0.351928,-3.41916,-2.81209,-0.351928,1
1,7,97,0.179787,-0.716528,-3.41916,-2.81209,-0.716528,0
1,4,97,-0.39181,-1.28228,-3.41916,-2.81209,-1.28228,0
1,3,97,-0.333731,-0.848184,-3.41916,-2.81209,-0.848184,0
1,2,97,0.0611907,-0.124619,-3.41916,-2.81209,-0.124619,0
1,20,96,-1.05833,-0.848088,-3.41916,-2.99602,-0.848088,1
1,19,96,-0.115501,-0.380153,-3.41916,-2.99602,-0.380153,0
1,18,96,-0.609581,-0.153027,-3.41916,-2.99602,-0.153027,1
1,17,96,-0.73979,0.319101,-3.41916,-2.99602,0.319101,1
1,15,96,-0.826149,-0.27041,-3.41916,-2.99602,-0.27041,1
1,13,96,-1.05924,-1.06486,-3.41916,-2.99602,-1.05924,0
1,12,96,-0.334972,-0.165573,-3.41916,-2.99602,-0.165573,1
1,9,96,-0.404303,0.551597,-3.41916,-2.99602,0.551597,1
1,7,96,0.218506,-0.571327,-3.41916,-2.99602,-0.571327,0
1,4,96,-0.314359,-0.990275,-3.41916,-2.99602,-0.990275,0
1,3,96,-0.650541,-0.821714,-3.41916,-2.99602,-0.821714,0
1,2,96,0.0555472,0.198177,-3.41916,-2.99602,0.198177,1
1,19,95,-0.22938,-0.416579,-3.41916,-2.85377,-0.416579,0
1,17,95,-1.0146,0.279176,-3.41916,-2.85377,0.279176,1
1,15,95,-0.849323,-0.304239,-3.41916,-2.85377,-0.304239,1
1,13,95,-0.869168,-0.971964,-3.41916,-2.85377,-0.971964,0
1,7,95,0.0758425,-0.750487,-3.41916,-2.85377,-0.750487,0
1,4,95,-0.251293,-0.940609,-3.41916,-2.85377,-0.940609,0
1,2,95,0.380088,0.183262,-3.41916,-2.85377,0.183262,0
1,1,95,0.189967,-0.425379,-3.41916,-2.85377,-0.425379,0
1,19,94,0.130856,-0.17633,-3.41916,-2.55553,-0.17633,0
1,17,94,-0.67841,0.341052,-3.41916,-2.55553,0.341052,1
1,15,94,-0.605907,-0.0196111,-3.41916,-2.55553,-0.0196111,1
1,13,94,-0.825441,-0.918713,-3.41916,-2.55553,-0.918713,0
1,7,94,0.345887,-0.37689,-3.41916,-2.55553,-0.37689,0
1,4,94,-0.0715192,-0.991162,-3.41916,-2.55553,-0.991162,0
1,2,94,0.410923,0.0443351,-3.41916,-2.55553,0.0443351,0
1,1,94,-0.0138314,-0.467976,-3.41916,-2.55553,-0.467976,0
1,19,93,0.324939,-0.27131,-3.41916,-2.51688,-0.27131,0
1,17,93,-0.740147,0.172254,-3.41916,-2.51688,0.172254,1
1,15,93,-0.628208,-0.199046,-3.41916,-2.51688,-0.199046,1
1,13,93,-0.84954,-0.874479,-3.41916,-2.51688,-0.874479,0
1,7,93,0.367006,-0.33079,-3.41916,-2.51688,-0.33079,0
1,4,93,-0.0104363,-1.16862,-3.41916,-2.51688,-1.16862,0
1,2,93,0.469725,-0.139869,-3.41916,-2.51688,-0.139869,0
1,1,93,0.208204,-0.468801,-3.41916,-2.51688,-0.468801,0
1,19,92,0.228485,-0.341619,-6.43894,-2.39982,-0.341619,0
1,17,92,-0.481995,0.605612,-6.43894,-2.39982,0.605612,1
1,15,92,-0.504246,0.0672033,-6.43894,-2.39982,0.0672033,1
1,13,92,-0.634759,-0.746233,-6.43894,-2.39982,-0.746233,0
1,7,92,0.575642,-0.239705,-6.43894,-2.39982,-0.239705,0
1,4,92,0.248631,-0.685356,-6.43894,-2.39982,-0.685356,0
1,2,92,0.348512,0.417593,-6.43894,-2.39982,0.417593,1
1,1,92,0.199158,-0.17912,-6.43894,-2.39982,-0.17912,0
1,19,91,0.398124,-0.188894,-6.29331,-2.45927,-0.188894,0
1,17,91,-0.438043,0.600771,-6.29331,-2.45927,0.600771,1
1,15,91,-0.584356,-0.137993,-6.29331,-2.45927,-0.584356,1
1,13,91,-0.537672,-0.728897,-6.29331,-2.45927,-0.728897,0
1,7,91,0.64567,-0.0529867,-6.29331,-2.45927,-0.0529867,0
1,4,91,0.030537,-0.73168,-6.29331,-2.45927,-0.73168,0
1,2,91,0.562316,0.49724,-6.29331,-2.45927,0.49724,0
1,1,91,-0.0848022,-0.192164,-6.29331,-2.45927,-0.192164,0
1,19,90,0.405725,-0.142795,-6.05291,-2.36134,-0.142795,0
1,17,90,-0.499724,0.559872,-6.05291,-2.36134,0.559872,1
1,15,90,-0.27649,0.0774611,-6.05291,-2.36134,0.0774611,1
