Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.566825,-0.0626137,-3.41916,-3.35117,-0.0626137,1
1,19,99,-1.79675,-0.205602,-3.41916,-3.35117,-0.205602,1
1,18,99,-0.698961,-1.05617,-3.41916,-3.35117,-1.05617,0
1,17,99,-1.06901,-0.322536,-3.41916,-3.35117,-0.322536,1
1,15,99,-1.18781,-0.498423,-3.41916,-3.35117,-0.498423,1
1,13,99,-1.17044,-0.674525,-3.41916,-3.35117,-0.674525,1
1,12,99,-0.161333,0.021705,-3.41916,-3.35117,-0.161333,1
1,10,99,-1.71801,0.601613,-3.41916,-3.35117,0.601613,1
1,9,99,-0.941703,-0.990407,-3.41916,-3.35117,-0.990407,0
1,7,99,-0.238809,-0.421506,-3.41916,-3.35117,-0.421506,0
1,4,99,0.0754877,-0.473417,-3.41916,-3.35117,-0.473417,0
1,3,99,0.27186,-0.224,-3.41916,-3.35117,-0.224,0
1,2,99,0.480905,0.231704,-3.41916,-3.35117,0.231704,0
1,1,99,0.565391,0.0973543,-3.41916,-3.35117,0.0973543,0
1,20,98,-1.05054,-0.0828662,-3.41916,-3.12829,-0.0828662,1
1,19,98,-1.37093,-0.416769,-3.41916,-3.12829,-0.416769,1
1,18,98,-0.691457,-1.05946,-3.41916,-3.12829,-1.05946,0
1,17,98,-0.757937,-0.305426,-3.41916,-3.12829,-0.305426,1
1,15,98,-1.42959,-0.819558,-3.41916,-3.12829,-0.819558,1
1,13,98,-1.07795,-0.652715,-3.41916,-3.12829,-1.07795,1
1,12,98,-0.159152,-0.152867,-3.41916,-3.12829,-0.152867,1
1,9,98,-0.846878,-1.02062,-3.41916,-3.12829,-1.02062,0
1,7,98,-0.400821,-0.450807,-3.41916,-3.12829,-0.450807,0
1,4,98,0.14364,-0.54217,-3.41916,-3.12829,-0.54217,0
1,3,98,0.110528,-0.406008,-3.41916,-3.12829,-0.406008,0
1,2,98,0.623673,0.164914,-3.41916,-3.12829,0.164914,0
1,1,98,0.85244,-0.0476668,-3.41916,-3.12829,-0.0476668,0
1,20,97,-0.545108,-0.0242691,-3.41916,-2.81209,-0.545108,1
1,19,97,-1.43588,-0.638177,-3.41916,-2.81209,-0.638177,1
1,18,97,-0.393893,-0.500265,-3.41916,-2.81209,-0.500265,0
1,17,97,-0.719427,-0.50008,-3.41916,-2.81209,-0.50008,1
1,15,97,-0.911999,-0.11467,-3.41916,-2.81209,-0.11467,1
1,13,97,-0.921004,-0.458114,-3.41916,-2.81209,-0.458114,1
1,12,97,-0.0472443,0.0210937,-3.41916,-2.81209,0.0210937,1
1,7,97,-0.383755,-0.611191,-3.41916,-2.81209,-0.611191,0
1,4,97,0.243107,-0.465986,-3.41916,-2.81209,-0.465986,0
1,3,97,0.422215,-0.500895,-3.41916,-2.81209,-0.500895,0
1,2,97,-0.333763,0.0501508,-3.41916,-2.81209,0.0501508,1
1,20,96,-0.805677,-0.00841787,-3.41916,-2.99602,-0.00841787,1
1,19,96,-1.36906,-0.393564,-3.41916,-2.99602,-0.393564,1
1,18,96,-0.870277,-0.951812,-3.41916,-2.99602,-0.951812,0
1,17,96,-0.333547,-0.130201,-3.41916,-2.99602,-0.130201,1
1,15,96,-0.795419,-0.0261277,-3.41916,-2.99602,-0.0261277,1
1,13,96,-0.988847,-0.47743,-3.41916,-2.99602,-0.988847,1
1,12,96,0.0375742,0.169652,-3.41916,-2.99602,0.169652,1
1,9,96,-0.774723,-0.84164,-3.41916,-2.99602,-0.84164,0
1,7,96,-0.208754,-0.404372,-3.41916,-2.99602,-0.404372,0
1,4,96,0.379182,-0.545979,-3.41916,-2.99602,-0.545979,0
1,3,96,-0.0327427,-0.603397,-3.41916,-2.99602,-0.603397,0
1,2,96,0.0845584,-0.0905414,-3.41916,-2.99602,-0.0905414,0
1,19,95,-1.55974,-0.278615,-3.41916,-2.85377,-0.278615,1
1,17,95,-0.685312,-0.0731423,-3.41916,-2.85377,-0.0731423,1
1,15,95,-0.805694,0.00236683,-3.41916,-2.85377,0.00236683,1
1,13,95,-0.723547,-0.322181,-3.41916,-2.85377,-0.322181,1
1,7,95,-0.39532,-0.366002,-3.41916,-2.85377,-0.366002,1
1,4,95,0.334233,-0.36446,-3.41916,-2.85377,-0.36446,0
1,2,95,0.70431,0.298397,-3.41916,-2.85377,0.298397,0
1,1,95,0.738247,0.131608,-3.41916,-2.85377,0.131608,0
1,19,94,-1.01262,-0.0932416,-3.41916,-2.55553,-0.0932416,1
1,17,94,-0.310312,0.174776,-3.41916,-2.55553,0.174776,1
1,15,94,-0.611551,0.467376,-3.41916,-2.55553,0.467376,1
1,13,94,-0.722925,-0.238716,-3.41916,-2.55553,-0.238716,1
1,7,94,-0.178578,-0.315841,-3.41916,-2.55553,-0.315841,0
1,4,94,0.344621,-0.351302,-3.41916,-2.55553,-0.351302,0
1,2,94,0.728833,0.338523,-3.41916,-2.55553,0.338523,0
1,1,94,1.22857,0.103359,-3.41916,-2.55553,0.103359,0
1,19,93,-0.208505,0.0451833,-3.41916,-2.51688,0.0451833,1
1,17,93,-0.386373,0.0962393,-3.41916,-2.51688,0.0962393,1
1,15,93,-0.884312,0.271317,-3.41916,-2.51688,0.271317,1
1,13,93,-0.732397,-0.115677,-3.41916,-2.51688,-0.115677,1
1,7,93,-0.133259,-0.220299,-3.41916,-2.51688,-0.220299,0
1,4,93,0.450432,-0.418547,-3.41916,-2.51688,-0.418547,0
1,2,93,0.152295,-0.107304,-3.41916,-2.51688,-0.107304,0
1,1,93,-0.250759,-0.189965,-3.41916,-2.51688,-0.189965,1
1,19,92,-0.177853,0.20003,-6.43894,-2.39982,0.20003,1
1,17,92,-0.232753,0.306091,-6.43894,-2.39982,0.306091,1
1,15,92,-0.287715,0.478106,-6.43894,-2.39982,0.478106,1
1,13,92,-0.487686,0.194459,-6.43894,-2.39982,0.194459,1
1,7,92,-0.051141,-0.155599,-6.43894,-2.39982,-0.155599,0
1,4,92,0.653688,-0.199561,-6.43894,-2.39982,-0.199561,0
1,2,92,0.167753,0.298111,-6.43894,-2.39982,0.298111,1
1,1,92,0.929286,-0.0518313,-6.43894,-2.39982,-0.0518313,0
1,19,91,0.0228963,0.421547,-6.29331,-2.45927,0.421547,1
1,17,91,-0.122239,0.377102,-6.29331,-2.45927,0.377102,1
1,15,91,-0.333402,0.511527,-6.29331,-2.45927,-0.333402,1
1,13,91,-0.699089,0.197754,-6.29331,-2.45927,0.197754,1
1,7,91,0.0419646,-0.0715702,-6.29331,-2.45927,-0.0715702,0
1,4,91,0.460943,-0.158529,-6.29331,-2.45927,-0.158529,0
