Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.03962,-0.809653,-3.41916,-3.35117,-0.809653,1
1,19,99,-0.514161,-0.536385,-3.41916,-3.35117,-0.536385,0
1,18,99,-0.678386,0.229641,-3.41916,-3.35117,0.229641,1
1,17,99,-0.980675,0.345673,-3.41916,-3.35117,0.345673,1
1,15,99,-0.918844,-0.15095,-3.41916,-3.35117,-0.15095,1
1,13,99,-0.64655,0.0351628,-3.41916,-3.35117,0.0351628,1
1,12,99,-0.265424,-0.326887,-3.41916,-3.35117,-0.265424,0
1,10,99,-0.22326,-0.883141,-3.41916,-3.35117,-0.883141,0
1,9,99,-0.552565,0.403209,-3.41916,-3.35117,0.403209,1
1,7,99,-1.0599,0.0379879,-3.41916,-3.35117,0.0379879,1
1,4,99,-1.12608,-0.2255,-3.41916,-3.35117,-0.2255,1
1,3,99,-0.787821,-0.430247,-3.41916,-3.35117,-0.430247,1
1,2,99,-0.337779,-0.96709,-3.41916,-3.35117,-0.96709,0
1,1,99,0.262289,-1.43123,-3.41916,-3.35117,-1.43123,0
1,20,98,-1.54682,-0.865711,-3.41916,-3.12829,-0.865711,1
1,19,98,-0.309931,-0.343602,-3.41916,-3.12829,-0.343602,0
1,18,98,-0.927558,0.155324,-3.41916,-3.12829,0.155324,1
1,17,98,-0.631436,0.485661,-3.41916,-3.12829,0.485661,1
1,15,98,-1.39722,-0.658004,-3.41916,-3.12829,-0.658004,1
1,13,98,-0.502792,0.207483,-3.41916,-3.12829,-0.502792,1
1,12,98,-0.2513,-0.453019,-3.41916,-3.12829,-0.453019,0
1,9,98,-0.443452,0.521899,-3.41916,-3.12829,0.521899,1
1,7,98,-0.753635,0.419821,-3.41916,-3.12829,0.419821,1
1,4,98,-1.20163,-0.307569,-3.41916,-3.12829,-0.307569,1
1,3,98,-0.613261,-0.467562,-3.41916,-3.12829,-0.467562,1
1,2,98,-0.459081,-0.992358,-3.41916,-3.12829,-0.992358,0
1,1,98,-0.525437,-1.30211,-3.41916,-3.12829,-1.30211,0
1,20,97,-0.867593,-0.577607,-3.41916,-2.81209,-0.867593,1
1,19,97,-0.160976,-0.618583,-3.41916,-2.81209,-0.618583,0
1,18,97,-0.594989,0.484904,-3.41916,-2.81209,0.484904,1
1,17,97,-0.858451,0.219389,-3.41916,-2.81209,0.219389,1
1,15,97,-0.662493,0.0114422,-3.41916,-2.81209,0.0114422,1
1,13,97,-0.0916179,0.170864,-3.41916,-2.81209,0.170864,1
1,12,97,-0.189449,-0.188377,-3.41916,-2.81209,-0.188377,1
1,7,97,-0.686392,0.465149,-3.41916,-2.81209,0.465149,1
1,4,97,-1.04578,-0.298642,-3.41916,-2.81209,-0.298642,1
1,3,97,-0.893749,-0.471128,-3.41916,-2.81209,-0.471128,1
1,2,97,-0.353817,-1.07005,-3.41916,-2.81209,-1.07005,0
1,20,96,-0.825142,-0.582631,-3.41916,-2.99602,-0.582631,1
1,19,96,0.0177117,-0.0822153,-3.41916,-2.99602,-0.0822153,0
1,18,96,-0.733556,0.242612,-3.41916,-2.99602,0.242612,1
1,17,96,-0.672298,0.592686,-3.41916,-2.99602,0.592686,1
1,15,96,-0.372645,0.0757206,-3.41916,-2.99602,0.0757206,1
1,13,96,-0.10901,0.257964,-3.41916,-2.99602,-0.10901,1
1,12,96,-0.042267,-0.185582,-3.41916,-2.99602,-0.185582,0
1,9,96,-0.214812,0.721091,-3.41916,-2.99602,0.721091,1
1,7,96,-0.564986,0.826171,-3.41916,-2.99602,0.826171,1
1,4,96,-0.86305,-0.120446,-3.41916,-2.99602,-0.120446,1
1,3,96,-0.742137,-0.366281,-3.41916,-2.99602,-0.366281,1
1,2,96,-0.323622,-0.901049,-3.41916,-2.99602,-0.901049,0
1,19,95,0.0638962,-0.00577178,-3.41916,-2.85377,-0.00577178,0
1,17,95,-0.920753,0.55185,-3.41916,-2.85377,0.55185,1
1,15,95,-0.496911,-0.0577282,-3.41916,-2.85377,-0.0577282,1
1,13,95,0.354261,0.408208,-3.41916,-2.85377,0.408208,1
1,7,95,-0.420337,0.63811,-3.41916,-2.85377,0.63811,1
1,4,95,-0.79641,-0.0612224,-3.41916,-2.85377,-0.0612224,1
1,2,95,-0.205371,-0.909834,-3.41916,-2.85377,-0.909834,0
1,1,95,-0.0682749,-1.22765,-3.41916,-2.85377,-1.22765,0
1,19,94,0.224637,0.124685,-3.41916,-2.55553,0.124685,0
1,17,94,-0.432034,0.774591,-3.41916,-2.55553,0.774591,1
1,15,94,-0.138711,0.218643,-3.41916,-2.55553,0.218643,1
1,13,94,0.345702,0.485293,-3.41916,-2.55553,0.485293,1
1,7,94,-0.339653,0.809102,-3.41916,-2.55553,0.809102,1
1,4,94,-0.691462,0.371622,-3.41916,-2.55553,0.371622,1
1,2,94,-0.127214,-0.794688,-3.41916,-2.55553,-0.794688,0
1,1,94,-0.0856762,-0.965232,-3.41916,-2.55553,-0.965232,0
1,19,93,0.122393,-0.0854781,-3.41916,-2.51688,-0.0854781,0
1,17,93,-0.375788,0.792805,-3.41916,-2.51688,0.792805,1
1,15,93,-0.107139,0.198032,-3.41916,-2.51688,0.198032,1
1,13,93,0.246919,0.461269,-3.41916,-2.51688,0.461269,1
1,7,93,-0.178736,0.887957,-3.41916,-2.51688,0.887957,1
1,4,93,0.137016,0.125244,-3.41916,-2.51688,0.125244,0
1,2,93,0.100867,-0.79445,-3.41916,-2.51688,-0.79445,0
1,1,93,0.0295163,-1.03009,-3.41916,-2.51688,-1.03009,0
1,19,92,0.138635,-0.255538,-6.43894,-2.39982,-0.255538,0
1,17,92,-0.331481,0.930184,-6.43894,-2.39982,0.930184,1
1,15,92,0.229058,0.404724,-6.43894,-2.39982,0.404724,1
1,13,92,0.361488,0.542403,-6.43894,-2.39982,0.542403,1
1,7,92,-0.0809188,0.982683,-6.43894,-2.39982,0.982683,1
1,4,92,0.026202,0.541116,-6.43894,-2.39982,0.541116,1
1,2,92,0.0487906,-0.499813,-6.43894,-2.39982,-0.499813,0
1,1,92,0.0505026,-0.654859,-6.43894,-2.39982,-0.654859,0
1,19,91,0.52185,0.0813741,-6.29331,-2.45927,0.0813741,0
1,17,91,-0.322161,0.924743,-6.29331,-2.45927,0.924743,1
1,15,91,0.256,0.455086,-6.29331,-2.45927,0.256,1
1,13,91,0.570968,0.690083,-6.29331,-2.45927,0.690083,1
1,7,91,0.0223289,0.994077,-6.29331,-2.45927,0.994077,1
1,4,91,-0.129643,0.747333,-6.29331,-2.45927,0.747333,1
1,2,91,0.539403,0.933554,-6.29331,-2.45927,0.933554,1
1,1,91,1.19863,-0.681844,-6.29331,-2.45927,-0.681844,0
1,19,90,0.325855,-0.0703398,-6.05291,-2.36134,-0.0703398,0
1,17,90,-0.374075,0.90982,-6.05291,-2.36134,0.90982,1
1,15,90,0.351381,0.558217,-6.05291,-2.36134,0.558217,1
1,13,90,0.658062,0.815477,-6.05291,-2.36134,0.815477,1
1,7,90,-0.196966,1.19055,-6.05291,-2.36134,1.19055,1
1,4,90,-0.129205,0.639426,-6.05291,-2.36134,0.639426,1
1,2,90,0.84787,-0.493618,-6.05291,-2.36134,-0.493618,0
1,1,90,0.395855,-0.657734,-6.05291,-2.36134,-0.657734,0
1,19,89,-0.0122198,-0.438371,-5.75042,-2.39784,-0.438371,0
1,17,89,-0.141848,1.10259,-5.75042,-2.39784,-0.141848,1
1,15,89,0.385974,0.57923,-5.75042,-2.39784,0.57923,1
1,13,89,0.804091,0.903297,-5.75042,-2.39784,0.903297,1
1,7,89,0.336541,1.43664,-5.75042,-2.39784,1.43664,1
1,4,89,0.07299,0.890527,-5.75042,-2.39784,0.890527,1
1,2,89,0.871894,-0.246942,-5.75042,-2.39784,-0.246942,0
1,1,89,1.36519,1.20497,-5.75042,-2.39784,1.20497,0
1,19,88,0.413303,0.178962,-5.55605,-2.24038,0.413303,0
1,17,88,0.0552287,1.01598,-5.55605,-2.24038,1.01598,1
