Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.633942,-0.87978,-3.41916,-3.35117,-0.87978,0
1,19,99,-1.17422,-0.29529,-3.41916,-3.35117,-0.29529,1
1,18,99,-0.301831,-0.277497,-3.41916,-3.35117,-0.277497,1
1,17,99,-0.945465,0.0668712,-3.41916,-3.35117,0.0668712,1
1,15,99,-1.19557,-0.140173,-3.41916,-3.35117,-0.140173,1
1,13,99,-1.03426,-0.295988,-3.41916,-3.35117,-0.295988,1
1,12,99,-1.53045,-1.25652,-3.41916,-3.35117,-1.53045,1
1,10,99,-1.37161,-1.42297,-3.41916,-3.35117,-1.42297,0
1,9,99,-0.838304,-0.748165,-3.41916,-3.35117,-0.748165,1
1,7,99,-0.865644,-0.426723,-3.41916,-3.35117,-0.426723,1
1,4,99,-0.378114,-1.09336,-3.41916,-3.35117,-1.09336,0
1,3,99,-0.772817,-0.530647,-3.41916,-3.35117,-0.530647,1
1,2,99,-0.651792,-0.593272,-3.41916,-3.35117,-0.593272,1
1,1,99,-0.695911,-0.871099,-3.41916,-3.35117,-0.871099,0
1,20,98,-0.755283,-0.882206,-3.41916,-3.12829,-0.882206,0
1,19,98,-0.632838,-0.284484,-3.41916,-3.12829,-0.284484,1
1,18,98,-0.348832,-0.285016,-3.41916,-3.12829,-0.285016,1
1,17,98,-0.39757,0.32658,-3.41916,-3.12829,0.32658,1
1,15,98,-1.15928,0.000518715,-3.41916,-3.12829,0.000518715,1
1,13,98,-0.952793,-0.257241,-3.41916,-3.12829,-0.952793,1
1,12,98,-1.37227,-0.971019,-3.41916,-3.12829,-0.971019,1
1,9,98,-0.701073,-0.829696,-3.41916,-3.12829,-0.829696,0
1,7,98,-0.556599,-0.402964,-3.41916,-3.12829,-0.402964,1
1,4,98,-0.115665,-0.990849,-3.41916,-3.12829,-0.990849,0
1,3,98,-0.607311,-0.312861,-3.41916,-3.12829,-0.312861,1
1,2,98,-0.586867,-0.493831,-3.41916,-3.12829,-0.493831,1
1,1,98,-0.732501,-0.689495,-3.41916,-3.12829,-0.689495,1
1,20,97,-0.41565,-0.769752,-3.41916,-2.81209,-0.41565,0
1,19,97,-0.560716,-0.600993,-3.41916,-2.81209,-0.600993,0
1,18,97,-0.110381,-0.312262,-3.41916,-2.81209,-0.312262,0
1,17,97,-0.411682,0.0779993,-3.41916,-2.81209,0.0779993,1
1,15,97,-0.752368,0.167807,-3.41916,-2.81209,0.167807,1
1,13,97,-0.801536,-0.208214,-3.41916,-2.81209,-0.208214,1
1,12,97,-1.16769,-0.871801,-3.41916,-2.81209,-0.871801,1
1,7,97,-0.469614,-0.232888,-3.41916,-2.81209,-0.232888,1
1,4,97,0.0214441,-0.871874,-3.41916,-2.81209,-0.871874,0
1,3,97,-0.57761,-0.0982096,-3.41916,-2.81209,-0.0982096,1
1,2,97,-0.496274,-0.480503,-3.41916,-2.81209,-0.480503,1
1,20,96,-0.446639,-0.680104,-3.41916,-2.99602,-0.680104,0
1,19,96,-0.437387,-0.204236,-3.41916,-2.99602,-0.204236,1
1,18,96,-0.496876,-0.361038,-3.41916,-2.99602,-0.361038,1
1,17,96,-0.102944,0.342813,-3.41916,-2.99602,0.342813,1
1,15,96,-0.30496,0.360075,-3.41916,-2.99602,0.360075,1
1,13,96,-0.926906,-0.135592,-3.41916,-2.99602,-0.926906,1
1,12,96,-0.90245,-0.752075,-3.41916,-2.99602,-0.752075,1
1,9,96,-0.329477,-0.423879,-3.41916,-2.99602,-0.423879,0
1,7,96,-0.19371,-0.0151276,-3.41916,-2.99602,-0.0151276,1
1,4,96,0.0613702,-0.754067,-3.41916,-2.99602,-0.754067,0
1,3,96,-0.504367,0.0776738,-3.41916,-2.99602,0.0776738,1
1,2,96,-0.395764,-0.357796,-3.41916,-2.99602,-0.357796,1
1,19,95,-0.278747,-0.0175873,-3.41916,-2.85377,-0.0175873,1
1,17,95,-0.70107,0.368954,-3.41916,-2.85377,0.368954,1
1,15,95,-0.317768,0.385726,-3.41916,-2.85377,0.385726,1
1,13,95,-0.570126,-0.0460125,-3.41916,-2.85377,-0.0460125,1
1,7,95,-0.193518,0.149787,-3.41916,-2.85377,0.149787,1
1,4,95,0.184551,-0.722103,-3.41916,-2.85377,-0.722103,0
1,2,95,-0.236552,-0.276112,-3.41916,-2.85377,-0.276112,0
1,1,95,-0.391238,-0.35694,-3.41916,-2.85377,-0.35694,1
1,19,94,-0.26102,0.0281207,-3.41916,-2.55553,0.0281207,1
1,17,94,0.04921,0.640617,-3.41916,-2.55553,0.640617,1
1,15,94,-0.19068,0.543621,-3.41916,-2.55553,0.543621,1
1,13,94,-0.454175,0.169809,-3.41916,-2.55553,0.169809,1
1,7,94,-0.040859,0.269504,-3.41916,-2.55553,0.269504,1
1,4,94,0.323608,-0.633379,-3.41916,-2.55553,-0.633379,0
1,2,94,-0.316143,-0.248242,-3.41916,-2.55553,-0.248242,1
1,1,94,-0.3392,-0.311381,-3.41916,-2.55553,-0.311381,1
1,19,93,0.194127,0.142957,-3.41916,-2.51688,0.142957,0
1,17,93,0.157806,0.732471,-3.41916,-2.51688,0.732471,1
1,15,93,-0.477494,0.434366,-3.41916,-2.51688,0.434366,1
1,13,93,-0.398593,0.324242,-3.41916,-2.51688,0.324242,1
1,7,93,0.0984702,0.370432,-3.41916,-2.51688,0.370432,1
1,4,93,0.567515,-0.467268,-3.41916,-2.51688,-0.467268,0
1,2,93,-0.183934,-0.0241312,-3.41916,-2.51688,-0.0241312,1
1,1,93,-0.12845,-0.161624,-3.41916,-2.51688,-0.161624,0
1,19,92,0.038584,0.169194,-6.43894,-2.39982,0.169194,1
1,17,92,0.181199,0.762414,-6.43894,-2.39982,0.762414,1
1,15,92,0.0169043,0.589218,-6.43894,-2.39982,0.589218,1
1,13,92,-0.433803,0.325086,-6.43894,-2.39982,0.325086,1
1,7,92,0.264994,0.491028,-6.43894,-2.39982,0.491028,1
1,4,92,0.653366,-0.323307,-6.43894,-2.39982,-0.323307,0
1,2,92,-0.127603,0.00982331,-6.43894,-2.39982,0.00982331,1
1,1,92,-0.303019,-0.0241892,-6.43894,-2.39982,-0.0241892,1
1,19,91,0.319489,0.363264,-6.29331,-2.45927,0.363264,1
1,17,91,0.0118376,0.744142,-6.29331,-2.45927,0.744142,1
1,15,91,0.0728177,0.755482,-6.29331,-2.45927,0.0728177,1
1,13,91,-0.663309,0.377101,-6.29331,-2.45927,0.377101,1
1,7,91,0.360409,0.51226,-6.29331,-2.45927,0.51226,1
1,4,91,0.695135,-0.162085,-6.29331,-2.45927,-0.162085,0
1,2,91,0.176765,0.320919,-6.29331,-2.45927,0.320919,1
1,1,91,-0.240637,0.00896698,-6.29331,-2.45927,0.00896698,1
1,19,90,0.216564,0.317609,-6.05291,-2.36134,0.317609,1
1,17,90,0.0237973,0.785719,-6.05291,-2.36134,0.785719,1
1,15,90,0.0971323,0.838836,-6.05291,-2.36134,0.838836,1
1,13,90,-0.654779,0.403548,-6.05291,-2.36134,0.403548,1
1,7,90,0.598599,0.495926,-6.05291,-2.36134,0.495926,0
1,4,90,0.752484,-0.027125,-6.05291,-2.36134,-0.027125,0
1,2,90,0.493477,0.191373,-6.05291,-2.36134,0.191373,0
1,1,90,0.0120645,0.16463,-6.05291,-2.36134,0.16463,1
1,19,89,0.047054,0.144459,-5.75042,-2.39784,0.144459,1
1,17,89,0.428876,0.978164,-5.75042,-2.39784,0.428876,1
1,15,89,0.419555,0.82689,-5.75042,-2.39784,0.82689,1
1,13,89,-0.486739,0.493397,-5.75042,-2.39784,0.493397,1
1,7,89,0.688174,0.7762,-5.75042,-2.39784,0.7762,1
1,4,89,0.83757,0.174741,-5.75042,-2.39784,0.174741,0
1,2,89,0.791192,0.526777,-5.75042,-2.39784,0.526777,0
1,1,89,0.522219,0.673964,-5.75042,-2.39784,0.673964,1
1,19,88,0.601733,0.569061,-5.55605,-2.24038,0.601733,0
1,17,88,0.435192,0.951819,-5.55605,-2.24038,0.951819,1
1,15,88,0.342495,0.830872,-5.55605,-2.24038,0.830872,1
1,13,88,-0.473448,0.508694,-5.55605,-2.24038,0.508694,1
1,7,88,0.870347,0.757376,-5.55605,-2.24038,0.757376,0
1,4,88,0.910282,0.272508,-5.55605,-2.24038,0.272508,0
1,2,88,1.01162,0.69749,-5.55605,-2.24038,0.69749,0
1,1,88,0.857731,0.564066,-5.55605,-2.24038,0.564066,0
1,19,87,0.729344,0.607411,-5.60239,-2.09737,0.607411,0
1,17,87,-0.100889,0.88711,-5.60239,-2.09737,0.88711,1
1,15,87,0.790577,0.930345,-5.60239,-2.09737,0.930345,1
1,13,87,-0.229306,0.562769,-5.60239,-2.09737,0.562769,1
1,7,87,1.08163,0.892152,-5.60239,-2.09737,0.892152,0
1,4,87,1.28911,0.190611,-5.60239,-2.09737,0.190611,0
1,2,87,1.07787,0.682434,-5.60239,-2.09737,0.682434,0
1,1,87,0.951574,0.662944,-5.60239,-2.09737,0.662944,0
1,19,86,0.448615,0.420716,-5.61978,-2.01828,0.420716,0
1,17,86,0.401731,1.19206,-5.61978,-2.01828,0.401731,1
1,15,86,0.781258,0.872815,-5.61978,-2.01828,0.872815,1
1,13,86,0.402782,0.624755,-5.61978,-2.01828,0.402782,1
1,7,86,1.11585,0.844431,-5.61978,-2.01828,0.844431,0
1,4,86,1.29876,0.524698,-5.61978,-2.01828,0.524698,0
1,2,86,1.12006,0.762772,-5.61978,-2.01828,0.762772,0
1,1,86,1.08523,0.822935,-5.61978,-2.01828,0.822935,0
1,19,85,0.170453,0.179234,-5.14185,-2.10808,0.179234,1
1,17,85,0.453885,-0.0931,-5.14185,-2.10808,-0.0931,0
1,15,85,0.315366,-0.899276,-5.14185,-2.10808,-0.899276,0
1,13,85,0.868818,0.625907,-5.14185,-2.10808,0.625907,0
1,7,85,0.80898,1.06213,-5.14185,-2.10808,1.06213,1
1,4,85,1.3838,1.20933,-5.14185,-2.10808,1.20933,0
1,2,85,1.46281,1.42477,-5.14185,-2.10808,1.42477,0
1,1,85,1.09635,1.34671,-5.14185,-2.10808,1.34671,1
1,19,84,0.452897,0.239227,-5.35927,-2.00544,0.239227,0
1,17,84,0.287071,-0.335697,-5.35927,-2.00544,-0.335697,0
1,15,84,0.739872,-0.350214,-5.35927,-2.00544,-0.350214,0
1,13,84,0.695281,0.459845,-5.35927,-2.00544,0.459845,0
1,7,84,1.09362,0.991954,-5.35927,-2.00544,0.991954,0
1,4,84,1.43002,1.25242,-5.35927,-2.00544,1.25242,0
1,2,84,1.49065,1.49102,-5.35927,-2.00544,1.49102,1
1,1,84,1.15115,1.40796,-5.35927,-2.00544,1.40796,1
