Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.14488,-1.17753,-3.41916,-3.35117,-1.17753,0
1,19,99,-1.08661,-0.687086,-3.41916,-3.35117,-0.687086,1
1,18,99,-1.22523,-1.30142,-3.41916,-3.35117,-1.30142,0
1,17,99,-1.4182,-1.38587,-3.41916,-3.35117,-1.38587,1
1,15,99,-1.16418,-0.688803,-3.41916,-3.35117,-0.688803,1
1,13,99,-1.76631,-1.07512,-3.41916,-3.35117,-1.07512,1
1,12,99,-1.18997,-0.843112,-3.41916,-3.35117,-1.18997,1
1,10,99,-0.982262,-1.41227,-3.41916,-3.35117,-0.982262,0
1,9,99,-1.43021,-1.21987,-3.41916,-3.35117,-1.21987,1
1,7,99,-0.862303,-0.739848,-3.41916,-3.35117,-0.739848,1
1,4,99,-0.720886,-1.21992,-3.41916,-3.35117,-1.21992,0
1,3,99,-0.927612,-1.60448,-3.41916,-3.35117,-1.60448,0
1,2,99,-0.875352,-0.662187,-3.41916,-3.35117,-0.662187,1
1,1,99,0.398299,-1.14814,-3.41916,-3.35117,-1.14814,0
1,20,98,-1.2972,-1.11889,-3.41916,-3.12829,-1.11889,1
1,19,98,-1.07358,-0.621859,-3.41916,-3.12829,-0.621859,1
1,18,98,-1.23493,-1.21253,-3.41916,-3.12829,-1.21253,1
1,17,98,-1.31841,-1.30793,-3.41916,-3.12829,-1.30793,1
1,15,98,-1.70067,-0.79464,-3.41916,-3.12829,-0.79464,1
1,13,98,-1.47974,-1.03942,-3.41916,-3.12829,-1.47974,1
1,12,98,-1.21156,-0.882537,-3.41916,-3.12829,-0.882537,1
1,9,98,-1.30057,-1.26871,-3.41916,-3.12829,-1.26871,1
1,7,98,-0.724955,-0.748536,-3.41916,-3.12829,-0.748536,0
1,4,98,-0.531482,-0.897138,-3.41916,-3.12829,-0.897138,0
1,3,98,-0.843036,-1.49412,-3.41916,-3.12829,-1.49412,0
1,2,98,-0.764927,-0.409854,-3.41916,-3.12829,-0.409854,1
1,1,98,0.102739,-0.946504,-3.41916,-3.12829,-0.946504,0
1,20,97,-0.961997,-1.01495,-3.41916,-2.81209,-0.961997,0
1,19,97,-1.03232,-0.770354,-3.41916,-2.81209,-0.770354,1
