Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.73364,-1.41337,-3.41916,-3.35117,-1.41337,1
1,19,99,-1.97631,-1.45952,-3.41916,-3.35117,-1.45952,1
1,18,99,-1.61574,-1.27199,-3.41916,-3.35117,-1.27199,1
1,17,99,-1.15661,-0.873588,-3.41916,-3.35117,-0.873588,1
1,15,99,-1.53375,-1.31308,-3.41916,-3.35117,-1.31308,1
1,13,99,-1.48526,-1.44252,-3.41916,-3.35117,-1.44252,1
1,12,99,-1.55075,-1.07115,-3.41916,-3.35117,-1.55075,1
1,10,99,-1.92061,-1.99225,-3.41916,-3.35117,-1.99225,0
1,9,99,-1.26947,-0.972976,-3.41916,-3.35117,-0.972976,1
1,7,99,-1.60647,-1.1034,-3.41916,-3.35117,-1.1034,1
1,4,99,-1.44281,-1.87948,-3.41916,-3.35117,-1.87948,0
1,3,99,-1.44112,-1.65122,-3.41916,-3.35117,-1.65122,0
1,2,99,-1.57309,-1.7546,-3.41916,-3.35117,-1.7546,0
1,1,99,-1.54327,-1.5157,-3.41916,-3.35117,-1.5157,1
1,20,98,-1.73485,-1.6515,-3.41916,-3.12829,-1.6515,1
1,19,98,-1.60597,-1.29612,-3.41916,-3.12829,-1.29612,1
1,18,98,-1.79089,-1.39853,-3.41916,-3.12829,-1.39853,1
1,17,98,-1.21385,-0.785598,-3.41916,-3.12829,-0.785598,1
1,15,98,-1.86157,-1.37103,-3.41916,-3.12829,-1.37103,1
1,13,98,-1.38603,-1.33245,-3.41916,-3.12829,-1.38603,1
1,12,98,-1.26821,-0.890379,-3.41916,-3.12829,-0.890379,1
1,9,98,-1.21228,-0.807386,-3.41916,-3.12829,-0.807386,1
1,7,98,-1.55106,-1.07055,-3.41916,-3.12829,-1.07055,1
1,4,98,-1.31541,-1.79522,-3.41916,-3.12829,-1.79522,0
1,3,98,-1.28741,-1.57974,-3.41916,-3.12829,-1.57974,0
1,2,98,-1.24463,-1.52551,-3.41916,-3.12829,-1.52551,0
1,1,98,-1.26345,-1.40816,-3.41916,-3.12829,-1.40816,0
1,20,97,-1.63513,-1.51063,-3.41916,-2.81209,-1.63513,1
1,19,97,-1.64104,-1.30503,-3.41916,-2.81209,-1.30503,1
1,18,97,-1.42204,-1.12696,-3.41916,-2.81209,-1.12696,1
1,17,97,-1.49658,-0.877123,-3.41916,-2.81209,-0.877123,1
1,15,97,-1.32179,-1.1213,-3.41916,-2.81209,-1.1213,1
1,13,97,-1.30211,-1.20386,-3.41916,-2.81209,-1.20386,1
1,12,97,-1.15083,-0.708704,-3.41916,-2.81209,-0.708704,1
1,7,97,-1.31723,-1.01546,-3.41916,-2.81209,-1.01546,1
1,4,97,-1.33727,-1.56484,-3.41916,-2.81209,-1.56484,0
1,3,97,-1.3468,-1.29409,-3.41916,-2.81209,-1.29409,1
1,2,97,-1.23615,-1.37548,-3.41916,-2.81209,-1.37548,0
1,20,96,-1.47561,-1.37298,-3.41916,-2.99602,-1.37298,1
1,19,96,-1.57705,-1.24609,-3.41916,-2.99602,-1.24609,1
1,18,96,-1.66504,-1.1514,-3.41916,-2.99602,-1.1514,1
1,17,96,-1.31244,-0.569164,-3.41916,-2.99602,-0.569164,1
1,15,96,-1.30361,-1.15636,-3.41916,-2.99602,-1.15636,1
1,13,96,-1.51951,-1.58182,-3.41916,-2.99602,-1.51951,0
1,12,96,-1.04605,-0.601841,-3.41916,-2.99602,-0.601841,1
1,9,96,-0.835653,-0.360628,-3.41916,-2.99602,-0.360628,1
1,7,96,-1.21929,-0.870794,-3.41916,-2.99602,-0.870794,1
1,4,96,-1.25567,-1.5807,-3.41916,-2.99602,-1.5807,0
1,3,96,-1.25975,-1.44183,-3.41916,-2.99602,-1.44183,0
1,2,96,-1.34727,-1.55338,-3.41916,-2.99602,-1.55338,0
1,19,95,-1.38984,-1.13619,-3.41916,-2.85377,-1.13619,1
1,17,95,-1.32272,-0.529961,-3.41916,-2.85377,-0.529961,1
1,15,95,-1.46919,-1.22602,-3.41916,-2.85377,-1.22602,1
