Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.59111,-1.21008,-3.41916,-3.35117,-1.21008,1
1,19,99,-1.58559,-0.735299,-3.41916,-3.35117,-0.735299,1
1,18,99,-1.31655,-1.23694,-3.41916,-3.35117,-1.23694,1
1,17,99,-1.58375,-0.455567,-3.41916,-3.35117,-0.455567,1
1,15,99,-0.96832,-1.06483,-3.41916,-3.35117,-1.06483,0
1,13,99,-1.07319,-0.346098,-3.41916,-3.35117,-0.346098,1
1,12,99,-0.66213,-0.75144,-3.41916,-3.35117,-0.66213,0
1,10,99,-1.11299,0.274489,-3.41916,-3.35117,-1.11299,1
1,9,99,-0.725534,-0.597814,-3.41916,-3.35117,-0.597814,1
1,7,99,-0.277239,0.486327,-3.41916,-3.35117,0.486327,1
1,4,99,0.23566,-0.232093,-3.41916,-3.35117,-0.232093,0
1,3,99,0.169788,0.0435976,-3.41916,-3.35117,0.0435976,0
1,2,99,0.218029,-0.251195,-3.41916,-3.35117,-0.251195,0
1,1,99,0.19141,-1.11773,-3.41916,-3.35117,-1.11773,0
1,20,98,-1.84824,-1.27248,-3.41916,-3.12829,-1.27248,1
1,19,98,-1.62798,-0.637474,-3.41916,-3.12829,-0.637474,1
1,18,98,-1.50138,-1.12795,-3.41916,-3.12829,-1.12795,1
1,17,98,-1.59453,-0.319566,-3.41916,-3.12829,-0.319566,1
1,15,98,-1.24643,-0.6826,-3.41916,-3.12829,-0.6826,1
1,13,98,-1.07087,-0.396551,-3.41916,-3.12829,-1.07087,1
1,12,98,-0.524137,-0.585411,-3.41916,-3.12829,-0.585411,0
1,9,98,-0.766844,-0.632523,-3.41916,-3.12829,-0.632523,1
1,7,98,-0.240236,0.4747,-3.41916,-3.12829,0.4747,1
1,4,98,0.217182,0.050836,-3.41916,-3.12829,0.050836,0
1,3,98,0.229163,0.309948,-3.41916,-3.12829,0.309948,1
1,2,98,0.273915,-0.104941,-3.41916,-3.12829,-0.104941,0
1,1,98,0.375731,0.271543,-3.41916,-3.12829,0.271543,0
1,20,97,-1.42652,-0.906082,-3.41916,-2.81209,-1.42652,1
1,19,97,-1.61006,-0.619287,-3.41916,-2.81209,-0.619287,1
1,18,97,-1.16066,-1.12255,-3.41916,-2.81209,-1.12255,1
1,17,97,-1.40257,-0.513702,-3.41916,-2.81209,-0.513702,1
1,15,97,-0.763381,-0.944668,-3.41916,-2.81209,-0.944668,0
1,13,97,-0.888807,-0.212699,-3.41916,-2.81209,-0.212699,1
1,12,97,-0.451674,-0.528064,-3.41916,-2.81209,-0.528064,0
1,7,97,-0.14687,0.543796,-3.41916,-2.81209,0.543796,1
1,4,97,0.297577,-0.0974185,-3.41916,-2.81209,-0.0974185,0
