Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.18863,-1.05602,-3.41916,-3.35117,-1.05602,1
1,19,99,-1.42602,-0.868784,-3.41916,-3.35117,-0.868784,1
1,18,99,-1.00602,-0.787364,-3.41916,-3.35117,-0.787364,1
1,17,99,-1.11383,-0.406062,-3.41916,-3.35117,-0.406062,1
1,15,99,-0.869278,-1.02196,-3.41916,-3.35117,-1.02196,0
1,13,99,-1.03124,-0.638525,-3.41916,-3.35117,-0.638525,1
1,12,99,-1.32503,-0.50443,-3.41916,-3.35117,-1.32503,1
1,10,99,-0.415374,-0.917069,-3.41916,-3.35117,-0.415374,0
1,9,99,-1.13726,-0.560626,-3.41916,-3.35117,-0.560626,1
1,7,99,-0.291492,0.222712,-3.41916,-3.35117,0.222712,1
1,4,99,-0.471079,-1.10841,-3.41916,-3.35117,-1.10841,0
1,3,99,-1.01011,-0.759957,-3.41916,-3.35117,-0.759957,1
1,2,99,-0.183451,-0.90425,-3.41916,-3.35117,-0.90425,0
1,1,99,-0.288132,-0.832165,-3.41916,-3.35117,-0.832165,0
1,20,98,-1.3542,-1.2388,-3.41916,-3.12829,-1.2388,1
1,19,98,-1.27037,-0.649522,-3.41916,-3.12829,-0.649522,1
1,18,98,-1.07822,-0.776083,-3.41916,-3.12829,-0.776083,1
1,17,98,-1.21225,-0.392416,-3.41916,-3.12829,-0.392416,1
1,15,98,-1.15058,-1.06965,-3.41916,-3.12829,-1.06965,1
1,13,98,-1.01327,-0.686695,-3.41916,-3.12829,-1.01327,1
1,12,98,-1.19881,-0.414893,-3.41916,-3.12829,-0.414893,1
1,9,98,-0.997177,-0.346415,-3.41916,-3.12829,-0.346415,1
1,7,98,-0.278995,0.185477,-3.41916,-3.12829,0.185477,1
1,4,98,-0.110702,-0.74765,-3.41916,-3.12829,-0.74765,0
1,3,98,-0.553751,-0.238731,-3.41916,-3.12829,-0.238731,1
1,2,98,-0.330995,-0.836341,-3.41916,-3.12829,-0.836341,0
1,1,98,-0.210201,-0.330268,-3.41916,-3.12829,-0.330268,0
1,20,97,-1.02804,-1.00148,-3.41916,-2.81209,-1.02804,1
1,19,97,-1.47924,-0.782999,-3.41916,-2.81209,-0.782999,1
1,18,97,-0.874219,-0.678697,-3.41916,-2.81209,-0.678697,1
1,17,97,-1.28621,-0.369452,-3.41916,-2.81209,-0.369452,1
1,15,97,-0.610154,-0.857003,-3.41916,-2.81209,-0.857003,0
1,13,97,-0.795255,-0.534906,-3.41916,-2.81209,-0.534906,1
1,12,97,-1.1662,-0.303585,-3.41916,-2.81209,-0.303585,1
1,7,97,-0.405872,0.353588,-3.41916,-2.81209,0.353588,1
1,4,97,-0.00117159,-0.431206,-3.41916,-2.81209,-0.431206,0
1,3,97,-0.455356,-0.219078,-3.41916,-2.81209,-0.219078,1
1,2,97,-0.445694,-0.674431,-3.41916,-2.81209,-0.674431,0
1,20,96,-0.907259,-0.928335,-3.41916,-2.99602,-0.928335,0
1,19,96,-1.26443,-0.614076,-3.41916,-2.99602,-0.614076,1
1,18,96,-1.03643,-0.795042,-3.41916,-2.99602,-0.795042,1
1,17,96,-1.04998,-0.276154,-3.41916,-2.99602,-0.276154,1
1,15,96,-0.609245,-0.806008,-3.41916,-2.99602,-0.806008,0
1,13,96,-0.816223,-0.601314,-3.41916,-2.99602,-0.816223,1
1,12,96,-0.984134,-0.26132,-3.41916,-2.99602,-0.26132,1
1,9,96,-0.763882,-0.37752,-3.41916,-2.99602,-0.37752,1
1,7,96,-0.045845,0.28432,-3.41916,-2.99602,0.28432,1
1,4,96,-0.242333,-0.569019,-3.41916,-2.99602,-0.569019,0
1,3,96,-0.656781,-0.287223,-3.41916,-2.99602,-0.287223,1
1,2,96,-0.197946,-0.698729,-3.41916,-2.99602,-0.698729,0
1,19,95,-1.25307,-0.592266,-3.41916,-2.85377,-0.592266,1
1,17,95,-1.0159,-0.413472,-3.41916,-2.85377,-0.413472,1
1,15,95,-0.63001,-0.864146,-3.41916,-2.85377,-0.864146,0
1,13,95,-0.569449,-0.376584,-3.41916,-2.85377,-0.376584,1
1,7,95,-0.2694,0.265035,-3.41916,-2.85377,0.265035,1
1,4,95,0.0185997,-0.41171,-3.41916,-2.85377,-0.41171,0
1,2,95,0.143615,-0.32986,-3.41916,-2.85377,-0.32986,0
1,1,95,-0.0355171,-0.194178,-3.41916,-2.85377,-0.194178,0
1,19,94,-0.95882,-0.288733,-3.41916,-2.55553,-0.288733,1
1,17,94,-1.02047,-0.382936,-3.41916,-2.55553,-0.382936,1
1,15,94,-0.470414,-0.730676,-3.41916,-2.55553,-0.470414,0
1,13,94,-0.541485,-0.299862,-3.41916,-2.55553,-0.299862,1
