Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.00838,-1.04549,-3.41916,-3.35117,-1.04549,0
1,19,99,-1.49165,-1.36143,-3.41916,-3.35117,-1.36143,1
1,18,99,-1.52936,-1.15046,-3.41916,-3.35117,-1.15046,1
1,17,99,-1.46238,-0.973708,-3.41916,-3.35117,-0.973708,1
1,15,99,-1.41475,-1.34795,-3.41916,-3.35117,-1.34795,1
1,13,99,-1.50477,-0.872054,-3.41916,-3.35117,-0.872054,1
1,12,99,-1.64906,-0.724534,-3.41916,-3.35117,-1.64906,1
1,10,99,-2.12537,-1.35691,-3.41916,-3.35117,-2.12537,1
1,9,99,-1.82738,-1.63852,-3.41916,-3.35117,-1.63852,1
1,7,99,-1.15043,-0.131688,-3.41916,-3.35117,-0.131688,1
1,4,99,-0.57734,-1.31694,-3.41916,-3.35117,-1.31694,0
1,3,99,-1.00509,-1.03113,-3.41916,-3.35117,-1.03113,0
1,2,99,-0.692885,-1.28563,-3.41916,-3.35117,-1.28563,0
1,1,99,-0.842201,-1.69084,-3.41916,-3.35117,-1.69084,0
1,20,98,-1.13266,-1.14271,-3.41916,-3.12829,-1.14271,0
1,19,98,-1.3064,-1.17971,-3.41916,-3.12829,-1.17971,1
1,18,98,-1.50545,-1.05172,-3.41916,-3.12829,-1.05172,1
1,17,98,-1.38067,-1.05209,-3.41916,-3.12829,-1.05209,1
1,15,98,-1.44893,-1.27761,-3.41916,-3.12829,-1.27761,1
1,13,98,-1.36489,-1.03859,-3.41916,-3.12829,-1.36489,1
1,12,98,-1.42875,-0.63919,-3.41916,-3.12829,-0.63919,1
1,9,98,-1.63513,-1.59693,-3.41916,-3.12829,-1.59693,1
1,7,98,-1.12478,-0.0789182,-3.41916,-3.12829,-0.0789182,1
1,4,98,-0.436112,-1.14614,-3.41916,-3.12829,-1.14614,0
1,3,98,-0.586361,-0.453829,-3.41916,-3.12829,-0.453829,1
1,2,98,-1.42388,-0.72434,-3.41916,-3.12829,-0.72434,1
1,1,98,-1.26224,-0.784193,-3.41916,-3.12829,-0.784193,1
1,20,97,-1.56589,-1.02379,-3.41916,-2.81209,-1.56589,1
1,19,97,-1.52375,-1.20897,-3.41916,-2.81209,-1.20897,1
1,18,97,-1.27792,-0.898654,-3.41916,-2.81209,-0.898654,1
1,17,97,-1.34174,-0.985428,-3.41916,-2.81209,-0.985428,1
1,15,97,-1.10593,-1.18375,-3.41916,-2.81209,-1.18375,0
1,13,97,-1.17994,-0.885292,-3.41916,-2.81209,-0.885292,1
1,12,97,-1.34316,-0.444025,-3.41916,-2.81209,-0.444025,1
1,7,97,-1.15979,0.00408585,-3.41916,-2.81209,0.00408585,1
1,4,97,-0.401968,-0.973076,-3.41916,-2.81209,-0.973076,0
1,3,97,-0.558627,-0.442453,-3.41916,-2.81209,-0.442453,1
1,2,97,-0.66598,-0.648358,-3.41916,-2.81209,-0.648358,1
1,20,96,-1.39548,-0.875308,-3.41916,-2.99602,-0.875308,1
1,19,96,-1.0931,-1.09961,-3.41916,-2.99602,-1.09961,0
1,18,96,-1.40892,-0.845898,-3.41916,-2.99602,-0.845898,1
1,17,96,-1.10386,-0.976847,-3.41916,-2.99602,-0.976847,1
1,15,96,-1.0883,-1.05624,-3.41916,-2.99602,-1.05624,1
1,13,96,-1.13847,-0.921773,-3.41916,-2.99602,-1.13847,1
1,12,96,-1.3218,-0.46022,-3.41916,-2.99602,-0.46022,1
1,9,96,-1.22022,-1.37319,-3.41916,-2.99602,-1.37319,0
1,7,96,-1.00905,0.0269391,-3.41916,-2.99602,0.0269391,1
1,4,96,-0.243528,-0.946673,-3.41916,-2.99602,-0.946673,0
1,3,96,-0.549393,-0.41182,-3.41916,-2.99602,-0.41182,1
1,2,96,-0.683063,-0.675448,-3.41916,-2.99602,-0.675448,1
1,19,95,-0.863897,-0.951105,-3.41916,-2.85377,-0.951105,0
1,17,95,-1.33758,-0.883584,-3.41916,-2.85377,-0.883584,1
1,15,95,-0.974888,-1.14324,-3.41916,-2.85377,-1.14324,0
1,13,95,-0.965537,-0.659419,-3.41916,-2.85377,-0.659419,1
1,7,95,-1.03903,0.0226527,-3.41916,-2.85377,0.0226527,1
1,4,95,-0.252287,-0.863903,-3.41916,-2.85377,-0.863903,0
1,2,95,-0.7325,-0.356404,-3.41916,-2.85377,-0.356404,1
1,1,95,-0.724859,-0.199334,-3.41916,-2.85377,-0.199334,1
1,19,94,-0.84075,-0.928818,-3.41916,-2.55553,-0.928818,0
1,17,94,-0.995043,-0.672779,-3.41916,-2.55553,-0.672779,1
1,15,94,-0.95399,-1.01348,-3.41916,-2.55553,-1.01348,0
1,13,94,-0.885971,-0.53436,-3.41916,-2.55553,-0.53436,1
1,7,94,-0.942222,0.0733499,-3.41916,-2.55553,0.0733499,1
1,4,94,-0.195721,-0.799605,-3.41916,-2.55553,-0.799605,0
1,2,94,-0.133787,-0.344741,-3.41916,-2.55553,-0.344741,0
1,1,94,-0.337063,-0.195137,-3.41916,-2.55553,-0.195137,1
1,19,93,-0.881076,-0.862959,-3.41916,-2.51688,-0.862959,1
1,17,93,-0.808311,-0.611582,-3.41916,-2.51688,-0.611582,1
1,15,93,-0.866853,-1.14414,-3.41916,-2.51688,-1.14414,0
1,13,93,-1.20587,-0.53464,-3.41916,-2.51688,-0.53464,1
1,7,93,-0.833139,0.237575,-3.41916,-2.51688,0.237575,1
