Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.18933,-1.05458,-3.41916,-3.35117,-1.05458,1
1,19,99,-1.72235,-1.38616,-3.41916,-3.35117,-1.38616,1
1,18,99,-1.29421,-0.166827,-3.41916,-3.35117,-0.166827,1
1,17,99,-1.84704,-0.73505,-3.41916,-3.35117,-0.73505,1
1,15,99,-1.00836,-0.861222,-3.41916,-3.35117,-0.861222,1
1,13,99,-0.882786,-0.525987,-3.41916,-3.35117,-0.525987,1
1,12,99,-1.16962,-1.19488,-3.41916,-3.35117,-1.16962,0
1,10,99,-0.810875,-0.499004,-3.41916,-3.35117,-0.810875,1
1,9,99,-0.861755,-0.899768,-3.41916,-3.35117,-0.899768,0
1,7,99,-0.60329,-1.08376,-3.41916,-3.35117,-1.08376,0
1,4,99,-0.54255,-0.496112,-3.41916,-3.35117,-0.496112,1
1,3,99,-0.277267,-0.380122,-3.41916,-3.35117,-0.380122,0
1,2,99,-0.808047,-0.552631,-3.41916,-3.35117,-0.552631,1
1,1,99,-0.481181,-0.276991,-3.41916,-3.35117,-0.276991,1
1,20,98,-1.89861,-1.41997,-3.41916,-3.12829,-1.41997,1
1,19,98,-1.40279,-1.19257,-3.41916,-3.12829,-1.19257,1
1,18,98,-1.34817,-0.238445,-3.41916,-3.12829,-0.238445,1
1,17,98,-1.95279,-0.670769,-3.41916,-3.12829,-0.670769,1
1,15,98,-1.30726,-0.879596,-3.41916,-3.12829,-0.879596,1
1,13,98,-0.823738,-0.468418,-3.41916,-3.12829,-0.823738,1
1,12,98,-0.653784,-0.398531,-3.41916,-3.12829,-0.398531,1
1,9,98,-0.895288,-0.590938,-3.41916,-3.12829,-0.590938,1
1,7,98,-0.445975,-0.607697,-3.41916,-3.12829,-0.607697,0
1,4,98,-0.419877,-0.306124,-3.41916,-3.12829,-0.306124,1
1,3,98,-0.19616,-0.252917,-3.41916,-3.12829,-0.252917,0
1,2,98,-0.454098,-0.386437,-3.41916,-3.12829,-0.386437,1
1,1,98,-0.30896,-0.220903,-3.41916,-3.12829,-0.220903,1
1,20,97,-1.44439,-1.15031,-3.41916,-2.81209,-1.44439,1
1,19,97,-1.58569,-1.28472,-3.41916,-2.81209,-1.28472,1
1,18,97,-1.11738,0.0166071,-3.41916,-2.81209,0.0166071,1
1,17,97,-1.77833,-0.662375,-3.41916,-2.81209,-0.662375,1
1,15,97,-0.845001,-0.79268,-3.41916,-2.81209,-0.79268,1
1,13,97,-0.7033,-0.373344,-3.41916,-2.81209,-0.373344,1
1,12,97,-0.623449,-0.357766,-3.41916,-2.81209,-0.357766,1
1,7,97,-0.404657,-0.565708,-3.41916,-2.81209,-0.565708,0
1,4,97,-0.261104,-0.335111,-3.41916,-2.81209,-0.335111,0
1,3,97,-0.243624,-0.282826,-3.41916,-2.81209,-0.282826,0
1,2,97,-0.400093,-0.198842,-3.41916,-2.81209,-0.198842,1
1,20,96,-1.25649,-0.990317,-3.41916,-2.99602,-0.990317,1
1,19,96,-1.54683,-1.30008,-3.41916,-2.99602,-1.30008,1
1,18,96,-1.37416,-0.336966,-3.41916,-2.99602,-0.336966,1
1,17,96,-1.41313,-0.492352,-3.41916,-2.99602,-0.492352,1
1,15,96,-0.838868,-1.00796,-3.41916,-2.99602,-1.00796,0
1,13,96,-1.03038,-0.645045,-3.41916,-2.99602,-1.03038,1
1,12,96,-0.419,-0.238236,-3.41916,-2.99602,-0.238236,1
1,9,96,-0.416235,-0.831912,-3.41916,-2.99602,-0.831912,0
1,7,96,-0.472429,-0.702712,-3.41916,-2.99602,-0.702712,0
1,4,96,-0.189485,-0.376168,-3.41916,-2.99602,-0.376168,0
1,3,96,-0.0360564,-0.629733,-3.41916,-2.99602,-0.629733,0
1,2,96,-0.303091,-0.317575,-3.41916,-2.99602,-0.317575,0
1,19,95,-1.31403,-1.0496,-3.41916,-2.85377,-1.0496,1
1,17,95,-1.67084,-0.665178,-3.41916,-2.85377,-0.665178,1
1,15,95,-0.870969,-0.943492,-3.41916,-2.85377,-0.943492,0
1,13,95,-0.709785,-0.264923,-3.41916,-2.85377,-0.264923,1
1,7,95,-0.380558,-0.728967,-3.41916,-2.85377,-0.728967,0
1,4,95,-0.0633948,-0.0762483,-3.41916,-2.85377,-0.0762483,0
1,2,95,-0.492876,-0.0839319,-3.41916,-2.85377,-0.0839319,1
1,1,95,-0.17486,-0.149355,-3.41916,-2.85377,-0.149355,1
1,19,94,-1.11363,-0.750505,-3.41916,-2.55553,-0.750505,1
1,17,94,-1.55661,-0.582856,-3.41916,-2.55553,-0.582856,1
1,15,94,-0.439253,-0.319596,-3.41916,-2.55553,-0.319596,1
1,13,94,-0.825395,-0.297384,-3.41916,-2.55553,-0.297384,1
