Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.15541,-1.65875,-3.41916,-3.35117,-1.65875,0
1,19,99,-1.87826,-1.69999,-3.41916,-3.35117,-1.69999,1
1,18,99,-1.60118,-1.30946,-3.41916,-3.35117,-1.30946,1
1,17,99,-1.95395,-1.62123,-3.41916,-3.35117,-1.62123,1
1,15,99,-1.42233,-0.502137,-3.41916,-3.35117,-0.502137,1
1,13,99,-1.55121,-0.179831,-3.41916,-3.35117,-0.179831,1
1,12,99,-2.53001,-0.803058,-3.41916,-3.35117,-2.53001,1
1,10,99,-1.07539,-1.36321,-3.41916,-3.35117,-1.36321,0
1,9,99,-0.75047,-1.20952,-3.41916,-3.35117,-1.20952,0
1,7,99,-1.45795,-0.780231,-3.41916,-3.35117,-0.780231,1
1,4,99,-0.847288,-1.19115,-3.41916,-3.35117,-1.19115,0
1,3,99,-0.944576,-1.03121,-3.41916,-3.35117,-1.03121,0
1,2,99,-0.960676,-1.02209,-3.41916,-3.35117,-1.02209,0
1,1,99,-1.02725,-1.02782,-3.41916,-3.35117,-1.02782,0
1,20,98,-1.18668,-1.62111,-3.41916,-3.12829,-1.62111,0
1,19,98,-1.64716,-1.52252,-3.41916,-3.12829,-1.52252,1
1,18,98,-1.64546,-1.38806,-3.41916,-3.12829,-1.38806,1
1,17,98,-2.2974,-1.49893,-3.41916,-3.12829,-1.49893,1
1,15,98,-1.76104,-0.54871,-3.41916,-3.12829,-0.54871,1
1,13,98,-1.46875,-0.18181,-3.41916,-3.12829,-1.46875,1
1,12,98,-2.438,-0.659959,-3.41916,-3.12829,-0.659959,1
1,9,98,-0.654828,-1.10824,-3.41916,-3.12829,-1.10824,0
1,7,98,-1.09074,-0.739086,-3.41916,-3.12829,-0.739086,1
1,4,98,-0.754115,-1.11672,-3.41916,-3.12829,-1.11672,0
1,3,98,-0.847936,-0.805336,-3.41916,-3.12829,-0.805336,1
1,2,98,-0.79968,-0.827493,-3.41916,-3.12829,-0.827493,0
1,1,98,-0.877236,-0.943874,-3.41916,-3.12829,-0.943874,0
1,20,97,-0.829948,-1.38393,-3.41916,-2.81209,-0.829948,0
1,19,97,-1.60224,-1.46208,-3.41916,-2.81209,-1.46208,1
1,18,97,-1.50597,-1.13448,-3.41916,-2.81209,-1.13448,1
1,17,97,-2.28781,-1.39426,-3.41916,-2.81209,-1.39426,1
1,15,97,-1.20736,-0.423986,-3.41916,-2.81209,-0.423986,1
1,13,97,-1.18819,-0.111597,-3.41916,-2.81209,-0.111597,1
1,12,97,-2.25043,-0.529744,-3.41916,-2.81209,-0.529744,1
1,7,97,-0.998513,-0.631712,-3.41916,-2.81209,-0.631712,1
1,4,97,-0.627871,-1.06604,-3.41916,-2.81209,-1.06604,0
1,3,97,-0.755477,-0.817878,-3.41916,-2.81209,-0.817878,0
1,2,97,-0.744868,-0.788441,-3.41916,-2.81209,-0.788441,0
1,20,96,-0.695122,-1.28847,-3.41916,-2.99602,-1.28847,0
1,19,96,-1.3964,-1.31772,-3.41916,-2.99602,-1.31772,1
1,18,96,-1.4029,-1.20621,-3.41916,-2.99602,-1.20621,1
1,17,96,-2.08536,-1.38292,-3.41916,-2.99602,-1.38292,1
1,15,96,-1.12843,-0.37572,-3.41916,-2.99602,-0.37572,1
1,13,96,-1.25495,-0.195878,-3.41916,-2.99602,-1.25495,1
1,12,96,-2.14331,-0.437451,-3.41916,-2.99602,-0.437451,1
1,9,96,-0.437345,-0.933315,-3.41916,-2.99602,-0.933315,0
1,7,96,-0.894065,-0.575338,-3.41916,-2.99602,-0.575338,1
1,4,96,-0.514866,-0.884226,-3.41916,-2.99602,-0.884226,0
1,3,96,-0.653008,-0.766182,-3.41916,-2.99602,-0.766182,0
1,2,96,-0.688812,-0.687971,-3.41916,-2.99602,-0.687971,1
1,19,95,-1.3312,-1.18401,-3.41916,-2.85377,-1.18401,1
1,17,95,-1.64448,-1.4451,-3.41916,-2.85377,-1.4451,1
1,15,95,-1.16737,-0.374877,-3.41916,-2.85377,-0.374877,1
1,13,95,-1.06386,-0.0381327,-3.41916,-2.85377,-0.0381327,1
1,7,95,-0.874011,-0.540336,-3.41916,-2.85377,-0.540336,1
1,4,95,-0.344718,-0.811312,-3.41916,-2.85377,-0.811312,0
1,2,95,-0.837695,-0.346346,-3.41916,-2.85377,-0.346346,1
1,1,95,-0.806612,-0.726416,-3.41916,-2.85377,-0.726416,1
1,19,94,-1.24052,-0.817755,-3.41916,-2.55553,-0.817755,1
1,17,94,-1.80927,-1.35666,-3.41916,-2.55553,-1.35666,1
1,15,94,-0.895956,-0.233643,-3.41916,-2.55553,-0.233643,1
1,13,94,-0.99724,-0.063437,-3.41916,-2.55553,-0.063437,1
1,7,94,-0.671325,-0.379932,-3.41916,-2.55553,-0.379932,1
1,4,94,-0.321262,-0.636569,-3.41916,-2.55553,-0.636569,0
1,2,94,-0.574022,-0.488613,-3.41916,-2.55553,-0.488613,1
1,1,94,-0.781168,-0.896259,-3.41916,-2.55553,-0.896259,0
1,19,93,-1.21596,-0.746528,-3.41916,-2.51688,-0.746528,1
1,17,93,-1.62833,-1.40721,-3.41916,-2.51688,-1.40721,1
1,15,93,-0.977895,-0.0893105,-3.41916,-2.51688,-0.0893105,1
1,13,93,-1.08719,-0.122997,-3.41916,-2.51688,-0.122997,1
1,7,93,-0.640379,-0.31819,-3.41916,-2.51688,-0.31819,1
1,4,93,-0.0871206,-0.644309,-3.41916,-2.51688,-0.644309,0
1,2,93,-0.572049,-0.136888,-3.41916,-2.51688,-0.136888,1
1,1,93,-0.708912,-0.786172,-3.41916,-2.51688,-0.786172,0
1,19,92,-1.18356,-0.772618,-6.43894,-2.39982,-0.772618,1
1,17,92,-1.04607,-0.918838,-6.43894,-2.39982,-0.918838,1
1,15,92,-0.657041,0.000947809,-6.43894,-2.39982,0.000947809,1
