Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.77304,-1.22686,-3.41916,-3.35117,-1.22686,1
1,19,99,-1.69658,-1.45765,-3.41916,-3.35117,-1.45765,1
1,18,99,-1.55873,-1.86049,-3.41916,-3.35117,-1.86049,0
1,17,99,-0.974548,-0.470346,-3.41916,-3.35117,-0.470346,1
1,15,99,-1.1096,-0.858344,-3.41916,-3.35117,-0.858344,1
1,13,99,-1.38177,-0.69003,-3.41916,-3.35117,-0.69003,1
1,12,99,-1.3495,-0.737033,-3.41916,-3.35117,-1.3495,1
1,10,99,-1.06502,-0.135927,-3.41916,-3.35117,-0.135927,1
1,9,99,-0.984051,-0.967282,-3.41916,-3.35117,-0.967282,1
1,7,99,-0.403505,-0.261967,-3.41916,-3.35117,-0.261967,1
1,4,99,-0.856031,-0.652545,-3.41916,-3.35117,-0.652545,1
1,3,99,-0.649226,-0.746565,-3.41916,-3.35117,-0.746565,0
1,2,99,0.12701,-0.525533,-3.41916,-3.35117,-0.525533,0
1,1,99,-0.703038,-0.588812,-3.41916,-3.35117,-0.588812,1
1,20,98,-1.5308,-1.10548,-3.41916,-3.12829,-1.10548,1
1,19,98,-1.49043,-1.37273,-3.41916,-3.12829,-1.37273,1
1,18,98,-1.55455,-1.8381,-3.41916,-3.12829,-1.8381,0
1,17,98,-1.28879,-0.471148,-3.41916,-3.12829,-0.471148,1
1,15,98,-1.40194,-0.686699,-3.41916,-3.12829,-0.686699,1
1,13,98,-1.35219,-0.722117,-3.41916,-3.12829,-1.35219,1
1,12,98,-1.02753,-0.633224,-3.41916,-3.12829,-0.633224,1
1,9,98,-0.645163,-0.803855,-3.41916,-3.12829,-0.803855,0
1,7,98,-0.351935,-0.272201,-3.41916,-3.12829,-0.272201,1
1,4,98,-0.327779,-0.399752,-3.41916,-3.12829,-0.399752,0
1,3,98,-0.288524,-0.389169,-3.41916,-3.12829,-0.389169,0
1,2,98,0.0586957,-0.0472196,-3.41916,-3.12829,-0.0472196,0
1,1,98,-0.598273,-0.581983,-3.41916,-3.12829,-0.581983,1
1,20,97,-1.52523,-0.956091,-3.41916,-2.81209,-1.52523,1
1,19,97,-1.09383,-0.968673,-3.41916,-2.81209,-0.968673,1
1,18,97,-1.46393,-1.75552,-3.41916,-2.81209,-1.75552,0
1,17,97,-1.18972,-0.372491,-3.41916,-2.81209,-0.372491,1
1,15,97,-0.750848,-0.621544,-3.41916,-2.81209,-0.621544,1
1,13,97,-1.25967,-0.517964,-3.41916,-2.81209,-0.517964,1
1,12,97,-0.985689,-0.578961,-3.41916,-2.81209,-0.578961,1
1,7,97,-0.303487,-0.13312,-3.41916,-2.81209,-0.13312,1
1,4,97,-0.242182,-0.242385,-3.41916,-2.81209,-0.242385,0
1,3,97,-0.282266,-0.124147,-3.41916,-2.81209,-0.124147,1
1,2,97,0.192325,-0.0264435,-3.41916,-2.81209,-0.0264435,0
1,20,96,-1.39614,-0.896935,-3.41916,-2.99602,-0.896935,1
1,19,96,-1.24765,-1.17457,-3.41916,-2.99602,-1.17457,1
1,18,96,-1.0998,-1.6325,-3.41916,-2.99602,-1.6325,0
1,17,96,-1.03059,-0.318964,-3.41916,-2.99602,-0.318964,1
1,15,96,-0.698145,-0.487626,-3.41916,-2.99602,-0.487626,1
1,13,96,-1.35448,-0.658602,-3.41916,-2.99602,-1.35448,1
1,12,96,-1.16783,-0.501932,-3.41916,-2.99602,-0.501932,1
1,9,96,-0.646753,-0.743735,-3.41916,-2.99602,-0.743735,0
1,7,96,-0.251074,-0.112722,-3.41916,-2.99602,-0.112722,1
1,4,96,-0.135027,-0.288279,-3.41916,-2.99602,-0.288279,0
1,3,96,-0.147942,-0.0654817,-3.41916,-2.99602,-0.0654817,1
1,2,96,0.113534,0.150769,-3.41916,-2.99602,0.150769,1
1,19,95,-1.14657,-1.06007,-3.41916,-2.85377,-1.06007,1
1,17,95,-0.678561,-0.0782098,-3.41916,-2.85377,-0.0782098,1
1,15,95,-0.697195,-0.451077,-3.41916,-2.85377,-0.451077,1
1,13,95,-1.06861,-0.393097,-3.41916,-2.85377,-0.393097,1
1,7,95,-0.262414,-0.0355602,-3.41916,-2.85377,-0.0355602,1
1,4,95,-0.0796582,-0.116065,-3.41916,-2.85377,-0.116065,0
1,2,95,0.30383,0.152996,-3.41916,-2.85377,0.152996,0
1,1,95,-0.472034,0.201339,-3.41916,-2.85377,0.201339,1
1,19,94,-1.06946,-0.997208,-3.41916,-2.55553,-0.997208,1
1,17,94,-0.754958,0.0182671,-3.41916,-2.55553,0.0182671,1
1,15,94,-0.520635,-0.350248,-3.41916,-2.55553,-0.350248,1
1,13,94,-0.894129,-0.267432,-3.41916,-2.55553,-0.267432,1
1,7,94,-0.256373,-0.0187747,-3.41916,-2.55553,-0.0187747,1
1,4,94,-0.0861388,-0.0889345,-3.41916,-2.55553,-0.0889345,0
1,2,94,0.158437,0.378589,-3.41916,-2.55553,0.378589,1
1,1,94,0.129488,0.208917,-3.41916,-2.55553,0.208917,1
1,19,93,-0.962535,-0.915927,-3.41916,-2.51688,-0.915927,1
1,17,93,-0.65474,0.135392,-3.41916,-2.51688,0.135392,1
1,15,93,-0.412124,-0.227049,-3.41916,-2.51688,-0.227049,1
1,13,93,-0.924494,-0.248128,-3.41916,-2.51688,-0.248128,1
1,7,93,-0.184468,0.0775901,-3.41916,-2.51688,0.0775901,1
1,4,93,0.196877,-0.206604,-3.41916,-2.51688,-0.206604,0
1,2,93,0.510899,0.0531753,-3.41916,-2.51688,0.0531753,0
1,1,93,0.255606,0.398199,-3.41916,-2.51688,0.398199,1
1,19,92,-1.03205,-0.945775,-6.43894,-2.39982,-0.945775,1
1,17,92,-0.761692,0.107337,-6.43894,-2.39982,0.107337,1
1,15,92,-0.19782,-0.091874,-6.43894,-2.39982,-0.091874,1
1,13,92,-0.870922,-0.182179,-6.43894,-2.39982,-0.182179,1
1,7,92,-0.171774,0.109506,-6.43894,-2.39982,0.109506,1
1,4,92,0.0256561,-0.0849157,-6.43894,-2.39982,-0.0849157,0
1,2,92,0.396117,0.467045,-6.43894,-2.39982,0.467045,1
1,1,92,0.377335,0.377811,-6.43894,-2.39982,0.377811,1
1,19,91,-1.02189,-0.938781,-6.29331,-2.45927,-0.938781,1
1,17,91,-0.595447,0.248243,-6.29331,-2.45927,0.248243,1
1,15,91,-0.116794,0.0164749,-6.29331,-2.45927,-0.116794,1
1,13,91,-0.737935,0.00888886,-6.29331,-2.45927,0.00888886,1
1,7,91,-0.0785088,0.197788,-6.29331,-2.45927,0.197788,1
1,4,91,-0.0125853,-0.0557349,-6.29331,-2.45927,-0.0557349,0
1,2,91,0.498845,0.209651,-6.29331,-2.45927,0.209651,0
1,1,91,0.443774,0.634869,-6.29331,-2.45927,0.634869,1
1,19,90,-1.21141,-0.909814,-6.05291,-2.36134,-0.909814,1
1,17,90,-0.869584,0.0499591,-6.05291,-2.36134,0.0499591,1
1,15,90,-0.0844974,0.00178434,-6.05291,-2.36134,0.00178434,1
1,13,90,-0.553622,0.0660245,-6.05291,-2.36134,0.0660245,1
1,7,90,-0.219771,0.0764332,-6.05291,-2.36134,0.0764332,1
1,4,90,0.0195599,0.0147084,-6.05291,-2.36134,0.0147084,0
1,2,90,0.503278,0.486245,-6.05291,-2.36134,0.486245,0
1,1,90,0.468793,0.056217,-6.05291,-2.36134,0.056217,0
1,19,89,-1.06862,-0.861203,-5.75042,-2.39784,-0.861203,1
1,17,89,-0.646494,0.187197,-5.75042,-2.39784,-0.646494,1
1,15,89,0.0101211,0.208913,-5.75042,-2.39784,0.208913,1
1,13,89,-0.413102,0.20462,-5.75042,-2.39784,0.20462,1
1,7,89,0.192116,0.375085,-5.75042,-2.39784,0.375085,1
1,4,89,0.0338618,-0.00199308,-5.75042,-2.39784,-0.00199308,0
1,2,89,0.488162,0.237935,-5.75042,-2.39784,0.237935,0
1,1,89,0.26779,0.709702,-5.75042,-2.39784,0.709702,1
1,19,88,-0.648988,-0.623993,-5.55605,-2.24038,-0.648988,1
1,17,88,-0.706894,0.19037,-5.55605,-2.24038,0.19037,1
1,15,88,-0.189493,0.134081,-5.55605,-2.24038,0.134081,1
1,13,88,-0.353922,0.323214,-5.55605,-2.24038,0.323214,1
1,7,88,0.37572,0.56444,-5.55605,-2.24038,0.56444,1
1,4,88,0.0908067,0.110432,-5.55605,-2.24038,0.110432,1
