Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.57362,-1.02552,-3.41916,-3.35117,-1.02552,1
1,19,99,-1.26651,-0.994994,-3.41916,-3.35117,-0.994994,1
1,18,99,-1.45269,-0.813668,-3.41916,-3.35117,-0.813668,1
1,17,99,-1.25871,-0.958511,-3.41916,-3.35117,-0.958511,1
1,15,99,-0.960989,-0.498556,-3.41916,-3.35117,-0.498556,1
1,13,99,-1.25297,-0.902801,-3.41916,-3.35117,-0.902801,1
1,12,99,-1.67549,-0.664674,-3.41916,-3.35117,-1.67549,1
1,10,99,-0.49005,-0.384017,-3.41916,-3.35117,-0.384017,1
1,9,99,-1.07767,-0.319149,-3.41916,-3.35117,-0.319149,1
1,7,99,-0.459168,-0.00935953,-3.41916,-3.35117,-0.00935953,1
1,4,99,-0.462309,-0.577323,-3.41916,-3.35117,-0.577323,0
1,3,99,-0.188806,-0.29655,-3.41916,-3.35117,-0.29655,0
1,2,99,-0.176173,-0.220505,-3.41916,-3.35117,-0.220505,0
1,1,99,-0.279188,-0.285215,-3.41916,-3.35117,-0.285215,0
1,20,98,-1.7002,-1.22997,-3.41916,-3.12829,-1.22997,1
1,19,98,-1.15741,-0.883464,-3.41916,-3.12829,-0.883464,1
1,18,98,-1.36777,-0.79418,-3.41916,-3.12829,-0.79418,1
1,17,98,-1.31901,-0.899534,-3.41916,-3.12829,-0.899534,1
1,15,98,-1.24324,-0.543669,-3.41916,-3.12829,-0.543669,1
1,13,98,-1.15728,-0.828533,-3.41916,-3.12829,-1.15728,1
1,12,98,-1.55841,-0.422877,-3.41916,-3.12829,-0.422877,1
1,9,98,-0.964364,-0.273311,-3.41916,-3.12829,-0.273311,1
1,7,98,-0.429589,-0.0233777,-3.41916,-3.12829,-0.0233777,1
1,4,98,-0.311002,-0.568772,-3.41916,-3.12829,-0.568772,0
1,3,98,-0.13144,-0.22333,-3.41916,-3.12829,-0.22333,0
1,2,98,-0.0883228,-0.0118228,-3.41916,-3.12829,-0.0118228,1
1,1,98,-0.20413,-0.23527,-3.41916,-3.12829,-0.23527,0
1,20,97,-1.35981,-0.770434,-3.41916,-2.81209,-1.35981,1
1,19,97,-1.13004,-0.879177,-3.41916,-2.81209,-0.879177,1
1,18,97,-1.31318,-0.674445,-3.41916,-2.81209,-0.674445,1
1,17,97,-1.2869,-0.797067,-3.41916,-2.81209,-0.797067,1
1,15,97,-0.776622,-0.45663,-3.41916,-2.81209,-0.45663,1
1,13,97,-1.03518,-0.775214,-3.41916,-2.81209,-0.775214,1
1,12,97,-1.35112,-0.329782,-3.41916,-2.81209,-0.329782,1
1,7,97,-0.442138,0.0504308,-3.41916,-2.81209,0.0504308,1
1,4,97,-0.277043,-0.395652,-3.41916,-2.81209,-0.395652,0
1,3,97,-0.0874246,-0.109389,-3.41916,-2.81209,-0.109389,0
1,2,97,0.00478851,0.0126013,-3.41916,-2.81209,0.0126013,1
1,20,96,-1.35586,-0.821269,-3.41916,-2.99602,-0.821269,1
1,19,96,-0.879283,-0.630585,-3.41916,-2.99602,-0.630585,1
1,18,96,-1.52774,-0.661164,-3.41916,-2.99602,-0.661164,1
1,17,96,-1.20365,-0.819088,-3.41916,-2.99602,-0.819088,1
1,15,96,-0.797504,-0.407259,-3.41916,-2.99602,-0.407259,1
1,13,96,-1.25145,-0.732425,-3.41916,-2.99602,-1.25145,1
1,12,96,-1.14738,-0.328145,-3.41916,-2.99602,-0.328145,1
1,9,96,-0.732719,-0.140098,-3.41916,-2.99602,-0.140098,1
1,7,96,-0.290078,0.16028,-3.41916,-2.99602,0.16028,1
1,4,96,-0.188571,-0.356076,-3.41916,-2.99602,-0.356076,0
1,3,96,-0.0386774,-0.0623576,-3.41916,-2.99602,-0.0623576,0
1,2,96,-0.00581351,0.0478006,-3.41916,-2.99602,0.0478006,1
1,19,95,-0.916381,-0.671927,-3.41916,-2.85377,-0.671927,1
1,17,95,-1.3147,-0.873684,-3.41916,-2.85377,-0.873684,1
1,15,95,-0.783099,-0.314898,-3.41916,-2.85377,-0.314898,1
1,13,95,-0.920003,-0.576342,-3.41916,-2.85377,-0.576342,1
1,7,95,-0.297459,0.146195,-3.41916,-2.85377,0.146195,1
1,4,95,-0.13832,-0.31521,-3.41916,-2.85377,-0.31521,0
1,2,95,-0.00685193,0.166844,-3.41916,-2.85377,0.166844,1
1,1,95,-0.118616,-0.0685909,-3.41916,-2.85377,-0.0685909,1
1,19,94,-0.668848,-0.471184,-3.41916,-2.55553,-0.471184,1
1,17,94,-0.893512,-0.649925,-3.41916,-2.55553,-0.649925,1
1,15,94,-0.695274,-0.322121,-3.41916,-2.55553,-0.695274,1
1,13,94,-0.957138,-0.759979,-3.41916,-2.55553,-0.759979,1
1,7,94,-0.250077,0.212991,-3.41916,-2.55553,0.212991,1
1,4,94,-0.146662,-0.218151,-3.41916,-2.55553,-0.218151,0
1,2,94,0.193498,0.162641,-3.41916,-2.55553,0.162641,0
1,1,94,0.0781179,-0.0773664,-3.41916,-2.55553,-0.0773664,0
1,19,93,-0.652333,-0.288904,-3.41916,-2.51688,-0.288904,1
1,17,93,-0.977478,-0.659692,-3.41916,-2.51688,-0.659692,1
1,15,93,-0.707018,-0.40319,-3.41916,-2.51688,-0.40319,1
1,13,93,-0.937676,-0.68886,-3.41916,-2.51688,-0.68886,1
