Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.23804,-1.1607,-3.41916,-3.35117,-1.1607,1
1,19,99,-1.15525,-1.51051,-3.41916,-3.35117,-1.51051,0
1,18,99,-0.916696,-0.706145,-3.41916,-3.35117,-0.706145,1
1,17,99,-1.3623,-0.853879,-3.41916,-3.35117,-0.853879,1
1,15,99,-1.02483,-0.594961,-3.41916,-3.35117,-0.594961,1
1,13,99,-0.897701,-0.319464,-3.41916,-3.35117,-0.319464,1
1,12,99,-1.07972,-1.06747,-3.41916,-3.35117,-1.07972,1
1,10,99,-0.987098,-1.09095,-3.41916,-3.35117,-1.09095,0
1,9,99,-0.546652,-0.393172,-3.41916,-3.35117,-0.393172,1
1,7,99,-0.787831,-0.7067,-3.41916,-3.35117,-0.7067,1
1,4,99,-0.660962,-1.2085,-3.41916,-3.35117,-1.2085,0
1,3,99,-0.721945,-1.05143,-3.41916,-3.35117,-1.05143,0
1,2,99,-0.54294,-1.01412,-3.41916,-3.35117,-1.01412,0
1,1,99,-0.885783,-0.92005,-3.41916,-3.35117,-0.92005,0
1,20,98,-1.3818,-1.22594,-3.41916,-3.12829,-1.22594,1
1,19,98,-0.933898,-1.28387,-3.41916,-3.12829,-1.28387,0
1,18,98,-1.04948,-0.680111,-3.41916,-3.12829,-0.680111,1
1,17,98,-1.12634,-0.792866,-3.41916,-3.12829,-0.792866,1
1,15,98,-1.11362,-0.588732,-3.41916,-3.12829,-0.588732,1
1,13,98,-0.84993,-0.31202,-3.41916,-3.12829,-0.84993,1
1,12,98,-0.648711,-0.716052,-3.41916,-3.12829,-0.716052,0
1,9,98,-0.491767,-0.367266,-3.41916,-3.12829,-0.367266,1
1,7,98,-0.694744,-0.54234,-3.41916,-3.12829,-0.54234,1
1,4,98,-0.56234,-1.10388,-3.41916,-3.12829,-1.10388,0
1,3,98,-0.557507,-0.968321,-3.41916,-3.12829,-0.968321,0
1,2,98,-0.381893,-0.817256,-3.41916,-3.12829,-0.817256,0
1,1,98,-0.475979,-0.522746,-3.41916,-3.12829,-0.522746,0
1,20,97,-1.12146,-1.05279,-3.41916,-2.81209,-1.12146,1
1,19,97,-1.13631,-1.41612,-3.41916,-2.81209,-1.41612,0
1,18,97,-0.64471,-0.566538,-3.41916,-2.81209,-0.566538,1
1,17,97,-1.08572,-0.873181,-3.41916,-2.81209,-0.873181,1
1,15,97,-0.859008,-0.482514,-3.41916,-2.81209,-0.482514,1
1,13,97,-0.70292,-0.28498,-3.41916,-2.81209,-0.28498,1
1,12,97,-0.556703,-0.602747,-3.41916,-2.81209,-0.602747,0
1,7,97,-0.625436,-0.369413,-3.41916,-2.81209,-0.369413,1
1,4,97,-0.496969,-1.0172,-3.41916,-2.81209,-1.0172,0
1,3,97,-0.5333,-0.879441,-3.41916,-2.81209,-0.879441,0
1,2,97,-0.305667,-0.848663,-3.41916,-2.81209,-0.848663,0
1,20,96,-0.851011,-0.756552,-3.41916,-2.99602,-0.756552,1
1,19,96,-1.05351,-1.44409,-3.41916,-2.99602,-1.44409,0
1,18,96,-0.859994,-0.714014,-3.41916,-2.99602,-0.714014,1
1,17,96,-0.935467,-0.578988,-3.41916,-2.99602,-0.578988,1
1,15,96,-0.77358,-0.438061,-3.41916,-2.99602,-0.438061,1
1,13,96,-0.782178,-0.227791,-3.41916,-2.99602,-0.782178,1
1,12,96,-0.473868,-0.540761,-3.41916,-2.99602,-0.540761,0
1,9,96,-0.349817,-0.13359,-3.41916,-2.99602,-0.13359,1
1,7,96,-0.50636,-0.329485,-3.41916,-2.99602,-0.329485,1
1,4,96,-0.379095,-0.926211,-3.41916,-2.99602,-0.926211,0
1,3,96,-0.359274,-0.886528,-3.41916,-2.99602,-0.886528,0
1,2,96,-0.250142,-0.711038,-3.41916,-2.99602,-0.711038,0
1,19,95,-0.70264,-1.05047,-3.41916,-2.85377,-1.05047,0
1,17,95,-1.14839,-0.567749,-3.41916,-2.85377,-0.567749,1
1,15,95,-0.887492,-0.475465,-3.41916,-2.85377,-0.475465,1
1,13,95,-0.631664,-0.114803,-3.41916,-2.85377,-0.114803,1
1,7,95,-0.56674,-0.374043,-3.41916,-2.85377,-0.374043,1
1,4,95,-0.3232,-0.798099,-3.41916,-2.85377,-0.798099,0
1,2,95,-0.143615,-0.62517,-3.41916,-2.85377,-0.62517,0
1,1,95,-0.456616,-0.499362,-3.41916,-2.85377,-0.499362,0
1,19,94,-0.645968,-1.09307,-3.41916,-2.55553,-1.09307,0
1,17,94,-0.874059,-0.514431,-3.41916,-2.55553,-0.514431,1
1,15,94,-0.608062,-0.306791,-3.41916,-2.55553,-0.306791,1
1,13,94,-0.532836,-0.0495317,-3.41916,-2.55553,-0.0495317,1
1,7,94,-0.400635,-0.22581,-3.41916,-2.55553,-0.22581,1
1,4,94,-0.252171,-0.713068,-3.41916,-2.55553,-0.713068,0
1,2,94,-0.247785,-0.555496,-3.41916,-2.55553,-0.555496,0
1,1,94,-0.271058,-0.308038,-3.41916,-2.55553,-0.308038,0
1,19,93,-0.678397,-0.911926,-3.41916,-2.51688,-0.911926,0
1,17,93,-0.317249,-0.317747,-3.41916,-2.51688,-0.317747,0
1,15,93,-0.756299,-0.329432,-3.41916,-2.51688,-0.329432,1
1,13,93,-0.585356,-0.0646488,-3.41916,-2.51688,-0.0646488,1
1,7,93,-0.32103,-0.046736,-3.41916,-2.51688,-0.046736,1
1,4,93,-0.21589,-0.724474,-3.41916,-2.51688,-0.724474,0
1,2,93,0.0954242,-0.452422,-3.41916,-2.51688,-0.452422,0
1,1,93,-0.100055,-0.161011,-3.41916,-2.51688,-0.161011,0
1,19,92,-0.852452,-0.899067,-6.43894,-2.39982,-0.899067,0
1,17,92,-0.692753,-0.294029,-6.43894,-2.39982,-0.294029,1
1,15,92,-0.674368,-0.205849,-6.43894,-2.39982,-0.205849,1
1,13,92,-0.418196,0.236187,-6.43894,-2.39982,0.236187,1
1,7,92,-0.25161,-0.0413814,-6.43894,-2.39982,-0.0413814,1
1,4,92,-0.125787,-0.784451,-6.43894,-2.39982,-0.784451,0
1,2,92,0.0645719,-0.413589,-6.43894,-2.39982,-0.413589,0
1,1,92,-0.115261,-0.140232,-6.43894,-2.39982,-0.140232,0
1,19,91,-0.617742,-0.726102,-6.29331,-2.45927,-0.726102,0
1,17,91,-0.224176,-0.193592,-6.29331,-2.45927,-0.193592,1
1,15,91,-0.333294,0.0056271,-6.29331,-2.45927,-0.333294,1
1,13,91,-0.570613,0.0720879,-6.29331,-2.45927,0.0720879,1
1,7,91,-0.193911,-0.0409998,-6.29331,-2.45927,-0.0409998,1
1,4,91,-0.0146793,-0.487848,-6.29331,-2.45927,-0.487848,0
1,2,91,0.134732,0.0112007,-6.29331,-2.45927,0.0112007,0
1,1,91,0.013076,-0.00195773,-6.29331,-2.45927,-0.00195773,0
1,19,90,-0.71503,-0.800702,-6.05291,-2.36134,-0.800702,0
1,17,90,-0.240728,-0.239512,-6.05291,-2.36134,-0.239512,1
1,15,90,-0.29485,0.0308104,-6.05291,-2.36134,0.0308104,1
1,13,90,-0.291731,0.197763,-6.05291,-2.36134,0.197763,1
1,7,90,-0.360546,0.0510946,-6.05291,-2.36134,0.0510946,1
1,4,90,0.0538812,-0.472559,-6.05291,-2.36134,-0.472559,0
1,2,90,0.13644,-0.430009,-6.05291,-2.36134,-0.430009,0
1,1,90,-0.312304,-0.274203,-6.05291,-2.36134,-0.274203,1
1,19,89,-1.03953,-1.15063,-5.75042,-2.39784,-1.15063,0
1,17,89,-0.031729,-0.103114,-5.75042,-2.39784,-0.031729,0
1,15,89,-0.274031,0.00942004,-5.75042,-2.39784,0.00942004,1
1,13,89,0.0138623,0.37052,-5.75042,-2.39784,0.37052,1
1,7,89,0.155515,0.0922849,-5.75042,-2.39784,0.0922849,0
1,4,89,0.117748,-0.332821,-5.75042,-2.39784,-0.332821,0
1,2,89,0.356831,-0.113858,-5.75042,-2.39784,-0.113858,0
1,1,89,0.23085,0.192614,-5.75042,-2.39784,0.192614,0
1,19,88,-0.656008,-0.551257,-5.55605,-2.24038,-0.656008,1
1,17,88,-0.147183,-0.179715,-5.55605,-2.24038,-0.179715,0
1,15,88,-0.402333,0.00892746,-5.55605,-2.24038,0.00892746,1
1,13,88,-0.0211491,0.421279,-5.55605,-2.24038,0.421279,1
1,7,88,0.207766,0.154293,-5.55605,-2.24038,0.154293,0
1,4,88,0.107209,-0.209564,-5.55605,-2.24038,-0.209564,0
1,2,88,0.376734,-0.0534636,-5.55605,-2.24038,-0.0534636,0
1,1,88,0.100664,0.0221043,-5.55605,-2.24038,0.0221043,0
1,19,87,-0.197716,-0.356855,-5.60239,-2.09737,-0.356855,0
1,17,87,-0.993682,-0.307632,-5.60239,-2.09737,-0.307632,1
1,15,87,-0.177444,0.149859,-5.60239,-2.09737,0.149859,1
1,13,87,-0.0134866,0.390552,-5.60239,-2.09737,0.390552,1
1,7,87,0.125466,0.173782,-5.60239,-2.09737,0.173782,1
1,4,87,0.000126983,-0.124748,-5.60239,-2.09737,-0.124748,0
1,2,87,0.239651,0.00597222,-5.60239,-2.09737,0.00597222,0
1,1,87,0.329031,0.314652,-5.60239,-2.09737,0.314652,0
1,19,86,-0.182148,-0.376057,-5.61978,-2.01828,-0.376057,0
1,17,86,-0.0450965,-0.0201411,-5.61978,-2.01828,-0.0450965,1
1,15,86,-0.400691,0.18342,-5.61978,-2.01828,0.18342,1
1,13,86,-0.258908,0.440473,-5.61978,-2.01828,-0.258908,1
1,7,86,0.400858,0.57511,-5.61978,-2.01828,0.57511,1
1,4,86,0.250807,-0.0816886,-5.61978,-2.01828,-0.0816886,0
1,2,86,0.550786,-0.0727882,-5.61978,-2.01828,-0.0727882,0
1,1,86,0.317448,0.285165,-5.61978,-2.01828,0.285165,0
1,19,85,-0.362658,-0.109338,-5.14185,-2.10808,-0.109338,1
1,17,85,-0.0870989,0.762115,-5.14185,-2.10808,0.762115,1
1,15,85,-1.06719,-0.789329,-5.14185,-2.10808,-0.789329,1
1,13,85,-0.166538,0.245737,-5.14185,-2.10808,0.245737,1
1,7,85,0.00634223,-0.347476,-5.14185,-2.10808,-0.347476,0
1,4,85,0.155702,0.703364,-5.14185,-2.10808,0.703364,1
1,2,85,0.333111,-0.301001,-5.14185,-2.10808,-0.301001,0
1,1,85,0.467653,0.848258,-5.14185,-2.10808,0.848258,1
1,19,84,-0.354223,0.00851413,-5.35927,-2.00544,0.00851413,1
