Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.06084,-1.78626,-3.41916,-3.35117,-1.78626,1
1,19,99,-2.3668,-1.3583,-3.41916,-3.35117,-1.3583,1
1,18,99,-1.58436,-1.29077,-3.41916,-3.35117,-1.29077,1
1,17,99,-1.89503,-0.662963,-3.41916,-3.35117,-0.662963,1
1,15,99,-2.35932,-0.863683,-3.41916,-3.35117,-0.863683,1
1,13,99,-2.10239,-0.764449,-3.41916,-3.35117,-0.764449,1
1,12,99,-1.57196,-0.954762,-3.41916,-3.35117,-1.57196,1
1,10,99,-1.81485,-0.747079,-3.41916,-3.35117,-0.747079,1
1,9,99,-0.749918,-0.755632,-3.41916,-3.35117,-0.755632,0
1,7,99,-1.09297,-1.29572,-3.41916,-3.35117,-1.29572,0
1,4,99,-0.908578,-0.792923,-3.41916,-3.35117,-0.792923,1
1,3,99,-0.43855,-1.13783,-3.41916,-3.35117,-1.13783,0
1,2,99,-1.02637,-1.23393,-3.41916,-3.35117,-1.23393,0
1,1,99,-0.705514,-1.30305,-3.41916,-3.35117,-1.30305,0
1,20,98,-2.09248,-2.01345,-3.41916,-3.12829,-2.01345,1
1,19,98,-2.26286,-1.38221,-3.41916,-3.12829,-1.38221,1
1,18,98,-1.86888,-1.30436,-3.41916,-3.12829,-1.30436,1
1,17,98,-1.7278,-0.462458,-3.41916,-3.12829,-0.462458,1
1,15,98,-2.46301,-0.988419,-3.41916,-3.12829,-0.988419,1
1,13,98,-2.04835,-0.603519,-3.41916,-3.12829,-2.04835,1
1,12,98,-1.58841,-1.2495,-3.41916,-3.12829,-1.2495,1
1,9,98,-0.675042,-0.792612,-3.41916,-3.12829,-0.792612,0
1,7,98,-0.68182,-1.10278,-3.41916,-3.12829,-1.10278,0
1,4,98,-0.457966,-0.612329,-3.41916,-3.12829,-0.612329,0
1,3,98,-0.194462,-1.15896,-3.41916,-3.12829,-1.15896,0
1,2,98,-0.938483,-1.23687,-3.41916,-3.12829,-1.23687,0
1,1,98,-0.941897,-1.21488,-3.41916,-3.12829,-1.21488,0
1,20,97,-1.89307,-1.66381,-3.41916,-2.81209,-1.89307,1
1,19,97,-2.19064,-1.56772,-3.41916,-2.81209,-1.56772,1
1,18,97,-1.67541,-1.6427,-3.41916,-2.81209,-1.6427,1
1,17,97,-1.85168,-0.575373,-3.41916,-2.81209,-0.575373,1
1,15,97,-2.19986,-0.758195,-3.41916,-2.81209,-0.758195,1
1,13,97,-1.96818,-0.574467,-3.41916,-2.81209,-0.574467,1
1,12,97,-1.53557,-1.12059,-3.41916,-2.81209,-1.12059,1
1,7,97,-0.576669,-1.01867,-3.41916,-2.81209,-1.01867,0
1,4,97,-0.420527,-0.344072,-3.41916,-2.81209,-0.344072,1
1,3,97,0.111784,-0.672176,-3.41916,-2.81209,-0.672176,0
1,2,97,-0.364452,-0.932521,-3.41916,-2.81209,-0.932521,0
1,20,96,-1.86385,-1.59177,-3.41916,-2.99602,-1.59177,1
1,19,96,-2.0692,-1.22086,-3.41916,-2.99602,-1.22086,1
1,18,96,-1.81393,-1.50925,-3.41916,-2.99602,-1.50925,1
1,17,96,-1.78345,-0.302322,-3.41916,-2.99602,-0.302322,1
1,15,96,-2.09936,-0.366251,-3.41916,-2.99602,-0.366251,1
1,13,96,-2.01032,-0.0418176,-3.41916,-2.99602,-2.01032,1
1,12,96,-1.36187,-0.952289,-3.41916,-2.99602,-0.952289,1
1,9,96,-0.633062,-0.492382,-3.41916,-2.99602,-0.492382,1
1,7,96,-0.457197,-1.03685,-3.41916,-2.99602,-1.03685,0
1,4,96,-0.308831,-0.307731,-3.41916,-2.99602,-0.307731,1
1,3,96,0.276469,-0.570077,-3.41916,-2.99602,-0.570077,0
1,2,96,-0.398213,-0.690973,-3.41916,-2.99602,-0.690973,0
1,19,95,-2.06732,-1.13851,-3.41916,-2.85377,-1.13851,1
1,17,95,-1.77594,-0.590867,-3.41916,-2.85377,-0.590867,1
1,15,95,-1.63774,-0.33535,-3.41916,-2.85377,-0.33535,1
1,13,95,-1.5053,-0.0814761,-3.41916,-2.85377,-0.0814761,1
1,7,95,-0.429836,-0.761514,-3.41916,-2.85377,-0.761514,0
1,4,95,-0.0533889,-0.383007,-3.41916,-2.85377,-0.383007,0
1,2,95,-0.459544,-0.732569,-3.41916,-2.85377,-0.732569,0
1,1,95,-0.398015,-0.985582,-3.41916,-2.85377,-0.985582,0
1,19,94,-1.83983,-1.20017,-3.41916,-2.55553,-1.20017,1
1,17,94,-1.54765,-0.272066,-3.41916,-2.55553,-0.272066,1
1,15,94,-1.63455,-0.358753,-3.41916,-2.55553,-0.358753,1
1,13,94,-1.29404,0.254874,-3.41916,-2.55553,0.254874,1
1,7,94,-0.516694,-0.933275,-3.41916,-2.55553,-0.933275,0
1,4,94,-0.183843,-0.18538,-3.41916,-2.55553,-0.18538,0
1,2,94,-0.132181,-0.633891,-3.41916,-2.55553,-0.633891,0
1,1,94,-0.14389,-0.851533,-3.41916,-2.55553,-0.851533,0
1,19,93,-1.92641,-1.03576,-3.41916,-2.51688,-1.03576,1
1,17,93,-1.33636,-0.335581,-3.41916,-2.51688,-0.335581,1
1,15,93,-1.75102,-0.563239,-3.41916,-2.51688,-0.563239,1
1,13,93,-1.41341,0.344345,-3.41916,-2.51688,0.344345,1
1,7,93,-0.452663,-0.97876,-3.41916,-2.51688,-0.97876,0
1,4,93,-0.142908,-0.233081,-3.41916,-2.51688,-0.233081,0
1,2,93,-0.0384276,-0.502886,-3.41916,-2.51688,-0.502886,0
1,1,93,-0.0854749,-0.752022,-3.41916,-2.51688,-0.752022,0
1,19,92,-1.9669,-0.976959,-6.43894,-2.39982,-0.976959,1
1,17,92,-1.40432,-0.454849,-6.43894,-2.39982,-0.454849,1
1,15,92,-1.4515,-0.331021,-6.43894,-2.39982,-0.331021,1
1,13,92,-1.324,0.251697,-6.43894,-2.39982,0.251697,1
1,7,92,-0.391484,-0.596449,-6.43894,-2.39982,-0.596449,0
1,4,92,-0.0369467,-0.287942,-6.43894,-2.39982,-0.287942,0
1,2,92,-0.310941,-0.6313,-6.43894,-2.39982,-0.6313,0
1,1,92,0.0372835,-0.766765,-6.43894,-2.39982,-0.766765,0
1,19,91,-1.73352,-0.895644,-6.29331,-2.45927,-0.895644,1
1,17,91,-1.33395,-0.318543,-6.29331,-2.45927,-0.318543,1
1,15,91,-1.39454,-0.0693428,-6.29331,-2.45927,-1.39454,1
1,13,91,-1.41042,-0.0506674,-6.29331,-2.45927,-0.0506674,1
1,7,91,-0.311724,-0.471171,-6.29331,-2.45927,-0.471171,0
1,4,91,-0.062941,-0.236816,-6.29331,-2.45927,-0.236816,0
1,2,91,-0.168928,-0.0050401,-6.29331,-2.45927,-0.0050401,1
1,1,91,0.216262,-0.782554,-6.29331,-2.45927,-0.782554,0
1,19,90,-2.03263,-1.21709,-6.05291,-2.36134,-1.21709,1
1,17,90,-1.26193,-0.575011,-6.05291,-2.36134,-0.575011,1
1,15,90,-1.45981,-0.0782917,-6.05291,-2.36134,-0.0782917,1
