Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.60678,-1.04583,-3.41916,-3.35117,-1.04583,1
1,19,99,-2.07729,-0.643445,-3.41916,-3.35117,-0.643445,1
1,18,99,-1.66778,-0.902631,-3.41916,-3.35117,-0.902631,1
1,17,99,-1.88729,-0.799522,-3.41916,-3.35117,-0.799522,1
1,15,99,-1.62563,-0.749452,-3.41916,-3.35117,-0.749452,1
1,13,99,-1.60814,-1.37729,-3.41916,-3.35117,-1.37729,1
1,12,99,-1.26275,-1.62194,-3.41916,-3.35117,-1.26275,0
1,10,99,-1.39072,-0.206313,-3.41916,-3.35117,-0.206313,1
1,9,99,-1.10631,-0.21445,-3.41916,-3.35117,-0.21445,1
1,7,99,-0.532968,0.0427068,-3.41916,-3.35117,0.0427068,1
1,4,99,0.510772,0.227089,-3.41916,-3.35117,0.227089,0
1,3,99,-0.366985,-1.37528,-3.41916,-3.35117,-1.37528,0
1,2,99,-0.657845,-0.773658,-3.41916,-3.35117,-0.773658,0
1,1,99,-0.140886,-0.754418,-3.41916,-3.35117,-0.754418,0
1,20,98,-1.90851,-1.39577,-3.41916,-3.12829,-1.39577,1
1,19,98,-1.74969,-0.679891,-3.41916,-3.12829,-0.679891,1
1,18,98,-1.93096,-0.789097,-3.41916,-3.12829,-0.789097,1
1,17,98,-1.46502,-0.620173,-3.41916,-3.12829,-0.620173,1
1,15,98,-1.93857,-0.894174,-3.41916,-3.12829,-0.894174,1
1,13,98,-1.52798,-1.34868,-3.41916,-3.12829,-1.52798,1
1,12,98,-1.3048,-1.67888,-3.41916,-3.12829,-1.67888,0
1,9,98,-0.967346,0.0222404,-3.41916,-3.12829,0.0222404,1
1,7,98,-0.273563,0.378665,-3.41916,-3.12829,0.378665,1
1,4,98,0.3666,0.25498,-3.41916,-3.12829,0.25498,0
1,3,98,0.26827,-1.10958,-3.41916,-3.12829,-1.10958,0
1,2,98,-0.444868,-0.7123,-3.41916,-3.12829,-0.7123,0
1,1,98,-0.279707,-0.579666,-3.41916,-3.12829,-0.579666,0
1,20,97,-1.55932,-0.986796,-3.41916,-2.81209,-1.55932,1
1,19,97,-1.78646,-0.847563,-3.41916,-2.81209,-0.847563,1
1,18,97,-1.46351,-0.831324,-3.41916,-2.81209,-0.831324,1
1,17,97,-1.45786,-0.768267,-3.41916,-2.81209,-0.768267,1
1,15,97,-1.34806,-0.548749,-3.41916,-2.81209,-0.548749,1
1,13,97,-1.24835,-1.23716,-3.41916,-2.81209,-1.23716,1
1,12,97,-1.22259,-1.64693,-3.41916,-2.81209,-1.64693,0
1,7,97,-0.299493,0.424834,-3.41916,-2.81209,0.424834,1
1,4,97,0.570627,0.37129,-3.41916,-2.81209,0.37129,0
1,3,97,0.18574,-0.799039,-3.41916,-2.81209,-0.799039,0
1,2,97,-0.429932,-0.824583,-3.41916,-2.81209,-0.824583,0
1,20,96,-1.2644,-0.762271,-3.41916,-2.99602,-0.762271,1
1,19,96,-1.65388,-0.650104,-3.41916,-2.99602,-0.650104,1
1,18,96,-1.59459,-0.830032,-3.41916,-2.99602,-0.830032,1
1,17,96,-1.24731,-0.415804,-3.41916,-2.99602,-0.415804,1
1,15,96,-1.18679,-0.325829,-3.41916,-2.99602,-0.325829,1
1,13,96,-1.30099,-1.09189,-3.41916,-2.99602,-1.30099,1
1,12,96,-1.09489,-1.59038,-3.41916,-2.99602,-1.59038,0
1,9,96,-0.718484,-0.118096,-3.41916,-2.99602,-0.118096,1
1,7,96,-0.217472,0.514148,-3.41916,-2.99602,0.514148,1
1,4,96,0.697102,0.654972,-3.41916,-2.99602,0.654972,0
1,3,96,0.436634,-0.757411,-3.41916,-2.99602,-0.757411,0
1,2,96,-0.0886403,-0.506791,-3.41916,-2.99602,-0.506791,0
1,19,95,-1.37969,-0.442306,-3.41916,-2.85377,-0.442306,1
1,17,95,-1.72974,-0.367434,-3.41916,-2.85377,-0.367434,1
1,15,95,-1.09964,-0.217048,-3.41916,-2.85377,-0.217048,1
1,13,95,-1.04948,-0.712276,-3.41916,-2.85377,-0.712276,1
1,7,95,-0.173732,0.631528,-3.41916,-2.85377,0.631528,1
1,4,95,0.668952,0.580568,-3.41916,-2.85377,0.580568,0
1,2,95,-0.295357,-0.321619,-3.41916,-2.85377,-0.321619,0
1,1,95,-0.206165,-0.138835,-3.41916,-2.85377,-0.138835,1
1,19,94,-1.3438,-0.49835,-3.41916,-2.55553,-0.49835,1
1,17,94,-1.06864,-0.194191,-3.41916,-2.55553,-0.194191,1
1,15,94,-0.961779,-0.135358,-3.41916,-2.55553,-0.135358,1
1,13,94,-1.0098,-0.445748,-3.41916,-2.55553,-0.445748,1
1,7,94,-0.0892769,0.589945,-3.41916,-2.55553,0.589945,1
1,4,94,0.744376,0.634407,-3.41916,-2.55553,0.634407,0
1,2,94,0.0833333,-0.263771,-3.41916,-2.55553,-0.263771,0
1,1,94,0.383219,-0.155838,-3.41916,-2.55553,-0.155838,0
1,19,93,-1.31578,-0.339398,-3.41916,-2.51688,-0.339398,1
1,17,93,-0.828425,0.0292241,-3.41916,-2.51688,0.0292241,1
1,15,93,-1.28641,-0.392872,-3.41916,-2.51688,-0.392872,1
1,13,93,-0.784775,-0.387171,-3.41916,-2.51688,-0.387171,1
1,7,93,-0.104328,0.520636,-3.41916,-2.51688,0.520636,1
1,4,93,0.821897,0.700351,-3.41916,-2.51688,0.700351,0
1,2,93,0.268046,-0.183092,-3.41916,-2.51688,-0.183092,0
1,1,93,0.357491,-0.0760483,-3.41916,-2.51688,-0.0760483,0
1,19,92,-1.41191,-0.47991,-6.43894,-2.39982,-0.47991,1
1,17,92,-0.895704,-0.0543624,-6.43894,-2.39982,-0.0543624,1
1,15,92,-0.88304,-0.0217497,-6.43894,-2.39982,-0.0217497,1
1,13,92,-0.638526,-0.42162,-6.43894,-2.39982,-0.42162,1
1,7,92,-0.0227092,0.65398,-6.43894,-2.39982,0.65398,1
1,4,92,0.872685,0.696753,-6.43894,-2.39982,0.696753,0
1,2,92,0.216747,-0.153917,-6.43894,-2.39982,-0.153917,0
1,1,92,0.535108,0.0239137,-6.43894,-2.39982,0.0239137,0
1,19,91,-1.03862,-0.221383,-6.29331,-2.45927,-0.221383,1
1,17,91,-0.714445,0.0818881,-6.29331,-2.45927,0.0818881,1
1,15,91,-0.771248,0.197452,-6.29331,-2.45927,-0.771248,1
1,13,91,-1.10704,-0.726584,-6.29331,-2.45927,-0.726584,1
1,7,91,0.0910105,0.846833,-6.29331,-2.45927,0.846833,1
1,4,91,0.829035,0.712184,-6.29331,-2.45927,0.712184,0
1,2,91,0.217377,0.566765,-6.29331,-2.45927,0.566765,1
1,1,91,0.681729,0.0223491,-6.29331,-2.45927,0.0223491,0
1,19,90,-1.22901,-0.103669,-6.05291,-2.36134,-0.103669,1
1,17,90,-0.706413,0.0170953,-6.05291,-2.36134,0.0170953,1
1,15,90,-0.772905,0.181249,-6.05291,-2.36134,0.181249,1
1,13,90,-0.801929,-0.286535,-6.05291,-2.36134,-0.286535,1
1,7,90,-0.236119,0.809272,-6.05291,-2.36134,0.809272,1
1,4,90,0.943978,0.728706,-6.05291,-2.36134,0.728706,0
1,2,90,0.352959,-0.038657,-6.05291,-2.36134,-0.038657,0
1,1,90,0.664984,0.0572447,-6.05291,-2.36134,0.0572447,0
1,19,89,-1.38721,-0.407176,-5.75042,-2.39784,-0.407176,1
1,17,89,-0.482229,0.30033,-5.75042,-2.39784,-0.482229,1
1,15,89,-0.649865,0.242802,-5.75042,-2.39784,0.242802,1
1,13,89,-0.252707,-0.0313739,-5.75042,-2.39784,-0.0313739,1
1,7,89,0.440917,1.02982,-5.75042,-2.39784,1.02982,1
1,4,89,0.822271,0.808807,-5.75042,-2.39784,0.808807,0
1,2,89,0.229005,-0.0664173,-5.75042,-2.39784,-0.0664173,0
1,1,89,0.575102,0.626134,-5.75042,-2.39784,0.626134,1
1,19,88,-1.12623,-0.104365,-5.55605,-2.24038,-1.12623,1
1,17,88,-0.65468,0.0875897,-5.55605,-2.24038,0.0875897,1
1,15,88,-0.650446,0.275581,-5.55605,-2.24038,0.275581,1
1,13,88,-0.337309,-0.0635695,-5.55605,-2.24038,-0.0635695,1
1,7,88,0.476712,1.00008,-5.55605,-2.24038,1.00008,1
1,4,88,1.01105,0.854372,-5.55605,-2.24038,0.854372,0
1,2,88,0.30353,-0.0498455,-5.55605,-2.24038,-0.0498455,0
1,1,88,0.676935,0.12261,-5.55605,-2.24038,0.12261,0
1,19,87,-0.936588,0.16257,-5.60239,-2.09737,0.16257,1
1,17,87,-0.909311,-0.0394617,-5.60239,-2.09737,-0.0394617,1
1,15,87,-0.59572,0.490188,-5.60239,-2.09737,0.490188,1
1,13,87,-0.0159588,0.0291697,-5.60239,-2.09737,0.0291697,1
1,7,87,0.626922,1.12124,-5.60239,-2.09737,1.12124,1
1,4,87,1.03371,0.941204,-5.60239,-2.09737,0.941204,0
1,2,87,0.396356,0.0908268,-5.60239,-2.09737,0.0908268,0
1,1,87,0.67265,0.16342,-5.60239,-2.09737,0.16342,0
1,19,86,-1.12781,-0.0471897,-5.61978,-2.01828,-0.0471897,1
