Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.15891,-1.56347,-3.41916,-3.35117,-1.56347,1
1,19,99,-1.79405,-1.45868,-3.41916,-3.35117,-1.45868,1
1,18,99,-1.9311,-1.60959,-3.41916,-3.35117,-1.60959,1
1,17,99,-2.02842,-0.972336,-3.41916,-3.35117,-0.972336,1
1,15,99,-2.58991,-1.01067,-3.41916,-3.35117,-1.01067,1
1,13,99,-2.01426,-0.988707,-3.41916,-3.35117,-0.988707,1
1,12,99,-1.93221,-1.43671,-3.41916,-3.35117,-1.93221,1
1,10,99,-1.33385,-0.834342,-3.41916,-3.35117,-0.834342,1
1,9,99,-1.5739,-0.27048,-3.41916,-3.35117,-0.27048,1
1,7,99,-0.350645,-0.693849,-3.41916,-3.35117,-0.693849,0
1,4,99,-1.2025,-0.517984,-3.41916,-3.35117,-0.517984,1
1,3,99,-0.114675,-1.31948,-3.41916,-3.35117,-1.31948,0
1,2,99,-0.74007,-0.955681,-3.41916,-3.35117,-0.955681,0
1,1,99,-0.585659,-1.04491,-3.41916,-3.35117,-1.04491,0
1,20,98,-2.27691,-1.78773,-3.41916,-3.12829,-1.78773,1
1,19,98,-1.81376,-1.70781,-3.41916,-3.12829,-1.70781,1
1,18,98,-2.04974,-1.56628,-3.41916,-3.12829,-1.56628,1
1,17,98,-1.3767,-0.832567,-3.41916,-3.12829,-0.832567,1
1,15,98,-2.65122,-0.813596,-3.41916,-3.12829,-0.813596,1
1,13,98,-1.92974,-0.877993,-3.41916,-3.12829,-1.92974,1
1,12,98,-1.88231,-1.70267,-3.41916,-3.12829,-1.70267,1
1,9,98,-1.50322,-0.196831,-3.41916,-3.12829,-0.196831,1
1,7,98,-0.492265,-0.661044,-3.41916,-3.12829,-0.661044,0
1,4,98,-0.944714,-0.428728,-3.41916,-3.12829,-0.428728,1
1,3,98,-0.288763,-1.23136,-3.41916,-3.12829,-1.23136,0
1,2,98,-0.621426,-0.882178,-3.41916,-3.12829,-0.882178,0
