Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.68216,-2.29412,-3.41916,-3.35117,-2.29412,1
1,19,99,-2.37957,-1.33816,-3.41916,-3.35117,-1.33816,1
1,18,99,-1.56592,-0.971534,-3.41916,-3.35117,-0.971534,1
1,17,99,-2.06502,-0.786832,-3.41916,-3.35117,-0.786832,1
1,15,99,-1.83378,-0.905229,-3.41916,-3.35117,-0.905229,1
1,13,99,-1.64726,-1.53972,-3.41916,-3.35117,-1.53972,1
1,12,99,-1.35188,-1.29558,-3.41916,-3.35117,-1.35188,1
1,10,99,-0.907849,-1.28726,-3.41916,-3.35117,-1.28726,0
1,9,99,-1.41198,-0.980755,-3.41916,-3.35117,-0.980755,1
1,7,99,-1.59591,-0.267452,-3.41916,-3.35117,-0.267452,1
1,4,99,-0.870282,-0.446226,-3.41916,-3.35117,-0.446226,1
1,3,99,0.0390459,-1.59797,-3.41916,-3.35117,-1.59797,0
1,2,99,-0.375973,-1.05847,-3.41916,-3.35117,-1.05847,0
1,1,99,-0.703988,-2.33147,-3.41916,-3.35117,-2.33147,0
1,20,98,-2.43557,-2.14285,-3.41916,-3.12829,-2.14285,1
1,19,98,-2.57439,-1.33888,-3.41916,-3.12829,-1.33888,1
1,18,98,-1.97878,-1.09068,-3.41916,-3.12829,-1.09068,1
1,17,98,-1.827,-0.587924,-3.41916,-3.12829,-0.587924,1
1,15,98,-1.79927,-0.813042,-3.41916,-3.12829,-0.813042,1
1,13,98,-1.60782,-1.39231,-3.41916,-3.12829,-1.60782,1
1,12,98,-1.05409,-1.43073,-3.41916,-3.12829,-1.43073,0
1,9,98,-0.963424,-0.735483,-3.41916,-3.12829,-0.735483,1
1,7,98,-1.36164,-0.157779,-3.41916,-3.12829,-0.157779,1
1,4,98,-0.524677,-0.153686,-3.41916,-3.12829,-0.153686,1
1,3,98,0.201213,-1.38608,-3.41916,-3.12829,-1.38608,0
1,2,98,-0.208297,-0.86569,-3.41916,-3.12829,-0.86569,0
1,1,98,-0.692162,-2.17615,-3.41916,-3.12829,-2.17615,0
1,20,97,-2.46348,-1.98859,-3.41916,-2.81209,-2.46348,1
1,19,97,-2.2068,-1.01987,-3.41916,-2.81209,-1.01987,1
1,18,97,-1.86534,-1.11059,-3.41916,-2.81209,-1.11059,1
1,17,97,-1.95039,-0.822313,-3.41916,-2.81209,-0.822313,1
1,15,97,-1.52484,-0.865253,-3.41916,-2.81209,-0.865253,1
1,13,97,-1.35601,-1.39626,-3.41916,-2.81209,-1.39626,0
1,12,97,-0.957376,-1.33965,-3.41916,-2.81209,-1.33965,0
1,7,97,-1.15738,-0.186428,-3.41916,-2.81209,-0.186428,1
1,4,97,-0.408393,-0.0593187,-3.41916,-2.81209,-0.0593187,1
1,3,97,0.314111,-1.32907,-3.41916,-2.81209,-1.32907,0
1,2,97,-0.209672,-0.695015,-3.41916,-2.81209,-0.695015,0
1,20,96,-2.26025,-1.68516,-3.41916,-2.99602,-1.68516,1
1,19,96,-2.38022,-1.03721,-3.41916,-2.99602,-1.03721,1
1,18,96,-1.69211,-0.98596,-3.41916,-2.99602,-0.98596,1
1,17,96,-1.89394,-0.765945,-3.41916,-2.99602,-0.765945,1
1,15,96,-1.36414,-0.539503,-3.41916,-2.99602,-0.539503,1
1,13,96,-1.613,-0.981701,-3.41916,-2.99602,-1.613,1
1,12,96,-0.832458,-1.28405,-3.41916,-2.99602,-1.28405,0
1,9,96,-0.657121,-0.903628,-3.41916,-2.99602,-0.903628,0
1,7,96,-0.597884,0.223695,-3.41916,-2.99602,0.223695,1
1,4,96,-0.396835,-0.0944658,-3.41916,-2.99602,-0.0944658,1
1,3,96,0.278915,-1.35662,-3.41916,-2.99602,-1.35662,0
1,2,96,-0.131037,-0.661348,-3.41916,-2.99602,-0.661348,0
1,19,95,-2.21611,-0.831122,-3.41916,-2.85377,-0.831122,1
1,17,95,-1.87982,-0.366506,-3.41916,-2.85377,-0.366506,1
1,15,95,-1.50138,-0.510422,-3.41916,-2.85377,-0.510422,1
1,13,95,-0.927662,-0.993661,-3.41916,-2.85377,-0.993661,0
1,7,95,-0.460847,0.250693,-3.41916,-2.85377,0.250693,1
1,4,95,-0.240911,0.102967,-3.41916,-2.85377,0.102967,1
1,2,95,0.0233931,-0.683338,-3.41916,-2.85377,-0.683338,0
1,1,95,-0.542887,-1.9479,-3.41916,-2.85377,-1.9479,0
1,19,94,-1.85506,-0.848315,-3.41916,-2.55553,-0.848315,1
1,17,94,-1.75628,-0.374007,-3.41916,-2.55553,-0.374007,1
1,15,94,-1.37894,-0.514006,-3.41916,-2.55553,-0.514006,1
1,13,94,-0.75908,-0.745719,-3.41916,-2.55553,-0.745719,1
1,7,94,-0.772022,0.128214,-3.41916,-2.55553,0.128214,1
1,4,94,-0.189088,0.267973,-3.41916,-2.55553,0.267973,1
1,2,94,0.211015,-0.391864,-3.41916,-2.55553,-0.391864,0
1,1,94,-0.386304,-1.8082,-3.41916,-2.55553,-1.8082,0
1,19,93,-2.16786,-0.883869,-3.41916,-2.51688,-0.883869,1
1,17,93,-1.47953,-0.0880127,-3.41916,-2.51688,-0.0880127,1
1,15,93,-1.38696,-0.392439,-3.41916,-2.51688,-0.392439,1
1,13,93,-1.34964,-0.741127,-3.41916,-2.51688,-0.741127,1
1,7,93,-0.711922,0.238017,-3.41916,-2.51688,0.238017,1
1,4,93,0.23339,0.315757,-3.41916,-2.51688,0.315757,1
1,2,93,0.28306,-0.311738,-3.41916,-2.51688,-0.311738,0
1,1,93,-0.0616794,-1.77732,-3.41916,-2.51688,-1.77732,0
1,19,92,-1.96486,-0.60854,-6.43894,-2.39982,-0.60854,1
1,17,92,-1.51535,-0.154098,-6.43894,-2.39982,-0.154098,1
1,15,92,-1.23466,-0.484074,-6.43894,-2.39982,-0.484074,1
1,13,92,-0.849199,-0.684554,-6.43894,-2.39982,-0.684554,1
1,7,92,-0.636535,0.238596,-6.43894,-2.39982,0.238596,1
1,4,92,0.352112,0.395454,-6.43894,-2.39982,0.395454,1
1,2,92,0.249594,-0.276084,-6.43894,-2.39982,-0.276084,0
1,1,92,-0.32797,-1.61957,-6.43894,-2.39982,-1.61957,0
1,19,91,-1.8292,-0.555804,-6.29331,-2.45927,-0.555804,1
1,17,91,-1.5191,-0.148797,-6.29331,-2.45927,-0.148797,1
1,15,91,-1.01374,-0.0574026,-6.29331,-2.45927,-1.01374,1
1,13,91,-0.854746,-0.5642,-6.29331,-2.45927,-0.5642,1
1,7,91,-0.297422,0.433637,-6.29331,-2.45927,0.433637,1
1,4,91,0.0833604,0.467062,-6.29331,-2.45927,0.467062,1
