Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.36167,-1.56445,-3.41916,-3.35117,-1.56445,1
1,19,99,-1.87,-1.49333,-3.41916,-3.35117,-1.49333,1
1,18,99,-1.56358,-1.40839,-3.41916,-3.35117,-1.40839,1
1,17,99,-1.87938,-1.02765,-3.41916,-3.35117,-1.02765,1
1,15,99,-1.85797,-0.871922,-3.41916,-3.35117,-0.871922,1
1,13,99,-1.52784,-0.944999,-3.41916,-3.35117,-0.944999,1
1,12,99,-1.22188,-1.84663,-3.41916,-3.35117,-1.22188,0
1,10,99,-1.38775,-1.21092,-3.41916,-3.35117,-1.21092,1
1,9,99,-0.727767,-1.16586,-3.41916,-3.35117,-1.16586,0
1,7,99,-1.38574,-0.909044,-3.41916,-3.35117,-0.909044,1
1,4,99,-0.462865,-0.503163,-3.41916,-3.35117,-0.503163,0
1,3,99,-0.672767,-1.16321,-3.41916,-3.35117,-1.16321,0
1,2,99,-1.01404,-1.11912,-3.41916,-3.35117,-1.11912,0
1,1,99,-1.00542,-1.35588,-3.41916,-3.35117,-1.35588,0
1,20,98,-1.99728,-1.63435,-3.41916,-3.12829,-1.63435,1
1,19,98,-1.99228,-1.46585,-3.41916,-3.12829,-1.46585,1
1,18,98,-1.72131,-1.43455,-3.41916,-3.12829,-1.43455,1
1,17,98,-1.63786,-0.747027,-3.41916,-3.12829,-0.747027,1
1,15,98,-1.87605,-0.983639,-3.41916,-3.12829,-0.983639,1
1,13,98,-1.6079,-0.897109,-3.41916,-3.12829,-1.6079,1
1,12,98,-1.13273,-1.62229,-3.41916,-3.12829,-1.62229,0
1,9,98,-0.623075,-0.885652,-3.41916,-3.12829,-0.885652,0
1,7,98,-1.04702,-0.812013,-3.41916,-3.12829,-0.812013,1
1,4,98,-0.406085,-0.420085,-3.41916,-3.12829,-0.420085,0
1,3,98,-0.629262,-0.99704,-3.41916,-3.12829,-0.99704,0
1,2,98,-0.826572,-1.02462,-3.41916,-3.12829,-1.02462,0
1,1,98,-0.931541,-1.23195,-3.41916,-3.12829,-1.23195,0
1,20,97,-2.19742,-1.32172,-3.41916,-2.81209,-2.19742,1
1,19,97,-1.69039,-1.15805,-3.41916,-2.81209,-1.15805,1
1,18,97,-1.98241,-1.83949,-3.41916,-2.81209,-1.83949,1
1,17,97,-1.72376,-0.811739,-3.41916,-2.81209,-0.811739,1
1,15,97,-1.49793,-0.754895,-3.41916,-2.81209,-0.754895,1
1,13,97,-1.54389,-0.761381,-3.41916,-2.81209,-0.761381,1
1,12,97,-1.11851,-1.78238,-3.41916,-2.81209,-1.78238,0
1,7,97,-0.923808,-0.703355,-3.41916,-2.81209,-0.703355,1
1,4,97,-0.283426,-0.278865,-3.41916,-2.81209,-0.278865,1
1,3,97,-0.457656,-0.868107,-3.41916,-2.81209,-0.868107,0
1,2,97,-0.670545,-0.863168,-3.41916,-2.81209,-0.863168,0
1,20,96,-1.92688,-0.98201,-3.41916,-2.99602,-0.98201,1
