Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.12308,-0.866003,-3.41916,-3.35117,-0.866003,1
1,19,99,-2.12097,-0.668557,-3.41916,-3.35117,-0.668557,1
1,18,99,-1.59809,-0.6506,-3.41916,-3.35117,-0.6506,1
1,17,99,-1.94938,-0.557524,-3.41916,-3.35117,-0.557524,1
1,15,99,-1.69674,-0.312107,-3.41916,-3.35117,-0.312107,1
1,13,99,-1.23089,-0.681972,-3.41916,-3.35117,-0.681972,1
1,12,99,-0.535819,-0.228651,-3.41916,-3.35117,-0.535819,1
1,10,99,-0.231259,-0.188147,-3.41916,-3.35117,-0.231259,1
1,9,99,-0.592842,-0.112475,-3.41916,-3.35117,-0.112475,1
1,7,99,-0.585697,0.469915,-3.41916,-3.35117,0.469915,1
1,4,99,-0.530681,0.286254,-3.41916,-3.35117,0.286254,1
1,3,99,0.638857,0.467627,-3.41916,-3.35117,0.467627,0
1,2,99,0.188167,-0.779317,-3.41916,-3.35117,-0.779317,0
1,1,99,0.0797463,-1.73169,-3.41916,-3.35117,-1.73169,0
1,20,98,-2.04367,-1.05808,-3.41916,-3.12829,-1.05808,1
1,19,98,-2.18276,-0.843027,-3.41916,-3.12829,-0.843027,1
1,18,98,-1.70988,-0.468353,-3.41916,-3.12829,-0.468353,1
1,17,98,-1.60251,-0.297883,-3.41916,-3.12829,-0.297883,1
1,15,98,-2.16832,-0.162251,-3.41916,-3.12829,-0.162251,1
1,13,98,-1.18433,-0.418489,-3.41916,-3.12829,-1.18433,1
1,12,98,-0.452949,-0.453034,-3.41916,-3.12829,-0.453034,0
1,9,98,-0.398909,0.17583,-3.41916,-3.12829,0.17583,1
1,7,98,-0.309543,0.557138,-3.41916,-3.12829,0.557138,1
1,4,98,-0.235664,0.382065,-3.41916,-3.12829,0.382065,1
1,3,98,0.656029,0.513407,-3.41916,-3.12829,0.513407,0
1,2,98,0.495212,-0.639147,-3.41916,-3.12829,-0.639147,0
1,1,98,0.10829,-1.61704,-3.41916,-3.12829,-1.61704,0
1,20,97,-1.90938,-0.900645,-3.41916,-2.81209,-1.90938,1
1,19,97,-1.96608,-1.03682,-3.41916,-2.81209,-1.03682,1
1,18,97,-1.70232,-0.828101,-3.41916,-2.81209,-0.828101,1
1,17,97,-1.59342,-0.216208,-3.41916,-2.81209,-0.216208,1
1,15,97,-1.46357,-0.0778318,-3.41916,-2.81209,-0.0778318,1
1,13,97,-0.961323,-0.511714,-3.41916,-2.81209,-0.511714,1
1,12,97,-0.413375,-0.363746,-3.41916,-2.81209,-0.363746,1
1,7,97,-0.229499,0.644315,-3.41916,-2.81209,0.644315,1
1,4,97,-0.0877264,0.458151,-3.41916,-2.81209,0.458151,1
1,3,97,0.721707,0.61738,-3.41916,-2.81209,0.61738,0
1,2,97,0.608187,-0.519706,-3.41916,-2.81209,-0.519706,0
1,20,96,-1.65936,-0.509834,-3.41916,-2.99602,-0.509834,1
1,19,96,-1.95355,-0.941236,-3.41916,-2.99602,-0.941236,1
1,18,96,-1.80306,-0.635238,-3.41916,-2.99602,-0.635238,1
1,17,96,-1.62923,-0.160046,-3.41916,-2.99602,-0.160046,1
1,15,96,-1.12218,0.344647,-3.41916,-2.99602,0.344647,1
1,13,96,-1.08061,-0.49429,-3.41916,-2.99602,-1.08061,1
1,12,96,-0.310379,-0.246004,-3.41916,-2.99602,-0.246004,1
1,9,96,-0.332399,0.126812,-3.41916,-2.99602,0.126812,1
1,7,96,0.0857375,0.937045,-3.41916,-2.99602,0.937045,1
1,4,96,-0.0540969,0.530647,-3.41916,-2.99602,0.530647,1
