Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.23593,-2.02682,-3.41916,-3.35117,-2.02682,1
1,19,99,-2.41969,-1.05482,-3.41916,-3.35117,-1.05482,1
1,18,99,-1.53046,-0.909958,-3.41916,-3.35117,-0.909958,1
1,17,99,-1.75837,-1.03193,-3.41916,-3.35117,-1.03193,1
1,15,99,-1.59665,-0.980495,-3.41916,-3.35117,-0.980495,1
1,13,99,-1.34,-1.21122,-3.41916,-3.35117,-1.21122,1
1,12,99,-1.09841,-1.24142,-3.41916,-3.35117,-1.09841,0
1,10,99,-1.33787,-0.527825,-3.41916,-3.35117,-1.33787,1
1,9,99,-1.69873,-0.637256,-3.41916,-3.35117,-0.637256,1
1,7,99,-0.504077,-0.843116,-3.41916,-3.35117,-0.843116,0
1,4,99,-0.848837,-0.269517,-3.41916,-3.35117,-0.269517,1
1,3,99,-0.254434,-0.796235,-3.41916,-3.35117,-0.796235,0
1,2,99,0.136226,-0.879859,-3.41916,-3.35117,-0.879859,0
1,1,99,-0.558874,-0.74954,-3.41916,-3.35117,-0.74954,0
1,20,98,-2.00887,-2.1546,-3.41916,-3.12829,-2.1546,0
1,19,98,-2.23732,-1.20613,-3.41916,-3.12829,-1.20613,1
1,18,98,-1.90613,-1.20004,-3.41916,-3.12829,-1.20004,1
1,17,98,-1.37843,-0.779615,-3.41916,-3.12829,-0.779615,1
1,15,98,-2.15706,-0.953933,-3.41916,-3.12829,-0.953933,1
1,13,98,-1.29507,-1.18222,-3.41916,-3.12829,-1.29507,1
1,12,98,-1.1901,-1.44759,-3.41916,-3.12829,-1.44759,0
1,9,98,-1.59775,-0.579347,-3.41916,-3.12829,-0.579347,1
1,7,98,-0.518408,-0.778014,-3.41916,-3.12829,-0.778014,0
1,4,98,-0.591475,-0.243341,-3.41916,-3.12829,-0.243341,1
1,3,98,0.215484,-0.775188,-3.41916,-3.12829,-0.775188,0
1,2,98,0.135111,-0.797978,-3.41916,-3.12829,-0.797978,0
1,1,98,-0.35022,-0.704746,-3.41916,-3.12829,-0.704746,0
1,20,97,-1.96045,-1.52438,-3.41916,-2.81209,-1.96045,1
1,19,97,-1.93605,-0.931067,-3.41916,-2.81209,-0.931067,1
1,18,97,-1.70989,-1.11035,-3.41916,-2.81209,-1.11035,1
1,17,97,-1.62859,-0.912034,-3.41916,-2.81209,-0.912034,1
1,15,97,-1.42356,-0.821091,-3.41916,-2.81209,-0.821091,1
1,13,97,-1.2177,-1.0902,-3.41916,-2.81209,-1.0902,1
1,12,97,-1.15966,-1.32578,-3.41916,-2.81209,-1.32578,0
1,7,97,-0.404265,-0.708331,-3.41916,-2.81209,-0.708331,0
1,4,97,-0.505739,-0.0669272,-3.41916,-2.81209,-0.0669272,1
1,3,97,0.292048,-0.622259,-3.41916,-2.81209,-0.622259,0
1,2,97,0.219349,-0.701135,-3.41916,-2.81209,-0.701135,0
1,20,96,-1.75231,-1.33006,-3.41916,-2.99602,-1.33006,1
1,19,96,-1.9705,-0.692897,-3.41916,-2.99602,-0.692897,1
1,18,96,-1.74861,-0.956392,-3.41916,-2.99602,-0.956392,1
