Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.96308,-1.88522,-3.41916,-3.35117,-1.88522,1
1,19,99,-1.92581,-0.91941,-3.41916,-3.35117,-0.91941,1
1,18,99,-1.97534,-1.46667,-3.41916,-3.35117,-1.46667,1
1,17,99,-2.2809,-1.37954,-3.41916,-3.35117,-1.37954,1
1,15,99,-1.75945,-1.14099,-3.41916,-3.35117,-1.14099,1
1,13,99,-1.82202,-0.950295,-3.41916,-3.35117,-0.950295,1
1,12,99,-1.50381,-1.85644,-3.41916,-3.35117,-1.50381,0
1,10,99,-1.21275,-0.738875,-3.41916,-3.35117,-0.738875,1
1,9,99,-1.31846,-1.71558,-3.41916,-3.35117,-1.71558,0
1,7,99,-1.2543,-0.636831,-3.41916,-3.35117,-0.636831,1
1,4,99,-1.03256,-0.395626,-3.41916,-3.35117,-0.395626,1
1,3,99,-0.795625,-1.08548,-3.41916,-3.35117,-1.08548,0
1,2,99,-0.649533,-1.38109,-3.41916,-3.35117,-1.38109,0
1,1,99,-0.87141,-1.29597,-3.41916,-3.35117,-1.29597,0
1,20,98,-2.03224,-2.16903,-3.41916,-3.12829,-2.16903,0
1,19,98,-1.86349,-0.820637,-3.41916,-3.12829,-0.820637,1
1,18,98,-2.03322,-1.42086,-3.41916,-3.12829,-1.42086,1
1,17,98,-2.14438,-1.22854,-3.41916,-3.12829,-1.22854,1
1,15,98,-2.11347,-1.07656,-3.41916,-3.12829,-1.07656,1
1,13,98,-1.73393,-0.744983,-3.41916,-3.12829,-1.73393,1
1,12,98,-1.37868,-1.79039,-3.41916,-3.12829,-1.79039,0
1,9,98,-1.17352,-1.30698,-3.41916,-3.12829,-1.30698,0
1,7,98,-0.963864,-0.532171,-3.41916,-3.12829,-0.532171,1
1,4,98,-0.619513,-0.245725,-3.41916,-3.12829,-0.245725,1
1,3,98,-0.370418,-0.945142,-3.41916,-3.12829,-0.945142,0
1,2,98,-0.547788,-1.20871,-3.41916,-3.12829,-1.20871,0
1,1,98,-0.606907,-1.18488,-3.41916,-3.12829,-1.18488,0
1,20,97,-1.92498,-1.88616,-3.41916,-2.81209,-1.92498,1
1,19,97,-1.80235,-0.798275,-3.41916,-2.81209,-0.798275,1
1,18,97,-1.7746,-1.45668,-3.41916,-2.81209,-1.45668,1
1,17,97,-1.86251,-1.29485,-3.41916,-2.81209,-1.29485,1
1,15,97,-1.55814,-0.936703,-3.41916,-2.81209,-0.936703,1
1,13,97,-1.4615,-0.841071,-3.41916,-2.81209,-0.841071,1
1,12,97,-1.19425,-1.75041,-3.41916,-2.81209,-1.75041,0
1,7,97,-0.931606,-0.441157,-3.41916,-2.81209,-0.441157,1
1,4,97,-0.506615,-0.14893,-3.41916,-2.81209,-0.14893,1
1,3,97,-0.21636,-0.841165,-3.41916,-2.81209,-0.841165,0
1,2,97,-0.449761,-1.03792,-3.41916,-2.81209,-1.03792,0
1,20,96,-1.67906,-1.4384,-3.41916,-2.99602,-1.4384,1
1,19,96,-1.76878,-0.704837,-3.41916,-2.99602,-0.704837,1
1,18,96,-1.79359,-1.21258,-3.41916,-2.99602,-1.21258,1
1,17,96,-1.6862,-0.94147,-3.41916,-2.99602,-0.94147,1
1,15,96,-1.42439,-0.734832,-3.41916,-2.99602,-0.734832,1
1,13,96,-1.49443,-0.632482,-3.41916,-2.99602,-1.49443,1
1,12,96,-1.07304,-1.73554,-3.41916,-2.99602,-1.73554,0
1,9,96,-1.19216,-1.31952,-3.41916,-2.99602,-1.31952,0
1,7,96,-0.833331,-0.318408,-3.41916,-2.99602,-0.318408,1
1,4,96,-0.411269,-0.0814464,-3.41916,-2.99602,-0.0814464,1
1,3,96,-0.251655,-0.752715,-3.41916,-2.99602,-0.752715,0
1,2,96,-0.424091,-1.01885,-3.41916,-2.99602,-1.01885,0
1,19,95,-1.60097,-0.540325,-3.41916,-2.85377,-0.540325,1
1,17,95,-1.85168,-0.78585,-3.41916,-2.85377,-0.78585,1
1,15,95,-1.41018,-0.644761,-3.41916,-2.85377,-0.644761,1
1,13,95,-1.29695,-0.615292,-3.41916,-2.85377,-0.615292,1
1,7,95,-0.510515,-0.188728,-3.41916,-2.85377,-0.188728,1
1,4,95,-0.334951,-0.0539053,-3.41916,-2.85377,-0.0539053,1
1,2,95,-0.287049,-0.914054,-3.41916,-2.85377,-0.914054,0
1,1,95,-0.325593,-1.03863,-3.41916,-2.85377,-1.03863,0
1,19,94,-1.44959,-0.491639,-3.41916,-2.55553,-0.491639,1
1,17,94,-1.66028,-0.693296,-3.41916,-2.55553,-0.693296,1
1,15,94,-1.22932,-0.505508,-3.41916,-2.55553,-0.505508,1
1,13,94,-1.12443,-0.504357,-3.41916,-2.55553,-0.504357,1
1,7,94,-0.646576,-0.299952,-3.41916,-2.55553,-0.299952,1
1,4,94,-0.286736,0.024505,-3.41916,-2.55553,0.024505,1
1,2,94,-0.192128,-0.82647,-3.41916,-2.55553,-0.82647,0
1,1,94,-0.160197,-0.933,-3.41916,-2.55553,-0.933,0
1,19,93,-1.55993,-0.489566,-3.41916,-2.51688,-0.489566,1
1,17,93,-1.36659,-0.448077,-3.41916,-2.51688,-0.448077,1
1,15,93,-1.40399,-0.574659,-3.41916,-2.51688,-0.574659,1
1,13,93,-1.21268,-0.405067,-3.41916,-2.51688,-0.405067,1
1,7,93,-0.510559,-0.245184,-3.41916,-2.51688,-0.245184,1
1,4,93,-0.139702,0.127722,-3.41916,-2.51688,0.127722,1
1,2,93,-0.105489,-0.768402,-3.41916,-2.51688,-0.768402,0
1,1,93,-0.12307,-0.834212,-3.41916,-2.51688,-0.834212,0
1,19,92,-1.5632,-0.492248,-6.43894,-2.39982,-0.492248,1
1,17,92,-1.35237,-0.469214,-6.43894,-2.39982,-0.469214,1
1,15,92,-1.11473,-0.534949,-6.43894,-2.39982,-0.534949,1
1,13,92,-0.909021,-0.284459,-6.43894,-2.39982,-0.284459,1
1,7,92,-0.460982,-0.20844,-6.43894,-2.39982,-0.20844,1
1,4,92,-0.0625467,0.198619,-6.43894,-2.39982,0.198619,1
1,2,92,-0.0291451,-0.695655,-6.43894,-2.39982,-0.695655,0
1,1,92,0.0320171,-0.759552,-6.43894,-2.39982,-0.759552,0
1,19,91,-1.49345,-0.405243,-6.29331,-2.45927,-0.405243,1
1,17,91,-1.35608,-0.464245,-6.29331,-2.45927,-0.464245,1
1,15,91,-0.897343,-0.218248,-6.29331,-2.45927,-0.897343,1
1,13,91,-1.03467,-0.366878,-6.29331,-2.45927,-0.366878,1
1,7,91,-0.407629,-0.146962,-6.29331,-2.45927,-0.146962,1
1,4,91,-0.196495,0.154194,-6.29331,-2.45927,0.154194,1
1,2,91,0.158405,0.00745463,-6.29331,-2.45927,0.00745463,0
1,1,91,0.000478835,-0.691071,-6.29331,-2.45927,-0.691071,0
1,19,90,-1.46928,-0.403053,-6.05291,-2.36134,-0.403053,1
1,17,90,-1.27868,-0.389162,-6.05291,-2.36134,-0.389162,1
1,15,90,-0.885007,-0.240274,-6.05291,-2.36134,-0.240274,1
1,13,90,-0.885257,-0.307162,-6.05291,-2.36134,-0.307162,1
1,7,90,-0.403942,-0.0285015,-6.05291,-2.36134,-0.0285015,1
1,4,90,-0.0973181,0.147954,-6.05291,-2.36134,0.147954,1
1,2,90,0.20751,-0.462223,-6.05291,-2.36134,-0.462223,0
1,1,90,0.00472804,0.0525409,-6.05291,-2.36134,0.0525409,1
1,19,89,-1.72166,-0.66065,-5.75042,-2.39784,-0.66065,1
1,17,89,-1.10558,-0.483185,-5.75042,-2.39784,-1.10558,1
1,15,89,-0.901636,-0.262089,-5.75042,-2.39784,-0.262089,1
1,13,89,-0.493924,-0.0799258,-5.75042,-2.39784,-0.0799258,1
1,7,89,-0.369739,-0.0149248,-5.75042,-2.39784,-0.0149248,1
1,4,89,-0.104533,0.25424,-5.75042,-2.39784,0.25424,1
1,2,89,0.0714855,-0.606012,-5.75042,-2.39784,-0.606012,0
1,1,89,0.113114,0.0942668,-5.75042,-2.39784,0.0942668,0
1,19,88,-1.26214,-0.210693,-5.55605,-2.24038,-1.26214,1
1,17,88,-1.27154,-0.586202,-5.55605,-2.24038,-0.586202,1
1,15,88,-0.812041,-0.11779,-5.55605,-2.24038,-0.11779,1
1,13,88,-0.550202,-0.0876233,-5.55605,-2.24038,-0.0876233,1
1,7,88,-0.238527,-0.0102181,-5.55605,-2.24038,-0.0102181,1
1,4,88,-0.0029213,0.308201,-5.55605,-2.24038,0.308201,1
1,2,88,0.0784995,-0.515814,-5.55605,-2.24038,-0.515814,0
1,1,88,0.103644,-0.59706,-5.55605,-2.24038,-0.59706,0
1,19,87,-1.44768,-0.00183884,-5.60239,-2.09737,-0.00183884,1
1,17,87,-1.83504,-0.527956,-5.60239,-2.09737,-0.527956,1
1,15,87,-0.806561,-0.0991578,-5.60239,-2.09737,-0.0991578,1
1,13,87,-0.551577,-0.0796153,-5.60239,-2.09737,-0.0796153,1
1,7,87,-0.130103,0.136131,-5.60239,-2.09737,0.136131,1
1,4,87,0.133442,0.282709,-5.60239,-2.09737,0.282709,1
1,2,87,0.12345,-0.522168,-5.60239,-2.09737,-0.522168,0
1,1,87,0.128264,-0.507746,-5.60239,-2.09737,-0.507746,0
1,19,86,-1.45227,-0.152948,-5.61978,-2.01828,-0.152948,1
1,17,86,-1.25172,-0.183872,-5.61978,-2.01828,-1.25172,1
1,15,86,-0.775256,-0.351234,-5.61978,-2.01828,-0.351234,1
1,13,86,-0.363445,0.0350755,-5.61978,-2.01828,-0.363445,1
1,7,86,-0.0994311,0.24591,-5.61978,-2.01828,0.24591,1
1,4,86,0.131976,0.388275,-5.61978,-2.01828,0.388275,1
1,2,86,0.290621,-0.500882,-5.61978,-2.01828,-0.500882,0
1,1,86,0.25821,-0.419769,-5.61978,-2.01828,-0.419769,0
1,19,85,-0.440138,-0.746946,-5.14185,-2.10808,-0.746946,0
1,17,85,-0.175941,-0.761094,-5.14185,-2.10808,-0.761094,0
1,15,85,-0.904869,-1.13485,-5.14185,-2.10808,-1.13485,0
1,13,85,-0.121339,-0.208076,-5.14185,-2.10808,-0.208076,0
1,7,85,0.114989,0.25751,-5.14185,-2.10808,0.25751,1
1,4,85,0.0816129,0.531273,-5.14185,-2.10808,0.531273,1
1,2,85,0.191966,0.44184,-5.14185,-2.10808,0.44184,1
1,1,85,0.201098,0.174454,-5.14185,-2.10808,0.174454,0
1,19,84,-0.354944,-0.486656,-5.35927,-2.00544,-0.486656,0
1,17,84,-0.382223,-0.733992,-5.35927,-2.00544,-0.733992,0
