Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.27198,-1.36799,-3.41916,-3.35117,-1.36799,1
1,19,99,-2.30653,-1.8902,-3.41916,-3.35117,-1.8902,1
1,18,99,-1.68885,-1.61322,-3.41916,-3.35117,-1.61322,1
1,17,99,-1.7901,-0.784036,-3.41916,-3.35117,-0.784036,1
1,15,99,-1.5494,-0.774852,-3.41916,-3.35117,-0.774852,1
1,13,99,-1.24586,-0.167002,-3.41916,-3.35117,-0.167002,1
1,12,99,-1.33679,-0.54352,-3.41916,-3.35117,-1.33679,1
1,10,99,-1.08651,-0.494089,-3.41916,-3.35117,-1.08651,1
1,9,99,-1.39845,-0.20205,-3.41916,-3.35117,-0.20205,1
1,7,99,-0.390117,-1.09807,-3.41916,-3.35117,-1.09807,0
1,4,99,-0.986866,-0.168403,-3.41916,-3.35117,-0.168403,1
1,3,99,0.105266,-0.312676,-3.41916,-3.35117,-0.312676,0
1,2,99,-0.0834588,-0.767495,-3.41916,-3.35117,-0.767495,0
1,1,99,-0.165523,-1.08152,-3.41916,-3.35117,-1.08152,0
1,20,98,-1.71803,-1.52608,-3.41916,-3.12829,-1.52608,1
1,19,98,-2.1908,-1.57273,-3.41916,-3.12829,-1.57273,1
1,18,98,-1.88113,-1.88442,-3.41916,-3.12829,-1.88442,0
1,17,98,-1.70503,-0.74494,-3.41916,-3.12829,-0.74494,1
1,15,98,-1.68456,-0.755795,-3.41916,-3.12829,-0.755795,1
1,13,98,-1.10327,-0.00396879,-3.41916,-3.12829,-1.10327,1
1,12,98,-1.45294,-0.994379,-3.41916,-3.12829,-0.994379,1
1,9,98,-1.02786,-0.0878004,-3.41916,-3.12829,-0.0878004,1
1,7,98,-0.343393,-1.04321,-3.41916,-3.12829,-1.04321,0
1,4,98,-0.591713,-0.0126927,-3.41916,-3.12829,-0.0126927,1
1,3,98,0.0316475,-0.216517,-3.41916,-3.12829,-0.216517,0
1,2,98,-0.0897487,-0.646757,-3.41916,-3.12829,-0.646757,0
1,1,98,-0.185836,-0.926457,-3.41916,-3.12829,-0.926457,0
1,20,97,-2.20084,-0.835709,-3.41916,-2.81209,-2.20084,1
1,19,97,-1.67721,-0.976477,-3.41916,-2.81209,-0.976477,1
1,18,97,-1.50956,-1.79986,-3.41916,-2.81209,-1.79986,0
1,17,97,-1.81262,-0.424433,-3.41916,-2.81209,-0.424433,1
1,15,97,-1.37298,-0.612931,-3.41916,-2.81209,-0.612931,1
1,13,97,-0.81075,0.137075,-3.41916,-2.81209,0.137075,1
1,12,97,-1.32298,-0.941493,-3.41916,-2.81209,-0.941493,1
1,7,97,-0.225789,-0.845436,-3.41916,-2.81209,-0.845436,0
1,4,97,-0.439232,-0.00427936,-3.41916,-2.81209,-0.00427936,1
