Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.14735,-1.42362,-3.41916,-3.35117,-1.42362,1
1,19,99,-2.21032,-1.20993,-3.41916,-3.35117,-1.20993,1
1,18,99,-1.47136,-1.23996,-3.41916,-3.35117,-1.23996,1
1,17,99,-1.97249,-0.673392,-3.41916,-3.35117,-0.673392,1
1,15,99,-1.53761,-0.66937,-3.41916,-3.35117,-0.66937,1
1,13,99,-1.05937,-0.650718,-3.41916,-3.35117,-0.650718,1
1,12,99,-0.882629,-0.562481,-3.41916,-3.35117,-0.882629,1
1,10,99,-0.56278,-0.781979,-3.41916,-3.35117,-0.781979,0
1,9,99,-0.846605,-0.144806,-3.41916,-3.35117,-0.144806,1
1,7,99,-1.95565,-0.119264,-3.41916,-3.35117,-0.119264,1
1,4,99,0.126218,-0.136267,-3.41916,-3.35117,-0.136267,0
1,3,99,-0.525504,-0.691319,-3.41916,-3.35117,-0.691319,0
1,2,99,-0.545059,-0.308376,-3.41916,-3.35117,-0.308376,1
1,1,99,-0.21613,-0.683695,-3.41916,-3.35117,-0.683695,0
1,20,98,-2.08439,-1.4001,-3.41916,-3.12829,-1.4001,1
1,19,98,-1.93014,-1.24888,-3.41916,-3.12829,-1.24888,1
1,18,98,-1.87336,-1.19772,-3.41916,-3.12829,-1.19772,1
1,17,98,-1.56294,-0.414907,-3.41916,-3.12829,-0.414907,1
1,15,98,-1.69228,-0.699655,-3.41916,-3.12829,-0.699655,1
1,13,98,-0.962505,-0.532641,-3.41916,-3.12829,-0.962505,1
1,12,98,-0.77181,-0.73501,-3.41916,-3.12829,-0.73501,1
1,9,98,-0.650987,-0.0962577,-3.41916,-3.12829,-0.0962577,1
1,7,98,-1.58368,-0.110913,-3.41916,-3.12829,-0.110913,1
1,4,98,0.156026,-0.032427,-3.41916,-3.12829,-0.032427,0
1,3,98,0.0180613,-0.590189,-3.41916,-3.12829,-0.590189,0
1,2,98,-0.341109,-0.162879,-3.41916,-3.12829,-0.162879,1
1,1,98,-0.183167,-0.578079,-3.41916,-3.12829,-0.578079,0
1,20,97,-1.89025,-1.15045,-3.41916,-2.81209,-1.89025,1
1,19,97,-1.91288,-1.0628,-3.41916,-2.81209,-1.0628,1
1,18,97,-1.54994,-1.18264,-3.41916,-2.81209,-1.18264,1
1,17,97,-1.45545,-0.656167,-3.41916,-2.81209,-0.656167,1
1,15,97,-1.28681,-0.52217,-3.41916,-2.81209,-0.52217,1
1,13,97,-0.928068,-0.521034,-3.41916,-2.81209,-0.521034,1
1,12,97,-0.71923,-0.637354,-3.41916,-2.81209,-0.637354,1
1,7,97,-1.3829,-0.0295697,-3.41916,-2.81209,-0.0295697,1
1,4,97,0.232804,0.0518517,-3.41916,-2.81209,0.0518517,0
1,3,97,0.0942467,-0.523946,-3.41916,-2.81209,-0.523946,0
1,2,97,-0.303774,-0.00803784,-3.41916,-2.81209,-0.00803784,1
1,20,96,-1.64306,-0.970675,-3.41916,-2.99602,-0.970675,1
1,19,96,-1.6467,-1.05303,-3.41916,-2.99602,-1.05303,1
1,18,96,-1.42144,-1.06342,-3.41916,-2.99602,-1.06342,1
1,17,96,-1.46697,-0.409005,-3.41916,-2.99602,-0.409005,1
1,15,96,-1.1612,-0.247683,-3.41916,-2.99602,-0.247683,1
1,13,96,-0.847702,-0.488405,-3.41916,-2.99602,-0.847702,1
1,12,96,-0.628572,-0.5565,-3.41916,-2.99602,-0.5565,1
1,9,96,-0.332654,0.0864201,-3.41916,-2.99602,0.0864201,1
1,7,96,-1.16665,0.253019,-3.41916,-2.99602,0.253019,1
1,4,96,0.275025,0.0649609,-3.41916,-2.99602,0.0649609,0
1,3,96,0.149547,-0.533395,-3.41916,-2.99602,-0.533395,0
1,2,96,-0.22225,-0.000609939,-3.41916,-2.99602,-0.000609939,1
1,19,95,-1.36381,-0.910641,-3.41916,-2.85377,-0.910641,1
1,17,95,-1.55638,-0.164735,-3.41916,-2.85377,-0.164735,1
1,15,95,-1.20694,-0.318895,-3.41916,-2.85377,-0.318895,1
1,13,95,-0.704394,-0.318236,-3.41916,-2.85377,-0.318236,1
1,7,95,-1.05269,0.173598,-3.41916,-2.85377,0.173598,1
1,4,95,0.420445,0.202914,-3.41916,-2.85377,0.202914,0
1,2,95,-0.168506,0.00985517,-3.41916,-2.85377,0.00985517,1
1,1,95,-0.0677851,-0.397633,-3.41916,-2.85377,-0.397633,0
1,19,94,-1.51881,-0.936341,-3.41916,-2.55553,-0.936341,1
1,17,94,-1.22711,-0.132535,-3.41916,-2.55553,-0.132535,1
1,15,94,-1.09101,-0.294474,-3.41916,-2.55553,-0.294474,1
1,13,94,-0.512996,-0.0196053,-3.41916,-2.55553,-0.0196053,1
1,7,94,-1.02097,0.282435,-3.41916,-2.55553,0.282435,1
1,4,94,0.548513,0.268794,-3.41916,-2.55553,0.268794,0
1,2,94,-0.0617844,0.066178,-3.41916,-2.55553,0.066178,1
1,1,94,0.0358256,-0.310449,-3.41916,-2.55553,-0.310449,0
1,19,93,-1.34608,-0.855556,-3.41916,-2.51688,-0.855556,1
1,17,93,-0.989991,0.0927229,-3.41916,-2.51688,0.0927229,1
1,15,93,-1.01298,-0.147622,-3.41916,-2.51688,-0.147622,1
1,13,93,-0.602014,-0.0761562,-3.41916,-2.51688,-0.0761562,1
1,7,93,-0.937472,0.409489,-3.41916,-2.51688,0.409489,1
1,4,93,0.657669,0.404888,-3.41916,-2.51688,0.404888,0
1,2,93,0.00329647,0.0482448,-3.41916,-2.51688,0.0482448,1
1,1,93,0.137079,-0.174398,-3.41916,-2.51688,-0.174398,0
1,19,92,-1.28555,-0.729827,-6.43894,-2.39982,-0.729827,1
1,17,92,-1.1151,-0.101497,-6.43894,-2.39982,-0.101497,1
1,15,92,-0.856759,-0.0821142,-6.43894,-2.39982,-0.0821142,1
1,13,92,-0.594414,0.0475313,-6.43894,-2.39982,0.0475313,1
1,7,92,-0.893823,0.368827,-6.43894,-2.39982,0.368827,1
1,4,92,0.777678,0.567037,-6.43894,-2.39982,0.567037,0
1,2,92,-0.0111627,0.376422,-6.43894,-2.39982,0.376422,1
1,1,92,0.251181,-0.0778874,-6.43894,-2.39982,-0.0778874,0
1,19,91,-0.939791,-0.387226,-6.29331,-2.45927,-0.387226,1
1,17,91,-0.96143,0.0574971,-6.29331,-2.45927,0.0574971,1
1,15,91,-0.738554,0.250166,-6.29331,-2.45927,-0.738554,1
1,13,91,-0.49441,0.0393009,-6.29331,-2.45927,0.0393009,1
1,7,91,-0.829473,0.45918,-6.29331,-2.45927,0.45918,1
1,4,91,0.780998,0.651036,-6.29331,-2.45927,0.651036,0
1,2,91,0.134834,0.673929,-6.29331,-2.45927,0.673929,1
1,1,91,0.257502,0.0195339,-6.29331,-2.45927,0.0195339,0
1,19,90,-1.45148,-0.569681,-6.05291,-2.36134,-0.569681,1
1,17,90,-0.951026,0.0970046,-6.05291,-2.36134,0.0970046,1
1,15,90,-0.753901,0.0599586,-6.05291,-2.36134,0.0599586,1
1,13,90,-0.472546,0.116865,-6.05291,-2.36134,0.116865,1
1,7,90,-0.755532,0.42938,-6.05291,-2.36134,0.42938,1
1,4,90,0.850531,0.624417,-6.05291,-2.36134,0.624417,0
1,2,90,0.285567,0.669969,-6.05291,-2.36134,0.669969,1
1,1,90,0.269397,0.272411,-6.05291,-2.36134,0.272411,1
1,19,89,-1.46202,-0.722956,-5.75042,-2.39784,-0.722956,1
1,17,89,-0.475369,0.378069,-5.75042,-2.39784,-0.475369,1
1,15,89,-0.666244,0.15623,-5.75042,-2.39784,0.15623,1
1,13,89,-0.0221269,0.428049,-5.75042,-2.39784,0.428049,1
1,7,89,-0.632919,0.52614,-5.75042,-2.39784,0.52614,1
1,4,89,0.854264,0.715468,-5.75042,-2.39784,0.715468,0
1,2,89,0.38992,0.743874,-5.75042,-2.39784,0.743874,1
1,1,89,0.582012,0.382587,-5.75042,-2.39784,0.382587,0
1,19,88,-1.21422,-0.390116,-5.55605,-2.24038,-1.21422,1
1,17,88,-0.97239,-0.340035,-5.55605,-2.24038,-0.340035,1
1,15,88,-0.608537,0.276327,-5.55605,-2.24038,0.276327,1
1,13,88,-0.355805,0.242917,-5.55605,-2.24038,0.242917,1
1,7,88,-0.387134,0.737582,-5.55605,-2.24038,0.737582,1
1,4,88,1.00253,0.752222,-5.55605,-2.24038,0.752222,0
1,2,88,0.618851,0.865893,-5.55605,-2.24038,0.865893,1
1,1,88,0.599392,0.126437,-5.55605,-2.24038,0.126437,0
1,19,87,-0.911288,-0.235273,-5.60239,-2.09737,-0.235273,1
1,17,87,-0.810713,-0.26718,-5.60239,-2.09737,-0.26718,1
1,15,87,-0.0745801,0.492492,-5.60239,-2.09737,0.492492,1
1,13,87,-0.156707,0.32665,-5.60239,-2.09737,0.32665,1
1,7,87,-0.403084,0.7328,-5.60239,-2.09737,0.7328,1
1,4,87,1.09461,0.761222,-5.60239,-2.09737,0.761222,0
1,2,87,0.742555,0.629144,-5.60239,-2.09737,0.629144,0
1,1,87,0.715838,0.300948,-5.60239,-2.09737,0.300948,0
1,19,86,-0.845129,-0.248592,-5.61978,-2.01828,-0.248592,1
1,17,86,-0.63663,0.257088,-5.61978,-2.01828,-0.63663,1
1,15,86,-0.436199,-0.00568759,-5.61978,-2.01828,-0.00568759,1
1,13,86,-0.0309863,0.387408,-5.61978,-2.01828,-0.0309863,1
1,7,86,-0.23769,0.746842,-5.61978,-2.01828,0.746842,1
1,4,86,1.13855,0.913698,-5.61978,-2.01828,0.913698,0
1,2,86,0.694869,0.614541,-5.61978,-2.01828,0.614541,0
1,1,86,0.882596,0.359951,-5.61978,-2.01828,0.359951,0
1,19,85,0.299427,0.485248,-5.14185,-2.10808,0.485248,1
1,17,85,-0.00951745,0.33603,-5.14185,-2.10808,0.33603,1
1,15,85,-0.0587006,0.677725,-5.14185,-2.10808,0.677725,1
1,13,85,0.452714,1.04311,-5.14185,-2.10808,1.04311,1
1,7,85,0.783854,0.378353,-5.14185,-2.10808,0.378353,0
1,4,85,0.909708,2.1399,-5.14185,-2.10808,2.1399,1
1,2,85,0.418572,1.06702,-5.14185,-2.10808,1.06702,1
1,1,85,0.880401,0.970529,-5.14185,-2.10808,0.970529,1
1,19,84,0.591724,0.459206,-5.35927,-2.00544,0.459206,0
1,17,84,-0.0952147,0.288372,-5.35927,-2.00544,0.288372,1
1,15,84,0.432847,1.00983,-5.35927,-2.00544,1.00983,1
1,13,84,0.0276727,0.902369,-5.35927,-2.00544,0.902369,1
1,7,84,0.751296,0.411087,-5.35927,-2.00544,0.411087,0
1,4,84,0.863109,2.22617,-5.35927,-2.00544,2.22617,1
1,2,84,0.545803,1.05663,-5.35927,-2.00544,1.05663,1
1,1,84,0.909041,1.12057,-5.35927,-2.00544,1.12057,1
1,19,83,0.654484,0.566006,-5.22327,-1.89942,0.654484,0
1,17,83,-0.0390459,0.334353,-5.22327,-1.89942,0.334353,1
1,15,83,0.643577,1.17736,-5.22327,-1.89942,1.17736,1
1,13,83,-0.0777867,0.731235,-5.22327,-1.89942,0.731235,1
1,7,83,1.2508,0.546853,-5.22327,-1.89942,0.546853,0
