Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.2833,-0.659778,-3.41916,-3.35117,-0.659778,1
1,19,99,-1.75932,-1.29984,-3.41916,-3.35117,-1.29984,1
1,18,99,-1.77696,-0.809442,-3.41916,-3.35117,-0.809442,1
1,17,99,-2.1156,-1.34479,-3.41916,-3.35117,-1.34479,1
1,15,99,-1.68658,-0.665815,-3.41916,-3.35117,-0.665815,1
1,13,99,-1.54621,-0.455939,-3.41916,-3.35117,-0.455939,1
1,12,99,-1.17727,-1.03324,-3.41916,-3.35117,-1.17727,1
1,10,99,-1.33973,-0.363506,-3.41916,-3.35117,-0.363506,1
1,9,99,-0.776188,-0.975827,-3.41916,-3.35117,-0.975827,0
1,7,99,-0.647166,-0.542411,-3.41916,-3.35117,-0.542411,1
1,4,99,-0.529313,0.0489809,-3.41916,-3.35117,0.0489809,1
1,3,99,-0.442768,-1.06681,-3.41916,-3.35117,-1.06681,0
1,2,99,-0.513832,-0.764409,-3.41916,-3.35117,-0.764409,0
1,1,99,-0.0767576,-1.24199,-3.41916,-3.35117,-1.24199,0
1,20,98,-1.98013,-0.930546,-3.41916,-3.12829,-0.930546,1
1,19,98,-1.87853,-1.28551,-3.41916,-3.12829,-1.28551,1
1,18,98,-1.78824,-0.763064,-3.41916,-3.12829,-0.763064,1
1,17,98,-1.95326,-1.1263,-3.41916,-3.12829,-1.1263,1
1,15,98,-2.04667,-0.648482,-3.41916,-3.12829,-0.648482,1
1,13,98,-1.29427,-0.170653,-3.41916,-3.12829,-1.29427,1
1,12,98,-1.12539,-1.18195,-3.41916,-3.12829,-1.18195,0
1,9,98,-0.739729,-0.857591,-3.41916,-3.12829,-0.857591,0
1,7,98,-0.691937,-0.528037,-3.41916,-3.12829,-0.528037,1
1,4,98,-0.545611,0.0517536,-3.41916,-3.12829,0.0517536,1
1,3,98,0.251089,-0.950481,-3.41916,-3.12829,-0.950481,0
1,2,98,-0.327296,-0.743318,-3.41916,-3.12829,-0.743318,0
1,1,98,-0.175839,-1.19442,-3.41916,-3.12829,-1.19442,0
1,20,97,-2.21211,-0.979989,-3.41916,-2.81209,-2.21211,1
1,19,97,-1.74728,-1.14302,-3.41916,-2.81209,-1.14302,1
1,18,97,-1.86359,-0.964056,-3.41916,-2.81209,-0.964056,1
