Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.64405,-0.735719,-3.41916,-3.35117,-0.735719,1
1,19,99,-1.64681,-0.948027,-3.41916,-3.35117,-0.948027,1
1,18,99,-1.6159,-1.12792,-3.41916,-3.35117,-1.12792,1
1,17,99,-1.04862,-1.24701,-3.41916,-3.35117,-1.24701,0
1,15,99,-1.13113,-0.809761,-3.41916,-3.35117,-0.809761,1
1,13,99,-1.25659,-0.321756,-3.41916,-3.35117,-0.321756,1
1,12,99,-1.20102,-0.690108,-3.41916,-3.35117,-1.20102,1
1,10,99,-0.827188,-0.16301,-3.41916,-3.35117,-0.16301,1
1,9,99,-0.335899,-0.752651,-3.41916,-3.35117,-0.752651,0
1,7,99,-0.940157,-0.782733,-3.41916,-3.35117,-0.782733,1
1,4,99,-0.959151,0.713892,-3.41916,-3.35117,0.713892,1
1,3,99,-1.58453,0.44238,-3.41916,-3.35117,0.44238,1
1,2,99,-0.625841,0.350193,-3.41916,-3.35117,0.350193,1
1,1,99,-0.134861,0.277523,-3.41916,-3.35117,0.277523,1
1,20,98,-1.70115,-0.873348,-3.41916,-3.12829,-0.873348,1
1,19,98,-1.49472,-0.713984,-3.41916,-3.12829,-0.713984,1
1,18,98,-1.67179,-1.19558,-3.41916,-3.12829,-1.19558,1
1,17,98,-0.864875,-1.19155,-3.41916,-3.12829,-1.19155,0
1,15,98,-1.24261,-0.868326,-3.41916,-3.12829,-0.868326,1
1,13,98,-1.19193,-0.174808,-3.41916,-3.12829,-1.19193,1
1,12,98,-1.11333,-0.636258,-3.41916,-3.12829,-0.636258,1
1,10,98,-0.609783,-0.309861,-3.41916,-3.12829,-0.609783,1
1,9,98,-0.129533,-0.635882,-3.41916,-3.12829,-0.635882,0
1,7,98,-0.658756,-0.708208,-3.41916,-3.12829,-0.708208,0
1,4,98,-0.88848,0.712722,-3.41916,-3.12829,0.712722,1
1,3,98,-0.8359,0.396605,-3.41916,-3.12829,0.396605,1
1,2,98,-0.182612,0.324612,-3.41916,-3.12829,0.324612,1
1,1,98,-0.119848,0.283188,-3.41916,-3.12829,0.283188,1
1,20,97,-1.50172,-0.750741,-3.41916,-2.81209,-1.50172,1
1,19,97,-1.76581,-0.886626,-3.41916,-2.81209,-0.886626,1
1,18,97,-1.44495,-1.03613,-3.41916,-2.81209,-1.03613,1
1,17,97,-1.01062,-0.869998,-3.41916,-2.81209,-0.869998,1
1,15,97,-0.844181,-0.625613,-3.41916,-2.81209,-0.625613,1
1,13,97,-1.06717,-0.0405343,-3.41916,-2.81209,-0.0405343,1
1,12,97,-1.00823,-0.422886,-3.41916,-2.81209,-0.422886,1
1,7,97,-0.258424,-0.632492,-3.41916,-2.81209,-0.632492,0
1,4,97,-0.218457,0.819337,-3.41916,-2.81209,0.819337,1
1,3,97,-0.598465,0.546676,-3.41916,-2.81209,0.546676,1
1,2,97,-0.179995,0.427859,-3.41916,-2.81209,0.427859,1
1,20,96,-1.39978,-0.65319,-3.41916,-2.99602,-0.65319,1
1,19,96,-1.53098,-0.677417,-3.41916,-2.99602,-0.677417,1
1,18,96,-1.56704,-1.15609,-3.41916,-2.99602,-1.15609,1
1,17,96,-0.671275,-1.03056,-3.41916,-2.99602,-1.03056,0
1,15,96,-0.802159,-0.437272,-3.41916,-2.99602,-0.437272,1
1,13,96,-1.32972,-0.131094,-3.41916,-2.99602,-1.32972,1
1,12,96,-0.925805,-0.363347,-3.41916,-2.99602,-0.363347,1
1,9,96,-0.200601,-0.48528,-3.41916,-2.99602,-0.48528,0
1,7,96,-0.260434,-0.601963,-3.41916,-2.99602,-0.601963,0
1,4,96,-0.0586473,1.03358,-3.41916,-2.99602,1.03358,1
1,3,96,-0.554021,0.732554,-3.41916,-2.99602,0.732554,1
1,2,96,-0.0843668,0.511045,-3.41916,-2.99602,0.511045,1
1,19,95,-1.36369,-0.478424,-3.41916,-2.85377,-0.478424,1
1,17,95,-0.914506,-1.25929,-3.41916,-2.85377,-1.25929,0
1,15,95,-0.870271,-0.411557,-3.41916,-2.85377,-0.411557,1
1,13,95,-0.956293,0.261008,-3.41916,-2.85377,0.261008,1
1,7,95,-0.313701,-0.507889,-3.41916,-2.85377,-0.507889,0
1,4,95,0.00634648,1.08861,-3.41916,-2.85377,1.08861,1
1,2,95,0.0513148,0.450074,-3.41916,-2.85377,0.450074,1
