Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.23629,-0.878971,-3.41916,-3.35117,-0.878971,1
1,19,99,-1.52373,-1.19302,-3.41916,-3.35117,-1.19302,1
1,18,99,-1.33132,-0.689473,-3.41916,-3.35117,-0.689473,1
1,17,99,-1.08668,-1.34379,-3.41916,-3.35117,-1.34379,0
1,15,99,-0.921813,-0.451387,-3.41916,-3.35117,-0.451387,1
1,13,99,-0.739936,-0.571895,-3.41916,-3.35117,-0.571895,1
1,12,99,-1.095,-0.254154,-3.41916,-3.35117,-1.095,1
1,10,99,-0.568973,-0.170131,-3.41916,-3.35117,-0.170131,1
1,9,99,-0.403601,-0.162219,-3.41916,-3.35117,-0.162219,1
1,7,99,-0.922971,-0.0572624,-3.41916,-3.35117,-0.0572624,1
1,4,99,-1.35577,1.2449,-3.41916,-3.35117,1.2449,1
1,3,99,-0.421578,0.971368,-3.41916,-3.35117,0.971368,1
1,2,99,-0.252213,0.580831,-3.41916,-3.35117,0.580831,1
1,1,99,0.202959,-0.0739703,-3.41916,-3.35117,-0.0739703,0
1,20,98,-1.06428,-1.09847,-3.41916,-3.12829,-1.09847,0
1,19,98,-1.45865,-1.25773,-3.41916,-3.12829,-1.25773,1
1,18,98,-1.41186,-0.807874,-3.41916,-3.12829,-0.807874,1
1,17,98,-0.85371,-1.26008,-3.41916,-3.12829,-1.26008,0
1,15,98,-0.896719,-0.391721,-3.41916,-3.12829,-0.391721,1
1,13,98,-0.671165,-0.652599,-3.41916,-3.12829,-0.671165,1
1,12,98,-0.95013,0.0786119,-3.41916,-3.12829,0.0786119,1
1,10,98,-0.553623,-0.145383,-3.41916,-3.12829,-0.553623,1
1,9,98,-0.338236,-0.191257,-3.41916,-3.12829,-0.191257,1
1,7,98,-0.42869,0.0873551,-3.41916,-3.12829,0.0873551,1
1,4,98,-1.00582,1.49516,-3.41916,-3.12829,1.49516,1
1,3,98,-0.00789563,1.08847,-3.41916,-3.12829,1.08847,1
1,2,98,0.190941,0.822345,-3.41916,-3.12829,0.822345,1
1,1,98,0.397676,0.140795,-3.41916,-3.12829,0.140795,0
1,20,97,-1.10312,-1.11343,-3.41916,-2.81209,-1.10312,0
1,19,97,-1.62189,-1.49381,-3.41916,-2.81209,-1.49381,1
1,18,97,-1.19676,-0.651489,-3.41916,-2.81209,-0.651489,1
1,17,97,-1.07611,-1.00318,-3.41916,-2.81209,-1.00318,1
1,15,97,-0.650374,-0.335838,-3.41916,-2.81209,-0.335838,1
1,13,97,-0.593531,-0.45784,-3.41916,-2.81209,-0.45784,1
1,12,97,-0.747774,0.107273,-3.41916,-2.81209,0.107273,1
1,7,97,-0.368339,0.0934816,-3.41916,-2.81209,0.0934816,1
1,4,97,-0.590448,1.57803,-3.41916,-2.81209,1.57803,1
1,3,97,0.271844,1.21271,-3.41916,-2.81209,1.21271,1
1,2,97,0.276415,0.878108,-3.41916,-2.81209,0.878108,1
1,20,96,-0.898475,-0.800712,-3.41916,-2.99602,-0.800712,1
1,19,96,-1.42051,-1.27948,-3.41916,-2.99602,-1.27948,1
1,18,96,-1.22628,-0.707881,-3.41916,-2.99602,-0.707881,1
1,17,96,-0.864514,-1.05565,-3.41916,-2.99602,-1.05565,0
1,15,96,-0.505425,-0.0369244,-3.41916,-2.99602,-0.0369244,1
1,13,96,-0.531633,-0.474639,-3.41916,-2.99602,-0.531633,1
1,12,96,-0.592808,0.179611,-3.41916,-2.99602,0.179611,1
1,9,96,-0.0966027,0.00576489,-3.41916,-2.99602,0.00576489,1
1,7,96,-0.542928,0.031042,-3.41916,-2.99602,0.031042,1
1,4,96,-0.512174,1.69808,-3.41916,-2.99602,1.69808,1
1,3,96,0.288652,1.29034,-3.41916,-2.99602,1.29034,1
1,2,96,0.365516,0.980325,-3.41916,-2.99602,0.980325,1
1,19,95,-1.18005,-1.06672,-3.41916,-2.85377,-1.06672,1
1,17,95,-0.934494,-1.17139,-3.41916,-2.85377,-1.17139,0
1,15,95,-0.687386,-0.0389065,-3.41916,-2.85377,-0.0389065,1
1,13,95,-0.432521,-0.392151,-3.41916,-2.85377,-0.392151,1
1,7,95,-0.365931,0.204443,-3.41916,-2.85377,0.204443,1
1,4,95,-0.427612,1.7099,-3.41916,-2.85377,1.7099,1
1,2,95,0.414836,0.994666,-3.41916,-2.85377,0.994666,1
1,1,95,0.558768,0.269335,-3.41916,-2.85377,0.269335,0
1,19,94,-0.989155,-0.861668,-3.41916,-2.55553,-0.861668,1
1,17,94,-0.891869,-0.976602,-3.41916,-2.55553,-0.976602,0
1,15,94,-0.364406,0.142374,-3.41916,-2.55553,0.142374,1
1,13,94,-0.23091,-0.36594,-3.41916,-2.55553,-0.36594,0
1,7,94,-0.199467,0.2138,-3.41916,-2.55553,0.2138,1
1,4,94,-0.405093,1.82001,-3.41916,-2.55553,1.82001,1
1,2,94,0.480008,1.13579,-3.41916,-2.55553,1.13579,1
1,1,94,0.558765,0.362096,-3.41916,-2.55553,0.362096,0
1,19,93,-1.00816,-0.756196,-3.41916,-2.51688,-0.756196,1
1,17,93,-0.608173,-0.708278,-3.41916,-2.51688,-0.708278,0
1,15,93,-0.605886,0.127488,-3.41916,-2.51688,0.127488,1
1,13,93,-0.314783,-0.505582,-3.41916,-2.51688,-0.505582,0
1,7,93,-0.170292,0.238736,-3.41916,-2.51688,0.238736,1
1,4,93,-0.320544,1.78945,-3.41916,-2.51688,1.78945,1
1,2,93,0.539957,1.15402,-3.41916,-2.51688,1.15402,1
1,1,93,0.604236,0.466115,-3.41916,-2.51688,0.466115,0
1,19,92,-1.13381,-0.821362,-6.43894,-2.39982,-0.821362,1
1,17,92,-0.459752,-0.569045,-6.43894,-2.39982,-0.569045,0
1,15,92,-0.59697,0.118325,-6.43894,-2.39982,-0.59697,1
1,13,92,-0.075177,-0.219492,-6.43894,-2.39982,-0.219492,0
1,7,92,-0.0779368,0.307736,-6.43894,-2.39982,0.307736,1
1,4,92,-0.200827,1.7923,-6.43894,-2.39982,1.7923,1
1,2,92,0.531974,1.25271,-6.43894,-2.39982,1.25271,1
1,1,92,0.531212,0.420881,-6.43894,-2.39982,0.420881,0
1,19,91,-0.869332,-0.649657,-6.29331,-2.45927,-0.649657,1
1,17,91,-0.509693,-0.574308,-6.29331,-2.45927,-0.574308,0
1,15,91,-0.178378,0.47928,-6.29331,-2.45927,-0.178378,1
1,13,91,-0.359009,-0.752535,-6.29331,-2.45927,-0.752535,0
1,7,91,0.00502202,0.386529,-6.29331,-2.45927,0.386529,1
1,4,91,-0.219729,1.91368,-6.29331,-2.45927,1.91368,1
1,2,91,0.570438,0.464123,-6.29331,-2.45927,0.464123,0
1,1,91,0.618361,0.479796,-6.29331,-2.45927,0.479796,0
1,19,90,-1.20841,-0.90365,-6.05291,-2.36134,-0.90365,1
1,17,90,-0.655427,-0.55875,-6.05291,-2.36134,-0.55875,1
1,15,90,-0.108337,0.627446,-6.05291,-2.36134,0.627446,1
1,13,90,-0.459343,-0.694667,-6.05291,-2.36134,-0.694667,0
1,7,90,0.049784,0.325175,-6.05291,-2.36134,0.325175,1
1,4,90,-0.156792,1.97953,-6.05291,-2.36134,1.97953,1
1,2,90,0.622703,1.36379,-6.05291,-2.36134,1.36379,1
1,1,90,0.641882,0.481734,-6.05291,-2.36134,0.481734,0
1,19,89,-1.12982,-0.769916,-5.75042,-2.39784,-0.769916,1
1,17,89,-0.848139,-0.420216,-5.75042,-2.39784,-0.848139,1
1,15,89,-0.0718439,0.566157,-5.75042,-2.39784,0.566157,1
1,13,89,-0.0763084,-0.196434,-5.75042,-2.39784,-0.196434,0
1,7,89,0.10606,0.533688,-5.75042,-2.39784,0.533688,1
1,4,89,0.00700812,1.95176,-5.75042,-2.39784,1.95176,1
1,2,89,0.557861,1.33715,-5.75042,-2.39784,1.33715,1
1,1,89,0.611411,0.470909,-5.75042,-2.39784,0.470909,0
1,19,88,-0.953525,-0.703188,-5.55605,-2.24038,-0.953525,1
1,17,88,-0.972824,-0.610734,-5.55605,-2.24038,-0.610734,1
1,15,88,-0.327549,0.573803,-5.55605,-2.24038,0.573803,1
1,13,88,0.034693,-0.0332087,-5.55605,-2.24038,-0.0332087,0
1,7,88,-0.0117952,0.586003,-5.55605,-2.24038,0.586003,1
1,4,88,0.0513158,2.04304,-5.55605,-2.24038,2.04304,1
1,2,88,0.598665,1.38426,-5.55605,-2.24038,1.38426,1
1,1,88,0.693404,0.43162,-5.55605,-2.24038,0.43162,0
1,19,87,-0.717581,-0.518808,-5.60239,-2.09737,-0.518808,1
1,17,87,-0.883469,-0.506804,-5.60239,-2.09737,-0.506804,1
1,15,87,-0.374405,0.73803,-5.60239,-2.09737,0.73803,1
1,13,87,0.146815,-0.0891477,-5.60239,-2.09737,-0.0891477,0
1,7,87,-0.258973,0.586317,-5.60239,-2.09737,0.586317,1
1,4,87,0.157306,2.06953,-5.60239,-2.09737,2.06953,1
1,2,87,0.651312,1.41379,-5.60239,-2.09737,1.41379,1
1,1,87,0.694757,0.498175,-5.60239,-2.09737,0.498175,0
1,19,86,-0.727987,-0.519864,-5.61978,-2.01828,-0.519864,1
1,17,86,-0.716732,-0.382946,-5.61978,-2.01828,-0.716732,1
1,15,86,-0.663138,0.645901,-5.61978,-2.01828,0.645901,1
1,13,86,0.334778,-0.0400048,-5.61978,-2.01828,0.334778,0
1,7,86,0.0322537,0.745642,-5.61978,-2.01828,0.745642,1
1,4,86,0.239905,2.14102,-5.61978,-2.01828,2.14102,1
1,2,86,0.683953,1.49678,-5.61978,-2.01828,1.49678,1
1,1,86,0.739779,0.562499,-5.61978,-2.01828,0.562499,0
1,19,85,-0.102379,-0.357387,-5.14185,-2.10808,-0.357387,0
1,17,85,-0.460987,-0.237533,-5.14185,-2.10808,-0.237533,1
1,15,85,-0.00771106,0.171341,-5.14185,-2.10808,0.171341,1
1,13,85,0.406614,-0.584597,-5.14185,-2.10808,-0.584597,0
1,7,85,0.448035,0.209444,-5.14185,-2.10808,0.209444,0
1,4,85,0.428538,0.622434,-5.14185,-2.10808,0.622434,1
1,2,85,0.389309,1.14878,-5.14185,-2.10808,1.14878,1
1,1,85,0.926674,0.19568,-5.14185,-2.10808,0.19568,0
1,19,84,0.179819,-0.0616577,-5.35927,-2.00544,-0.0616577,0
1,17,84,-0.488722,-0.274777,-5.35927,-2.00544,-0.274777,1
1,15,84,-0.163972,0.24115,-5.35927,-2.00544,0.24115,1
1,13,84,0.0893294,-0.616266,-5.35927,-2.00544,-0.616266,0
1,7,84,0.471155,0.20849,-5.35927,-2.00544,0.20849,0
1,4,84,0.213709,0.463679,-5.35927,-2.00544,0.463679,1
1,2,84,0.452976,1.27435,-5.35927,-2.00544,1.27435,1
1,1,84,1.00635,0.274449,-5.35927,-2.00544,0.274449,0
1,19,83,0.421076,0.0972858,-5.22327,-1.89942,0.421076,0
1,17,83,-0.64173,-0.345363,-5.22327,-1.89942,-0.345363,1
1,15,83,0.162623,0.422322,-5.22327,-1.89942,0.422322,1
1,13,83,0.429531,-0.565479,-5.22327,-1.89942,-0.565479,0
1,7,83,0.677555,0.377017,-5.22327,-1.89942,0.377017,0
1,4,83,0.712313,0.612698,-5.22327,-1.89942,0.612698,0
1,2,83,0.612356,1.33649,-5.22327,-1.89942,1.33649,1
1,1,83,1.00143,0.332372,-5.22327,-1.89942,0.332372,0
1,19,82,0.2314,-0.00869379,-5.04662,-1.89873,-0.00869379,0
1,17,82,-0.222717,-0.0205751,-5.04662,-1.89873,-0.222717,1
1,15,82,0.0994505,0.434873,-5.04662,-1.89873,0.0994505,1
1,13,82,0.211262,-0.657227,-5.04662,-1.89873,-0.657227,0
1,9,82,0.627267,1.73001,-5.04662,-1.89873,1.73001,1
1,7,82,0.846593,0.561128,-5.04662,-1.89873,0.561128,0
1,4,82,0.458095,0.687746,-5.04662,-1.89873,0.687746,1
1,2,82,0.693993,1.41862,-5.04662,-1.89873,1.41862,1
1,1,82,1.12785,0.533104,-5.04662,-1.89873,0.533104,0
1,19,81,0.505318,0.330169,-4.70389,-1.77463,0.330169,0
1,17,81,-0.116912,0.155075,-4.70389,-1.77463,0.155075,1
1,15,81,0.0651296,0.33119,-4.70389,-1.77463,0.33119,1
1,13,81,0.569563,-0.321181,-4.70389,-1.77463,-0.321181,0
1,7,81,0.755538,0.57704,-4.70389,-1.77463,0.57704,0
1,4,81,0.396258,0.769976,-4.70389,-1.77463,0.769976,1
1,2,81,1.0386,1.50753,-4.70389,-1.77463,1.50753,1
1,1,81,1.1827,0.511732,-4.70389,-1.77463,0.511732,0
1,19,80,0.568162,0.389604,-4.82344,-1.66435,0.389604,0
1,17,80,-0.316894,-0.0796642,-4.82344,-1.66435,-0.0796642,1
1,15,80,0.346034,0.589999,-4.82344,-1.66435,0.589999,1
1,13,80,0.58171,-0.297771,-4.82344,-1.66435,-0.297771,0
1,7,80,0.857677,0.679314,-4.82344,-1.66435,0.679314,0
1,4,80,0.657062,0.863642,-4.82344,-1.66435,0.863642,1
1,2,80,0.949533,1.57474,-4.82344,-1.66435,1.57474,1
1,1,80,1.31803,0.641533,-4.82344,-1.66435,0.641533,0
1,19,79,0.514105,0.389156,-4.30456,-1.7295,0.389156,0
1,17,79,-0.216328,0.154497,-4.30456,-1.7295,0.154497,1
1,15,79,0.588973,0.735731,-4.30456,-1.7295,0.735731,1
1,13,79,0.591359,-0.39819,-4.30456,-1.7295,-0.39819,0
1,9,79,0.723948,1.90959,-4.30456,-1.7295,1.90959,1
1,7,79,0.87249,0.813248,-4.30456,-1.7295,0.813248,0
1,4,79,0.947214,1.08242,-4.30456,-1.7295,1.08242,1
1,2,79,0.850039,1.6707,-4.30456,-1.7295,1.6707,1
1,1,79,1.40843,0.538999,-4.30456,-1.7295,0.538999,0
1,19,78,0.558427,0.622873,-4.65291,-1.66623,0.622873,1
1,17,78,0.0166502,0.405103,-4.65291,-1.66623,0.405103,1
1,15,78,0.492079,0.547954,-4.65291,-1.66623,0.547954,1
1,13,78,0.813003,-0.0464928,-4.65291,-1.66623,-0.0464928,0
1,9,78,0.520237,1.84325,-4.65291,-1.66623,1.84325,1
1,7,78,0.724045,0.602548,-4.65291,-1.66623,0.602548,0
1,4,78,0.89524,1.0541,-4.65291,-1.66623,1.0541,1
1,2,78,1.21139,1.87856,-4.65291,-1.66623,1.87856,1
1,1,78,1.56344,0.371968,-4.65291,-1.66623,0.371968,0
1,19,77,0.697481,0.669099,-4.67517,-1.58996,0.669099,0
1,17,77,-0.13274,0.171493,-4.67517,-1.58996,0.171493,1
1,15,77,0.575248,0.628909,-4.67517,-1.58996,0.628909,1
1,13,77,1.005,0.0444269,-4.67517,-1.58996,0.0444269,0
1,9,77,0.776653,1.97816,-4.67517,-1.58996,1.97816,1
1,7,77,1.09442,0.857298,-4.67517,-1.58996,0.857298,0
1,4,77,0.705222,1.1577,-4.67517,-1.58996,1.1577,1
1,2,77,1.30462,2.0206,-4.67517,-1.58996,2.0206,1
1,1,77,1.6416,0.732074,-4.67517,-1.58996,0.732074,0
1,19,76,0.800592,0.904213,-4.75214,-1.45125,0.904213,1
1,17,76,0.19125,0.532088,-4.75214,-1.45125,0.532088,1
1,15,76,0.599361,0.758862,-4.75214,-1.45125,0.758862,1
1,13,76,1.00716,-0.100042,-4.75214,-1.45125,-0.100042,0
1,9,76,0.731644,2.0089,-4.75214,-1.45125,2.0089,1
1,7,76,0.882668,0.848603,-4.75214,-1.45125,0.848603,0
1,4,76,1.04857,1.23496,-4.75214,-1.45125,1.23496,1
1,2,76,1.45406,2.0811,-4.75214,-1.45125,2.0811,1
1,1,76,1.75463,0.790066,-4.75214,-1.45125,0.790066,0
1,19,75,0.708397,0.6089,-4.90201,-1.41384,0.6089,0
1,17,75,0.378598,0.691735,-4.90201,-1.41384,0.691735,1
1,15,75,0.27852,0.67275,-4.90201,-1.41384,0.67275,1
1,13,75,1.21841,0.0859704,-4.90201,-1.41384,0.0859704,0
1,9,75,0.757803,2.10602,-4.90201,-1.41384,2.10602,1
1,7,75,1.14678,0.975093,-4.90201,-1.41384,0.975093,0
