Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.54555,-1.40369,-3.41916,-3.35117,-1.40369,1
1,19,99,-1.65564,-0.712632,-3.41916,-3.35117,-0.712632,1
1,18,99,-1.31055,-1.23215,-3.41916,-3.35117,-1.23215,1
1,17,99,-0.90875,-0.583734,-3.41916,-3.35117,-0.583734,1
1,15,99,-1.10127,-0.925322,-3.41916,-3.35117,-0.925322,1
1,13,99,-1.29338,-0.438712,-3.41916,-3.35117,-0.438712,1
1,12,99,-1.56128,-1.02571,-3.41916,-3.35117,-1.56128,1
1,10,99,-0.633573,-0.77741,-3.41916,-3.35117,-0.633573,0
1,9,99,-0.798836,-0.412433,-3.41916,-3.35117,-0.412433,1
1,7,99,-0.618086,-0.243852,-3.41916,-3.35117,-0.243852,1
1,4,99,-1.92826,0.299657,-3.41916,-3.35117,0.299657,1
1,3,99,-1.0392,0.0518613,-3.41916,-3.35117,0.0518613,1
1,2,99,-0.909316,-0.100993,-3.41916,-3.35117,-0.100993,1
1,1,99,-0.400795,-0.768753,-3.41916,-3.35117,-0.768753,0
1,20,98,-1.09069,-1.38974,-3.41916,-3.12829,-1.38974,0
1,19,98,-1.36517,-0.509431,-3.41916,-3.12829,-0.509431,1
1,18,98,-1.58423,-1.39516,-3.41916,-3.12829,-1.39516,1
1,17,98,-0.706811,-0.43318,-3.41916,-3.12829,-0.43318,1
1,15,98,-1.33566,-0.898076,-3.41916,-3.12829,-0.898076,1
1,13,98,-1.40584,-0.58199,-3.41916,-3.12829,-1.40584,1
1,12,98,-1.26221,-0.62972,-3.41916,-3.12829,-0.62972,1
1,9,98,-0.599667,-0.508807,-3.41916,-3.12829,-0.508807,1
1,7,98,-0.548302,-0.222593,-3.41916,-3.12829,-0.222593,1
1,4,98,-1.3353,0.417188,-3.41916,-3.12829,0.417188,1
1,3,98,-0.496715,0.107264,-3.41916,-3.12829,0.107264,1
1,2,98,-0.288797,0.026669,-3.41916,-3.12829,0.026669,1
1,1,98,-0.27925,-0.708355,-3.41916,-3.12829,-0.708355,0
1,20,97,-1.29106,-1.25682,-3.41916,-2.81209,-1.29106,1
1,19,97,-1.19731,-0.691976,-3.41916,-2.81209,-0.691976,1
1,18,97,-1.23943,-1.1758,-3.41916,-2.81209,-1.1758,1
1,17,97,-1.22164,-0.703732,-3.41916,-2.81209,-0.703732,1
1,15,97,-0.8251,-0.689608,-3.41916,-2.81209,-0.689608,1
1,13,97,-1.29694,-0.274032,-3.41916,-2.81209,-0.274032,1
1,12,97,-1.23167,-0.5804,-3.41916,-2.81209,-0.5804,1
1,7,97,-0.520936,-0.172297,-3.41916,-2.81209,-0.172297,1
1,4,97,-0.880984,0.441194,-3.41916,-2.81209,0.441194,1
1,3,97,-0.28169,0.135193,-3.41916,-2.81209,0.135193,1
1,2,97,-0.191405,0.159851,-3.41916,-2.81209,0.159851,1
1,20,96,-1.12883,-1.07582,-3.41916,-2.99602,-1.07582,1
1,19,96,-1.14917,-0.475726,-3.41916,-2.99602,-0.475726,1
1,18,96,-0.947265,-1.14218,-3.41916,-2.99602,-1.14218,0
1,17,96,-0.688108,-0.374954,-3.41916,-2.99602,-0.374954,1
1,15,96,-0.75193,-0.396245,-3.41916,-2.99602,-0.396245,1
1,13,96,-1.35881,-0.207287,-3.41916,-2.99602,-1.35881,1
