Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.5605,-1.37056,-3.41916,-3.35117,-1.37056,1
1,19,99,-1.12036,-0.457463,-3.41916,-3.35117,-0.457463,1
1,18,99,-0.763297,-0.765696,-3.41916,-3.35117,-0.765696,0
1,17,99,-0.922704,-1.78026,-3.41916,-3.35117,-1.78026,0
1,15,99,-1.02156,-0.381477,-3.41916,-3.35117,-0.381477,1
1,13,99,-0.881626,-0.582201,-3.41916,-3.35117,-0.582201,1
1,12,99,-1.21311,-0.405368,-3.41916,-3.35117,-1.21311,1
1,10,99,-1.14567,-1.32078,-3.41916,-3.35117,-1.32078,0
1,9,99,-0.468653,-0.358947,-3.41916,-3.35117,-0.358947,1
1,7,99,-0.643819,-0.943732,-3.41916,-3.35117,-0.943732,0
1,4,99,-1.6575,0.86089,-3.41916,-3.35117,0.86089,1
1,3,99,-1.64524,1.47675,-3.41916,-3.35117,1.47675,1
1,2,99,-0.792675,-0.0810267,-3.41916,-3.35117,-0.0810267,1
1,1,99,-0.776718,-0.661897,-3.41916,-3.35117,-0.661897,1
1,20,98,-1.08767,-1.22739,-3.41916,-3.12829,-1.22739,0
1,19,98,-1.48816,-0.794159,-3.41916,-3.12829,-0.794159,1
1,18,98,-0.5784,-0.836128,-3.41916,-3.12829,-0.836128,0
1,17,98,-0.638427,-1.69768,-3.41916,-3.12829,-1.69768,0
1,15,98,-1.02682,-0.364169,-3.41916,-3.12829,-0.364169,1
1,13,98,-0.839218,-0.582996,-3.41916,-3.12829,-0.839218,1
1,12,98,-0.997412,-0.0972005,-3.41916,-3.12829,-0.0972005,1
1,9,98,-0.509089,-0.307886,-3.41916,-3.12829,-0.307886,1
1,7,98,-0.617487,-0.877453,-3.41916,-3.12829,-0.877453,0
1,4,98,-1.51211,0.726857,-3.41916,-3.12829,0.726857,1
1,3,98,-1.12887,1.243,-3.41916,-3.12829,1.243,1
1,2,98,-0.715072,0.048691,-3.41916,-3.12829,0.048691,1
1,1,98,-0.587216,-0.574228,-3.41916,-3.12829,-0.574228,1
1,20,97,-1.2566,-1.13374,-3.41916,-2.81209,-1.2566,1
1,19,97,-1.47116,-0.660076,-3.41916,-2.81209,-0.660076,1
1,18,97,-0.685273,-0.996182,-3.41916,-2.81209,-0.996182,0
1,17,97,-0.580358,-1.31513,-3.41916,-2.81209,-1.31513,0
1,15,97,-0.700322,-0.262326,-3.41916,-2.81209,-0.262326,1
1,13,97,-0.726774,-0.28916,-3.41916,-2.81209,-0.28916,1
1,12,97,-0.721606,-0.0214884,-3.41916,-2.81209,-0.0214884,1
1,7,97,-0.303458,-0.694211,-3.41916,-2.81209,-0.694211,0
1,4,97,-1.01769,1.04195,-3.41916,-2.81209,1.04195,1
1,3,97,-0.841382,1.75849,-3.41916,-2.81209,1.75849,1
1,2,97,-0.619296,0.462333,-3.41916,-2.81209,0.462333,1
1,20,96,-1.14759,-1.04622,-3.41916,-2.99602,-1.04622,1
1,19,96,-1.23965,-0.478003,-3.41916,-2.99602,-0.478003,1
1,18,96,-0.509811,-0.690921,-3.41916,-2.99602,-0.690921,0
1,17,96,-0.661988,-1.48926,-3.41916,-2.99602,-1.48926,0
1,15,96,-0.60111,0.0662285,-3.41916,-2.99602,0.0662285,1
1,13,96,-0.711219,-0.254026,-3.41916,-2.99602,-0.711219,1
1,12,96,-0.636151,0.107012,-3.41916,-2.99602,0.107012,1
1,9,96,-0.23165,-0.0262971,-3.41916,-2.99602,-0.0262971,1
1,7,96,-0.0760595,-0.837527,-3.41916,-2.99602,-0.837527,0
1,4,96,-0.74576,1.1746,-3.41916,-2.99602,1.1746,1
1,3,96,-0.739644,1.90739,-3.41916,-2.99602,1.90739,1
1,2,96,-0.469139,0.495377,-3.41916,-2.99602,0.495377,1
1,19,95,-1.17463,-0.392803,-3.41916,-2.85377,-0.392803,1
1,17,95,-0.548708,-1.43653,-3.41916,-2.85377,-1.43653,0
1,15,95,-0.528197,-0.0339028,-3.41916,-2.85377,-0.0339028,1
1,13,95,-0.547036,0.0443371,-3.41916,-2.85377,0.0443371,1
1,7,95,-0.0564902,-0.577551,-3.41916,-2.85377,-0.577551,0
1,4,95,-0.645932,1.26088,-3.41916,-2.85377,1.26088,1
1,2,95,-0.386416,0.541391,-3.41916,-2.85377,0.541391,1
1,1,95,0.0934345,-0.180123,-3.41916,-2.85377,-0.180123,0
1,19,94,-1.10666,-0.308124,-3.41916,-2.55553,-0.308124,1
1,17,94,-0.446264,-1.28422,-3.41916,-2.55553,-1.28422,0
1,15,94,-0.543754,0.0128285,-3.41916,-2.55553,0.0128285,1
1,13,94,-0.392821,0.147445,-3.41916,-2.55553,0.147445,1
1,7,94,0.031338,-0.468887,-3.41916,-2.55553,-0.468887,0
1,4,94,-0.593283,1.37849,-3.41916,-2.55553,1.37849,1
1,2,94,-0.0985404,0.690645,-3.41916,-2.55553,0.690645,1
1,1,94,0.0242875,-0.115882,-3.41916,-2.55553,-0.115882,0
1,19,93,-1.17058,-0.313056,-3.41916,-2.51688,-0.313056,1
1,17,93,-0.299949,-1.051,-3.41916,-2.51688,-1.051,0
1,15,93,-0.457245,0.14584,-3.41916,-2.51688,0.14584,1
1,13,93,-0.263603,0.286373,-3.41916,-2.51688,0.286373,1
1,7,93,0.138402,-0.392878,-3.41916,-2.51688,-0.392878,0
1,4,93,-0.246254,1.48874,-3.41916,-2.51688,1.48874,1
1,2,93,0.0513884,0.733586,-3.41916,-2.51688,0.733586,1
