Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.00517,-1.29383,-3.41916,-3.35117,-1.29383,1
1,19,99,-2.00803,-1.44755,-3.41916,-3.35117,-1.44755,1
1,18,99,-1.6469,-1.3765,-3.41916,-3.35117,-1.3765,1
1,17,99,-1.52994,-1.75649,-3.41916,-3.35117,-1.75649,0
1,15,99,-1.54156,-0.949992,-3.41916,-3.35117,-0.949992,1
1,13,99,-1.11509,-0.736734,-3.41916,-3.35117,-0.736734,1
1,12,99,-1.33534,-0.573658,-3.41916,-3.35117,-1.33534,1
1,10,99,-1.32517,-1.11614,-3.41916,-3.35117,-1.11614,1
1,9,99,-1.09016,-1.36221,-3.41916,-3.35117,-1.36221,0
1,7,99,-0.854542,-0.915501,-3.41916,-3.35117,-0.915501,0
1,4,99,-2.2947,-0.265149,-3.41916,-3.35117,-0.265149,1
1,3,99,-1.28724,1.16286,-3.41916,-3.35117,1.16286,1
1,2,99,-0.756816,-0.311123,-3.41916,-3.35117,-0.311123,1
1,1,99,-0.795915,-0.936387,-3.41916,-3.35117,-0.936387,0
1,20,98,-1.84015,-1.37025,-3.41916,-3.12829,-1.37025,1
1,19,98,-1.73964,-1.28169,-3.41916,-3.12829,-1.28169,1
1,18,98,-1.80208,-1.41216,-3.41916,-3.12829,-1.41216,1
1,17,98,-1.37861,-1.69674,-3.41916,-3.12829,-1.69674,0
1,15,98,-1.70704,-1.04638,-3.41916,-3.12829,-1.04638,1
1,13,98,-1.06387,-0.79842,-3.41916,-3.12829,-1.06387,1
1,12,98,-1.2836,-0.541032,-3.41916,-3.12829,-0.541032,1
1,9,98,-0.983556,-1.31805,-3.41916,-3.12829,-1.31805,0
1,7,98,-0.636668,-0.839191,-3.41916,-3.12829,-0.839191,0
1,4,98,-1.7104,-0.082128,-3.41916,-3.12829,-0.082128,1
1,3,98,-1.23165,1.25599,-3.41916,-3.12829,1.25599,1
1,2,98,-0.692181,-0.248733,-3.41916,-3.12829,-0.248733,1
1,1,98,-0.676154,-0.905539,-3.41916,-3.12829,-0.905539,0
1,20,97,-1.73194,-1.14989,-3.41916,-2.81209,-1.73194,1
1,19,97,-1.86203,-1.3747,-3.41916,-2.81209,-1.3747,1
1,18,97,-1.4405,-1.25893,-3.41916,-2.81209,-1.25893,1
1,17,97,-1.61213,-1.66163,-3.41916,-2.81209,-1.66163,0
1,15,97,-1.31452,-0.810788,-3.41916,-2.81209,-0.810788,1
1,13,97,-1.07541,-0.423252,-3.41916,-2.81209,-0.423252,1
1,12,97,-1.13844,-0.477453,-3.41916,-2.81209,-0.477453,1
1,7,97,-0.524384,-0.753795,-3.41916,-2.81209,-0.753795,0
1,4,97,-1.38855,0.0598711,-3.41916,-2.81209,0.0598711,1
1,3,97,-0.943723,1.48901,-3.41916,-2.81209,1.48901,1
1,2,97,-0.728397,-0.202868,-3.41916,-2.81209,-0.202868,1
1,20,96,-1.61393,-1.02402,-3.41916,-2.99602,-1.02402,1
1,19,96,-1.72008,-1.04976,-3.41916,-2.99602,-1.04976,1
1,18,96,-1.56041,-1.46015,-3.41916,-2.99602,-1.46015,1
1,17,96,-1.26886,-1.59086,-3.41916,-2.99602,-1.59086,0
1,15,96,-1.29492,-0.63814,-3.41916,-2.99602,-0.63814,1
1,13,96,-1.219,-0.649603,-3.41916,-2.99602,-1.219,1
1,12,96,-1.01286,-0.3654,-3.41916,-2.99602,-0.3654,1
1,9,96,-0.804999,-1.04495,-3.41916,-2.99602,-1.04495,0
1,7,96,-0.565893,-0.662325,-3.41916,-2.99602,-0.662325,0
1,4,96,-1.22598,0.167996,-3.41916,-2.99602,0.167996,1
1,3,96,-0.885742,1.69062,-3.41916,-2.99602,1.69062,1
1,2,96,-0.640964,-0.0755344,-3.41916,-2.99602,-0.0755344,1
1,19,95,-1.48982,-0.841202,-3.41916,-2.85377,-0.841202,1
1,17,95,-1.56562,-1.72774,-3.41916,-2.85377,-1.72774,0
1,15,95,-1.46578,-0.657593,-3.41916,-2.85377,-0.657593,1
1,13,95,-1.01286,-0.400398,-3.41916,-2.85377,-0.400398,1
