Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.64202,-1.33581,-3.41916,-3.35117,-1.33581,1
1,19,99,-1.6967,-0.850483,-3.41916,-3.35117,-0.850483,1
1,18,99,-1.42504,-1.25985,-3.41916,-3.35117,-1.25985,1
1,17,99,-1.0142,-1.41897,-3.41916,-3.35117,-1.41897,0
1,15,99,-1.28235,-0.91298,-3.41916,-3.35117,-0.91298,1
1,13,99,-0.818251,-0.649333,-3.41916,-3.35117,-0.649333,1
1,12,99,-1.01061,-0.861323,-3.41916,-3.35117,-1.01061,1
1,10,99,-1.66187,-1.08597,-3.41916,-3.35117,-1.08597,1
1,9,99,-0.647607,-0.768339,-3.41916,-3.35117,-0.768339,0
1,7,99,-0.976307,-0.94197,-3.41916,-3.35117,-0.94197,1
1,4,99,-1.50002,-0.413424,-3.41916,-3.35117,-0.413424,1
1,3,99,-1.65161,-0.550616,-3.41916,-3.35117,-0.550616,1
1,2,99,-1.03481,-0.243903,-3.41916,-3.35117,-0.243903,1
1,1,99,-0.817764,-0.700872,-3.41916,-3.35117,-0.700872,1
1,20,98,-1.47324,-1.49232,-3.41916,-3.12829,-1.49232,0
1,19,98,-1.70582,-0.710697,-3.41916,-3.12829,-0.710697,1
1,18,98,-1.36245,-1.36402,-3.41916,-3.12829,-1.36402,0
1,17,98,-0.874199,-1.26592,-3.41916,-3.12829,-1.26592,0
1,15,98,-1.32173,-1.03471,-3.41916,-3.12829,-1.03471,1
1,13,98,-0.833,-0.683747,-3.41916,-3.12829,-0.833,1
1,12,98,-0.884459,-0.689586,-3.41916,-3.12829,-0.689586,1
1,9,98,-0.626803,-0.877685,-3.41916,-3.12829,-0.877685,0
1,7,98,-0.590212,-0.841435,-3.41916,-3.12829,-0.841435,0
1,4,98,-1.1641,-0.315996,-3.41916,-3.12829,-0.315996,1
1,3,98,-1.1014,-0.528728,-3.41916,-3.12829,-0.528728,1
1,2,98,-0.697255,-0.225845,-3.41916,-3.12829,-0.225845,1
1,1,98,-0.682748,-0.657772,-3.41916,-3.12829,-0.657772,1
1,20,97,-1.55234,-1.26805,-3.41916,-2.81209,-1.55234,1
1,19,97,-1.82462,-0.848676,-3.41916,-2.81209,-0.848676,1
1,18,97,-1.32794,-1.45904,-3.41916,-2.81209,-1.45904,0
1,17,97,-1.02246,-1.14753,-3.41916,-2.81209,-1.14753,0
1,15,97,-0.971554,-0.73956,-3.41916,-2.81209,-0.73956,1
1,13,97,-0.765266,-0.614952,-3.41916,-2.81209,-0.614952,1
1,12,97,-0.830248,-0.627413,-3.41916,-2.81209,-0.627413,1
1,7,97,-0.547651,-0.722381,-3.41916,-2.81209,-0.722381,0
1,4,97,-0.737077,-0.314595,-3.41916,-2.81209,-0.314595,1
1,3,97,-0.763732,-0.372689,-3.41916,-2.81209,-0.372689,1
1,2,97,-0.615791,-0.0172349,-3.41916,-2.81209,-0.0172349,1
1,20,96,-1.42959,-1.19194,-3.41916,-2.99602,-1.19194,1
1,19,96,-1.62914,-0.64433,-3.41916,-2.99602,-0.64433,1
1,18,96,-1.31844,-1.18991,-3.41916,-2.99602,-1.18991,1
1,17,96,-0.737139,-1.23233,-3.41916,-2.99602,-1.23233,0
1,15,96,-0.97608,-0.465789,-3.41916,-2.99602,-0.465789,1
1,13,96,-0.839725,-0.579616,-3.41916,-2.99602,-0.839725,1
1,12,96,-0.784446,-0.538866,-3.41916,-2.99602,-0.538866,1
1,9,96,-0.386143,-0.66325,-3.41916,-2.99602,-0.66325,0
1,7,96,-0.567066,-0.692741,-3.41916,-2.99602,-0.692741,0
1,4,96,-0.578485,-0.224037,-3.41916,-2.99602,-0.224037,1
1,3,96,-0.708217,-0.37128,-3.41916,-2.99602,-0.37128,1
1,2,96,-0.578006,0.0469841,-3.41916,-2.99602,0.0469841,1
1,19,95,-1.57003,-0.63116,-3.41916,-2.85377,-0.63116,1
1,17,95,-0.784138,-1.24534,-3.41916,-2.85377,-1.24534,0
1,15,95,-1.00754,-0.53015,-3.41916,-2.85377,-0.53015,1
1,13,95,-0.632488,-0.0861678,-3.41916,-2.85377,-0.0861678,1
1,7,95,-0.429399,-0.680106,-3.41916,-2.85377,-0.680106,0
1,4,95,-0.475413,-0.229007,-3.41916,-2.85377,-0.229007,1
1,2,95,-0.531449,0.0436964,-3.41916,-2.85377,0.0436964,1
1,1,95,-0.54446,-0.179784,-3.41916,-2.85377,-0.179784,1
1,19,94,-1.30469,-0.442019,-3.41916,-2.55553,-0.442019,1
1,17,94,-0.950297,-1.11881,-3.41916,-2.55553,-1.11881,0
1,15,94,-0.791424,-0.486061,-3.41916,-2.55553,-0.486061,1
1,13,94,-0.640961,-0.276768,-3.41916,-2.55553,-0.276768,1
1,7,94,-0.259828,-0.560181,-3.41916,-2.55553,-0.560181,0
1,4,94,-0.431045,-0.087905,-3.41916,-2.55553,-0.087905,1
1,2,94,-0.506692,0.0434786,-3.41916,-2.55553,0.0434786,1
1,1,94,-0.39788,-0.156558,-3.41916,-2.55553,-0.156558,1
1,19,93,-1.37226,-0.473554,-3.41916,-2.51688,-0.473554,1
1,17,93,-0.912136,-0.987875,-3.41916,-2.51688,-0.987875,0
1,15,93,-0.823258,-0.439704,-3.41916,-2.51688,-0.439704,1
1,13,93,-0.569003,-0.236199,-3.41916,-2.51688,-0.236199,1
1,7,93,-0.151236,-0.455443,-3.41916,-2.51688,-0.455443,0
1,4,93,-0.344378,0.00611916,-3.41916,-2.51688,0.00611916,1
1,2,93,-0.366326,-0.00772162,-3.41916,-2.51688,-0.00772162,1
1,1,93,-0.354508,-0.245888,-3.41916,-2.51688,-0.245888,1
1,19,92,-1.38624,-0.652119,-6.43894,-2.39982,-0.652119,1
1,17,92,-0.698972,-0.776401,-6.43894,-2.39982,-0.776401,0
1,15,92,-0.856423,-0.405847,-6.43894,-2.39982,-0.405847,1
1,13,92,-0.373409,-0.144834,-6.43894,-2.39982,-0.144834,1
1,7,92,-0.0764537,-0.318929,-6.43894,-2.39982,-0.318929,0
1,4,92,-0.443233,0.152008,-6.43894,-2.39982,0.152008,1
1,2,92,-0.242843,0.222188,-6.43894,-2.39982,0.222188,1
1,1,92,-0.229002,-0.305228,-6.43894,-2.39982,-0.305228,0
1,19,91,-1.2174,-0.471469,-6.29331,-2.45927,-0.471469,1
1,17,91,-0.826826,-0.695396,-6.29331,-2.45927,-0.695396,1
1,15,91,-0.700233,-0.489109,-6.29331,-2.45927,-0.700233,1
1,13,91,-0.583228,-0.214636,-6.29331,-2.45927,-0.214636,1
1,7,91,-0.0547981,-0.291909,-6.29331,-2.45927,-0.291909,0
1,4,91,-0.261801,0.240252,-6.29331,-2.45927,0.240252,1
1,2,91,-0.101545,-0.0771419,-6.29331,-2.45927,-0.0771419,1
1,1,91,-0.0286517,-0.272805,-6.29331,-2.45927,-0.272805,0
1,19,90,-1.41354,-0.716893,-6.05291,-2.36134,-0.716893,1
1,17,90,-0.809739,-0.685461,-6.05291,-2.36134,-0.685461,1
1,15,90,-0.582399,-0.265414,-6.05291,-2.36134,-0.265414,1
1,13,90,-0.532075,-0.136993,-6.05291,-2.36134,-0.136993,1
1,7,90,-0.0872097,-0.266269,-6.05291,-2.36134,-0.266269,0
1,4,90,-0.142821,0.315361,-6.05291,-2.36134,0.315361,1
1,2,90,-0.0536353,0.259255,-6.05291,-2.36134,0.259255,1
1,1,90,-0.0932495,0.287041,-6.05291,-2.36134,0.287041,1
1,19,89,-1.7394,-0.723387,-5.75042,-2.39784,-0.723387,1
1,17,89,-1.16469,-0.551564,-5.75042,-2.39784,-1.16469,1
1,15,89,-0.589179,-0.395553,-5.75042,-2.39784,-0.395553,1
1,13,89,-0.482873,-0.0837875,-5.75042,-2.39784,-0.0837875,1
1,7,89,0.0283757,-0.133567,-5.75042,-2.39784,-0.133567,0
1,4,89,0.0279058,0.325239,-5.75042,-2.39784,0.325239,1
1,2,89,0.0878954,0.551312,-5.75042,-2.39784,0.551312,1
1,1,89,0.015697,0.182939,-5.75042,-2.39784,0.182939,1
1,19,88,-1.45263,-0.387528,-5.55605,-2.24038,-1.45263,1
1,17,88,-1.34558,-0.784741,-5.55605,-2.24038,-0.784741,1
1,15,88,-0.694837,-0.355142,-5.55605,-2.24038,-0.355142,1
1,13,88,-0.398765,0.097538,-5.55605,-2.24038,0.097538,1
1,7,88,-0.327897,-0.213464,-5.55605,-2.24038,-0.213464,1
1,4,88,-0.0429165,0.35778,-5.55605,-2.24038,0.35778,1
1,2,88,0.00923432,0.515626,-5.55605,-2.24038,0.515626,1
1,1,88,0.0251461,0.203786,-5.55605,-2.24038,0.203786,1
1,19,87,-1.23672,-0.383869,-5.60239,-2.09737,-0.383869,1
1,17,87,-1.35056,-0.968355,-5.60239,-2.09737,-0.968355,1
1,15,87,-0.965093,-0.182614,-5.60239,-2.09737,-0.182614,1
1,13,87,-0.430824,0.103143,-5.60239,-2.09737,0.103143,1
1,7,87,-0.27584,-0.149802,-5.60239,-2.09737,-0.149802,1
1,4,87,-0.0111207,0.539645,-5.60239,-2.09737,0.539645,1
1,2,87,0.0959446,0.6096,-5.60239,-2.09737,0.6096,1
1,1,87,0.210262,0.485964,-5.60239,-2.09737,0.485964,1
1,19,86,-1.05218,-0.326701,-5.61978,-2.01828,-0.326701,1
1,17,86,-1.27169,-0.785255,-5.61978,-2.01828,-1.27169,1
1,15,86,-1.14087,-0.409409,-5.61978,-2.01828,-0.409409,1
1,13,86,-0.345241,0.107502,-5.61978,-2.01828,-0.345241,1
1,7,86,-0.0236274,-0.0647208,-5.61978,-2.01828,-0.0647208,0
1,4,86,0.12592,0.51735,-5.61978,-2.01828,0.51735,1
1,2,86,0.162809,0.668405,-5.61978,-2.01828,0.668405,1
1,1,86,0.144469,0.447173,-5.61978,-2.01828,0.447173,1
1,19,85,-0.454621,-0.578899,-5.14185,-2.10808,-0.578899,0
1,17,85,-0.71604,-0.321585,-5.14185,-2.10808,-0.321585,1
1,15,85,-0.873706,-1.12856,-5.14185,-2.10808,-1.12856,0
1,13,85,-0.259632,-1.05049,-5.14185,-2.10808,-1.05049,0
1,7,85,-0.235099,-0.0241561,-5.14185,-2.10808,-0.0241561,1
1,4,85,-0.0190004,-0.142737,-5.14185,-2.10808,-0.142737,0
1,2,85,-0.0661451,0.518971,-5.14185,-2.10808,0.518971,1
1,1,85,0.259546,0.264546,-5.14185,-2.10808,0.264546,1
1,19,84,-0.268389,-0.399994,-5.35927,-2.00544,-0.399994,0
1,17,84,-0.707989,-0.299556,-5.35927,-2.00544,-0.299556,1
1,15,84,-0.704249,-0.850782,-5.35927,-2.00544,-0.850782,0
1,13,84,-0.462757,-1.20845,-5.35927,-2.00544,-1.20845,0
1,7,84,-0.14818,-0.0721389,-5.35927,-2.00544,-0.0721389,1
1,4,84,0.0409577,-0.187155,-5.35927,-2.00544,-0.187155,0
1,2,84,0.00773897,0.623867,-5.35927,-2.00544,0.623867,1
1,1,84,0.386075,0.592486,-5.35927,-2.00544,0.592486,1
1,19,83,-0.164462,-0.313971,-5.22327,-1.89942,-0.164462,0
1,17,83,-0.75276,-0.408327,-5.22327,-1.89942,-0.408327,1
1,15,83,-0.527759,-0.663794,-5.22327,-1.89942,-0.663794,0
1,13,83,-0.469371,-1.03894,-5.22327,-1.89942,-1.03894,0
1,7,83,0.0012093,0.044108,-5.22327,-1.89942,0.044108,1
1,4,83,0.150791,-0.185709,-5.22327,-1.89942,-0.185709,0
1,2,83,0.0762636,0.578212,-5.22327,-1.89942,0.578212,1
1,1,83,0.308792,0.39569,-5.22327,-1.89942,0.39569,1
1,19,82,-0.388683,-0.564459,-5.04662,-1.89873,-0.564459,0
1,17,82,-0.576162,-0.144285,-5.04662,-1.89873,-0.576162,1
1,15,82,-0.495701,-0.719191,-5.04662,-1.89873,-0.719191,0
1,13,82,-0.162071,-0.936552,-5.04662,-1.89873,-0.936552,0
1,9,82,0.159204,0.241931,-5.04662,-1.89873,0.241931,1
1,7,82,0.180637,0.0913207,-5.04662,-1.89873,0.0913207,0
1,4,82,-0.167272,-0.29121,-5.04662,-1.89873,-0.29121,0
1,2,82,0.111282,0.725305,-5.04662,-1.89873,0.725305,1
1,1,82,0.350582,0.671707,-5.04662,-1.89873,0.671707,1
1,19,81,-0.205849,-0.441132,-4.70389,-1.77463,-0.441132,0
1,17,81,-0.513064,-0.0782023,-4.70389,-1.77463,-0.0782023,1
1,15,81,-0.467436,-0.599752,-4.70389,-1.77463,-0.599752,0
1,13,81,-0.00932833,-0.691001,-4.70389,-1.77463,-0.691001,0
1,7,81,0.16501,0.12234,-4.70389,-1.77463,0.12234,0
1,4,81,0.0562116,0.113939,-4.70389,-1.77463,0.113939,1
1,2,81,0.235965,0.852017,-4.70389,-1.77463,0.852017,1
1,1,81,0.464291,0.907139,-4.70389,-1.77463,0.907139,1
1,19,80,0.0652101,-0.159512,-4.82344,-1.66435,-0.159512,0
1,17,80,-0.697159,-0.439514,-4.82344,-1.66435,-0.439514,1
1,15,80,-0.404175,-0.559629,-4.82344,-1.66435,-0.559629,0
1,13,80,-0.0971093,-0.660283,-4.82344,-1.66435,-0.660283,0
1,7,80,0.217924,0.18983,-4.82344,-1.66435,0.18983,0
1,4,80,0.148838,0.0761154,-4.82344,-1.66435,0.0761154,0
1,2,80,0.354131,0.70609,-4.82344,-1.66435,0.70609,1
1,1,80,0.546873,0.84033,-4.82344,-1.66435,0.84033,1
1,19,79,0.0265279,-0.318415,-4.30456,-1.7295,-0.318415,0
1,17,79,-0.632898,-0.361166,-4.30456,-1.7295,-0.361166,1
1,15,79,-0.291222,-0.425353,-4.30456,-1.7295,-0.425353,0
1,13,79,0.209717,-0.667779,-4.30456,-1.7295,-0.667779,0
1,9,79,-0.0465308,0.27918,-4.30456,-1.7295,0.27918,1
1,7,79,0.26423,0.172949,-4.30456,-1.7295,0.172949,0
1,4,79,0.33185,0.188422,-4.30456,-1.7295,0.188422,0
1,2,79,0.388796,0.841605,-4.30456,-1.7295,0.841605,1
1,1,79,0.625377,0.909199,-4.30456,-1.7295,0.909199,1
1,19,78,0.190472,-0.217234,-4.65291,-1.66623,-0.217234,0
1,17,78,-0.440207,-0.0718358,-4.65291,-1.66623,-0.0718358,1
1,15,78,-0.460914,-0.75105,-4.65291,-1.66623,-0.75105,0
1,13,78,0.258518,-0.681261,-4.65291,-1.66623,-0.681261,0
1,9,78,0.451628,0.429145,-4.65291,-1.66623,0.429145,0
1,7,78,0.0793228,0.175806,-4.65291,-1.66623,0.175806,1
1,4,78,0.244566,0.111739,-4.65291,-1.66623,0.111739,0
1,2,78,0.349637,0.924464,-4.65291,-1.66623,0.924464,1
1,1,78,0.619402,0.6513,-4.65291,-1.66623,0.6513,1
1,19,77,0.384289,-0.354891,-4.67517,-1.58996,-0.354891,0
1,17,77,-0.659241,-0.10494,-4.67517,-1.58996,-0.10494,1
1,15,77,-0.409793,-0.543666,-4.67517,-1.58996,-0.543666,0
1,13,77,0.348627,-0.498995,-4.67517,-1.58996,-0.498995,0
1,9,77,0.581564,0.572226,-4.67517,-1.58996,0.572226,0
1,7,77,0.198226,0.264433,-4.67517,-1.58996,0.264433,1
1,4,77,0.2761,0.221802,-4.67517,-1.58996,0.221802,0
1,2,77,0.606294,1.03458,-4.67517,-1.58996,1.03458,1
1,1,77,0.860386,0.770869,-4.67517,-1.58996,0.770869,0
1,19,76,0.418042,0.172879,-4.75214,-1.45125,0.172879,0
1,17,76,-0.450993,-0.0302528,-4.75214,-1.45125,-0.0302528,1
1,15,76,-0.204854,-0.446004,-4.75214,-1.45125,-0.446004,0
1,13,76,-0.0179711,-0.715378,-4.75214,-1.45125,-0.715378,0
1,9,76,0.394624,0.607874,-4.75214,-1.45125,0.607874,1
1,7,76,0.39366,0.411011,-4.75214,-1.45125,0.411011,1
1,4,76,0.389403,0.319809,-4.75214,-1.45125,0.319809,0
1,2,76,0.550543,1.06395,-4.75214,-1.45125,1.06395,1
1,1,76,0.836667,0.935017,-4.75214,-1.45125,0.935017,1
1,19,75,0.38642,-0.00789201,-4.90201,-1.41384,-0.00789201,0
1,17,75,-0.477278,-0.211001,-4.90201,-1.41384,-0.211001,1
1,15,75,-0.319755,-0.452794,-4.90201,-1.41384,-0.452794,0
1,13,75,0.108908,-0.511698,-4.90201,-1.41384,-0.511698,0
1,9,75,1.00798,0.6427,-4.90201,-1.41384,0.6427,0
1,7,75,0.493868,0.452226,-4.90201,-1.41384,0.452226,0
1,4,75,0.257702,0.322238,-4.90201,-1.41384,0.322238,1
1,2,75,0.562018,1.03848,-4.90201,-1.41384,1.03848,1
1,1,75,0.798412,0.838608,-4.90201,-1.41384,0.838608,1
1,19,74,0.348896,0.0660096,-4.86797,-1.45906,0.0660096,0
1,17,74,-0.198663,0.16756,-4.86797,-1.45906,-0.198663,1
1,15,74,-0.117734,-0.258444,-4.86797,-1.45906,-0.258444,0
1,13,74,0.316533,-0.401843,-4.86797,-1.45906,-0.401843,0
