Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.94705,-0.962188,-3.41916,-3.35117,-0.962188,1
1,19,99,-1.72335,-0.957291,-3.41916,-3.35117,-0.957291,1
1,18,99,-1.79701,-1.30515,-3.41916,-3.35117,-1.30515,1
1,17,99,-1.1653,-1.9518,-3.41916,-3.35117,-1.9518,0
1,15,99,-1.54456,-0.66129,-3.41916,-3.35117,-0.66129,1
1,13,99,-1.35178,-0.55455,-3.41916,-3.35117,-0.55455,1
1,12,99,-1.50937,-0.984525,-3.41916,-3.35117,-1.50937,1
1,10,99,-1.62077,-0.731076,-3.41916,-3.35117,-1.62077,1
1,9,99,-0.764229,-0.846691,-3.41916,-3.35117,-0.846691,0
1,7,99,-1.46231,-0.151354,-3.41916,-3.35117,-0.151354,1
1,4,99,-1.86987,-0.155629,-3.41916,-3.35117,-0.155629,1
1,3,99,-1.5975,-0.628845,-3.41916,-3.35117,-0.628845,1
1,2,99,-0.954753,-0.477008,-3.41916,-3.35117,-0.477008,1
1,1,99,-0.502265,-0.670025,-3.41916,-3.35117,-0.670025,0
1,20,98,-1.60276,-1.10892,-3.41916,-3.12829,-1.10892,1
1,19,98,-1.75853,-0.959207,-3.41916,-3.12829,-0.959207,1
1,18,98,-1.63975,-1.3486,-3.41916,-3.12829,-1.3486,1
1,17,98,-0.881221,-1.82432,-3.41916,-3.12829,-1.82432,0
1,15,98,-1.61134,-0.65326,-3.41916,-3.12829,-0.65326,1
1,13,98,-1.38867,-0.611484,-3.41916,-3.12829,-1.38867,1
1,12,98,-1.36851,-0.863349,-3.41916,-3.12829,-0.863349,1
1,9,98,-0.616633,-0.711842,-3.41916,-3.12829,-0.711842,0
1,7,98,-1.30907,-0.0868821,-3.41916,-3.12829,-0.0868821,1
1,4,98,-1.61755,0.0441731,-3.41916,-3.12829,0.0441731,1
1,3,98,-1.18627,-0.67018,-3.41916,-3.12829,-0.67018,1
1,2,98,-0.658303,-0.398185,-3.41916,-3.12829,-0.398185,1
1,1,98,-0.695811,-0.519765,-3.41916,-3.12829,-0.519765,1
1,20,97,-1.77246,-0.937067,-3.41916,-2.81209,-1.77246,1
1,19,97,-2.00633,-1.18938,-3.41916,-2.81209,-1.18938,1
1,18,97,-1.67679,-1.32584,-3.41916,-2.81209,-1.32584,1
1,17,97,-0.988155,-1.29293,-3.41916,-2.81209,-1.29293,0
1,15,97,-1.27173,-0.52548,-3.41916,-2.81209,-0.52548,1
1,13,97,-1.17321,-0.281136,-3.41916,-2.81209,-0.281136,1
1,12,97,-1.27922,-0.759605,-3.41916,-2.81209,-0.759605,1
1,7,97,-1.10199,-0.044483,-3.41916,-2.81209,-0.044483,1
1,4,97,-1.00231,0.132976,-3.41916,-2.81209,0.132976,1
1,3,97,-0.980531,-0.651103,-3.41916,-2.81209,-0.651103,1
1,2,97,-0.621525,-0.39355,-3.41916,-2.81209,-0.39355,1
1,20,96,-1.55043,-0.728635,-3.41916,-2.99602,-0.728635,1
1,19,96,-1.62749,-0.906691,-3.41916,-2.99602,-0.906691,1
1,18,96,-1.54946,-1.41897,-3.41916,-2.99602,-1.41897,1
1,17,96,-0.824328,-1.5768,-3.41916,-2.99602,-1.5768,0
1,15,96,-1.23651,-0.358538,-3.41916,-2.99602,-0.358538,1
1,13,96,-1.35179,-0.260729,-3.41916,-2.99602,-1.35179,1
1,12,96,-1.19062,-0.732083,-3.41916,-2.99602,-0.732083,1
1,9,96,-0.45007,-0.645631,-3.41916,-2.99602,-0.645631,0
1,7,96,-0.893357,-0.0243935,-3.41916,-2.99602,-0.0243935,1
1,4,96,-0.8308,0.28965,-3.41916,-2.99602,0.28965,1
1,3,96,-0.820194,-0.538713,-3.41916,-2.99602,-0.538713,1
1,2,96,-0.755916,-0.197397,-3.41916,-2.99602,-0.197397,1
1,19,95,-1.53096,-0.821891,-3.41916,-2.85377,-0.821891,1
1,17,95,-0.995263,-1.73421,-3.41916,-2.85377,-1.73421,0
1,15,95,-1.32906,-0.380465,-3.41916,-2.85377,-0.380465,1
1,13,95,-1.07878,-0.124092,-3.41916,-2.85377,-0.124092,1
1,7,95,-0.918408,0.0357307,-3.41916,-2.85377,0.0357307,1
1,4,95,-0.735823,0.393955,-3.41916,-2.85377,0.393955,1
1,2,95,-0.816323,-0.109714,-3.41916,-2.85377,-0.109714,1
1,1,95,-0.415781,-0.131112,-3.41916,-2.85377,-0.131112,1
1,19,94,-1.47319,-0.774594,-3.41916,-2.55553,-0.774594,1
1,17,94,-0.847486,-1.48237,-3.41916,-2.55553,-1.48237,0
1,15,94,-1.11558,-0.251738,-3.41916,-2.55553,-0.251738,1
1,13,94,-0.983471,0.00568233,-3.41916,-2.55553,0.00568233,1
1,7,94,-0.762895,0.221016,-3.41916,-2.55553,0.221016,1
1,4,94,-0.696541,0.319824,-3.41916,-2.55553,0.319824,1
1,2,94,-0.622831,-0.138851,-3.41916,-2.55553,-0.138851,1
1,1,94,-0.326544,-0.174024,-3.41916,-2.55553,-0.174024,1
1,19,93,-1.42536,-0.710169,-3.41916,-2.51688,-0.710169,1
1,17,93,-0.697008,-1.28589,-3.41916,-2.51688,-1.28589,0
1,15,93,-1.15326,-0.361734,-3.41916,-2.51688,-0.361734,1
1,13,93,-0.940177,-0.0455013,-3.41916,-2.51688,-0.0455013,1
1,7,93,-0.701245,0.273832,-3.41916,-2.51688,0.273832,1
1,4,93,-0.518308,0.461397,-3.41916,-2.51688,0.461397,1
1,2,93,-0.398775,-0.149554,-3.41916,-2.51688,-0.149554,1
1,1,93,-0.487527,-0.222442,-3.41916,-2.51688,-0.222442,1
1,19,92,-1.47666,-0.703062,-6.43894,-2.39982,-0.703062,1
1,17,92,-0.665841,-1.22893,-6.43894,-2.39982,-1.22893,0
1,15,92,-1.16541,-0.230916,-6.43894,-2.39982,-0.230916,1
1,13,92,-0.77599,0.106578,-6.43894,-2.39982,0.106578,1
1,7,92,-0.565969,0.236679,-6.43894,-2.39982,0.236679,1
1,4,92,-0.729373,0.563159,-6.43894,-2.39982,0.563159,1
1,2,92,-0.345752,-0.147439,-6.43894,-2.39982,-0.147439,1
1,1,92,-0.538675,-0.171081,-6.43894,-2.39982,-0.171081,1
1,19,91,-1.34097,-0.578335,-6.29331,-2.45927,-0.578335,1
1,17,91,-0.674001,-1.22017,-6.29331,-2.45927,-1.22017,0
1,15,91,-0.902609,-0.104409,-6.29331,-2.45927,-0.902609,1
1,13,91,-0.965768,0.107142,-6.29331,-2.45927,0.107142,1
1,7,91,-0.573323,0.32329,-6.29331,-2.45927,0.32329,1
1,4,91,-0.429392,0.69017,-6.29331,-2.45927,0.69017,1
1,2,91,-0.39059,0.136376,-6.29331,-2.45927,0.136376,1
1,1,91,-0.33571,0.139072,-6.29331,-2.45927,0.139072,1
1,19,90,-1.49064,-0.731202,-6.05291,-2.36134,-0.731202,1
1,17,90,-0.649948,-1.13874,-6.05291,-2.36134,-1.13874,0
1,15,90,-0.848232,-0.10859,-6.05291,-2.36134,-0.10859,1
1,13,90,-0.761681,0.0772805,-6.05291,-2.36134,0.0772805,1
1,7,90,-0.6301,0.366074,-6.05291,-2.36134,0.366074,1
1,4,90,-0.341802,0.738575,-6.05291,-2.36134,0.738575,1
1,2,90,-0.334982,0.321872,-6.05291,-2.36134,0.321872,1
1,1,90,-0.0433319,0.381664,-6.05291,-2.36134,0.381664,1
1,19,89,-1.85588,-1.02629,-5.75042,-2.39784,-1.02629,1
1,17,89,-0.59635,-1.125,-5.75042,-2.39784,-0.59635,0
1,15,89,-0.852264,-0.0972566,-5.75042,-2.39784,-0.0972566,1
1,13,89,-0.592147,0.290867,-5.75042,-2.39784,0.290867,1
1,7,89,-0.541576,0.455373,-5.75042,-2.39784,0.455373,1
1,4,89,-0.176468,0.729504,-5.75042,-2.39784,0.729504,1
1,2,89,-0.170055,0.362781,-5.75042,-2.39784,0.362781,1
1,1,89,-0.042062,-0.0551796,-5.75042,-2.39784,-0.0551796,0
1,19,88,-1.27814,-0.489352,-5.55605,-2.24038,-1.27814,1
1,17,88,-0.68032,-1.13701,-5.55605,-2.24038,-1.13701,0
1,15,88,-0.829166,-0.0377348,-5.55605,-2.24038,-0.0377348,1
1,13,88,-0.42898,0.302439,-5.55605,-2.24038,0.302439,1
1,7,88,-0.485395,0.427848,-5.55605,-2.24038,0.427848,1
1,4,88,-0.526139,0.838183,-5.55605,-2.24038,0.838183,1
1,2,88,-0.0577908,0.398337,-5.55605,-2.24038,0.398337,1
1,1,88,-0.020938,0.339935,-5.55605,-2.24038,0.339935,1
1,19,87,-1.04003,-0.267767,-5.60239,-2.09737,-0.267767,1
1,17,87,-1.02456,-1.29861,-5.60239,-2.09737,-1.29861,0
1,15,87,-0.761157,0.0877941,-5.60239,-2.09737,0.0877941,1
1,13,87,-0.469395,0.31164,-5.60239,-2.09737,0.31164,1
1,7,87,-0.467721,0.502195,-5.60239,-2.09737,0.502195,1
1,4,87,-0.269141,0.944426,-5.60239,-2.09737,0.944426,1
1,2,87,0.0252806,0.449926,-5.60239,-2.09737,0.449926,1
1,1,87,0.101981,0.454062,-5.60239,-2.09737,0.454062,1
1,19,86,-1.08796,-0.323999,-5.61978,-2.01828,-0.323999,1
1,17,86,-0.393666,-0.98374,-5.61978,-2.01828,-0.393666,0
1,15,86,-0.942201,-0.0597012,-5.61978,-2.01828,-0.0597012,1
1,13,86,-0.49022,0.385515,-5.61978,-2.01828,-0.49022,1
1,7,86,-0.369248,0.664175,-5.61978,-2.01828,0.664175,1
1,4,86,-0.20727,1.03629,-5.61978,-2.01828,1.03629,1
1,2,86,0.0853736,0.386973,-5.61978,-2.01828,0.386973,1
1,1,86,0.261986,0.596817,-5.61978,-2.01828,0.596817,1
1,19,85,-0.112724,-0.0974319,-5.14185,-2.10808,-0.0974319,1
1,17,85,-0.298549,-0.192133,-5.14185,-2.10808,-0.192133,1
1,15,85,-1.11503,-1.16092,-5.14185,-2.10808,-1.16092,0
1,13,85,-0.159837,-0.198088,-5.14185,-2.10808,-0.198088,0
1,7,85,-0.243329,-0.245077,-5.14185,-2.10808,-0.245077,0
1,4,85,-0.0613953,0.174951,-5.14185,-2.10808,0.174951,1
1,2,85,0.105637,0.381979,-5.14185,-2.10808,0.381979,1
1,1,85,0.3252,0.22089,-5.14185,-2.10808,0.22089,0
1,19,84,0.102059,0.00492623,-5.35927,-2.00544,0.00492623,0
1,17,84,-0.354109,-0.318261,-5.35927,-2.00544,-0.318261,1
1,15,84,-0.466446,-0.628042,-5.35927,-2.00544,-0.628042,0
1,13,84,-0.233422,-0.218291,-5.35927,-2.00544,-0.218291,1
1,7,84,-0.211005,-0.25587,-5.35927,-2.00544,-0.25587,0
1,4,84,-0.0305894,0.156064,-5.35927,-2.00544,0.156064,1
1,2,84,0.118354,0.24991,-5.35927,-2.00544,0.24991,1
1,1,84,0.390018,0.354011,-5.35927,-2.00544,0.354011,0
1,19,83,0.116692,0.101976,-5.22327,-1.89942,0.116692,0
1,17,83,-0.30349,-0.273944,-5.22327,-1.89942,-0.273944,1
1,15,83,-0.240898,-0.479184,-5.22327,-1.89942,-0.479184,0
1,13,83,-0.574138,-0.29717,-5.22327,-1.89942,-0.29717,1
1,7,83,0.0667628,-0.123246,-5.22327,-1.89942,-0.123246,0
1,4,83,0.0623683,0.189184,-5.22327,-1.89942,0.189184,1
1,2,83,0.247454,0.351958,-5.22327,-1.89942,0.351958,1
1,1,83,0.456488,0.390245,-5.22327,-1.89942,0.390245,0
1,19,82,0.0884768,-0.148166,-5.04662,-1.89873,-0.148166,0
1,17,82,-0.0994704,-0.119751,-5.04662,-1.89873,-0.0994704,0
