Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.65985,-0.658675,-3.41916,-3.35117,-0.658675,1
1,19,99,-1.66864,-1.41052,-3.41916,-3.35117,-1.41052,1
1,18,99,-1.51211,-0.881535,-3.41916,-3.35117,-0.881535,1
1,17,99,-1.18386,-1.47289,-3.41916,-3.35117,-1.47289,0
1,15,99,-1.27541,-0.868033,-3.41916,-3.35117,-0.868033,1
1,13,99,-0.897705,-0.0663349,-3.41916,-3.35117,-0.0663349,1
1,12,99,-1.08768,-0.742587,-3.41916,-3.35117,-1.08768,1
1,10,99,-1.58286,-1.65388,-3.41916,-3.35117,-1.58286,0
1,9,99,-0.904994,-1.48636,-3.41916,-3.35117,-1.48636,0
1,7,99,-1.05081,-0.922528,-3.41916,-3.35117,-0.922528,1
1,4,99,-1.18278,-0.123885,-3.41916,-3.35117,-0.123885,1
1,3,99,-1.55453,0.146985,-3.41916,-3.35117,0.146985,1
1,2,99,-1.54322,-0.872289,-3.41916,-3.35117,-0.872289,1
1,1,99,-1.12735,-0.385742,-3.41916,-3.35117,-0.385742,1
1,20,98,-1.30018,-0.744569,-3.41916,-3.12829,-0.744569,1
1,19,98,-1.5204,-1.31302,-3.41916,-3.12829,-1.31302,1
1,18,98,-1.46154,-0.90944,-3.41916,-3.12829,-0.90944,1
1,17,98,-0.838295,-1.25336,-3.41916,-3.12829,-1.25336,0
1,15,98,-1.32383,-1.08735,-3.41916,-3.12829,-1.08735,1
1,13,98,-0.866776,-0.195972,-3.41916,-3.12829,-0.866776,1
1,12,98,-0.851773,-0.342383,-3.41916,-3.12829,-0.342383,1
1,9,98,-0.638044,-1.39894,-3.41916,-3.12829,-1.39894,0
1,7,98,-0.661736,-0.784719,-3.41916,-3.12829,-0.784719,0
1,4,98,-1.23734,-0.105271,-3.41916,-3.12829,-0.105271,1
1,3,98,-1.10314,0.144324,-3.41916,-3.12829,0.144324,1
1,2,98,-0.917906,-0.724706,-3.41916,-3.12829,-0.724706,1
1,1,98,-0.987464,-0.249946,-3.41916,-3.12829,-0.249946,1
1,20,97,-1.51691,-0.647292,-3.41916,-2.81209,-1.51691,1
1,19,97,-1.65114,-1.38061,-3.41916,-2.81209,-1.38061,1
1,18,97,-1.29153,-0.827629,-3.41916,-2.81209,-0.827629,1
1,17,97,-0.902322,-1.20636,-3.41916,-2.81209,-1.20636,0
1,15,97,-1.01039,-0.754275,-3.41916,-2.81209,-0.754275,1
1,13,97,-0.927631,0.0414266,-3.41916,-2.81209,0.0414266,1
1,12,97,-0.731304,-0.288107,-3.41916,-2.81209,-0.288107,1
1,7,97,-0.555319,-0.620646,-3.41916,-2.81209,-0.620646,0
1,4,97,-0.957908,0.115135,-3.41916,-2.81209,0.115135,1
1,3,97,-1.09761,0.382439,-3.41916,-2.81209,0.382439,1
1,2,97,-0.85628,-0.482009,-3.41916,-2.81209,-0.482009,1
1,20,96,-1.26439,-0.299794,-3.41916,-2.99602,-0.299794,1
1,19,96,-1.46051,-1.38835,-3.41916,-2.99602,-1.38835,1
1,18,96,-1.01815,-0.756334,-3.41916,-2.99602,-0.756334,1
1,17,96,-0.731238,-1.08976,-3.41916,-2.99602,-1.08976,0
1,15,96,-0.871011,-0.423811,-3.41916,-2.99602,-0.423811,1
1,13,96,-1.00524,0.0737916,-3.41916,-2.99602,-1.00524,1
1,12,96,-0.70649,-0.246006,-3.41916,-2.99602,-0.246006,1
1,9,96,-0.655785,-1.30684,-3.41916,-2.99602,-1.30684,0
1,7,96,-0.424257,-0.260451,-3.41916,-2.99602,-0.260451,1
1,4,96,-0.769768,0.103543,-3.41916,-2.99602,0.103543,1
1,3,96,-1.02135,0.38997,-3.41916,-2.99602,0.38997,1
1,2,96,-0.79235,-0.458239,-3.41916,-2.99602,-0.458239,1
1,19,95,-1.13852,-1.07353,-3.41916,-2.85377,-1.07353,1
1,17,95,-0.907648,-1.19684,-3.41916,-2.85377,-1.19684,0
1,15,95,-0.904984,-0.447629,-3.41916,-2.85377,-0.447629,1
1,13,95,-0.779201,0.203668,-3.41916,-2.85377,0.203668,1
1,7,95,-0.364851,-0.308164,-3.41916,-2.85377,-0.308164,1
1,4,95,-0.645684,0.207502,-3.41916,-2.85377,0.207502,1
1,2,95,-0.708895,-0.42846,-3.41916,-2.85377,-0.42846,1
1,1,95,-0.731754,0.411967,-3.41916,-2.85377,0.411967,1
1,19,94,-1.12227,-1.06555,-3.41916,-2.55553,-1.06555,1
1,17,94,-0.792589,-1.04024,-3.41916,-2.55553,-1.04024,0
1,15,94,-0.669716,-0.391331,-3.41916,-2.55553,-0.391331,1
1,13,94,-0.593742,0.274316,-3.41916,-2.55553,0.274316,1
1,7,94,-0.349119,-0.0739186,-3.41916,-2.55553,-0.0739186,1
1,4,94,-0.531512,0.309808,-3.41916,-2.55553,0.309808,1
1,2,94,-0.466006,-0.401967,-3.41916,-2.55553,-0.401967,1
1,1,94,-0.458185,0.316395,-3.41916,-2.55553,0.316395,1
1,19,93,-1.14478,-0.725043,-3.41916,-2.51688,-0.725043,1
1,17,93,-0.348435,-0.578191,-3.41916,-2.51688,-0.578191,0
1,15,93,-0.745134,-0.509899,-3.41916,-2.51688,-0.509899,1
1,13,93,-0.609152,0.37823,-3.41916,-2.51688,0.37823,1
1,7,93,-0.0820539,-0.0557148,-3.41916,-2.51688,-0.0557148,1
1,4,93,-0.351465,0.516343,-3.41916,-2.51688,0.516343,1
1,2,93,-0.203634,-0.326978,-3.41916,-2.51688,-0.326978,0
1,1,93,-0.266875,0.560752,-3.41916,-2.51688,0.560752,1
1,19,92,-1.2315,-0.887153,-6.43894,-2.39982,-0.887153,1
1,17,92,-0.400131,-0.633002,-6.43894,-2.39982,-0.633002,0
1,15,92,-0.686606,-0.315042,-6.43894,-2.39982,-0.315042,1
1,13,92,-0.383477,0.594533,-6.43894,-2.39982,0.594533,1
1,7,92,0.0403063,0.0831318,-6.43894,-2.39982,0.0831318,1
1,4,92,-0.873399,0.666266,-6.43894,-2.39982,0.666266,1
1,2,92,-0.00108775,-0.206286,-6.43894,-2.39982,-0.206286,0
1,1,92,0.0167466,0.567938,-6.43894,-2.39982,0.567938,1
1,19,91,-1.24674,-0.761543,-6.29331,-2.45927,-0.761543,1
1,17,91,-0.399615,-0.63132,-6.29331,-2.45927,-0.63132,0
1,15,91,-0.336985,0.0299424,-6.29331,-2.45927,-0.336985,1
1,13,91,-0.500869,0.56111,-6.29331,-2.45927,0.56111,1
1,7,91,0.0756932,-0.0874103,-6.29331,-2.45927,-0.0874103,0
1,4,91,-0.235842,0.767518,-6.29331,-2.45927,0.767518,1
1,2,91,0.128687,-0.19801,-6.29331,-2.45927,-0.19801,0
1,1,91,0.166696,0.662598,-6.29331,-2.45927,0.662598,1
1,19,90,-1.17199,-0.867686,-6.05291,-2.36134,-1.17199,1
1,17,90,-0.571731,-0.666011,-6.05291,-2.36134,-0.666011,0
1,15,90,-0.425823,0.0188843,-6.05291,-2.36134,0.0188843,1
1,13,90,-0.391036,0.571103,-6.05291,-2.36134,0.571103,1
1,7,90,0.0999561,0.0320022,-6.05291,-2.36134,0.0320022,0
1,4,90,-0.070361,0.99667,-6.05291,-2.36134,0.99667,1
1,2,90,0.168136,0.136423,-6.05291,-2.36134,0.136423,0
1,1,90,0.300724,0.963093,-6.05291,-2.36134,0.963093,1
1,19,89,-1.67438,-1.11149,-5.75042,-2.39784,-1.11149,1
1,17,89,-1.04333,-0.709733,-5.75042,-2.39784,-1.04333,1
1,15,89,-0.396013,0.0262537,-5.75042,-2.39784,0.0262537,1
1,13,89,0.0692303,0.855794,-5.75042,-2.39784,0.855794,1
1,7,89,0.0741634,-0.0173498,-5.75042,-2.39784,-0.0173498,0
1,4,89,0.109388,1.11071,-5.75042,-2.39784,1.11071,1
1,2,89,0.248935,0.264749,-5.75042,-2.39784,0.264749,1
1,1,89,0.314099,0.254534,-5.75042,-2.39784,0.254534,0
1,19,88,-1.38955,-0.722007,-5.55605,-2.24038,-1.38955,1
1,17,88,-1.06184,-0.611728,-5.55605,-2.24038,-0.611728,1
1,15,88,-0.736192,0.011146,-5.55605,-2.24038,0.011146,1
1,13,88,-0.00884065,0.744947,-5.55605,-2.24038,0.744947,1
1,7,88,-0.0214547,-0.0460313,-5.55605,-2.24038,-0.0460313,0
1,4,88,-0.523717,1.07899,-5.55605,-2.24038,1.07899,1
1,2,88,0.379176,0.292164,-5.55605,-2.24038,0.292164,0
1,1,88,0.377505,1.10883,-5.55605,-2.24038,1.10883,1
1,19,87,-1.17944,-0.65859,-5.60239,-2.09737,-0.65859,1
1,17,87,-1.31145,-0.972232,-5.60239,-2.09737,-0.972232,1
1,15,87,-1.06997,0.0977309,-5.60239,-2.09737,0.0977309,1
1,13,87,-0.122629,0.874199,-5.60239,-2.09737,0.874199,1
1,7,87,-0.0381624,0.230136,-5.60239,-2.09737,0.230136,1
1,4,87,-0.0253184,1.05749,-5.60239,-2.09737,1.05749,1
1,2,87,0.658494,0.322031,-5.60239,-2.09737,0.322031,0
1,1,87,0.521693,1.16986,-5.60239,-2.09737,1.16986,1
1,19,86,-1.16642,-0.541078,-5.61978,-2.01828,-0.541078,1
1,17,86,-0.937822,-0.739966,-5.61978,-2.01828,-0.937822,1
1,15,86,-1.35815,0.0386429,-5.61978,-2.01828,0.0386429,1
1,13,86,-0.0435768,0.803465,-5.61978,-2.01828,-0.0435768,1
1,7,86,0.160405,0.288195,-5.61978,-2.01828,0.288195,1
1,4,86,-0.371101,1.20915,-5.61978,-2.01828,1.20915,1
1,2,86,0.779235,0.428011,-5.61978,-2.01828,0.428011,0
1,1,86,0.636491,1.24954,-5.61978,-2.01828,1.24954,1
1,19,85,-0.575793,-0.359457,-5.14185,-2.10808,-0.359457,1
1,17,85,-0.825116,-0.411176,-5.14185,-2.10808,-0.411176,1
1,15,85,-0.925899,-1.32101,-5.14185,-2.10808,-1.32101,0
1,13,85,-0.346285,-2.05253,-5.14185,-2.10808,-2.05253,0
1,7,85,-0.359248,-1.80828,-5.14185,-2.10808,-1.80828,0
1,4,85,-0.435485,-0.0243132,-5.14185,-2.10808,-0.0243132,1
1,2,85,0.497445,1.03812,-5.14185,-2.10808,1.03812,1
1,1,85,0.668037,0.252529,-5.14185,-2.10808,0.252529,0
1,19,84,-0.464242,-0.228616,-5.35927,-2.00544,-0.228616,1
1,17,84,-0.864215,-0.572659,-5.35927,-2.00544,-0.572659,1
1,15,84,-0.364672,-0.800651,-5.35927,-2.00544,-0.800651,0
1,13,84,-0.723144,-2.14137,-5.35927,-2.00544,-2.14137,0
1,7,84,-0.154927,-1.81564,-5.35927,-2.00544,-1.81564,0
1,4,84,-0.0161851,-0.0659336,-5.35927,-2.00544,-0.0659336,0
1,2,84,0.218175,1.06815,-5.35927,-2.00544,1.06815,1
1,1,84,0.907248,0.488508,-5.35927,-2.00544,0.488508,0
1,19,83,-0.303034,-0.0421348,-5.22327,-1.89942,-0.303034,1
1,17,83,-0.971858,-0.37598,-5.22327,-1.89942,-0.37598,1
1,15,83,-0.0371292,-0.735719,-5.22327,-1.89942,-0.735719,0
1,13,83,-0.941371,-2.20045,-5.22327,-1.89942,-2.20045,0
1,7,83,0.141336,-1.7262,-5.22327,-1.89942,-1.7262,0
1,4,83,0.189723,0.0609882,-5.22327,-1.89942,0.0609882,0
1,2,83,0.404078,1.07091,-5.22327,-1.89942,1.07091,1
1,1,83,0.832122,0.361767,-5.22327,-1.89942,0.361767,0
1,19,82,-0.586462,-0.378804,-5.04662,-1.89873,-0.378804,1
1,17,82,-0.774031,-0.275002,-5.04662,-1.89873,-0.774031,1
1,15,82,-0.229517,-0.718664,-5.04662,-1.89873,-0.718664,0
1,13,82,-0.329942,-2.02758,-5.04662,-1.89873,-2.02758,0
1,9,82,0.586161,0.841224,-5.04662,-1.89873,0.841224,1
1,7,82,0.0637049,-2.15207,-5.04662,-1.89873,-2.15207,0
1,4,82,0.229025,-0.0152328,-5.04662,-1.89873,-0.0152328,0
1,2,82,0.376857,0.994274,-5.04662,-1.89873,0.994274,1
1,1,82,0.848727,0.498596,-5.04662,-1.89873,0.498596,0
1,19,81,-0.63954,-0.886735,-4.70389,-1.77463,-0.886735,0
