Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,4.64673,3.14695,-1000,-3.35117,4.64673,0
1,19,99,6.87901,3.37592,-1000,-3.35117,6.87901,0
1,18,99,4.59327,6.87638,-1000,-3.35117,6.87638,1
1,17,99,-3.41916,2.32638,-1000,-3.35117,2.32638,1
1,15,99,4.57721,-0.499395,-1000,-3.35117,4.57721,0
1,13,99,5.77351,5.18068,-1000,-3.35117,5.77351,0
1,12,99,6.90981,3.16643,-1000,-3.35117,6.90981,0
1,10,99,3.69415,6.93079,-1000,-3.35117,6.93079,1
1,9,99,5.7701,4.89572,-1000,-3.35117,5.7701,0
1,7,99,6.89817,6.87541,-1000,-3.35117,6.89817,0
1,4,99,6.89147,6.8971,-1000,-3.35117,6.8971,1
1,3,99,6.90935,6.91829,-1000,-3.35117,6.91829,1
1,2,99,6.91666,6.91666,-1000,-3.35117,6.91666,0
1,1,99,6.93138,6.92723,-1000,-3.35117,6.93138,0
2,20,99,2.28065,3.14695,-1000,-3.35117,3.14695,1
2,18,99,2.27027,-2.61819,-1000,-3.35117,2.27027,0
2,17,99,-0.26227,-0.27041,-1000,-3.35117,-0.26227,0
2,16,99,2.26102,-2.81411,-1000,-3.35117,2.26102,0
2,15,99,-2.77343,-0.499395,-1000,-3.35117,-0.499395,1
2,13,99,4.60096,5.18068,-1000,-3.35117,5.18068,1
2,10,99,-2.45843,1.74982,-1000,-3.35117,1.74982,1
2,8,99,1.75918,4.57094,-1000,-3.35117,4.57094,1
2,7,99,6.87541,-3.17659,-1000,-3.35117,6.87541,0
2,4,99,1.97943,6.91631,-1000,-3.35117,6.91631,1
2,3,99,6.90935,4.36156,-1000,-3.35117,6.90935,0
2,2,99,6.91666,6.89147,-1000,-3.35117,6.91666,0
2,1,99,6.94039,6.93753,-1000,-3.35117,6.94039,0
3,20,99,-2.90405,-2.55553,-1000,-3.35117,-2.55553,1
3,16,99,-2.6182,-3.93807,-1000,-3.35117,-2.6182,0
3,15,99,-3.35117,-3.23973,-1000,-3.35117,-3.23973,1
3,13,99,-2.6182,6.92998,-1000,-3.35117,6.92998,1
3,11,99,-2.63568,-3.35117,-1000,-3.35117,-2.63568,0
3,10,99,-3.23973,-3.10247,-1000,-3.35117,-3.10247,1
3,9,99,-2.65652,-3.35117,-1000,-3.35117,-2.65652,0
3,8,99,2.20436,2.24867,-1000,-3.35117,2.24867,1
3,5,99,-3.13646,1.76292,-1000,-3.35117,1.76292,1
3,4,99,-3.23973,1.77225,-1000,-3.35117,1.77225,1
3,2,99,1.78598,1.79528,-1000,-3.35117,1.79528,1
3,1,99,6.91593,6.91846,-1000,-3.35117,6.91846,1
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,4.71893,3.21849,-1000,-3.12829,4.71893,0
1,19,98,6.87944,3.3748,-1000,-3.12829,6.87944,0
1,18,98,4.56689,6.90252,-1000,-3.12829,6.90252,1
1,17,98,-3.41916,2.37849,-1000,-3.12829,2.37849,1
1,15,98,4.88338,-0.341321,-1000,-3.12829,4.88338,0
1,13,98,5.77319,5.16384,-1000,-3.12829,5.77319,0
1,12,98,6.90437,3.17631,-1000,-3.12829,6.90437,0
1,10,98,3.74064,6.94039,-1000,-3.12829,6.94039,1
1,9,98,5.74525,4.89198,-1000,-3.12829,5.74525,0
1,7,98,6.90507,6.87414,-1000,-3.12829,6.90507,0
1,4,98,6.89566,6.92345,-1000,-3.12829,6.92345,1
1,3,98,6.89357,6.89252,-1000,-3.12829,6.89357,0
1,2,98,6.92884,6.92884,-1000,-3.12829,6.92884,0
1,1,98,6.93448,6.89147,-1000,-3.12829,6.93448,0
2,20,98,2.40156,3.21849,-1000,-3.12829,3.21849,1
2,18,98,2.22959,-2.40876,-1000,-3.12829,2.22959,0
2,17,98,-0.326813,-0.292928,-1000,-3.12829,-0.292928,1
2,16,98,2.29601,-2.85142,-1000,-3.12829,2.29601,0
2,15,98,-2.58962,-0.341321,-1000,-3.12829,-0.341321,1
2,13,98,4.61091,5.16384,-1000,-3.12829,5.16384,1
2,10,98,-2.45736,1.72527,-1000,-3.12829,1.72527,1
2,7,98,6.87414,-2.34846,-1000,-3.12829,6.87414,0
2,4,98,2.00613,6.91605,-1000,-3.12829,6.91605,1
2,3,98,6.89357,4.4206,-1000,-3.12829,6.89357,0
2,2,98,6.92884,6.89566,-1000,-3.12829,6.92884,0
2,1,98,6.92312,6.94173,-1000,-3.12829,6.94173,1
3,20,98,-2.92489,-2.51688,-1000,-3.12829,-2.51688,1
3,16,98,-2.47557,-3.81155,-1000,-3.12829,-2.47557,0
3,15,98,-3.12829,-2.97019,-1000,-3.12829,-2.97019,1
3,13,98,-2.47557,6.90307,-1000,-3.12829,6.90307,1
3,11,98,-2.67868,-3.12829,-1000,-3.12829,-2.67868,0
3,10,98,-2.97019,-2.84191,-1000,-3.12829,-2.84191,1
3,9,98,-2.45843,-3.12829,-1000,-3.12829,-2.45843,0
3,8,98,2.24867,2.21312,-1000,-3.12829,2.24867,0
3,5,98,-1.27776,1.76292,-1000,-3.12829,1.76292,1
3,4,98,-2.97019,1.89482,-1000,-3.12829,1.89482,1
3,2,98,1.89704,1.8748,-1000,-3.12829,1.89704,0
3,1,98,6.90939,6.84415,-1000,-3.12829,6.90939,0
4,17,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,16,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,15,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,14,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,13,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,12,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,9,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,8,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,7,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,5,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,3,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,1,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
