Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.33173,-1.48176,-3.41916,-3.35117,-1.48176,1
1,19,99,-1.8797,-0.528529,-3.41916,-3.35117,-0.528529,1
1,18,99,-1.87702,-0.620128,-3.41916,-3.35117,-0.620128,1
1,17,99,-1.67509,-0.605256,-3.41916,-3.35117,-0.605256,1
1,15,99,-1.05243,-1.25384,-3.41916,-3.35117,-1.25384,0
1,13,99,-1.39607,-0.492288,-3.41916,-3.35117,-0.492288,1
1,12,99,-1.08305,-1.09444,-3.41916,-3.35117,-1.08305,0
1,10,99,-0.777082,-0.441795,-3.41916,-3.35117,-0.441795,1
1,9,99,-0.353134,-0.507399,-3.41916,-3.35117,-0.507399,0
1,7,99,-0.359953,0.120041,-3.41916,-3.35117,0.120041,1
1,4,99,-0.164621,-0.13472,-3.41916,-3.35117,-0.13472,1
1,3,99,-0.300292,-0.254976,-3.41916,-3.35117,-0.254976,1
1,2,99,-0.322571,0.0103701,-3.41916,-3.35117,0.0103701,1
1,1,99,-1.63165,-1.31312,-3.41916,-3.35117,-1.31312,1
1,20,98,-2.16068,-1.34556,-3.41916,-3.12829,-1.34556,1
1,19,98,-1.60576,-0.449176,-3.41916,-3.12829,-0.449176,1
1,18,98,-1.60107,-0.622197,-3.41916,-3.12829,-0.622197,1
1,17,98,-1.27009,-0.492572,-3.41916,-3.12829,-0.492572,1
1,15,98,-0.976288,-1.33141,-3.41916,-3.12829,-1.33141,0
1,13,98,-1.06613,-0.441709,-3.41916,-3.12829,-1.06613,1
1,12,98,-0.768676,-0.890512,-3.41916,-3.12829,-0.890512,0
1,9,98,-0.265833,-0.432624,-3.41916,-3.12829,-0.432624,0
1,7,98,-0.287652,0.167948,-3.41916,-3.12829,0.167948,1
1,4,98,-0.23884,-0.078044,-3.41916,-3.12829,-0.078044,1
1,3,98,-0.253486,-0.134792,-3.41916,-3.12829,-0.134792,1
1,2,98,-0.27546,0.0143712,-3.41916,-3.12829,0.0143712,1
1,1,98,-1.44731,-1.14767,-3.41916,-3.12829,-1.14767,1
1,20,97,-1.75943,-1.33051,-3.41916,-2.81209,-1.75943,1
1,19,97,-1.27783,-0.668735,-3.41916,-2.81209,-0.668735,1
1,18,97,-1.14446,-0.626755,-3.41916,-2.81209,-0.626755,1
1,17,97,-1.07889,-0.399419,-3.41916,-2.81209,-0.399419,1
1,15,97,-0.769467,-0.994505,-3.41916,-2.81209,-0.994505,0
1,13,97,-0.902223,-0.529361,-3.41916,-2.81209,-0.529361,1
1,12,97,-0.71395,-0.837913,-3.41916,-2.81209,-0.837913,0
1,7,97,-0.278785,0.181362,-3.41916,-2.81209,0.181362,1
1,4,97,-0.0236865,-0.0270028,-3.41916,-2.81209,-0.0270028,0
1,3,97,-0.0687578,-0.130489,-3.41916,-2.81209,-0.130489,0
1,2,97,-0.160715,-0.0647521,-3.41916,-2.81209,-0.0647521,1
1,20,96,-1.43822,-1.13853,-3.41916,-2.99602,-1.13853,1
1,19,96,-1.06018,-0.497878,-3.41916,-2.99602,-0.497878,1
1,18,96,-1.12849,-0.580178,-3.41916,-2.99602,-0.580178,1
1,17,96,-1.1574,-0.514472,-3.41916,-2.99602,-0.514472,1
1,15,96,-0.507084,-0.933954,-3.41916,-2.99602,-0.933954,0
1,13,96,-0.865605,-0.474924,-3.41916,-2.99602,-0.865605,1
1,12,96,-0.5847,-0.700546,-3.41916,-2.99602,-0.700546,0
1,9,96,-0.194212,-0.369526,-3.41916,-2.99602,-0.369526,0
1,7,96,-0.2669,0.203897,-3.41916,-2.99602,0.203897,1
1,4,96,0.0597014,0.105199,-3.41916,-2.99602,0.105199,1
1,3,96,0.0230104,-0.0060781,-3.41916,-2.99602,-0.0060781,0
1,2,96,-0.0662923,0.0621652,-3.41916,-2.99602,0.0621652,1
1,19,95,-0.989464,-0.237565,-3.41916,-2.85377,-0.237565,1
1,17,95,-1.06718,-0.52822,-3.41916,-2.85377,-0.52822,1
1,15,95,-0.466643,-0.936514,-3.41916,-2.85377,-0.936514,0
1,13,95,-0.589723,-0.173674,-3.41916,-2.85377,-0.173674,1
1,7,95,-0.21079,0.250591,-3.41916,-2.85377,0.250591,1
1,4,95,-0.151086,0.121002,-3.41916,-2.85377,0.121002,1
1,2,95,-0.00641108,0.175069,-3.41916,-2.85377,0.175069,1
1,1,95,-0.277849,-0.94663,-3.41916,-2.85377,-0.94663,0
1,19,94,-0.999476,-0.281211,-3.41916,-2.55553,-0.281211,1
1,17,94,-1.11866,-0.488843,-3.41916,-2.55553,-0.488843,1
1,15,94,-0.45459,-0.791058,-3.41916,-2.55553,-0.791058,0
1,13,94,-0.47268,-0.106128,-3.41916,-2.55553,-0.106128,1
1,7,94,-0.117308,0.316243,-3.41916,-2.55553,0.316243,1
1,4,94,0.0476565,0.116654,-3.41916,-2.55553,0.116654,1
1,2,94,0.0790937,0.209818,-3.41916,-2.55553,0.209818,1
1,1,94,-0.160964,-0.836427,-3.41916,-2.55553,-0.836427,0
1,19,93,-1.00149,-0.327401,-3.41916,-2.51688,-0.327401,1
1,17,93,-0.878892,-0.302371,-3.41916,-2.51688,-0.302371,1
1,15,93,-0.509251,-0.795335,-3.41916,-2.51688,-0.795335,0
1,13,93,-0.453911,-0.118965,-3.41916,-2.51688,-0.118965,1
1,7,93,-0.0819828,0.36597,-3.41916,-2.51688,0.36597,1
1,4,93,0.159564,0.182162,-3.41916,-2.51688,0.182162,1
1,2,93,0.0833016,0.294447,-3.41916,-2.51688,0.294447,1
1,1,93,-0.0792771,-0.821742,-3.41916,-2.51688,-0.821742,0
1,19,92,-0.968548,-0.224973,-6.43894,-2.39982,-0.224973,1
