Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,2.89272,1.53198,-1000,-3.35117,2.89272,0
1,19,99,-0.554349,6.5645,-1000,-3.35117,6.5645,1
1,18,99,4.57716,6.88877,-1000,-3.35117,6.88877,1
1,17,99,-3.41916,6.46824,-1000,-3.35117,6.46824,1
1,15,99,4.52119,6.70431,-1000,-3.35117,6.70431,1
1,13,99,5.13364,6.81141,-1000,-3.35117,6.81141,1
1,12,99,2.19855,2.13325,-1000,-3.35117,2.19855,0
1,10,99,-0.625625,6.80766,-1000,-3.35117,6.80766,1
1,9,99,1.8268,1.8268,-1000,-3.35117,1.8268,0
1,7,99,4.32698,1.94056,-1000,-3.35117,4.32698,0
1,4,99,6.45672,6.45672,-1000,-3.35117,6.45672,0
1,3,99,6.73716,6.72505,-1000,-3.35117,6.73716,0
1,2,99,1.77588,1.77588,-1000,-3.35117,1.77588,0
1,1,99,6.90531,6.90531,-1000,-3.35117,6.90531,0
2,20,99,2.33004,0.704034,-1000,-3.35117,2.33004,0
2,18,99,-0.236342,-2.36134,-1000,-3.35117,-0.236342,0
2,17,99,0.593395,0.549598,-1000,-3.35117,0.593395,0
2,16,99,2.38689,-0.0713737,-1000,-3.35117,2.38689,0
2,15,99,0.28191,-3.10747,-1000,-3.35117,0.28191,0
2,13,99,0.275844,6.81141,-1000,-3.35117,6.81141,1
2,10,99,4.36287,6.73277,-1000,-3.35117,6.73277,1
2,8,99,6.72557,6.80578,-1000,-3.35117,6.80578,1
2,7,99,1.94056,-3.27781,-1000,-3.35117,1.94056,0
2,4,99,6.45672,4.18331,-1000,-3.35117,6.45672,0
2,3,99,1.88731,6.72505,-1000,-3.35117,6.72505,1
2,2,99,1.74427,1.77588,-1000,-3.35117,1.77588,1
2,1,99,6.90531,6.68426,-1000,-3.35117,6.90531,0
3,20,99,-2.01828,-2.60596,-1000,-3.35117,-2.01828,0
3,16,99,-2.67868,-3.35117,-1000,-3.35117,-2.67868,0
3,15,99,-2.79577,-4.32732,-1000,-3.35117,-2.79577,0
3,13,99,-2.79577,-2.90522,-1000,-3.35117,-2.79577,0
3,11,99,2.22422,1.74188,-1000,-3.35117,2.22422,0
3,10,99,-3.38516,1.95584,-1000,-3.35117,1.95584,1
3,9,99,-2.65652,-3.35117,-1000,-3.35117,-2.65652,0
3,8,99,2.02447,1.86755,-1000,-3.35117,2.02447,0
3,5,99,-3.35117,6.79459,-1000,-3.35117,6.79459,1
3,4,99,-3.35117,1.65488,-1000,-3.35117,1.65488,1
3,2,99,-3.35117,-3.35117,-1000,-3.35117,-3.35117,0
3,1,99,6.74159,6.90394,-1000,-3.35117,6.90394,1
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,2.95981,2.61819,-1000,-3.12829,2.95981,0
1,19,98,0.309994,6.87577,-1000,-3.12829,6.87577,1
1,18,98,3.54092,6.46694,-1000,-3.12829,6.46694,1
1,17,98,-3.41916,6.52015,-1000,-3.12829,6.52015,1
1,15,98,4.43588,6.90394,-1000,-3.12829,6.90394,1
1,13,98,5.1225,6.79719,-1000,-3.12829,6.79719,1
1,12,98,2.21515,2.15999,-1000,-3.12829,2.21515,0
1,10,98,1.12798,6.79892,-1000,-3.12829,6.79892,1
1,9,98,2.16791,2.16791,-1000,-3.12829,2.16791,0
1,7,98,4.36163,2.09939,-1000,-3.12829,4.36163,0
1,4,98,6.90271,6.90271,-1000,-3.12829,6.90271,0
1,3,98,6.80973,6.78753,-1000,-3.12829,6.80973,0
1,2,98,1.78966,1.78966,-1000,-3.12829,1.78966,0
1,1,98,6.80526,6.80526,-1000,-3.12829,6.80526,0
2,20,98,2.34683,0.673892,-1000,-3.12829,2.34683,0
2,18,98,-0.0664591,-2.39784,-1000,-3.12829,-0.0664591,0
2,17,98,0.706598,0.66453,-1000,-3.12829,0.706598,0
2,16,98,2.41288,-0.0335019,-1000,-3.12829,2.41288,0
2,15,98,0.331791,-3.016,-1000,-3.12829,0.331791,0
2,13,98,0.358814,6.79719,-1000,-3.12829,6.79719,1
2,10,98,4.39832,6.7218,-1000,-3.12829,6.7218,1
2,7,98,2.09939,-0.638882,-1000,-3.12829,2.09939,0
2,4,98,6.90271,4.26192,-1000,-3.12829,6.90271,0
2,3,98,1.94776,6.78753,-1000,-3.12829,6.78753,1
2,2,98,1.74188,1.78966,-1000,-3.12829,1.78966,1
2,1,98,6.80526,6.70706,-1000,-3.12829,6.80526,0
3,20,98,-2.10808,-2.72764,-1000,-3.12829,-2.10808,0
3,16,98,-2.6258,-3.12829,-1000,-3.12829,-2.6258,0
3,15,98,-2.61283,-4.22537,-1000,-3.12829,-2.61283,0
3,13,98,-2.61283,-2.74481,-1000,-3.12829,-2.61283,0
3,11,98,2.27079,1.64423,-1000,-3.12829,2.27079,0
3,10,98,-1.56415,2.02457,-1000,-3.12829,2.02457,1
3,9,98,-2.45843,-3.12829,-1000,-3.12829,-2.45843,0
3,8,98,1.99583,1.93572,-1000,-3.12829,1.99583,0
3,5,98,-3.12829,6.86707,-1000,-3.12829,6.86707,1
3,4,98,-3.12829,1.79545,-1000,-3.12829,1.79545,1
3,2,98,-3.12829,-3.12829,-1000,-3.12829,-3.12829,0
3,1,98,6.69566,6.20913,-1000,-3.12829,6.69566,0
4,17,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,16,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,15,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,14,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,13,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,12,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,9,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,8,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,7,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,5,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,3,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,1,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
1,20,97,3.15382,2.56996,-1000,-2.81209,3.15382,0
1,19,97,0.381119,6.92005,-1000,-2.81209,6.92005,1
1,18,97,4.65166,6.8251,-1000,-2.81209,6.8251,1
1,17,97,0,6.54625,-1000,-2.81209,6.54625,1
1,15,97,4.54796,6.20913,-1000,-2.81209,6.20913,1
1,13,97,5.14726,6.8321,-1000,-2.81209,6.8321,1
1,12,97,2.02206,2.17894,-1000,-2.81209,2.17894,1
1,7,97,4.34183,2.00104,-1000,-2.81209,4.34183,0
1,4,97,6.54719,6.54719,-1000,-2.81209,6.54719,0
1,3,97,6.81565,6.80131,-1000,-2.81209,6.81565,0
1,2,97,3.35381,3.35381,-1000,-2.81209,3.35381,0
1,10,97,1.10909,6.68426,-1000,-2.81209,6.68426,1
1,1,97,6.70127,6.70127,-1000,-2.81209,6.70127,0
2,20,97,2.35933,0.721184,-1000,-2.81209,2.35933,0
2,18,97,-0.181463,-2.24038,-1000,-2.81209,-0.181463,0
2,17,97,0.776922,0.553084,-1000,-2.81209,0.776922,0
2,16,97,2.40731,1.72598,-1000,-2.81209,2.40731,0
2,15,97,0.468486,-1.20759,-1000,-2.81209,0.468486,0
2,13,97,0.472206,6.8321,-1000,-2.81209,6.8321,1
2,12,97,2.17894,1.03766,-1000,-2.81209,2.17894,0
2,10,97,4.55849,6.80321,-1000,-2.81209,6.80321,1
2,6,99,6.4448,4.47882,-1000,-3.35117,6.4448,0
1,14,97,6.65371,4.45453,-1000,-2.81209,6.65371,0
2,8,97,6.8802,6.75681,-1000,-2.81209,6.8802,0
2,7,97,2.00104,-0.629219,-1000,-2.81209,2.00104,0
1,14,99,6.79288,4.36797,-1000,-3.35117,6.79288,0
2,6,97,6.56754,4.45654,-1000,-2.81209,6.56754,0
2,4,97,6.54719,4.16354,-1000,-2.81209,6.54719,0
2,3,97,1.84945,6.80131,-1000,-2.81209,6.80131,1
2,2,97,3.35381,1.94142,-1000,-2.81209,3.35381,0
2,1,97,6.70127,6.60687,-1000,-2.81209,6.70127,0
3,20,97,-2.00544,-2.60755,-1000,-2.81209,-2.00544,0
3,16,97,-2.39796,-2.81209,-1000,-2.81209,-2.39796,0
3,15,97,-2.41518,-3.9954,-1000,-2.81209,-2.41518,0
3,13,97,-2.41518,-2.60496,-1000,-2.81209,-2.41518,0
3,11,97,2.15489,3.34746,-1000,-2.81209,3.34746,1
3,10,97,-1.40604,2.07604,-1000,-2.81209,2.07604,1
3,9,97,-2.45736,-2.81209,-1000,-2.81209,-2.45736,0
3,8,97,2.17529,2.02697,-1000,-2.81209,2.17529,0
3,5,97,-2.81209,6.88335,-1000,-2.81209,6.88335,1
3,4,97,-2.81209,1.87037,-1000,-2.81209,1.87037,1
3,2,97,-2.81209,-2.81209,-1000,-2.81209,-2.81209,0
3,1,97,6.65697,6.8527,-1000,-2.81209,6.8527,1
4,17,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,16,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,15,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,13,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,12,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,9,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,8,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,7,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,5,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,1,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
1,20,96,2.94523,2.59967,-1000,-2.99602,2.94523,0
1,19,96,2.2774,6.89615,-1000,-2.99602,6.89615,1
1,18,96,4.71907,6.5785,-1000,-2.99602,6.5785,1
1,17,96,0,6.88174,-1000,-2.99602,6.88174,1
1,15,96,4.57801,6.90149,-1000,-2.99602,6.90149,1
2,8,98,6.53829,6.45203,-1000,-3.12829,6.53829,0
2,6,98,6.83115,4.26084,-1000,-3.12829,6.83115,0
1,14,96,6.46824,4.22944,-1000,-2.99602,6.46824,0
1,13,96,6.68136,6.63043,-1000,-2.99602,6.68136,0
1,12,96,2.3302,2.21028,-1000,-2.99602,2.3302,0
1,9,96,2.21817,2.21817,-1000,-2.99602,2.21817,0
1,7,96,4.51125,2.21093,-1000,-2.99602,4.51125,0
1,4,96,6.86746,6.86746,-1000,-2.99602,6.86746,0
1,3,96,6.58217,6.78192,-1000,-2.99602,6.78192,1
1,2,96,3.34746,3.34746,-1000,-2.99602,3.34746,0
1,10,96,1.14087,6.70706,-1000,-2.99602,6.70706,1
1,1,96,6.71175,6.71175,-1000,-2.99602,6.71175,0
2,20,96,2.4089,0.781499,-1000,-2.99602,2.4089,0
2,18,96,-0.0286188,-2.09737,-1000,-2.99602,-0.0286188,0
2,17,96,0.713222,0.733921,-1000,-2.99602,0.733921,1
2,16,96,2.44672,1.55228,-1000,-2.99602,2.44672,0
2,15,96,0.44996,-1.27603,-1000,-2.99602,0.44996,0
2,13,96,1.14749,6.63043,-1000,-2.99602,6.63043,1
2,12,96,2.21028,1.38665,-1000,-2.99602,2.21028,0
2,10,96,4.60482,6.81141,-1000,-2.99602,6.81141,1
2,7,96,2.21093,-0.599956,-1000,-2.99602,2.21093,0
1,14,98,6.37067,4.41793,-1000,-3.12829,6.37067,0
2,8,96,6.90733,6.81546,-1000,-2.99602,6.90733,0
2,6,96,6.42198,4.53941,-1000,-2.99602,6.42198,0
2,4,96,6.86746,4.37843,-1000,-2.99602,6.86746,0
2,3,96,1.90357,6.78192,-1000,-2.99602,6.78192,1
2,2,96,3.34746,1.83245,-1000,-2.99602,3.34746,0
2,1,96,6.67792,6.71175,-1000,-2.99602,6.71175,1
3,20,96,-1.89942,-2.47668,-1000,-2.99602,-1.89942,0
3,16,96,-2.30712,-2.99602,-1000,-2.99602,-2.30712,0
3,13,96,-0.981439,-2.6182,-1000,-2.99602,-0.981439,0
3,11,96,2.22727,3.33046,-1000,-2.99602,3.33046,1
3,10,96,-1.49801,2.08903,-1000,-2.99602,2.08903,1
3,9,96,-2.3201,-2.99602,-1000,-2.99602,-2.3201,0
3,8,96,2.25394,2.17369,-1000,-2.99602,2.25394,0
3,5,96,-2.99602,6.41337,-1000,-2.99602,6.41337,1
3,4,96,-2.99602,1.85415,-1000,-2.99602,1.85415,1
3,2,96,-2.99602,-2.99602,-1000,-2.99602,-2.99602,0
3,1,96,6.65931,6.91173,-1000,-2.99602,6.91173,1
4,17,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,16,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,15,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,13,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,12,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
