Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.45257,-1.24912,-3.41916,-3.35117,-1.24912,1
1,19,99,-2.2363,-0.42601,-3.41916,-3.35117,-0.42601,1
1,18,99,-2.19991,-0.60903,-3.41916,-3.35117,-0.60903,1
1,17,99,-1.4949,-1.40783,-3.41916,-3.35117,-1.40783,1
1,15,99,-0.936636,-1.62571,-3.41916,-3.35117,-1.62571,0
1,13,99,-1.35779,-0.828965,-3.41916,-3.35117,-0.828965,1
1,12,99,-1.27912,-1.17067,-3.41916,-3.35117,-1.27912,1
1,10,99,-0.364643,-0.431946,-3.41916,-3.35117,-0.431946,0
1,9,99,-0.202201,0.14015,-3.41916,-3.35117,0.14015,1
1,7,99,-0.504423,-0.435041,-3.41916,-3.35117,-0.435041,1
1,4,99,-0.382963,0.133532,-3.41916,-3.35117,0.133532,1
1,3,99,-0.451082,-0.14517,-3.41916,-3.35117,-0.14517,1
1,2,99,-0.351416,-0.17052,-3.41916,-3.35117,-0.17052,1
1,1,99,-0.192869,-1.60318,-3.41916,-3.35117,-1.60318,0
1,20,98,-2.2343,-1.24802,-3.41916,-3.12829,-1.24802,1
1,19,98,-1.93793,-0.246767,-3.41916,-3.12829,-0.246767,1
1,18,98,-2.13762,-0.580012,-3.41916,-3.12829,-0.580012,1
1,17,98,-1.19138,-1.26137,-3.41916,-3.12829,-1.26137,0
1,15,98,-0.725861,-1.01081,-3.41916,-3.12829,-1.01081,0
1,13,98,-0.747268,-0.722521,-3.41916,-3.12829,-0.747268,1
1,12,98,-0.632491,-0.909181,-3.41916,-3.12829,-0.909181,0
1,9,98,-0.0324236,0.224804,-3.41916,-3.12829,0.224804,1
1,7,98,-0.419502,-0.364419,-3.41916,-3.12829,-0.364419,1
1,4,98,-0.369234,0.294822,-3.41916,-3.12829,0.294822,1
1,3,98,-0.371035,0.0210476,-3.41916,-3.12829,0.0210476,1
1,2,98,-0.205444,-0.0529648,-3.41916,-3.12829,-0.0529648,1
1,1,98,-0.0356799,-1.41976,-3.41916,-3.12829,-1.41976,0
1,20,97,-2.06612,-1.17733,-3.41916,-2.81209,-2.06612,1
1,19,97,-1.96676,-0.381289,-3.41916,-2.81209,-0.381289,1
1,18,97,-1.79555,-0.49383,-3.41916,-2.81209,-0.49383,1
1,17,97,-1.1074,-1.30175,-3.41916,-2.81209,-1.30175,0
1,15,97,-0.690034,-1.32489,-3.41916,-2.81209,-1.32489,0
1,13,97,-0.712452,-0.714913,-3.41916,-2.81209,-0.714913,0
1,12,97,-0.412151,-0.753376,-3.41916,-2.81209,-0.753376,0
1,7,97,-0.407162,-0.266988,-3.41916,-2.81209,-0.266988,1
1,4,97,-0.339281,0.255248,-3.41916,-2.81209,0.255248,1
1,3,97,-0.160888,0.022891,-3.41916,-2.81209,0.022891,1
1,2,97,-0.119799,0.143718,-3.41916,-2.81209,0.143718,1
1,20,96,-1.88097,-0.995554,-3.41916,-2.99602,-0.995554,1
1,19,96,-1.59972,-0.258472,-3.41916,-2.99602,-0.258472,1
1,18,96,-1.5959,-0.769733,-3.41916,-2.99602,-0.769733,1
1,17,96,-0.929922,-1.23054,-3.41916,-2.99602,-1.23054,0
1,15,96,-0.357663,-1.24655,-3.41916,-2.99602,-1.24655,0
1,13,96,-0.386874,-0.682959,-3.41916,-2.99602,-0.386874,0
1,12,96,-0.400316,-0.728253,-3.41916,-2.99602,-0.728253,0
1,9,96,-0.0773065,0.419365,-3.41916,-2.99602,0.419365,1
1,7,96,-0.281823,-0.214159,-3.41916,-2.99602,-0.214159,1
1,4,96,-0.21528,0.391229,-3.41916,-2.99602,0.391229,1
1,3,96,0.0473884,0.101316,-3.41916,-2.99602,0.101316,1
1,2,96,-0.0840573,0.0506513,-3.41916,-2.99602,0.0506513,1
1,19,95,-1.59839,-0.112429,-3.41916,-2.85377,-0.112429,1
1,17,95,-1.06951,-1.15975,-3.41916,-2.85377,-1.15975,0
1,15,95,-0.493793,-1.30955,-3.41916,-2.85377,-1.30955,0
1,13,95,-0.389927,-0.484115,-3.41916,-2.85377,-0.484115,0
1,7,95,-0.0459877,-0.0877796,-3.41916,-2.85377,-0.0877796,0
1,4,95,-0.211124,0.322728,-3.41916,-2.85377,0.322728,1
1,2,95,-0.0331359,0.00501203,-3.41916,-2.85377,0.00501203,1
1,1,95,0.204358,-1.32477,-3.41916,-2.85377,-1.32477,0
1,19,94,-1.52199,-0.147099,-3.41916,-2.55553,-0.147099,1
1,17,94,-0.820464,-1.06524,-3.41916,-2.55553,-1.06524,0
1,15,94,-0.38815,-1.13362,-3.41916,-2.55553,-1.13362,0
1,13,94,-0.140923,-0.453286,-3.41916,-2.55553,-0.453286,0
1,7,94,-0.0600435,-0.116132,-3.41916,-2.55553,-0.116132,0
1,4,94,-0.113789,0.393511,-3.41916,-2.55553,0.393511,1
1,2,94,-0.0492003,0.256636,-3.41916,-2.55553,0.256636,1
1,1,94,0.524795,-1.0777,-3.41916,-2.55553,-1.0777,0
1,19,93,-1.50314,-0.207408,-3.41916,-2.51688,-0.207408,1
