Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.18797,-1.06455,-3.41916,-3.35117,-1.06455,1
1,19,99,-2.42432,-0.741414,-3.41916,-3.35117,-0.741414,1
1,18,99,-1.73126,-0.906687,-3.41916,-3.35117,-0.906687,1
1,17,99,-2.60969,-0.922812,-3.41916,-3.35117,-0.922812,1
1,15,99,-0.832807,-1.16882,-3.41916,-3.35117,-1.16882,0
1,13,99,-1.27685,-1.10899,-3.41916,-3.35117,-1.10899,1
1,12,99,-1.14541,-0.491604,-3.41916,-3.35117,-1.14541,1
1,10,99,-1.54649,-0.745853,-3.41916,-3.35117,-1.54649,1
1,9,99,-0.457754,-0.622704,-3.41916,-3.35117,-0.622704,0
1,7,99,-0.578472,-0.318824,-3.41916,-3.35117,-0.318824,1
1,4,99,-0.201059,-0.203781,-3.41916,-3.35117,-0.203781,0
1,3,99,-0.139274,-0.16228,-3.41916,-3.35117,-0.16228,0
1,2,99,-0.171511,-0.0323579,-3.41916,-3.35117,-0.0323579,1
1,1,99,-2.02856,-0.32481,-3.41916,-3.35117,-0.32481,1
1,20,98,-1.67848,-1.00555,-3.41916,-3.12829,-1.00555,1
1,19,98,-1.8363,-0.66763,-3.41916,-3.12829,-0.66763,1
1,18,98,-1.45264,-0.770834,-3.41916,-3.12829,-0.770834,1
1,17,98,-2.35339,-0.820012,-3.41916,-3.12829,-0.820012,1
1,15,98,-0.804604,-0.98659,-3.41916,-3.12829,-0.98659,0
1,13,98,-0.733691,-1.15592,-3.41916,-3.12829,-0.733691,0
1,12,98,-0.685162,-0.0175442,-3.41916,-3.12829,-0.0175442,1
1,9,98,-0.239027,-0.537096,-3.41916,-3.12829,-0.537096,0
1,7,98,-0.353584,-0.293936,-3.41916,-3.12829,-0.293936,1
1,4,98,-0.157199,-0.0920919,-3.41916,-3.12829,-0.0920919,1
1,3,98,-0.0915118,-0.0537167,-3.41916,-3.12829,-0.0537167,1
1,2,98,-0.217571,0.0996098,-3.41916,-3.12829,0.0996098,1
1,1,98,-1.85975,-0.189583,-3.41916,-3.12829,-0.189583,1
1,20,97,-1.15866,-0.889759,-3.41916,-2.81209,-1.15866,1
1,19,97,-1.6437,-0.858134,-3.41916,-2.81209,-0.858134,1
1,18,97,-0.962686,-0.650357,-3.41916,-2.81209,-0.650357,1
1,17,97,-2.28023,-0.876307,-3.41916,-2.81209,-0.876307,1
1,15,97,-0.6178,-0.975785,-3.41916,-2.81209,-0.975785,0
1,13,97,-0.715353,-1.0051,-3.41916,-2.81209,-1.0051,0
1,12,97,-0.743379,0.0969078,-3.41916,-2.81209,0.0969078,1
1,7,97,-0.243112,-0.180745,-3.41916,-2.81209,-0.180745,1
1,4,97,-0.0864072,-0.0787859,-3.41916,-2.81209,-0.0787859,1
1,3,97,0.0476095,0.0151416,-3.41916,-2.81209,0.0151416,0
1,2,97,-0.0899071,0.249707,-3.41916,-2.81209,0.249707,1
1,20,96,-1.10634,-0.814643,-3.41916,-2.99602,-0.814643,1
1,19,96,-0.885944,-0.64968,-3.41916,-2.99602,-0.64968,1
1,18,96,-0.825997,-0.839851,-3.41916,-2.99602,-0.839851,0
1,17,96,-0.982225,-0.785681,-3.41916,-2.99602,-0.785681,1
1,15,96,-0.401651,-0.839741,-3.41916,-2.99602,-0.839741,0
1,13,96,-0.667517,-0.916336,-3.41916,-2.99602,-0.667517,0
